indic_il,age,sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S80_S20,TOTAL,T,AT	3.4 	3.5 	: 	4.1 	3.8 	3.8 	3.7 	3.8 	4.2 b	4.2 	4.3 	4.1 	4.2 	4.1 	4.1 	4.0 	4.1 	4.3 
S80_S20,TOTAL,T,BE	4.3 	4 	: 	4.3 	3.9 	4.0 	4.2 	3.9 	4.1 	3.9 	3.9 	3.9 	4.0 	3.8 	3.8 	3.8 	3.8 	3.8 
S80_S20,TOTAL,T,BG	3.7 	3.8 	3.8 	: 	: 	: 	5.1 	7.0 	6.5 	5.9 	5.9 	6.5 	6.1 	6.6 	6.8 	7.1 	7.7 b	8.2 
S80_S20,TOTAL,T,CH	: 	: 	: 	: 	: 	: 	: 	4.7 	4.9 	4.8 	4.5 	4.5 	4.4 	4.2 	4.4 b	4.5 	4.4 	: 
S80_S20,TOTAL,T,CY	: 	: 	: 	: 	: 	4.3 	4.3 	4.4 	4.3 b	4.4 	4.5 	4.3 	4.7 	4.9 	5.4 	5.2 	4.9 	4.6 
S80_S20,TOTAL,T,CZ	: 	3.4 	: 	: 	: 	3.7 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.4 
S80_S20,TOTAL,T,DE	3.5 	3.6 	: 	: 	: 	3.8 	4.1 	4.9 	4.8 	4.5 	4.5 	4.5 	4.3 	4.6 	5.1 	4.8 	4.6 	4.5 
S80_S20,TOTAL,T,DK	: 	3 	: 	3.6 	3.4 	3.5 	3.4 	3.7 	3.6 	4.6 	4.4 b	4.0 b	3.9 	4.0 	4.1 	4.1 	4.1 	4.1 
S80_S20,TOTAL,T,EA18	: 	: 	: 	: 	5.0 	4.6 	4.7 	4.8 	4.9 	4.8 	4.9 	5.0 	5.0 	5.0 	5.2 	5.1 	5.1 	5.0 
S80_S20,TOTAL,T,EA19	: 	: 	: 	: 	: 	4.7 	4.7 	4.8 	4.9 	4.9 	4.9 	5.0 	5.0 	5.1 	5.2 	5.2 	5.2 	5.1 
S80_S20,TOTAL,T,EE	6.3 	6.1 	6.1 	: 	7.2 	5.9 	5.5 	5.5 	5.0 	5.0 	5.0 	5.3 	5.4 	5.5 	6.5 b	6.2 	5.6 	5.4 
S80_S20,TOTAL,T,EL	5.8 	5.7 	: 	6.4 	5.9 	5.8 	6.1 	6.0 	5.9 	5.8 	5.6 	6.0 	6.6 	6.6 	6.5 	6.5 	6.6 	6.1 
S80_S20,TOTAL,T,ES	5.4 	5.5 	5.1 b	: 	5.2 	5.5 	5.5 	5.5 	5.6 b	5.9 	6.2 	6.3 	6.5 	6.3 	6.8 	6.9 	6.6 	6.6 
S80_S20,TOTAL,T,EU	: 	: 	: 	: 	: 	: 	: 	: 	5.0 	4.9 	4.9 	5.0 	5.0 	5.0 	5.2 	5.2 	5.2 	5.1 
S80_S20,TOTAL,T,EU27	: 	: 	: 	: 	: 	5.0 	4.9 s	5.0 	5.0 	4.9 	4.9 	5.0 	5.0 	5.0 	5.2 	5.2 	5.2 	5.1 
S80_S20,TOTAL,T,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	5.0 	5.0 	5.0 	5.2 	5.2 	5.2 	5.1 
S80_S20,TOTAL,T,FI	3.3 	3.7 b	3.7 	: 	3.5 	3.6 	3.6 	3.7 	3.8 	3.7 	3.6 	3.7 	3.7 	3.6 	3.6 	3.6 	3.6 	3.5 
S80_S20,TOTAL,T,FR	4.2 	3.9 b	3.9 	: 	4.2 	4.0 	4.0 	3.9 	4.4 b	4.4 	4.4 	4.6 	4.5 	4.5 	4.3 	4.3 	4.3 	4.4 
S80_S20,TOTAL,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.5 b	5.6 	5.4 	5.3 	5.1 	5.2 	5.0 	: 
S80_S20,TOTAL,T,HU	3.3 	3.1 	3 	: 	: 	4.0 	5.5 	3.7 	3.6 	3.5 	3.4 	3.9 	4.0 	4.3 	4.3 	4.3 	4.3 	4.3 
S80_S20,TOTAL,T,IE	4.7 	4.5 	: 	4.9 	4.9 	5.0 	4.9 	4.8 	4.4 	4.2 	4.7 	4.6 	4.8 	4.7 	4.9 	4.5 	4.4 	: 
S80_S20,TOTAL,T,IS	: 	: 	: 	: 	3.4 	3.5 	3.7 	3.9 	3.8 	4.2 	3.6 	3.3 	3.4 	3.4 	3.1 	3.4 	3.3 p	: 
S80_S20,TOTAL,T,IT	4.8 	4.8 	: 	: 	5.6 	5.6 	5.4 	5.4 	5.2 	5.3 	5.4 	5.7 	5.6 	5.8 	5.8 	5.8 	6.3 	5.9 
S80_S20,TOTAL,T,LT	5 	4.9 	: 	: 	: 	6.9 	6.3 	5.9 	6.1 	6.4 	7.3 	5.8 	5.3 	6.1 	6.1 	7.5 	7.1 	7.3 
S80_S20,TOTAL,T,LU	3.7 	3.8 	: 	4.1 	3.9 	3.9 	4.2 	4.0 	4.1 	4.3 	4.1 	4.0 	4.1 	4.6 	4.4 	4.3 	5.0 b	5.0 
S80_S20,TOTAL,T,LV	5.5 	: 	: 	: 	: 	6.7 	7.8 	6.4 	7.3 	7.4 	6.8 	6.5 	6.5 	6.3 	6.5 	6.5 	6.2 	6.3 
S80_S20,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	8.4 	7.2 	6.6 	6.6 	: 
S80_S20,TOTAL,T,MT	4.6 	: 	: 	: 	: 	3.9 	4.0 	3.9 	4.3 	4.0 	4.3 	4.0 	3.9 	4.1 	4.0 	4.2 	4.2 	4.2 
S80_S20,TOTAL,T,NL	4.1 	4 	4 	: 	: 	4.0 	3.8 	4.0 	4.0 	4.0 	3.7 	3.8 	3.6 	3.6 	3.8 	3.8 	3.9 b	4.0 
S80_S20,TOTAL,T,NO	3.3 	3.5 	3.2 	3.8 	3.6 	4.1 	4.8 	3.5 	3.7 	3.5 	3.4 	3.3 	3.2 	3.3 	3.4 	3.5 	3.7 	3.9 
S80_S20,TOTAL,T,PL	4.7 	4.7 	: 	: 	: 	6.6 	5.6 	5.3 	5.1 	5.0 	5.0 	5.0 	4.9 	4.9 	4.9 	4.9 	4.8 	4.6 
S80_S20,TOTAL,T,PT	6.4 	6.5 	7.3 	: 	7.0 	7.0 	6.7 	6.5 	6.1 	6.0 	5.6 	5.7 	5.8 	6.0 	6.2 	6.0 	5.9 	5.7 
