waste,stk_flow,wst_oper,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
W1501,DOM,RCY,PC,AT	69.4 	64.3 	65.9 	64.2 	66.2 	66.9 	68.4 	67.2 	67.9 	66.9 	66.6 	65.8 	65.9 	66.6 	66.6 	67.1 	66.8 
W1501,DOM,RCY,PC,BE	62.5 	71.3 	70.2 	73.9 	76.4 	76.8 	79 	80.4 	78.9 	79.1 	79.8 	80.2 	80.3 	78.7 	81.3 	81.5 	81.9 
W1501,DOM,RCY,PC,BG	: 	: 	: 	: 	: 	30.8 	35 	54.8 	50.3 	45.9 	61.6 	65.1 	66.5 	65.7 	62 	64.1 	63.8 
W1501,DOM,RCY,PC,CY	: 	: 	: 	: 	22 	11.1 	25.2 	25.7 	34 	42.2 	50 	52 	55.3 	56.6 	58.7 	59.8 	: 
W1501,DOM,RCY,PC,CZ	: 	: 	: 	51.4 	55.7 	59 	63.4 	65.9 	67.1 	68.8 	70 	69.7 	69.9 	69.9 	73 	74.3 	75.3 
W1501,DOM,RCY,PC,DE	78 	75.9 	74.4 	70.6 	69.6 	68.2 	66.5 	66.9 	70.5 	73.5 	72.7 	71.8 	71.3 	71.8 	71.4 	69.3 	70.7 
W1501,DOM,RCY,PC,DK	55.7 	57.2 	57.3 	53.8 	53.2 	52.5 	56.2 	56.8 	59.7 	84 	84 e	54.3 	61.6 	69.8 	69.8 	73.9 	79 
W1501,DOM,RCY,PC,EE	: 	: 	: 	: 	33.5 	40.3 	45.7 	49.6 	43.5 	57.2 	56.1 	62.9 	61.3 	58.4 	60.3 	59 	56 
W1501,DOM,RCY,PC,EL	33.3 	33.4 	32.6 	33.1 	36.7 	41.8 	42.8 	48 	43.8 	52.3 	58.7 	62.1 	58.6 	52.4 	53.8 	60.3 	: 
W1501,DOM,RCY,PC,ES	39.8 	43.6 	44.3 	43.1 	47.4 	50.4 	54 	56.3 	59.1 	60.3 	61.9 	63.9 	65.5 	66.6 	68.7 	68.4 	70.3 
W1501,DOM,RCY,PC,EU28	: 	: 	: 	: 	: 	54.6 s	56.9 s	59.2 s	60.5 s	62.4 s	63.5 s	63.8 s	64.7 	65.3 	65.5 	65.8 	67 s
W1501,DOM,RCY,PC,FI	49.8 	47.2 	49.2 	40.8 	39.9 	43.2 	49.1 	51.9 	56.7 	55.5 	55.4 	58.7 	59.3 	58 	57.4 	60.9 	64.7 
W1501,DOM,RCY,PC,FR	42.2 	44 	45.4 	47.9 	50.7 	53.3 	54.8 	57 	55.2 	56.4 	61.1 	61.3 	64.9 	66.4 	65.2 	65.5 	66 
W1501,DOM,RCY,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.7 	58.8 	52.7 	60.1 	54.7 
W1501,DOM,RCY,PC,HU	: 	: 	: 	: 	43.3 	45.9 	48.9 	46.4 	50.8 	51.1 	58.7 	59.3 	48.5 	49.2 	52.3 	50.1 	49.7 
W1501,DOM,RCY,PC,IE	18.9 	27 	34.9 	51.2 	56.4 	55.6 	54.5 	60.6 	61.7 s	64.9 	66.2 	70.9 	74 	70.2 	68.3 	67.5 	67 
W1501,DOM,RCY,PC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.7 	46.2 	41.8 	: 	: 	50.6 	51.6 
W1501,DOM,RCY,PC,IT	38.4 	45.5 	51.4 	51.4 	53.3 	53.7 	54.9 	56.8 	59.6 	64 	64.4 	64.5 	66.6 	66.7 	65.4 	66.8 	66.9 
W1501,DOM,RCY,PC,LI	: 	: 	: 	: 	: 	: 	48.9 	48.5 	47 	50 	45.9 	48.7 	44.3 	50.3 	51.9 	66.1 	65.8 
