field,sex,unit,geo\time	2000 	2003 	2006 	2009 	2012 	2015 
EF461,T,PC,AL	: 	: 	: 	67.7 	60.7 	53.3 
EF461,T,PC,AT	: 	18.8 	20.1 	23.3 	18.7 	21.8 
EF461,T,PC,BE	: 	16.5 	17.5 	19.1 	19.0 	20.1 
EF461,T,PC,BG	: 	: 	53.4 	47.1 	43.8 	42.1 
EF461,T,PC,CH	: 	14.5 	13.6 	13.5 	12.4 	15.8 
EF461,T,PC,CY	: 	: 	: 	: 	42.0 	42.6 
EF461,T,PC,CZ	: 	16.6 	19.3 	22.4 	21.0 	21.7 
EF461,T,PC,DE	: 	21.6 	20.0 	18.7 	17.7 	17.2 
EF461,T,PC,DK	: 	15.4 	13.7 	17.1 	16.8 	13.6 
EF461,T,PC,EE	: 	: 	12.1 	12.7 	10.5 	11.2 
EF461,T,PC,EL	: 	38.9 	32.5 	30.4 	35.7 	35.8 
EF461,T,PC,ES	: 	23.0 	24.8 	23.8 	23.6 	22.2 
EF461,T,PC,EU27	: 	: 	: 	22.3 	22.1 	: 
EF461,T,PC,EU28	: 	: 	: 	: 	: 	22.2 
EF461,T,PC,FI	: 	6.8 	6.0 	7.9 	12.3 	13.6 
EF461,T,PC,FR	: 	16.6 	22.4 	22.5 	22.4 	23.5 
EF461,T,PC,HR	: 	: 	28.7 	33.2 	29.9 	32.0 
EF461,T,PC,HU	: 	23.0 	21.2 	22.3 	28.1 	28.0 
EF461,T,PC,IE	: 	16.8 	16.5 	20.9 	16.9 	15.0 
EF461,T,PC,IS	: 	15.0 	16.9 	17.0 	21.5 	23.6 
EF461,T,PC,IT	: 	31.9 	33.0 	25.0 	24.7 	23.3 
EF461,T,PC,JP	: 	13.3 	13.1 	12.5 	11.1 	10.7 
EF461,T,PC,KR	: 	9.5 	8.9 	8.1 	9.1 	15.5 
EF461,T,PC,LI	: 	12.3 	13.2 	9.5 	14.1 	: 
EF461,T,PC,LT	: 	: 	23.1 	26.4 	26.0 	25.4 
EF461,T,PC,LU	: 	21.7 	22.9 	23.9 	24.3 	25.8 
EF461,T,PC,LV	: 	23.7 	20.8 	22.6 	19.9 	21.4 
EF461,T,PC,ME	: 	: 	60.2 	58.5 	56.6 	51.9 
EF461,T,PC,MK	: 	: 	: 	: 	: 	70.2 
EF461,T,PC,MT	: 	: 	: 	33.7 	: 	29.1 
EF461,T,PC,NL	: 	10.9 	11.6 	13.4 	14.8 	16.7 
EF461,T,PC,NO	: 	20.8 	22.4 	18.2 	22.3 	17.1 
EF461,T,PC,PL	: 	22.0 	20.0 	20.5 	14.4 	17.2 
EF461,T,PC,PT	: 	30.1 	30.9 	23.8 	24.9 	23.8 
EF461,T,PC,RO	: 	: 	52.9 	47.0 	40.8 	39.9 
EF461,T,PC,RS	: 	: 	42.7 	40.6 	38.9 	: 
EF461,T,PC,RU	: 	30.2 	26.8 	28.6 	24.0 	18.9 
EF461,T,PC,SE	: 	17.3 	18.4 	21.1 	27.1 	20.8 
EF461,T,PC,SI	: 	: 	17.8 	20.4 	20.1 	16.1 
EF461,T,PC,SK	: 	19.9 	21.0 	21.0 	27.5 	27.7 
EF461,T,PC,TR	: 	52.2 	52.2 	42.2 	42.0 	51.4 
EF461,T,PC,UK	: 	: 	19.9 	20.2 	21.8 	21.9 
EF461,T,PC,US	: 	25.7 	28.2 	23.4 	25.8 	29.4 
READ,T,PC,AL	70.4 	: 	: 	56.7 	52.3 	50.3 
READ,T,PC,AT	19.3 	20.7 	21.5 	27.6 	19.5 	22.5 
READ,T,PC,BE	19.0 	17.9 	19.4 	17.7 	16.1 	19.5 
READ,T,PC,BG	40.3 	: 	51.1 	41.0 	39.4 	41.5 
READ,T,PC,CH	20.4 	16.7 	16.4 	16.8 	13.7 	20.0 
READ,T,PC,CY	: 	: 	: 	: 	32.8 	35.6 
READ,T,PC,CZ	17.5 	19.3 	24.8 	23.1 	16.9 	22.0 
READ,T,PC,DE	22.6 	22.3 	20.0 	18.5 	14.5 	16.2 
READ,T,PC,DK	17.9 	16.5 	16.0 	15.2 	14.6 	15.0 
READ,T,PC,EE	: 	: 	13.6 	13.3 	9.1 	10.6 
READ,T,PC,EL	24.4 	25.3 	27.7 	21.3 	22.6 	27.3 
READ,T,PC,ES	16.3 	21.1 	25.7 	19.6 	18.3 	16.2 
READ,T,PC,EU27	19.8 	20.8 	22.6 	19.5 	17.8 	: 
READ,T,PC,EU28	: 	: 	: 	: 	: 	19.7 
READ,T,PC,FI	7.0 	5.7 	4.8 	8.1 	11.3 	11.1 
READ,T,PC,FR	15.2 	17.5 	21.7 	19.8 	18.9 	21.5 
READ,T,PC,HR	: 	: 	21.5 	22.4 	18.7 	19.9 
READ,T,PC,HU	22.7 	20.5 	20.6 	17.6 	19.7 	27.5 
READ,T,PC,IE	11.0 	11.0 	12.1 	17.2 	9.6 	10.2 
READ,T,PC,IS	14.5 	18.5 	20.5 	16.8 	21.0 	22.1 
READ,T,PC,IT	18.9 	23.9 	26.4 	21.0 	19.5 	21.0 
READ,T,PC,JP	10.1 	19.0 	18.4 	13.6 	9.8 	12.9 
READ,T,PC,KR	5.8 	6.8 	5.8 	5.8 	7.6 	13.7 
READ,T,PC,LI	22.1 	10.4 	14.3 	15.7 	12.4 	: 
READ,T,PC,LT	: 	: 	25.7 	24.4 	21.2 	25.1 
READ,T,PC,LU	35.1 	22.7 	22.9 	26.0 	22.2 	25.6 
