unit,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_5Y_CPI10_NAC,P6,AT	: 	: 	: 	: 	: 	-4.4 	-2.7 	-1.0 	0.2 	0.2 	0.4 	-0.9 	-2.0 	-4.0 	-1.7 	-2.5 	-3.1 	-3.2 	-1.9 	-2.7 	-0.1 	2.4 	1.9 
PCH_5Y_CPI10_NAC,P6,BE	: 	: 	: 	: 	: 	-3.2 	-2.4 	-1.4 	-2.3 	-2.3 	-1.2 	-2.0 	-2.5 	-4.7 	-0.8 	-1.7 	-2.2 	-2.5 	0.4 	-2.4 	0.0 	1.8 	1.0 
PCH_5Y_CPI10_NAC,P6,BG	: 	: 	: 	: 	: 	-20.3 	14.7 	19.3 	17.1 	13.0 	6.4 	12.3 	15.4 	13.0 	12.0 	14.0 	11.5 	5.9 	4.2 	3.0 	3.5 	3.0 	5.7 
PCH_5Y_CPI10_NAC,P6,CY	: 	: 	: 	: 	: 	1.8 	3.6 	1.4 	3.6 	3.9 	1.0 	-2.0 	1.2 	-3.4 	-4.0 	-1.3 	-0.7 	-0.6 	-0.6 	-1.2 	-0.8 	0.4 p	0.9 p
PCH_5Y_CPI10_NAC,P6,CZ	: 	: 	: 	: 	: 	6.3 	5.0 	8.2 	2.8 	4.6 	5.5 	0.4 	-2.0 	-3.3 	-2.4 	-2.1 	-1.7 	-3.3 	-0.9 	-1.4 	0.9 	3.6 	3.1 
PCH_5Y_CPI10_NAC,P6,DE	: 	7.9 	2.6 	2.6 	2.4 	-3.6 	-3.3 	0.4 	-0.3 	-0.9 	1.7 	0.0 	-1.9 	-4.6 	-0.4 	-1.0 	-2.1 	-2.5 	0.3 	-2.8 	2.1 	6.8 	5.9 
PCH_5Y_CPI10_NAC,P6,DK	0.6 	2.5 	0.3 	0.3 	1.0 	1.5 	0.1 	1.1 	2.2 	3.3 	4.6 	4.0 	2.3 	3.3 	2.7 	3.3 	2.0 	3.1 	2.4 	3.7 	1.1 	2.3 	2.9 
PCH_5Y_CPI10_NAC,P6,EE	: 	: 	: 	: 	: 	9.1 	14.2 	12.8 	13.2 	14.3 	13.4 	11.1 	9.0 	7.4 	7.0 	3.0 	1.0 	-1.4 	-0.8 	0.3 	2.9 	2.8 	4.2 
PCH_5Y_CPI10_NAC,P6,EL	: 	: 	: 	: 	: 	2.3 	0.9 	1.6 	2.6 	2.1 	3.0 	2.1 	1.1 	-1.7 	-2.3 	-1.0 	-1.5 p	-3.5 p	-0.8 p	1.5 p	6.0 p	6.1 p	7.4 p
PCH_5Y_CPI10_NAC,P6,ES	: 	: 	: 	: 	: 	0.4 	0.5 	3.7 	2.3 	1.8 	6.6 	4.9 	2.6 	-1.2 	4.3 	1.0 	-2.9 	-5.4 	-2.0 	-7.5 	-4.4 	-0.3 p	0.8 p
