unit,nace_r2,tax,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
MIO_EUR,TOTAL_HH_NRES,NRG,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176.7 p	164.94 p	179.14 p	190.21 p	176.77 p	178.65 p	195.13 p	: 	: 
MIO_EUR,TOTAL_HH_NRES,NRG,AT	2587.66 	2655.3 	3045.28 	2965.79 	3099.88 	3288.2 	3634.93 	3801.01 	4009.3 	4330.14 	4350.28 	4221.27 	4453.19 	4603.03 	4460.89 	4585.28 	5007.55 	5030.8 	5093.46 	5024.05 	5216.4 	5284.47 
MIO_EUR,TOTAL_HH_NRES,NRG,BE	3303.63 	3450.06 	3474.55 	3556.54 	3598.7 	3613.9 	3632.2 	3665.1 	3893.9 	4309.9 	4475.4 	4399.2 	4586.1 	4524.3 	4483.3 	4873.6 	5125.1 	5002.1 	4766.9 	5028.5 	5303.1 	5988.7 
MIO_EUR,TOTAL_HH_NRES,NRG,BG	166.91 	74.85 	120.88 	245.63 	278.16 	348.69 	370.93 	351.96 	475.5 	567.8 	607.96 	665.45 	921.17 	1059.94 	933.6 	926.79 	982.75 	995.15 	1032.47 	1016.03 	1155.86 	1145.56 
MIO_EUR,TOTAL_HH_NRES,NRG,CH	2822.61 	2855.55 	2556.18 	2954.32 	3107.48 	3279.79 	3328.8 	3368.73 	3297.49 	3280.73 	3306.19 	3263.42 	3178.19 	3519.83 	3837.79 	4433.57 	4794.59 	4965.05 	4914.53 	5107.45 	5900.21 	6068.28 
MIO_EUR,TOTAL_HH_NRES,NRG,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	298.06 	298.57 	345.73 	377.82 	357 	377.77 	403.74 	423.78 	: 
MIO_EUR,TOTAL_HH_NRES,NRG,CZ	976.57 	1062.22 	1069 	1125.75 	1235.71 	1320.21 	1569.45 	1758.64 	1851.47 	2131.45 	2495.27 	2712.65 	2939.03 	3363.47 	3182.07 	3314.98 	3574.58 	3349.04 	3115.36 	3037.51 	3230.8 	3462.2 
MIO_EUR,TOTAL_HH_NRES,NRG,DE	34720.1 	35134.54 	34171.68 	34099.15 	39297 	42507 	45412 	46897 	50473 	48703 	46895 	47200 	45627 	46058 	47389 	46499 	49294 	48864 	48141.48 	48688.37 	48325.69 	48424 
MIO_EUR,TOTAL_HH_NRES,NRG,DK	2953.17 	3287.45 	3308.22 	4203.11 	4734.38 	4891.97 	5252.64 	5429.63 	5429.39 	5594.17 	5360.09 	5042.57 	5451.94 	5166.74 	5361.43 	5744.82 	5958.72 	6076.99 	6242.97 	6167.01 	6023.8 	6133.41 
MIO_EUR,TOTAL_HH_NRES,NRG,EA19	114054.21 	120253.16 	122473.44 	125093.49 	134354.81 	135415.43 	139936.72 	145906.38 	153410.13 	155206.76 	156729.46 	159572.34 	157783.73 	157792.88 	161155.31 	165472.96 	175307.08 	180928.7 	185610.78 	190193.91 	194221.07 	201099.88 
MIO_EUR,TOTAL_HH_NRES,NRG,EE	16.2 	38.84 	53.23 	79.75 	72.52 	76.06 	111.39 	116.69 	133.9 	173.76 	215.88 	243.11 	291.62 	317.56 	352.91 	378.95 	395.74 	431.91 	420.94 	463.81 	491.19 	567.28 
MIO_EUR,TOTAL_HH_NRES,NRG,EL	2410.08 	2647.52 	2619.33 	2396.46 	2257.3 	2040.67 	2142 	2174 	2329 	2378 	2446 	2496 	2756 	2696 	2801 	4216 	4310 	4802 	5141 	5214.01 	5189 	5266 
MIO_EUR,TOTAL_HH_NRES,NRG,ES	8160.06 	8789.87 	8784.36 	9937.33 	10703 	10956 	11218 	12089 	12786 	13303 	13698 	14071 	14589 	14448 	14083 	14420 	13808 	13292 	16158 	16144 	17429 	17130 
MIO_EUR,TOTAL_HH_NRES,NRG,EU28	144865.56 	154901.03 	162647.18 	171220.17 	184815.02 	190741.36 	194466.81 	202711.33 	208321.79 	213698.53 	218121.22 	222243.92 	224710.73 	220774.02 	219608.05 	230626.35 	240984.27 	249859.88 	254704.18 	263558.17 	275773.74 	280059.34 
MIO_EUR,TOTAL_HH_NRES,NRG,FI	2134.99 	2153.53 	2510.13 	2541.63 	2710.94 	2628.44 	2720.25 	2853.9 	2882 	2956 	2927 	2986 	2961 	3220.42 	3100.85 	3219.97 	3920.99 	4008.47 	3975.43 	3954.81 	4120.5 	4551 
MIO_EUR,TOTAL_HH_NRES,NRG,FR	23940.97 	24914.86 	24989.97 	26221.74 	26909 	26588 	25210 	27427 	27365 	28593 	28382 	28869 	28548 	28503 	28387 	29733 	31045 	31859 	33795 	34349 	38263 	40899 
MIO_EUR,TOTAL_HH_NRES,NRG,HR	0 	0 	0 	0 	0 	0 	0 	757.86 	790.37 	801.31 	823.35 	866.69 	880.57 	882.9 	876.63 	985.69 	832.48 	779.69 	904.04 	1014.52 	1097.9 	1226.34 
MIO_EUR,TOTAL_HH_NRES,NRG,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1893.51 	1889.21 	2027.74 	2098.81 	1868.83 	2007.73 	1949.45 	1834.23 	1938.15 	1999.88 	2116.56 	: 
MIO_EUR,TOTAL_HH_NRES,NRG,IE	887.67 	1001.31 	1197.85 	1307.98 	1434.51 	1491.34 	1435.77 	1674.01 	1762.91 	2084.22 	2212.29 	2232.49 	2250.47 	2249.81 	2265.38 	2508.32 	2693.95 	2620.59 	2704.26 	2800.81 	3000.65 	3075.84 
MIO_EUR,TOTAL_HH_NRES,NRG,IT	26964.16 	29871.98 	31347.79 	30916.25 	32520 	30489 	31600 	31561 	33217 	32662 	34392 	35174 	34043 	32272 	34632 	35387 	40031 	45781 	45070 	47859 	45574 	47565 
MIO_EUR,TOTAL_HH_NRES,NRG,LI	: 	: 	9.7 	11.3 	11.74 	13.48 	14.6 	13.47 	12.6 	12.83 	12.64 	12.87 	12.55 	13.08 	14.09 	16.66 	19.04 	17.9 	16.8 	19.77 	: 	: 
MIO_EUR,TOTAL_HH_NRES,NRG,LT	56.42 	73.44 	113.11 	173.33 	220.09 	216.91 	249.9 	303.27 	328.55 	332.91 	364.36 	393.87 	459.35 	498.12 	513.13 	492.23 	497.11 	515.93 	537.71 	580.48 	622.94 	677.26 
MIO_EUR,TOTAL_HH_NRES,NRG,LU	446.79 	451.46 	461.71 	483.2 	532.5 	584.59 	608.5 	635.47 	689.46 	808.01 	856.5 	851.39 	883.89 	914.49 	854.12 	883.61 	947.38 	964.66 	926.63 	900.1 	864.2 	847.45 
MIO_EUR,TOTAL_HH_NRES,NRG,LV	38.54 	68.42 	98.7 	159.89 	140.15 	156.46 	153.57 	174.27 	197.21 	238.44 	290.81 	319.71 	388.8 	440.32 	444.99 	453.67 	496.17 	551.15 	645.17 	728.6 	758.17 	774.28 
MIO_EUR,TOTAL_HH_NRES,NRG,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142.83 	147.14 	152.98 	125.46 	128.41 	: 	: 
MIO_EUR,TOTAL_HH_NRES,NRG,MT	23.43 	23.64 	40.47 	54.25 	58.35 	58.57 	65.98 	61.45 	56.29 	56.47 	62.21 	66.9 	97.58 	86.22 	86.62 	92.72 	107.35 	108.45 	107.7 	128.07 	138.24 	144.57 
MIO_EUR,TOTAL_HH_NRES,NRG,NL	5245.44 	5699.46 	6264.83 	6564.47 	7271 	7745 	8225 	8341 	8711 	9445 	10220 	10950 	10393 	11387 	11639 	12009 	12014 	11623 	12590 	12648 	12815 	13351 
MIO_EUR,TOTAL_HH_NRES,NRG,NO	2543.9 	2672.45 	3136.96 	2884.16 	3102.86 	3366.86 	3455.22 	3594.54 	3434.96 	3232.37 	3615.97 	3783.18 	3978.17 	4194.22 	3912.9 	4466.1 	4551.8 	4572.25 	4923.59 	4778.68 	4575.18 	4493.9 
MIO_EUR,TOTAL_HH_NRES,NRG,PL	1311.15 	1713.18 	1801.1 	2256.61 	2818.99 	3276.28 	3743.36 	4212.42 	4058.78 	4549.13 	5567.24 	6127.98 	7234.72 	7967.03 	6565.3 	8279.22 	8475.71 	8638.13 	8400.24 	9107.86 	9764.82 	9996.1 
MIO_EUR,TOTAL_HH_NRES,NRG,PT	2270.22 	2375.06 	2331.87 	2574.22 	2533.48 	1977.63 	2416.31 	2900.71 	3084.72 	3139.02 	3159.61 	3219.71 	3366.14 	3237.05 	3231.64 	3190.86 	3050.26 	2842.76 	2854.93 	2883.47 	3185.54 	3514.85 
MIO_EUR,TOTAL_HH_NRES,NRG,RO	403.46 	403.88 	727.8 	945.02 	1160.05 	1217.75 	871.83 	843.72 	1058.24 	1312.61 	1464.72 	1665.55 	2110.01 	1969.18 	1905.35 	2235.53 	2247.7 	2268.2 	2531.43 	3113.04 	3508.41 	3551.58 
MIO_EUR,TOTAL_HH_NRES,NRG,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	528.74 	620.66 	686.41 	725.96 	806.68 	787.14 	886.89 	810.76 	969.54 	1095.96 	1200.17 	1314.16 
MIO_EUR,TOTAL_HH_NRES,NRG,SE	4664.43 	5863.74 	5719.32 	5918.08 	5995 	6270.07 	6059.79 	6519.41 	6872.38 	7023.66 	7107.69 	7236.88 	7317.87 	7189.55 	6633.99 	7719.9 	7853.88 	8247.72 	8269.78 	7568.28 	7797.08 	8141.81 
MIO_EUR,TOTAL_HH_NRES,NRG,SI	497.39 	550.84 	586.32 	678.55 	604.7 	491.12 	591.91 	630.32 	629.44 	667.19 	678.35 	702.2 	785.9 	882.71 	1059 	1106.83 	1071.65 	1183.95 	1204.42 	1223.29 	1271.13 	1326.08 
