sex,age,unit,isced11,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,Y30-34,PC,ED5-8,AT	: u	: u	: u	: u	19.9 b	20.4 	20.4 b	20.1 	22.0 	23.9 	24.4 	24.3 	26.5 	27.8 	41.6 b	40.0 	42.0 	44.0 
F,Y30-34,PC,ED5-8,BE	37.1 	37.9 	39.0 	41.3 	44.1 	43.4 	46.2 	46.4 	48.6 b	47.7 	50.0 	48.1 	50.7 	49.3 	50.2 b	48.7 	50.7 	50.9 b
F,Y30-34,PC,ED5-8,BG	23.1 	28.3 b	28.8 	29.5 	31.8 	31.5 	32.8 b	33.2 	34.5 	35.6 	35.9 b	34.2 	33.6 	37.6 	39.0 b	39.9 	41.0 	40.5 
F,Y30-34,PC,ED5-8,CH	17.7 	17.6 	20.8 	23.2 	23.7 	25.4 	27.3 	29.7 	34.4 	38.1 	38.9 b	39.7 	39.3 	42.3 	46.0 b	50.0 	50.1 	51.6 
F,Y30-34,PC,ED5-8,CY	31.5 	32.3 	36.1 	37.7 	38.7 	42.5 	46.8 	48.0 	52.9 	49.3 b	48.9 	52.0 	55.5 	53.4 	58.2 b	61.6 	62.1 	63.6 
F,Y30-34,PC,ED5-8,CZ	13.0 	12.5 	11.4 	10.8 b	12.1 	13.0 	12.4 	13.7 	15.9 	18.7 	22.3 	26.1 b	29.1 	29.6 	32.5 b	35.9 	38.7 	41.0 
F,Y30-34,PC,ED5-8,DE	22.6 	21.9 	21.4 	22.5 	24.3 	24.1 b	24.4 	25.7 	27.0 	29.2 	29.4 b	31.3 	32.6 	33.7 	30.8 b	32.4 	33.0 	34.2 
F,Y30-34,PC,ED5-8,DK	33.6 	37.8 	39.4 	41.1 b	44.0 	47.3 	47.4 	41.6 b	41.8 	46.5 	45.9 	48.0 	52.6 	51.8 	50.5 b	55.9 	54.6 b	56.7 b
F,Y30-34,PC,ED5-8,EA18	23.4 	24.2 	25.8 	27.6 	29.8 	31.2 	32.7 	33.9 	35.0 	35.9 	37.1 	37.8 	38.9 	39.9 	40.2 b	41.3 	41.8 	42.9 
F,Y30-34,PC,ED5-8,EA19	23.7 	24.3 	25.8 	27.6 	29.9 	31.4 	32.8 	34.0 	35.1 	36.0 	37.3 	37.9 	39.1 	40.1 	40.4 b	41.6 	42.1 	43.1 
F,Y30-34,PC,ED5-8,EE	38.9 b	35.7 	32.7 	33.8 	35.4 	36.8 	38.5 	42.9 	40.1 	43.2 	48.6 	50.4 	51.3 	53.7 	54.2 b	56.7 	52.4 	55.6 
F,Y30-34,PC,ED5-8,EL	26.9 	26.4 b	24.9 	24.1 	26.7 b	27.5 	28.2 	27.2 	27.8 	29.0 b	31.1 	31.5 	34.2 	39.0 	41.6 b	45.5 	48.8 	50.5 
F,Y30-34,PC,ED5-8,ES	30.4 	33.3 	37.2 	37.8 	40.6 	44.6 b	44.8 	46.3 	46.5 	46.5 	47.5 	46.7 	47.1 	47.5 	47.8 b	47.1 	46.6 	47.5 
F,Y30-34,PC,ED5-8,EU27	22.7 	23.2 	24.6 	26.2 	28.7 	30.2 	31.7 	33.0 	34.4 	35.8 	37.4 	38.7 	40.3 	41.5 	42.3 b	43.4 	44.0 	45.0 
F,Y30-34,PC,ED5-8,EU28	: 	: 	24.5 	26.1 	28.6 	30.1 	31.6 	32.9 	34.3 	35.7 	37.3 	38.6 	40.2 	41.4 	42.3 b	43.4 	43.9 	44.9 
F,Y30-34,PC,ED5-8,FI	47.9 b	49.6 	49.3 	50.2 	52.1 	52.1 	55.3 	55.4 	56.6 	55.5 	54.0 	55.0 	55.4 	52.9 	52.6 b	53.4 	54.4 	52.0 
F,Y30-34,PC,ED5-8,FR	29.0 	30.6 	34.0 	37.5 b	38.7 	40.5 	44.1 	45.0 	44.9 	47.1 	47.2 	47.2 	48.2 	48.4 b	47.9 b	49.6 	48.8 	49.6 
F,Y30-34,PC,ED5-8,HR	: 	: 	17.6 	20.1 	19.5 	21.3 	19.1 u	21.4 	21.8 	24.3 	27.6 b	28.5 	27.8 	29.7 	38.9 b	38.1 	36.7 	35.4 
F,Y30-34,PC,ED5-8,HU	17.1 	16.0 b	16.1 	17.9 	21.5 	20.7 	23.6 	24.8 	26.6 	28.9 	30.8 	32.9 	35.1 	37.8 	40.3 b	41.0 	39.6 	37.5 
F,Y30-34,PC,ED5-8,IE	29.2 	32.5 	33.0 	36.3 	41.5 	42.9 	46.8 	49.3 b	52.9 	55.2 	55.8 	56.2 	57.8 	58.5 	58.4 b	58.2 	58.1 	58.9 b
F,Y30-34,PC,ED5-8,IS	34.2 	33.2 	33.5 	42.7 b	44.8 	49.2 	42.2 u	37.4 	41.3 	45.9 	47.5 	53.1 	51.2 	52.2 	52.6 b	55.0 	55.8 	65.7 
F,Y30-34,PC,ED5-8,IT	12.5 	12.9 	14.2 	15.7 	18.4 b	20.1 	21.1 	22.2 	23.5 	23.0 	24.2 	24.8 	26.5 	27.3 	29.1 b	30.8 	32.5 	34.1 
F,Y30-34,PC,ED5-8,LT	47.9 	27.4 	29.6 b	30.7 	35.0 	41.2 	43.4 	42.7 	48.3 	48.0 	50.8 	52.9 	56.7 	60.8 	62.7 b	68.4 	68.8 	68.1 
F,Y30-34,PC,ED5-8,LU	17.7 	21.7 	21.5 	16.3 b	29.6 	38.5 	38.9 	38.1 b	42.7 	44.9 b	47.4 	47.4 	48.9 	55.6 	55.4 b	57.7 b	56.5 u	55.6 u
F,Y30-34,PC,ED5-8,LV	23.5 	19.3 u	21.9 b	23.3 	22.9 	24.8 	23.9 	32.0 	34.5 	40.0 	41.5 	46.7 	48.1 	53.1 	52.3 b	56.5 	56.1 	56.0 
F,Y30-34,PC,ED5-8,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.1 	25.5 	31.3 	31.3 b	32.2 	35.9 	37.7 
F,Y30-34,PC,ED5-8,MK	: 	: 	: 	: 	: 	: 	12.8 	13.6 	13.1 	16.8 	18.0 	22.4 	22.6 	25.6 	28.7 b	34.5 	33.8 	36.8 
F,Y30-34,PC,ED5-8,MT	: du	13.5 du	8.2 d	12.6 d	16.1 d	17.3 b	22.0 	22.5 	20.9 	23.6 	23.8 	24.2 b	27.8 	32.6 	33.4 b	34.4 	35.2 	35.0 
F,Y30-34,PC,ED5-8,NL	25.6 	26.9 	29.3 	32.3 	34.0 	34.7 	36.6 	37.3 	41.8 	42.6 	44.4 b	44.8 b	44.5 	46.4 b	48.0 b	49.6 	49.7 	51.8 
F,Y30-34,PC,ED5-8,NO	41.8 	46.6 	46.8 	43.9 	44.5 	44.4 	47.7 b	49.6 	54.8 	56.4 	55.2 	56.4 	55.9 	59.1 	62.0 b	60.9 	58.2 	55.9 
F,Y30-34,PC,ED5-8,PL	14.6 b	15.8 b	16.7 	19.6 b	23.2 	26.4 	29.0 	31.3 	35.0 	38.4 	40.4 b	43.2 	46.5 	48.4 	50.2 b	52.0 	53.9 	55.5 
F,Y30-34,PC,ED5-8,PT	13.4 b	15.0 	16.7 b	18.2 	20.2 b	21.3 	23.4 	24.3 	26.1 	24.9 	29.9 	31.3 b	31.0 	35.7 	38.9 b	40.1 	41.6 	40.4 
F,Y30-34,PC,ED5-8,RO	8.9 	9.0 	9.0 b	8.3 b	10.7 	12.1 	13.1 	14.3 	17.1 	18.5 	19.2 b	20.6 	22.9 	24.2 	27.2 b	27.2 	27.4 	28.9 
F,Y30-34,PC,ED5-8,SE	33.2 	30.0 b	31.2 	35.1 	39.3 	42.2 b	44.9 b	46.9 	47.7 	50.0 	51.1 	53.5 	53.7 	55.2 	57.9 b	57.7 	59.2 	58.4 
F,Y30-34,PC,ED5-8,SI	24.0 	25.1 	29.1 	31.0 	32.5 	30.1 	36.0 	41.1 	38.4 	39.3 	44.0 	47.3 	49.6 	49.6 	53.6 b	56.4 	55.3 	58.8 
F,Y30-34,PC,ED5-8,SK	10.1 	10.7 	11.2 	11.4 	13.2 	14.6 	15.3 	16.1 	17.6 	19.8 	26.2 	27.3 b	28.2 	31.8 	31.5 b	34.4 	39.4 	42.4 
F,Y30-34,PC,ED5-8,TR	: 	: 	: 	: 	: 	: 	9.5 	10.3 	11.2 	12.9 	13.6 	14.3 	16.2 	17.9 	19.6 b	22.1 	24.7 	26.0 
F,Y30-34,PC,ED5-8,UK	27.4 	28.4 	30.7 	30.8 	33.3 b	34.9 	36.9 	39.9 b	40.9 b	42.3 	45.1 b	48.3 b	50.0 	50.4 	51.1 b	51.1 	50.3 	50.8 
M,Y30-34,PC,ED5-8,AT	: u	: u	: u	: u	22.0 b	20.9 	21.8 b	21.6 	21.8 	22.9 	22.3 	22.8 	25.6 	26.4 	38.3 b	37.5 	38.3 	37.7 
M,Y30-34,PC,ED5-8,BE	33.3 	32.6 	31.5 	34.2 	35.8 	34.9 	36.6 	36.6 	37.4 b	36.4 	39.0 	37.1 	37.1 	36.2 	37.4 b	36.7 	40.4 	40.8 b
M,Y30-34,PC,ED5-8,BG	16.0 	18.8 b	17.7 	17.9 	18.7 	18.3 	17.8 b	18.7 	19.7 	20.4 	20.5 b	20.9 	20.5 	21.8 	23.4 b	24.8 	27.2 	25.5 
M,Y30-34,PC,ED5-8,CH	37.5 	38.4 	39.3 	41.4 	42.4 	41.8 	42.8 	43.3 	48.0 	48.8 	44.9 b	44.0 	45.3 	47.4 	48.4 b	48.6 	52.3 	54.0 
M,Y30-34,PC,ED5-8,CY	30.8 	33.1 	35.9 	42.5 	43.5 	38.9 	45.4 	44.4 	41.3 	40.2 b	41.3 	39.7 	43.6 	41.6 	46.0 b	46.7 	43.9 	47.3 
