unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,CO,F4,LIAB,S11,AT	56.7 	57.8 	59.4 	60.6 	63.2 	68.3 	70.5 	69.6 	70.2 	66.5 	64.1 	62.7 	64.8 	67.2 	68.9 	67.9 	65.5 	64.6 	63.5 	61.5 	61.3 	60.5 	61.2 
PC_GDP,CO,F4,LIAB,S11,BE	51.8 	54.6 	57.6 	60.5 	66.4 	69.9 	70.3 	69.5 	73.9 	76.1 	74.5 	73.9 	83.6 	109.2 	107.8 	104.7 	114.8 	120.2 	99.6 	97.1 	109.5 	125.0 	113.0 
PC_GDP,CO,F4,LIAB,S11,BG	30.1 	50.3 	9.1 	8.6 	14.2 	23.7 	25.2 	27.7 	33.7 	45.7 	56.5 	70.5 	99.6 	103.9 	105.5 	105.1 	99.0 	100.5 	105.7 	97.2 	85.9 	79.9 	75.6 
PC_GDP,CO,F4,LIAB,S11,CY	254.3 	248.4 	245.9 	239.5 	226.1 	226.2 	198.4 	202.7 	188.4 	175.3 	176.9 	168.6 	169.1 	182.4 	193.5 	197.2 	200.0 	201.1 	211.9 	221.9 	225.7 	218.5 	208.3 
PC_GDP,CO,F4,LIAB,S11,CZ	51.6 	53.3 	61.1 	51.3 	48.7 	44.5 	38.3 	36.8 	30.8 	29.9 	29.1 	31.2 	31.5 	34.7 	32.6 	32.5 	32.2 	33.7 	34.4 	33.0 	30.9 	31.3 	31.3 
PC_GDP,CO,F4,LIAB,S11,DE	42.7 	44.4 	45.8 	47.3 	47.2 	49.6 	50.4 	49.3 	48.5 	45.7 	44.7 	44.4 	45.0 	45.2 	46.1 	42.5 	41.5 	40.7 	42.5 	39.5 	39.9 	39.8 	40.9 
PC_GDP,CO,F4,LIAB,S11,DK	53.0 	54.9 	52.8 	49.7 	52.7 	62.9 	68.7 	62.3 	64.0 	58.3 	65.0 	73.0 	75.6 	86.8 	83.3 	75.7 	75.4 	78.9 	74.0 	73.5 	74.9 	73.5 	67.1 
PC_GDP,CO,F4,LIAB,S11,EE	24.7 	28.0 	39.5 	44.7 	42.3 	42.8 	48.1 	47.6 	52.9 	58.0 	60.4 	69.0 	73.6 	81.8 	91.6 	82.8 	70.4 	69.6 	69.4 	70.3 	67.2 	65.9 	61.2 
PC_GDP,CO,F4,LIAB,S11,EL	29.4 	29.1 	28.9 	31.1 	33.4 	37.1 	40.7 	40.8 	41.4 	41.1 	44.6 	45.1 	47.0 	51.5 	53.3 	64.3 	65.1 	65.9 	65.0 	65.8 	65.0 	64.6 	60.6 
PC_GDP,CO,F4,LIAB,S11,ES	39.6 	39.5 	41.1 	44.1 	48.9 	55.2 	60.5 	63.8 	68.5 	73.1 	83.0 	98.7 	109.0 	112.6 	116.1 	115.7 	113.1 	105.6 	98.0 	91.1 	84.9 	80.1 	75.2 
