sex,age,unit,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y30-34,PC,ED5-8,AT	20.7 	21.1 b	20.9 	21.9 	23.4 	23.4 	23.6 	26.1 	27.1 	40.0 b	38.7 	40.1 	40.8 
T,Y30-34,PC,ED5-8,BE	39.1 	41.4 	41.5 	42.9 b	42.0 	44.4 	42.6 	43.9 	42.7 	43.8 b	42.7 	45.6 	45.9 b
T,Y30-34,PC,ED5-8,BG	24.9 	25.3 b	26.0 	27.1 	27.9 	28.0 b	27.3 	26.9 	29.4 	30.9 b	32.1 	33.8 	32.8 
T,Y30-34,PC,ED5-8,CH	33.4 	35.0 	36.5 	41.3 	43.4 	41.9 b	41.8 	42.3 	44.8 	47.2 b	49.3 	51.2 	52.8 
T,Y30-34,PC,ED5-8,CY	40.8 	46.1 	46.2 	47.1 	45.0 b	45.3 	46.2 	49.9 	47.8 	52.5 b	54.5 	53.4 	55.9 
T,Y30-34,PC,ED5-8,CZ	13.0 	13.1 	13.3 	15.4 	17.5 	20.4 	23.7 b	25.6 	26.7 	28.2 b	30.1 	32.8 	34.2 
T,Y30-34,PC,ED5-8,DE	26.1 b	25.8 	26.5 	27.7 	29.4 	29.7 b	30.6 	31.8 	32.9 	31.4 b	32.3 	33.2 	34.0 
T,Y30-34,PC,ED5-8,DK	43.1 	43.0 	38.1 b	39.2 	40.7 	41.2 	41.2 	43.0 	43.4 	44.9 b	47.6 	47.7 b	48.8 b
T,Y30-34,PC,ED5-8,EA18	29.2 	29.9 	31.0 	31.8 	32.6 	33.6 	34.1 	35.0 	35.9 	36.4 b	37.1 	37.4 	38.2 
T,Y30-34,PC,ED5-8,EA19	29.3 	30.0 	31.1 	31.9 	32.6 	33.7 	34.2 	35.1 	36.1 	36.5 b	37.3 	37.6 	38.4 
T,Y30-34,PC,ED5-8,EE	31.7 	32.5 	33.5 	34.4 	36.3 	40.2 	40.2 	39.5 	42.5 	43.2 b	45.3 	45.4 	48.4 
T,Y30-34,PC,ED5-8,EL	25.5 	26.9 	26.3 	25.7 	26.6 b	28.6 	29.1 	31.2 	34.9 	37.2 b	40.4 	42.7 	43.7 
T,Y30-34,PC,ED5-8,ES	39.9 b	39.4 	40.9 	41.3 	40.7 	42.0 	41.9 	41.5 	42.3 	42.3 b	40.9 	40.1 	41.2 
T,Y30-34,PC,ED5-8,EU27	28.2 	29.0 	30.2 	31.3 	32.4 	33.9 	34.9 	36.1 	37.2 	38.0 b	38.8 	39.2 	40.0 
T,Y30-34,PC,ED5-8,EU28	28.1 	29.0 	30.1 	31.2 	32.3 	33.8 	34.8 	36.0 	37.1 	37.9 b	38.7 	39.1 	39.9 
T,Y30-34,PC,ED5-8,FI	43.7 	46.2 	47.3 	45.7 	45.9 	45.7 	46.0 	45.8 	45.1 	45.3 b	45.5 	46.1 	44.6 
T,Y30-34,PC,ED5-8,FR	37.7 	39.7 	41.4 	41.0 	43.0 	43.2 	43.1 	43.3 	44.0 b	43.7 b	45.0 	43.6 	44.3 
T,Y30-34,PC,ED5-8,HR	17.4 	16.7 	16.8 	18.5 	21.3 	24.5 b	23.9 	23.1 	25.6 	32.1 b	30.8 	29.3 	28.7 
T,Y30-34,PC,ED5-8,HU	17.9 	19.4 	20.6 	22.8 	24.0 	26.1 	28.2 	29.8 	32.3 	34.1 b	34.3 	33.0 	32.1 
T,Y30-34,PC,ED5-8,IE	39.2 	41.3 	44.3 b	47.1 	49.6 	50.6 	50.2 	51.4 	52.7 	52.2 b	51.9 	52.5 	53.5 b
T,Y30-34,PC,ED5-8,IS	41.1 	36.4 u	36.3 	38.3 	41.7 	40.9 	44.6 	42.8 	43.9 	46.4 b	47.1 	48.8 	53.7 
T,Y30-34,PC,ED5-8,IT	17.1 	17.6 	18.6 	19.2 	19.0 	19.9 	20.4 	21.9 	22.5 	23.9 b	25.3 	26.2 	26.9 
T,Y30-34,PC,ED5-8,LT	37.7 	39.4 	36.4 	39.9 	40.4 	43.8 	45.7 	48.6 	51.3 	53.3 b	57.6 	58.7 	58.0 
T,Y30-34,PC,ED5-8,LU	37.6 	35.5 	35.3 b	39.8 	46.6 b	46.1 	48.2 	49.6 	52.5 	52.7 b	52.3 b	54.6 u	52.7 u
T,Y30-34,PC,ED5-8,LV	18.5 	19.3 	25.7 	26.3 	30.5 	32.6 	35.9 	37.2 	40.7 	39.9 b	41.3 	42.8 	43.8 
T,Y30-34,PC,ED5-8,ME	: 	: 	: 	: 	: 	: 	24.1 	24.2 	26.8 	28.3 b	31.0 	33.9 	34.0 
T,Y30-34,PC,ED5-8,MK	: 	11.6 	12.2 	12.4 	14.3 	17.1 	20.4 	21.7 	23.1 	24.9 b	28.6 	29.1 	30.6 
T,Y30-34,PC,ED5-8,MT	17.6 b	20.7 	20.8 	21.0 	21.9 	22.1 	23.4 b	26.3 	28.7 	28.6 b	29.1 	32.0 	33.5 
T,Y30-34,PC,ED5-8,NL	34.9 	35.8 	36.4 	40.2 	40.5 	41.4 b	41.2 b	42.2 	43.2 b	44.8 b	46.3 	45.7 	47.9 
T,Y30-34,PC,ED5-8,NO	39.4 	41.9 b	43.7 	46.2 	47.0 	47.3 	48.8 	47.6 	48.8 	52.1 b	50.9 	50.1 	49.0 
T,Y30-34,PC,ED5-8,PL	22.7 	24.7 	27.0 	29.7 	32.8 	34.8 b	36.5 	39.1 	40.5 	42.1 b	43.4 	44.6 	45.7 
T,Y30-34,PC,ED5-8,PT	17.5 	18.3 	19.5 	21.6 	21.3 	24.0 	26.7 b	27.8 	30.0 	31.3 b	31.9 	34.6 	33.5 
T,Y30-34,PC,ED5-8,RO	11.4 	12.4 	13.9 	16.0 	16.8 	18.3 b	20.3 	21.7 	22.9 	25.0 b	25.6 	25.6 	26.3 
T,Y30-34,PC,ED5-8,SE	37.6 b	39.5 b	41.0 	42.0 	43.9 	45.3 	46.8 	47.9 	48.3 	49.9 b	50.2 	51.0 	51.3 
T,Y30-34,PC,ED5-8,SI	24.6 	28.1 	31.0 	30.9 	31.6 	34.8 	37.9 	39.2 	40.1 	41.0 b	43.4 	44.2 	46.4 
T,Y30-34,PC,ED5-8,SK	14.3 	14.4 	14.8 	15.8 	17.6 	22.1 	23.2 b	23.7 	26.9 	26.9 b	28.4 	31.5 	34.3 
T,Y30-34,PC,ED5-8,TR	: 	11.9 	12.3 	13.0 	14.7 	15.5 	16.3 	18.0 	19.5 	21.5 b	23.6 	26.5 	27.3 
T,Y30-34,PC,ED5-8,UK	34.5 	36.4 	38.3 b	39.5 b	41.4 	43.1 b	45.5 b	46.9 	47.4 	47.7 b	47.9 	48.2 	48.3 
