unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_1Y,NL	2.6 	-3.4 	-4.7 	1.3 	0.2 	-3.5 	3.6 	3.0 	4.5 	0.2 	-1.5 	-0.8 	0.2 	0.6 	1.9 	-3.9 	-0.3 	-1.8 	2.7 	-0.1 	-3.3 	1.2 	0.5 
PCH_1Y,PL	4.8 	6.1 	2.2 	9.1 	-1.5 	9.7 	11.9 	-4.4 	-10.9 	-1.1 	11.2 	1.5 	3.1 	8.8 	-14.5 	6.1 	-2.3 	-2.2 	0.2 	1.0 	-2.5 	-3.5 	2.7 
PCH_1Y,PT	3.1 	0.0 	-2.8 	0.2 	0.2 	-2.7 	2.7 	2.6 	5.0 	1.2 	-0.9 	0.4 	1.0 	0.6 	-0.6 	-3.1 	0.7 	-1.6 	0.3 	-0.5 	-2.9 	1.6 	0.6 
PCH_1Y,RO	-4.8 	-10.2 	17.5 	31.1 	-13.5 	12.3 	1.7 	0.4 	-2.9 	1.9 	17.7 	6.7 	8.3 	-5.4 	-7.2 	1.5 	2.9 	-6.1 	4.0 	1.4 	-2.5 	-1.3 	-1.8 
PCH_1Y,SE	-0.3 	6.9 	-4.9 	-1.1 	-1.2 	-2.5 	-8.1 	2.6 	7.2 	1.3 	-4.4 	-0.7 	0.9 	-2.5 	-7.1 	6.7 	4.1 	-0.7 	1.7 	-4.6 	-5.4 	0.8 	-0.7 
PCH_1Y,SI	8.3 	-5.5 	-0.1 	5.7 	1.0 	-2.9 	-0.4 	2.0 	3.1 	-0.5 	-1.8 	-0.7 	1.3 	1.6 	2.3 	-2.6 	-0.7 	-1.2 	1.4 	1.1 	-2.0 	0.5 	-0.4 
PCH_1Y,SK	2.4 	-0.5 	4.7 	2.3 	-1.9 	10.1 	1.7 	2.5 	12.9 	9.8 	2.5 	5.0 	9.7 	8.5 	6.8 	-4.3 	1.1 	0.1 	1.0 	0.2 	-2.2 	0.5 	-0.2 
PCH_1Y,UK	-4.5 	1.0 	15.2 	5.2 	0.4 	0.4 	-2.8 	0.0 	-4.4 	3.7 	-2.2 	0.3 	1.6 	-13.1 	-9.3 	1.1 	0.5 	4.4 	-1.5 	7.1 	5.0 	-10.9 	-4.6 
PCH_3Y,AT	: 	: 	-5.8 	-7.2 	-4.9 	-4.3 	-4.9 	-3.7 	3.5 	4.4 	2.5 	-1.7 	-1.8 	-0.1 	2.0 	-2.0 	-1.8 	-4.7 	0.8 	1.9 	1.4 	1.0 	0.3 
PCH_3Y,BE	: 	: 	-5.4 	-7.7 	-5.6 	-4.0 	-3.7 	-2.1 	5.9 	6.2 	4.9 	0.5 	0.2 	3.4 	4.0 	0.5 	-1.5 	-4.3 	-0.2 	-0.6 	-1.6 	-0.3 	0.9 
PCH_3Y,BG	: 	: 	15.6 	19.8 	56.5 	24.2 	11.9 	12.1 	13.2 	11.2 	8.3 	9.2 	9.8 	18.5 	18.3 	9.7 	1.9 	-4.0 	-0.9 	-2.8 	-4.2 	-4.7 	-3.3 
PCH_3Y,CY	: 	: 	-9.3 	-0.3 	3.5 	4.8 	-3.0 	-1.6 	8.2 	9.6 	7.0 	0.1 	-1.3 	2.3 	3.6 	0.0 	-3.0 	-5.9 	-0.8 	-1.7 	-6.1 	-7.4 	-6.6 
PCH_3Y,CZ	: 	: 	8.8 	15.5 	8.4 	10.1 	6.7 	19.3 	14.8 	8.9 	3.3 	10.2 	12.4 	23.1 	13.6 	12.1 	-0.5 	0.5 	-3.0 	-10.0 	-8.0 	-3.6 	5.4 
PCH_3Y,DE	: 	: 	-7.5 	-10.2 	-7.1 	-7.6 	-8.3 	-6.1 	5.8 	7.4 	4.5 	-1.5 	-1.5 	0.9 	2.9 	-3.7 	-4.8 	-9.0 	-1.8 	-0.4 	-2.1 	-2.6 	-2.5 
PCH_3Y,DK	: 	: 	-2.0 	-3.6 	-1.8 	-2.7 	-3.3 	-1.6 	8.5 	7.6 	4.1 	-1.6 	-1.3 	2.2 	5.5 	0.2 	-2.5 	-7.8 	-2.5 	-1.2 	-1.6 	-1.7 	-2.1 
PCH_3Y,EE	: 	: 	24.4 	22.4 	20.6 	15.7 	3.9 	0.7 	8.6 	7.2 	5.8 	3.5 	6.5 	12.6 	13.6 	4.6 	-0.8 	-3.6 	3.1 	4.8 	5.9 	4.4 	2.9 
PCH_3Y,EL	: 	: 	2.1 	-0.4 	-0.5 	-7.2 	-5.5 	-5.5 	9.0 	10.2 	6.4 	0.3 	-0.4 	2.4 	4.8 	2.8 	1.8 	-5.0 	-4.4 	-5.6 	-5.6 	-4.0 	-2.8 
PCH_3Y,ES	: 	: 	-2.5 	-3.1 	-4.1 	-1.8 	-1.4 	1.0 	10.0 	10.7 	7.7 	3.1 	2.7 	5.2 	4.6 	-0.3 	-2.5 	-5.3 	-0.3 	-1.0 	-3.1 	-4.3 	-2.5 
PCH_3Y,FI	: 	: 	-5.0 	-9.2 	-3.3 	-3.4 	-4.2 	-2.8 	8.1 	6.7 	1.6 	-5.6 	-5.0 	-0.4 	5.0 	-1.3 	-2.8 	-8.3 	0.2 	2.7 	2.2 	0.5 	-2.6 
PCH_3Y,FR	: 	: 	-3.7 	-4.9 	-6.0 	-6.6 	-7.4 	-4.0 	7.7 	9.3 	5.9 	-0.5 	-1.6 	1.5 	2.6 	-2.2 	-4.4 	-7.8 	-2.2 	-1.3 	-2.8 	-3.1 	-2.9 
PCH_3Y,HR	: 	: 	0.6 	1.9 	2.2 	0.8 	-1.7 	2.4 	6.0 	4.2 	2.7 	2.7 	1.9 	5.6 	5.9 	1.8 	-4.7 	-8.4 	-3.9 	-0.8 	0.2 	0.1 	0.0 
PCH_3Y,HU	: 	: 	-2.1 	6.0 	9.7 	5.8 	12.8 	19.5 	20.2 	18.1 	9.0 	1.7 	6.5 	7.9 	7.7 	-1.3 	-4.2 	-0.8 	-3.8 	-6.8 	-7.1 	-5.1 	0.1 
PCH_3Y,IE	: 	: 	2.6 	-0.5 	-3.7 	-7.5 	-2.1 	4.4 	18.3 	18.4 	12.1 	2.7 	3.0 	7.3 	5.2 	-5.4 	-9.6 	-12.2 	-3.8 	-3.6 	-6.4 	-7.0 	-6.2 
PCH_3Y,IT	: 	: 	1.2 	10.5 	-0.2 	-4.1 	-4.9 	-2.2 	9.8 	10.9 	6.7 	-0.5 	-1.2 	1.9 	3.6 	-1.9 	-3.2 	-6.2 	0.1 	0.2 	-2.4 	-3.3 	-3.1 
PCH_3Y,LT	: 	: 	48.3 	52.3 	46.2 	36.3 	19.0 	10.7 	5.2 	4.2 	-0.3 	-2.6 	0.8 	8.9 	16.7 	7.2 	1.7 	-6.7 	-0.6 	1.7 	4.3 	5.3 	2.3 
PCH_3Y,LU	: 	: 	-5.4 	-8.3 	-5.5 	-1.7 	-1.4 	0.0 	5.1 	6.5 	6.6 	3.4 	2.4 	3.4 	3.8 	1.2 	0.1 	-2.4 	0.8 	0.5 	-0.6 	-1.4 	-0.9 
PCH_3Y,LV	: 	: 	18.5 	19.9 	27.1 	26.4 	15.0 	2.4 	-7.7 	-6.6 	-5.4 	1.7 	7.6 	20.7 	23.5 	6.7 	-2.4 	-8.6 	-1.7 	0.4 	2.6 	4.9 	1.7 
PCH_3Y,MT	: 	: 	5.4 	7.8 	7.4 	2.8 	-0.3 	1.9 	7.2 	9.0 	5.9 	2.8 	1.2 	5.9 	5.9 	-0.7 	-5.0 	-7.6 	-1.2 	0.1 	-2.7 	-2.8 	-2.3 
PCH_3Y,NL	: 	: 	-5.6 	-6.8 	-3.3 	-2.0 	0.2 	2.9 	11.4 	7.8 	3.2 	-2.1 	-2.1 	-0.1 	2.7 	-1.5 	-2.4 	-6.0 	0.5 	0.7 	-0.8 	-2.2 	-1.6 
PCH_3Y,PL	: 	: 	13.7 	18.4 	9.9 	17.9 	20.9 	17.3 	-4.7 	-15.8 	-2.0 	11.5 	16.3 	13.9 	-4.1 	-1.3 	-11.4 	1.4 	-4.3 	-1.0 	-1.3 	-5.0 	-3.4 
PCH_3Y,PT	: 	: 	0.2 	-2.6 	-2.4 	-2.3 	0.1 	2.5 	10.5 	9.0 	5.3 	0.7 	0.6 	2.1 	1.1 	-3.1 	-3.0 	-4.0 	-0.6 	-1.8 	-3.0 	-1.8 	-0.7 
PCH_3Y,RO	: 	: 	0.4 	38.3 	33.3 	27.3 	-1.2 	14.7 	-0.8 	-0.6 	16.5 	27.9 	36.0 	9.4 	-4.9 	-10.9 	-3.2 	-2.0 	0.5 	-1.0 	2.8 	-2.5 	-5.5 
PCH_3Y,SE	: 	: 	1.3 	0.4 	-7.1 	-4.7 	-11.4 	-8.0 	1.1 	11.4 	3.7 	-3.8 	-4.1 	-2.2 	-8.5 	-3.3 	3.2 	10.3 	5.1 	-3.7 	-8.2 	-9.1 	-5.4 
PCH_3Y,SI	: 	: 	2.2 	-0.3 	6.6 	3.7 	-2.3 	-1.4 	4.7 	4.7 	0.8 	-2.9 	-1.2 	2.2 	5.2 	1.2 	-1.1 	-4.5 	-0.6 	1.2 	0.4 	-0.5 	-2.0 
PCH_3Y,SK	: 	: 	6.7 	6.6 	5.1 	10.4 	9.7 	14.7 	17.7 	27.1 	27.1 	18.2 	18.0 	25.0 	27.1 	11.0 	3.4 	-3.2 	2.1 	1.2 	-1.1 	-1.5 	-1.9 
PCH_3Y,UK	: 	: 	11.1 	22.3 	21.6 	6.0 	-2.0 	-2.3 	-7.0 	-0.8 	-3.0 	1.7 	-0.4 	-11.5 	-19.9 	-20.4 	-7.8 	6.0 	3.4 	10.1 	10.8 	0.2 	-10.7 
