unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_WRL,G,CRE,WRL_REST,RO	: 	: 	: 	: 	0.13 	0.07 	0.08 	0.10 	0.10 	0.12 	0.14 	0.15 	0.22 	0.25 	0.27 	0.29 	0.31 	0.28 	0.31 	0.33 	0.34 	0.37 	0.37 
PC_WRL,G,CRE,WRL_REST,SE	1.62 	1.62 	1.55 	1.61 	1.55 	1.44 	1.34 	1.33 	1.41 	1.40 	1.31 	1.30 	1.32 	1.26 	1.13 	1.12 	1.10 	1.02 	0.96 	0.96 	0.94 	0.97 	0.95 
PC_WRL,G,CRE,WRL_REST,SI	0.15 	0.14 	0.14 	0.15 	0.14 	0.13 	0.14 	0.15 	0.16 	0.17 	0.17 	0.18 	0.20 	0.19 	0.19 	0.17 	0.16 	0.15 	0.16 	0.16 	0.16 	0.18 	0.18 
PC_WRL,G,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.37 	0.37 	0.42 	0.46 	0.45 	0.44 	0.41 	0.42 	0.43 	0.45 	0.45 	0.44 	0.47 	0.46 
PC_WRL,G,CRE,WRL_REST,UK	: 	: 	5.07 	5.00 	4.81 	4.50 	4.46 	4.39 	4.13 	3.88 	3.73 	3.75 	3.26 	2.98 	2.91 	2.77 	2.72 	2.62 	2.53 	2.59 	2.71 	2.57 	2.51 
PC_WRL,GS,CRE,WRL_REST,AT	1.22 	1.19 	1.14 	1.23 	1.21 	1.08 	1.16 	1.21 	1.26 	1.26 	1.21 	1.18 	1.23 	1.20 	1.18 	1.06 	1.03 	0.96 	0.98 	0.99 	0.96 	1.00 	0.99 
PC_WRL,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	2.36 	2.42 	2.29 	2.36 	2.33 	2.23 	2.08 	2.13 	2.10 	2.12 	1.98 	1.92 	1.80 	1.83 	1.84 	1.74 	1.88 	1.87 
PC_WRL,GS,CRE,WRL_REST,BG	: 	: 	: 	0.09 	0.08 	0.09 	0.10 	0.10 	0.11 	0.12 	0.13 	0.14 	0.15 	0.15 	0.15 	0.14 	0.15 	0.14 	0.15 	0.16 	0.15 	0.16 	0.17 
PC_WRL,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	0.10 e	0.09 e	0.10 e	0.09 e	0.08 e	0.07 e	0.08 e	0.07 	0.08 	0.07 	0.07 	0.06 	0.06 	0.06 	0.06 	0.06 	0.06 
PC_WRL,GS,CRE,WRL_REST,CZ	0.38 	0.38 	0.36 	0.41 	0.39 	0.37 	0.43 	0.46 	0.50 	0.61 	0.66 	0.68 	0.73 	0.77 	0.77 	0.73 	0.73 	0.70 	0.69 	0.72 	0.72 	0.75 	0.76 
PC_WRL,GS,CRE,WRL_REST,DE	8.64 	8.40 	8.18 	8.75 	8.41 	7.64 	8.15 	8.46 	8.76 	8.83 	8.37 	8.32 	8.64 	8.36 	8.24 	7.72 	7.56 	7.21 	7.32 	7.50 	7.51 	7.76 	7.67 
PC_WRL,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	1.02 	1.02 	0.98 	0.97 	0.97 	0.96 	0.98 	0.97 	0.87 	0.83 	0.79 	0.81 	0.81 	0.80 	0.81 	0.79 
PC_WRL,GS,CRE,WRL_REST,EE	0.04 	0.04 	0.05 	0.06 	0.06 	0.04 	0.05 	0.05 	0.06 	0.07 	0.07 	0.07 	0.08 	0.08 	0.08 	0.08 	0.09 	0.09 	0.09 	0.09 	0.08 	0.09 	0.09 
PC_WRL,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	0.40 e	0.38 	0.40 	0.44 	0.41 	0.39 	0.42 	0.42 	0.40 	0.35 	0.33 	0.31 	0.31 	0.32 	0.28 	0.26 	0.28 
PC_WRL,GS,CRE,WRL_REST,ES	2.09 	2.15 	2.19 	2.38 	2.36 	2.17 	2.29 	2.33 	2.48 	2.38 	2.21 	2.11 	2.22 	2.12 	2.17 	1.96 	1.93 	1.82 	1.88 	1.90 	1.88 	1.99 	1.99 
PC_WRL,GS,CRE,WRL_REST,FI	0.73 	0.70 	0.68 	0.74 	0.69 	0.68 	0.68 	0.69 	0.69 	0.67 	0.64 	0.63 	0.66 	0.66 	0.58 	0.51 	0.48 	0.45 	0.45 	0.43 	0.40 	0.41 	0.43 
PC_WRL,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	5.70 	4.96 	5.14 	5.22 	5.22 	4.95 	4.62 	4.41 	4.36 	4.25 	4.27 	3.83 	3.73 	3.56 	3.65 	3.65 	3.69 	3.78 	3.66 
PC_WRL,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	0.10 	0.11 	0.12 	0.15 	0.15 	0.14 	0.13 	0.14 	0.14 	0.14 	0.12 	0.11 	0.10 	0.11 	0.11 	0.11 	0.12 	0.12 
PC_WRL,GS,CRE,WRL_REST,HU	0.28 	0.28 	0.32 	0.37 	0.38 	0.40 	0.45 	0.48 	0.51 	0.55 	0.55 	0.56 	0.62 	0.64 	0.62 	0.57 	0.55 	0.49 	0.50 	0.52 	0.52 	0.55 	0.54 
PC_WRL,GS,CRE,WRL_REST,IE	0.83 	0.86 	0.88 	1.11 	1.21 	1.20 	1.36 	1.45 	1.42 	1.38 	1.31 	1.23 	1.27 	1.19 	1.40 	1.22 	1.11 	1.07 	1.06 	1.20 	1.69 	1.76 	1.75 
PC_WRL,GS,CRE,WRL_REST,IT	5.04 	4.72 	4.32 	4.49 	4.10 	3.72 	3.92 	3.87 	3.93 	3.82 	3.54 	3.43 	3.53 	3.31 	3.14 	2.87 	2.77 	2.63 	2.64 	2.66 	2.60 	2.68 	2.68 
PC_WRL,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	0.08 e	0.09 e	0.10 e	0.09 	0.11 	0.11 	0.12 	0.14 	0.12 	0.13 	0.15 	0.15 	0.17 	0.17 	0.15 	0.15 	0.17 
PC_WRL,GS,CRE,WRL_REST,LU	0.33 	0.32 	0.32 	0.35 	0.38 	0.37 	0.38 	0.38 	0.40 	0.43 	0.43 	0.45 	0.48 	0.47 	0.48 	0.44 	0.43 	0.43 	0.50 	0.55 	0.56 	0.57 	0.54 
PC_WRL,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	0.03 	0.03 	0.04 	0.04 	0.05 	0.06 	0.06 	0.07 	0.07 	0.07 	0.07 	0.07 	0.08 	0.08 	0.08 	0.08 	0.08 	0.08 
PC_WRL,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	0.06 	0.06 	0.05 	0.06 	0.06 	0.07 	0.08 	0.07 	0.07 	0.07 	0.07 	0.07 	0.07 	0.08 	0.08 
PC_WRL,GS,CRE,WRL_REST,NL	3.88 	3.74 	3.63 	3.81 	3.76 	3.49 	3.57 	3.53 	3.66 	3.65 	3.50 	3.39 	3.45 	3.44 	3.45 	3.22 	3.10 	3.00 	3.05 	3.06 	3.00 	3.01 	3.04 
PC_WRL,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	0.58 e	0.62 e	0.69 e	0.78 	0.82 	0.88 	0.97 	1.04 	1.04 	1.03 	1.01 	0.98 	1.04 	1.09 	1.12 	1.19 	1.26 
PC_WRL,GS,CRE,WRL_REST,PT	: 	0.48 	0.45 	0.50 	0.48 	0.43 	0.44 	0.45 	0.48 	0.46 	0.41 	0.42 	0.44 	0.42 	0.42 	0.38 	0.38 	0.37 	0.39 	0.40 	0.39 	0.41 	0.42 
PC_WRL,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	0.13 	0.10 	0.12 	0.14 	0.15 	0.17 	0.19 	0.20 	0.25 	0.29 	0.29 	0.29 	0.30 	0.28 	0.33 	0.35 	0.35 	0.38 	0.39 
PC_WRL,GS,CRE,WRL_REST,SE	1.54 	1.54 	1.48 	1.54 	1.52 	1.42 	1.36 	1.35 	1.41 	1.42 	1.35 	1.34 	1.37 	1.31 	1.20 	1.18 	1.17 	1.10 	1.08 	1.08 	1.07 	1.09 	1.05 
PC_WRL,GS,CRE,WRL_REST,SI	0.16 	0.15 	0.14 	0.15 	0.14 	0.13 	0.14 	0.15 	0.16 	0.17 	0.17 	0.17 	0.19 	0.19 	0.18 	0.16 	0.16 	0.15 	0.15 	0.16 	0.16 	0.17 	0.18 
PC_WRL,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	0.25 e	0.31 e	0.35 	0.35 	0.38 	0.42 	0.41 	0.38 	0.36 	0.37 	0.38 	0.40 	0.39 	0.38 	0.40 	0.40 
PC_WRL,GS,CRE,WRL_REST,UK	: 	: 	5.66 	5.68 	5.59 	5.22 	5.26 	5.25 	5.14 	4.97 	4.84 	4.85 	4.48 	3.99 	4.00 	3.69 	3.60 	3.54 	3.51 	3.61 	3.77 	3.64 	3.50 
PC_WRL,S,CRE,WRL_REST,AT	1.90 	1.82 	1.60 	1.67 	1.63 	1.50 	1.55 	1.59 	1.72 	1.65 	1.63 	1.59 	1.57 	1.61 	1.54 	1.37 	1.35 	1.29 	1.35 	1.34 	1.21 	1.24 	1.26 
PC_WRL,S,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	2.48 	2.57 	2.45 	2.53 	2.46 	2.34 	2.17 	2.21 	2.48 	2.63 	2.57 	2.41 	2.38 	2.37 	2.44 	2.32 	2.30 	2.26 
PC_WRL,S,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.24 	0.25 	0.24 	0.17 	0.17 	0.17 	0.16 	0.18 	0.16 	0.17 	0.17 
PC_WRL,S,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.27 	0.26 	0.24 	0.24 	0.21 	0.22 	0.21 	0.19 	0.21 	0.21 
PC_WRL,S,CRE,WRL_REST,CZ	0.67 	0.67 	0.60 	0.65 	0.68 	0.65 	0.66 	0.63 	0.61 	0.56 	0.51 	0.54 	0.54 	0.61 	0.59 	0.57 	0.57 	0.54 	0.50 	0.49 	0.47 	0.49 	0.51 
PC_WRL,S,CRE,WRL_REST,DE	5.94 	5.79 	5.85 	6.06 	5.88 	5.51 	5.64 	6.23 	6.24 	6.49 	6.29 	6.29 	6.07 	6.18 	6.33 	5.95 	5.77 	5.64 	5.72 	5.86 	5.65 	5.77 	5.80 
PC_WRL,S,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.73 	1.85 	1.81 	1.90 	1.63 	1.61 	1.54 	1.51 	1.50 	1.43 	1.32 	1.27 	1.26 
PC_WRL,S,CRE,WRL_REST,EE	0.07 	0.09 	0.10 	0.12 	0.11 	0.11 	0.11 	0.11 	0.13 	0.13 	0.14 	0.13 	0.14 	0.15 	0.13 	0.12 	0.13 	0.13 	0.14 	0.14 	0.12 	0.12 	0.13 
PC_WRL,S,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	1.22 	1.29 	1.46 	1.34 	1.24 	1.24 	1.28 	1.07 	0.99 	0.91 	0.79 	0.78 	0.81 	0.63 	0.56 	0.60 
PC_WRL,S,CRE,WRL_REST,ES	3.29 	3.30 	3.28 	3.57 	3.70 	3.51 	3.70 	3.68 	3.92 	3.70 	3.64 	3.59 	3.44 	3.37 	3.20 	2.96 	2.99 	2.74 	2.65 	2.61 	2.41 	2.55 	2.61 
PC_WRL,S,CRE,WRL_REST,FI	0.64 	0.59 	0.54 	0.58 	0.54 	0.55 	0.65 	0.68 	0.65 	0.71 	0.72 	0.41 	0.40 	0.60 	0.57 	0.54 	0.55 	0.55 	0.55 	0.51 	0.53 	0.54 	0.56 
PC_WRL,S,CRE,WRL_REST,FR	: 	: 	: 	: 	7.48 	6.42 	6.66 	6.95 	6.81 	6.35 	6.18 	5.94 	5.82 	5.90 	5.75 	5.46 	5.57 	5.45 	5.61 	5.60 	5.22 	5.25 	5.19 
PC_WRL,S,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	0.30 	0.35 	0.35 	0.47 	0.43 	0.41 	0.38 	0.37 	0.40 	0.36 	0.31 	0.30 	0.28 	0.27 	0.27 	0.26 	0.27 	0.28 
PC_WRL,S,CRE,WRL_REST,HU	0.50 	0.53 	0.51 	0.49 	0.47 	0.49 	0.56 	0.53 	0.55 	0.50 	0.50 	0.47 	0.49 	0.52 	0.53 	0.51 	0.51 	0.46 	0.47 	0.49 	0.46 	0.49 	0.51 
PC_WRL,S,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	1.86 	2.29 	2.24 	2.23 	2.30 	2.34 	2.32 	2.43 	2.41 	2.44 	2.46 	2.43 	2.59 	2.72 	3.01 	3.40 
PC_WRL,S,CRE,WRL_REST,IT	5.27 	4.81 	4.65 	4.73 	4.26 	3.93 	3.98 	3.84 	3.94 	3.85 	3.63 	3.55 	3.35 	2.97 	2.76 	2.64 	2.52 	2.43 	2.34 	2.23 	2.00 	2.02 	2.10 
PC_WRL,S,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.12 	0.12 	0.13 	0.12 	0.13 	0.12 	0.12 	0.13 	0.14 	0.15 	0.15 	0.14 	0.15 	0.18 
PC_WRL,S,CRE,WRL_REST,LU	1.03 	1.05 	1.05 	1.11 	1.27 	1.38 	1.33 	1.31 	1.41 	1.53 	1.60 	1.74 	1.83 	1.74 	1.64 	1.63 	1.66 	1.69 	1.88 	2.01 	2.01 	1.97 	1.94 
PC_WRL,S,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	0.07 	0.07 	0.07 	0.09 	0.09 	0.10 	0.11 	0.13 	0.14 	0.13 	0.11 	0.11 	0.11 	0.11 	0.11 	0.10 	0.10 	0.11 
PC_WRL,S,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.16 	0.16 	0.18 	0.19 	0.25 	0.28 	0.26 	0.26 	0.25 	0.25 	0.26 	0.24 	0.26 	0.26 
PC_WRL,S,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.77 	3.60 	3.33 	3.25 	3.38 	3.40 	3.26 	3.14 	2.96 	3.00 	3.06 	3.44 	3.18 	3.17 
PC_WRL,S,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.67 	0.72 	0.78 	0.91 	0.98 	0.89 	0.93 	0.93 	0.92 	0.93 	0.95 	0.92 	1.00 	1.10 
PC_WRL,S,CRE,WRL_REST,PT	: 	0.64 	0.61 	0.69 	0.65 	0.62 	0.62 	0.63 	0.65 	0.65 	0.60 	0.64 	0.67 	0.66 	0.64 	0.60 	0.61 	0.58 	0.61 	0.61 	0.57 	0.60 	0.64 
PC_WRL,S,CRE,WRL_REST,RO	: 	: 	: 	: 	0.15 	0.23 	0.28 	0.30 	0.33 	0.36 	0.38 	0.43 	0.38 	0.42 	0.34 	0.27 	0.28 	0.28 	0.37 	0.39 	0.38 	0.40 	0.44 
PC_WRL,S,CRE,WRL_REST,SE	1.22 	1.23 	1.22 	1.26 	1.38 	1.37 	1.42 	1.42 	1.40 	1.50 	1.51 	1.51 	1.54 	1.53 	1.43 	1.41 	1.49 	1.45 	1.55 	1.50 	1.49 	1.47 	1.39 
PC_WRL,S,CRE,WRL_REST,SI	0.20 	0.19 	0.17 	0.17 	0.15 	0.13 	0.14 	0.15 	0.16 	0.16 	0.16 	0.16 	0.17 	0.19 	0.17 	0.16 	0.16 	0.15 	0.15 	0.14 	0.13 	0.14 	0.15 
PC_WRL,S,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.26 	0.25 	0.26 	0.25 	0.24 	0.19 	0.17 	0.17 	0.17 	0.19 	0.18 	0.17 	0.19 	0.20 
PC_WRL,S,CRE,WRL_REST,UK	: 	: 	8.08 	8.35 	8.69 	8.26 	8.45 	8.60 	9.14 	9.31 	9.34 	9.41 	9.25 	8.02 	7.78 	7.28 	7.21 	7.27 	7.30 	7.32 	7.27 	7.02 	6.76 
