unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,AT	1183.2 	1202.37 	1291.16 	1392.31 	1449.57 	1523.82 	1750.34 	1721.99 	1626.17 	1711.29 	1770.51 	1800.32 	1862.96 	1913.52 e	1961.19 e	2001.61 be	2025.15 e	2029.62 e
NR,BE	1312.92 	1215.1 	1334.82 	1363.15 	1519.57 	1519.14 	1542.08 	1564.96 	1501.39 	1418.15 	1515.06 	1516.51 	1506.64 	1536.14 e	1543.17 e	1569.72 be	1589.1 e	1655.44 e
NR,BG	7.43 	15.98 	14.63 	21.28 	17.63 	23.32 	27.13 	12.17 	18.65 	15.83 	16.97 	26.38 	33.82 	39.82 e	47.44 e	31.88 be	31.06 e	29.33 e
NR,BR	116.06 	140.93 	133.97 	176.66 	196 	207.16 	225.92 	270.47 	287.77 	259.31 	226.5 	251.56 	254.18 	252.47 e	261.13 e	: 	: 	: 
NR,CA	1690.14 	1759.83 	1829.83 	1951.42 	2304.58 	2489.03 	2447.18 	2358 	2167.34 	2292.88 	2354.9 	2233.28 	2283.03 	2279.75 e	2254.7 e	: 	: 	: 
NR,CH	2725.69 	2816.04 	2668.29 	2795.38 	3075.89 	3220.65 	3228.82 	3274.48 	3167.75 	3149.01 	3356.34 	3289.59 	3241.89 	3272.85 e	3245.02 e	: 	: 	: 
NR,CY	6.2 	14.78 	6.92 	5.03 	6 	16.79 	6.33 	10.33 	11.25 	15.23 	7.67 	5.63 	2.5 	7.94 e	8.03 e	8.76 be	9.32 e	9.08 e
NR,CZ	66.58 	71.32 	91.13 	110.91 	112.21 	107.59 	152.93 	189.28 	209.64 	176.14 	192.59 	222.84 	231.97 	250.58 e	269.91 e	295.4 be	318.67 e	357.38 e
NR,DE	22115.65 	21938.82 	21876.86 	22215.53 	23134.64 	24065.28 	24149.14 	24396.57 	23173.05 	23439.61 	23443.84 	22963.17 	21930.26 	21427.14 e	20754.91 e	21030.44 be	20138.13 e	18881.7 e
NR,DK	983.61 	929.02 	966.11 	1116.14 	1113.67 	1193.59 	1140.05 	1310.81 	1306.68 	1202.07 	1289.44 	1466.53 	1318.17 	1356.87 e	1379.35 e	1362.08 be	1372.4 e	1417.73 e
NR,EA18	42177.53 	42470.09 	42595.2 	43795.19 	46133.73 	47540.74 	48423.53 	48308.87 	47051.01 	46986.05 	46655.62 	46985.04 	46130.39 	45845.17 e	45575.02 e	46010.73 be	44850.64 e	43549.64 e
NR,EA19	42182.22 	42473.24 	42597.85 	43812.04 	46144.85 	47549.54 	48433.2 	48318.66 	47067.88 	46994.36 	46671.52 	47003.89 	46162.94 	45885.8 e	45623.89 e	46035.23 be	44869.78 e	43571.2 e
NR,EE	4.58 	9.17 	5.7 	11.4 	8.52 	6.37 	21.22 	28.22 	35.27 	44.95 	38.93 	27.9 	23.68 	27.91 e	24.24 e	38.32 be	33.01 e	36.31 e
NR,EL	56.37 	71.1 	76.95 	85.15 	66.28 	110.57 	105.88 	103.77 	94.1 	92.45 	65.5 	85.25 	101.56 	104.6 e	117.63 e	97.2 be	92.14 e	90.25 e
NR,ES	803.12 	878.07 	935.07 	962.82 	1217.4 	1363.63 	1351.62 	1388.27 	1443.53 	1532.81 	1511.17 	1480.28 	1517.85 	1512.86 e	1513.42 e	1628.73 be	1641.48 e	1654.56 e
NR,EU28	51757.05 	51444.67 	51540.89 	52980.05 	55479.68 	57208.93 	58407.51 	58578.25 	57049.74 	56815.26 	56769.59 	57445.66 	56771.67 	56757.14 e	56752.99 e	57237.39 be	55984.19 e	54648.82 e
NR,FI	1435.21 	1411.71 	1293.67 	1295.99 	1409.82 	1343.79 	1351.24 	1276.95 	1266.23 	1316.14 	1392.06 	1347.18 	1637.88 	1745.13 e	1862.82 e	1384.73 be	1314.93 e	1296.99 e
NR,FR	7314.08 	7303.73 	7450.67 	7957.81 	8349.82 	8390.24 	8508.92 	8644.54 	8737.57 	8662.87 	8489.76 	8923.92 	8895.33 	8972.82 e	9133.84 e	9601.54 be	9555.39 e	9502.67 e
NR,HR	15.53 	21.02 	36.83 	40.53 	32.07 	33.38 	35.52 	31.21 	28.88 	22.01 	30.32 	16.97 	19.38 	18.5 e	14.56 e	17.91 be	21.06 e	19.94 e
NR,HU	121.48 	100.26 	120.45 	133.23 	153.43 	135.63 	164.96 	191.11 	181.21 	184.39 	195.47 	221.58 	207.79 	215.59 e	222.3 e	205.23 be	201.27 e	196.77 e
NR,IE	206.31 	251.8 	225.37 	227.57 	273.2 	274.82 	291.63 	329.38 	328.36 	346.31 	324.1 	371.88 	313.21 	329.13 e	330.81 e	382.11 be	361.89 e	371.46 e
NR,IN	180.99 	277.96 	451.77 	515.14 	524.43 	588.83 	569.98 	625.18 	708.37 	824.2 	983.24 	1107.32 	1132.24 	1234.92 e	1318.81 e	: 	: 	: 
NR,IS	37.53 	21.18 	40.14 	30.82 	31.95 	33.19 	30.17 	24.8 	24.95 	25.8 	18.12 	22.71 	27.75 	28.4 e	: 	: 	: 	: 
NR,IT	4006.51 	3987.3 	4229.12 	4396.2 	4596.36 	4911.5 	5068.83 	4927.31 	4753 	4430.63 	4500.8 	4414.55 	4333.62 	4301.28 e	4234.77 e	4369.99 be	4242.17 e	4148 e
NR,JP	22102.27 	20452.14 	21074.44 	22185.36 	23257.37 	22165.79 	21928.11 	21418.99 	19413.68 	19835.17 	21925.04 	21781.35 	21096.01 	21516.29 e	21380.04 e	: 	: 	: 
NR,KR	1270.82 	1638.33 	2362.33 	3356.29 	4499.33 	5203.67 	5236.22 	4719.17 	4028.03 	4886.97 	5400.46 	5364.84 	5847.13 	6167.18 e	6422.75 e	: 	: 	: 
