sex,indic_il,unit,age,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,LI_R_MD60BT,PC,TOTAL,AT	49.24 	46.77 	48.85 	40.59 b	40.70 	40.82 	45.26 	42.26 	42.64 	43.13 	45.21 	45.52 	40.23 
F,LI_R_MD60BT,PC,TOTAL,BE	46.92 	43.88 	44.21 	43.21 	42.91 	44.73 	43.66 	43.42 	41.51 	42.60 	43.68 	40.22 	37.41 
F,LI_R_MD60BT,PC,TOTAL,BG	: 	26.05 	13.21 	19.65 	15.96 	22.57 	18.34 	17.09 	21.00 	19.00 	21.45 	16.61 b	19.16 
F,LI_R_MD60BT,PC,TOTAL,CH	: 	: 	31.91 	27.62 	28.93 	33.06 	34.54 	29.84 	34.04 	41.92 b	34.88 	39.53 	: 
F,LI_R_MD60BT,PC,TOTAL,CY	24.14 	25.63 	23.68 	28.46 b	30.74 	31.75 	34.90 	35.69 	36.29 	38.82 	33.59 	32.55 	33.60 
F,LI_R_MD60BT,PC,TOTAL,CZ	50.23 	50.91 	49.76 	52.36 	49.74 	47.64 	43.92 	43.55 	45.98 	42.31 	39.23 	37.93 	38.86 
F,LI_R_MD60BT,PC,TOTAL,DE	45.80 	50.38 	37.31 	35.71 	34.80 	34.66 	35.38 	32.28 	33.33 	32.56 	33.08 	33.33 	32.41 
F,LI_R_MD60BT,PC,TOTAL,DK	61.34 	58.62 	58.19 	59.18 	59.15 	55.48 	56.99 b	56.88 	57.09 	55.64 	54.75 	53.52 	52.24 
F,LI_R_MD60BT,PC,TOTAL,EA18	35.83 	36.05 	33.85 	32.81 	32.68 	34.36 	33.71 	32.05 	33.72 	32.44 	32.82 	31.56 	30.59 e
F,LI_R_MD60BT,PC,TOTAL,EA19	35.43 	36.05 	33.46 	32.41 	32.68 	34.23 	33.58 	32.05 	33.97 	32.44 	32.44 	31.44 	30.86 e
F,LI_R_MD60BT,PC,TOTAL,EE	23.90 	23.46 	20.80 	19.12 	22.02 	34.68 	28.98 	28.46 	25.19 	21.28 b	21.02 	22.83 	25.32 
F,LI_R_MD60BT,PC,TOTAL,EL	13.28 	13.36 	15.38 	14.81 	14.77 	16.06 	13.78 	13.87 	17.36 	15.06 	16.86 	15.87 	16.53 
F,LI_R_MD60BT,PC,TOTAL,ES	17.44 	16.15 	16.13 	21.48 b	23.66 	27.05 	29.61 	28.18 	32.08 	28.25 	26.10 	23.53 	22.65 
F,LI_R_MD60BT,PC,TOTAL,EU27	36.43 e	36.53 e	35.07 	33.71 	34.85 	35.82 	35.06 	34.09 	35.58 	33.46 	33.46 	32.71 	31.37 e
F,LI_R_MD60BT,PC,TOTAL,EU28	: 	: 	: 	: 	: 	36.06 	35.29 	34.09 	35.58 	33.46 	33.46 	32.71 	31.37 e
F,LI_R_MD60BT,PC,TOTAL,FI	55.71 	55.74 	54.90 	49.30 	46.74 	50.71 	49.29 	50.72 	54.28 	52.16 	53.16 	57.35 	57.46 
F,LI_R_MD60BT,PC,TOTAL,FR	49.26 	45.74 	50.00 	45.49 b	44.80 	45.49 	42.46 	39.92 	43.03 	42.21 	43.03 	40.98 	44.49 
F,LI_R_MD60BT,PC,TOTAL,HR	: 	: 	: 	: 	: 	30.29 b	29.84 	30.62 	31.42 	33.66 	33.33 	26.35 	: 
F,LI_R_MD60BT,PC,TOTAL,HU	54.17 	46.55 	57.29 	58.25 	57.39 	57.14 	51.59 	47.57 	44.44 	43.58 	42.17 	43.36 	45.85 
F,LI_R_MD60BT,PC,TOTAL,IE	39.94 	43.64 	47.59 	54.06 	61.48 	61.27 	63.30 	57.64 	59.33 	55.35 	55.91 	51.81 	: 
F,LI_R_MD60BT,PC,TOTAL,IS	51.02 	47.15 	43.30 	45.69 	46.89 	58.30 	59.40 	68.35 	61.30 	64.35 	55.39 	55.45 p	: 
F,LI_R_MD60BT,PC,TOTAL,IT	17.46 	17.06 	16.06 	18.07 	19.11 	20.00 	18.85 	19.07 	20.08 	18.97 	20.31 	19.85 	17.90 
F,LI_R_MD60BT,PC,TOTAL,LT	20.22 	24.36 	22.06 	20.69 	26.28 	35.69 	33.90 	32.86 	30.77 	27.76 	20.77 	19.51 	21.17 
F,LI_R_MD60BT,PC,TOTAL,LU	39.83 	38.89 	41.49 	40.42 	41.61 	50.17 	48.58 	47.12 	46.13 	41.34 	42.07 	38.16 b	36.18 
F,LI_R_MD60BT,PC,TOTAL,LV	25.37 	15.18 	21.74 	12.73 	13.85 	27.66 	29.62 	24.80 	25.56 	21.05 	16.50 	20.07 	20.13 
F,LI_R_MD60BT,PC,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	9.57 	9.13 	10.25 	13.65 	15.63 	: 
F,LI_R_MD60BT,PC,TOTAL,MT	29.19 	32.88 	29.55 	30.99 	34.60 	33.88 	34.29 	37.30 	35.08 	36.25 	33.33 	32.79 	31.08 
F,LI_R_MD60BT,PC,TOTAL,NL	51.13 	55.00 	50.69 	49.76 	45.93 	50.23 	48.37 	50.70 	51.60 	44.91 	48.89 	44.54 b	41.41 
F,LI_R_MD60BT,PC,TOTAL,NO	58.61 	58.44 	55.03 	53.26 	51.47 	57.04 	63.37 	60.61 	56.83 	54.75 	51.96 	50.18 	49.23 
F,LI_R_MD60BT,PC,TOTAL,PL	31.14 	33.21 	34.48 	32.66 	26.58 	27.16 	26.36 	25.00 	24.45 	26.32 	23.21 	24.02 	37.39 
F,LI_R_MD60BT,PC,TOTAL,PT	23.57 	25.68 	23.39 	25.10 	25.81 	31.09 	28.13 	28.35 	25.79 	25.65 	25.00 	23.44 	21.43 
F,LI_R_MD60BT,PC,TOTAL,RO	: 	: 	21.81 	22.61 	21.23 	21.07 	22.87 	20.28 	18.51 	12.63 	13.18 	13.47 	15.97 
F,LI_R_MD60BT,PC,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	22.76 	22.50 	32.60 	29.41 	: 
F,LI_R_MD60BT,PC,TOTAL,SE	67.32 	59.54 	63.70 	55.80 b	50.65 	49.51 	48.92 	47.21 	44.69 	48.91 	46.27 	45.94 	46.89 
F,LI_R_MD60BT,PC,TOTAL,SI	49.45 	49.01 	48.19 	44.49 	45.99 	44.49 	41.18 	44.27 	41.22 	41.76 	39.30 	39.92 	42.69 
F,LI_R_MD60BT,PC,TOTAL,SK	38.07 	42.21 	40.43 	39.15 	33.71 	38.07 	33.50 	32.83 	35.82 	36.68 	35.75 	31.55 	29.71 
