unit,time,lev_diff,geo\deg_urb	TOTAL 	DEG1 	DEG2 	DEG3 
PC,2012,HIGH,AT	14.2 	4.0 	10.6 	24.5 
PC,2012,HIGH,BE	12.2 	4.3 	10.5 	31.0 
PC,2012,HIGH,BG	19.7 	16.7 	16.4 	25.7 
PC,2012,HIGH,CH	8.5 	2.8 	7.2 	17.2 
PC,2012,HIGH,CY	10.5 	11.0 	9.1 	10.7 
PC,2012,HIGH,CZ	12.3 	2.7 	8.9 	23.6 
PC,2012,HIGH,DE	17.6 	3.9 	19.7 	34.3 
PC,2012,HIGH,DK	13.2 	5.6 	14.1 	18.7 
PC,2012,HIGH,EA18	15.1 	7.6 	18.2 	26.0 
PC,2012,HIGH,EA19	15.1 	7.6 	18.1 	26.0 
PC,2012,HIGH,EE	14.9 	5.2 	13.7 	26.8 
PC,2012,HIGH,EL	12.9 	6.5 	10.5 	22.1 
PC,2012,HIGH,ES	7.8 	5.5 	10.0 	14.4 
PC,2012,HIGH,EU	14.7 	7.4 	16.4 	25.5 
PC,2012,HIGH,EU27	14.6 	7.4 	16.3 	25.4 
PC,2012,HIGH,EU28	14.7 	7.4 	16.4 	25.5 
PC,2012,HIGH,FI	15.5 	6.6 	13.5 	21.7 
PC,2012,HIGH,FR	8.8 	6.9 	12.4 	16.8 
PC,2012,HIGH,HR	24.1 	10.4 	30.0 	32.4 
PC,2012,HIGH,HU	10.6 	8.0 	12.4 	11.3 
PC,2012,HIGH,IE	13.0 	4.7 	8.6 	23.3 
PC,2012,HIGH,IS	13.4 	11.0 	: z	17.6 
PC,2012,HIGH,IT	20.7 	15.9 	24.8 	24.7 
PC,2012,HIGH,LT	15.4 	8.8 	7.0 	24.0 
PC,2012,HIGH,LU	6.7 	3.4 	3.5 	10.5 
PC,2012,HIGH,LV	13.2 	8.4 	7.7 	20.0 
PC,2012,HIGH,MT	16.5 	16.9 	13.9 	20.9 
PC,2012,HIGH,NL	11.6 	5.4 	15.3 	24.2 
PC,2012,HIGH,NO	18.1 	11.7 	22.1 	27.1 
PC,2012,HIGH,PL	18.9 	6.5 	14.6 	32.2 
PC,2012,HIGH,PT	10.4 	9.2 	7.9 	15.5 
PC,2012,HIGH,RO	18.2 	10.7 	20.0 	23.1 
PC,2012,HIGH,SE	11.3 	2.6 	7.5 	15.8 
PC,2012,HIGH,SI	18.7 	5.9 	17.5 	25.8 
PC,2012,HIGH,SK	13.5 	5.6 	14.5 	17.3 
PC,2012,HIGH,UK	10.1 	6.0 	10.7 	26.3 
PC,2012,LOW,AT	35.3 	28.3 	38.6 	38.4 
PC,2012,LOW,BE	50.2 	46.3 	57.3 	36.3 
PC,2012,LOW,BG	53.3 	50.9 	54.2 	56.2 
PC,2012,LOW,CH	42.1 	37.8 	42.1 	46.7 
PC,2012,LOW,CY	53.1 	54.7 	44.4 	56.1 
PC,2012,LOW,CZ	50.8 	46.1 	53.1 	53.1 
PC,2012,LOW,DE	43.8 	43.2 	48.3 	37.3 
PC,2012,LOW,DK	37.1 	34.4 	40.4 	37.7 
PC,2012,LOW,EA18	45.8 	44.6 	49.2 	43.3 
PC,2012,LOW,EA19	45.9 	44.8 	49.2 	43.5 
PC,2012,LOW,EE	58.9 	64.7 	59.4 	51.7 
PC,2012,LOW,EL	52.4 	53.7 	56.1 	49.6 
PC,2012,LOW,ES	48.7 	45.7 	55.4 	53.2 
PC,2012,LOW,EU	46.0 	44.6 	48.4 	45.7 
PC,2012,LOW,EU27	46.0 	44.5 	48.4 	45.7 
PC,2012,LOW,EU28	46.0 	44.6 	48.4 	45.7 
PC,2012,LOW,FI	42.7 	43.8 	51.9 	39.3 
PC,2012,LOW,FR	37.5 	34.7 	50.3 	41.3 
PC,2012,LOW,HR	49.8 	52.8 	52.0 	46.3 
PC,2012,LOW,HU	62.3 	53.0 	57.3 	74.3 
PC,2012,LOW,IE	44.6 	44.0 	58.7 	36.0 
PC,2012,LOW,IS	47.2 	47.6 	: z	46.5 
PC,2012,LOW,IT	51.4 	53.0 	50.2 	49.6 
PC,2012,LOW,LT	60.6 	65.1 	62.0 	55.6 
PC,2012,LOW,LU	38.5 	37.8 	32.2 	44.1 
PC,2012,LOW,LV	58.2 	58.5 	70.4 	55.4 
PC,2012,LOW,MT	43.5 	43.5 	43.5 	45.1 
PC,2012,LOW,NL	26.8 	24.2 	29.2 	29.6 
PC,2012,LOW,NO	38.2 	39.0 	41.5 	34.7 
PC,2012,LOW,PL	46.8 	43.9 	54.5 	44.8 
PC,2012,LOW,PT	66.9 	68.7 	66.4 	63.2 
PC,2012,LOW,RO	63.1 	69.9 	58.7 	60.2 
PC,2012,LOW,SE	39.4 	34.6 	41.3 	40.7 
PC,2012,LOW,SI	50.7 	51.7 	53.0 	48.3 
PC,2012,LOW,SK	52.8 	49.4 	50.8 	56.2 
PC,2012,LOW,UK	37.9 	38.7 	38.0 	34.3 
PC,2012,L_VL,AT	79.9 	95.2 	86.8 	63.3 
PC,2012,L_VL,BE	81.3 	94.8 	84.1 	49.9 
PC,2012,L_VL,BG	76.2 	81.4 	80.0 	66.9 
PC,2012,L_VL,CH	88.9 	96.7 	90.6 	76.7 
PC,2012,L_VL,CY	85.6 	85.9 	87.6 	84.1 
