currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4271.5 	8815.2 	11863.1 	10682.9 	10978.3 	-4378.8 	2511.2 	-3150.9 	-6431.1 	-6605.0 	-6546.5 	-6250.6 	-6048.1 	-6091.5 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	124444.0 	227929.0 	417657.0 	436444.0 	177941.0 	102052.0 	148953.0 	268872.0 	196362.0 	313182.0 	88849.0 	226627.0 	247682.0 	305080.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	7738.0 	13524.0 	32647.0 	20205.0 	10026.0 	19261.0 	28074.0 	12945.0 	4236.0 	-10499.0 	21299.0 	18194.0 	56011.0 	15673.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,PT	: 	732.0 	2085.0 	6345.0 	2624.0 	9424.0 	6997.0 	-1410.0 	7943.0 	6653.0 	1980.0 	6961.0 	6188.0 	3791.0 	2595.0 	-2933.0 	11437.0 	3763.0 	5127.0 	7233.0 	1056.0 	5289.0 	616.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,RO	: 	: 	: 	: 	26.0 	-34.0 	-43.0 	51.0 	131.0 	227.0 	1001.0 	1348.0 	1568.0 	606.0 	-49.0 	819.0 	16.0 	-818.0 	-119.0 	1012.0 	: c	5134.0 	-917.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,SE	71838.0 	22187.0 	85862.0 	227330.0 	204099.0 	383232.0 	146264.0 	157025.0 	179707.0 	206853.0 	285682.0 	155868.0 	381279.0 	241950.0 	201874.0 	156675.0 	154697.0 	118956.0 	181158.0 	-33140.0 	136876.0 	11188.0 	363467.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,SI	-8.0 	5.0 	28.0 	-6.0 	44.0 	72.0 	174.0 	359.0 	632.0 	400.0 	854.0 	711.0 	1417.0 	883.0 	244.0 	138.0 	-4.0 	-438.9 	23.6 	155.1 	291.6 	433.9 	551.3 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0 	835.4 	416.2 	1200.8 	281.9 	1892.7 	939.3 	1962.3 	-957.9 	976.1 	94.1 	1266.3 	3684.4 	3603.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,UK	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	28611.0 	-70518.0 	-39301.0 	36925.0 	114203.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	819.0 	-6122.0 	-4223.0 	-27465.0 	12479.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11563.0 	10664.0 	45769.0 	32833.0 	10663.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	206.8 	203.3 	421.1 	211.3 	381.3 	240.5 	441.5 	285.4 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2994.0 	1151.0 	3661.0 	-911.0 	41910.0 	-5587.0 	-2330.0 	13845.0 	3290.0 	5264.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75108.0 	16026.0 	15805.0 	-1512.0 	38286.0 	64520.0 	55109.0 	45076.0 	92456.0 	28022.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,DE	27828.0 	26920.0 	30242.0 	63466.0 	96036.0 	65170.0 	60802.0 	40975.0 	29022.0 	2585.0 	48055.0 	98840.0 	79105.0 	31106.0 	64669.0 	76221.0 	62400.0 	61084.0 	43969.0 	57873.0 	75292.0 	70623.0 	71205.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75598.0 	47625.0 	65021.0 	-3667.0 	40275.0 	-14511.0 	9298.0 	-28456.0 	37732.0 	47769.0 	56231.0 	101550.0 	36740.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	402.6 	74.0 	244.2 	547.1 	437.8 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1941.0 	1753.0 	1288.0 	1254.0 	542.0 	-558.0 	2263.0 	1416.0 	-1680.0 	436.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F51,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23267.0 	28247.0 	36798.0 	38372.0 	34397.0 
