na_item,sector,cofog99,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TE,S13,GF07,PC_GDP,AT	7.4 	7.3 	7.4 	7.5 	7.8 	7.9 	7.7 	7.7 	7.8 	7.8 	7.9 	8.0 	: 
TE,S13,GF07,PC_GDP,BE	6.8 	6.6 	6.7 	7.2 	7.7 	7.7 	7.6 	7.9 	8.0 	8.1 	7.6 	7.4 	: 
TE,S13,GF07,PC_GDP,BG	4.9 	3.8 	4.0 	4.4 	4.0 	4.4 	4.2 	4.4 	4.5 	5.5 	5.5 	5.0 	: 
TE,S13,GF07,PC_GDP,CH	1.8 	1.7 	1.7 	1.8 	1.9 	1.9 	1.9 	2.1 	2.2 	2.1 	2.2 	2.2 	: 
TE,S13,GF07,PC_GDP,CY	2.8 	2.8 	2.6 	2.7 	3.0 	3.0 	3.1 	3.0 	3.1 	2.6 	2.6 	2.6 	: 
TE,S13,GF07,PC_GDP,CZ	6.9 	7.0 	6.8 	6.9 	7.8 	7.8 	7.7 	7.7 	7.6 	7.6 	7.6 	7.4 	: 
TE,S13,GF07,PC_GDP,DE	6.5 	6.4 	6.3 	6.4 	7.1 	7.0 	6.8 	6.8 	7.0 	7.1 	7.1 	7.2 	: 
TE,S13,GF07,PC_GDP,DK	7.3 	7.3 	7.7 	7.9 	8.9 	8.6 	8.4 	8.7 	8.5 	8.6 	8.6 	8.6 	8.5 
TE,S13,GF07,PC_GDP,EA18	6.7 	6.7 	6.6 	6.8 	7.4 	7.3 	7.2 	7.2 	7.3 	7.3 	7.2 	7.1 	: 
TE,S13,GF07,PC_GDP,EA19	6.7 	6.7 	6.6 	6.8 	7.4 	7.3 	7.2 	7.2 	7.3 	7.3 	7.2 	7.1 	: 
TE,S13,GF07,PC_GDP,EE	4.1 	4.2 	4.3 	5.1 	5.5 	5.3 	4.9 	5.0 	5.0 	5.2 	5.5 	5.3 	: 
TE,S13,GF07,PC_GDP,EL	6.2 	5.9 	6.0 	6.5 	6.8 	6.9 	6.5 	5.8 	5.2 	4.7 	4.7 	4.9 	: 
TE,S13,GF07,PC_GDP,ES	5.6 	5.6 	5.7 	6.0 	6.8 	6.6 	6.5 	6.2 	6.2 	6.1 	6.2 	6.0 p	: 
TE,S13,GF07,PC_GDP,EU27	6.5 	6.6 	6.5 	6.7 	7.3 	7.3 	7.1 	7.1 	7.2 	7.2 	7.1 	7.1 	: 
TE,S13,GF07,PC_GDP,EU28	6.5 	6.6 	6.5 	6.7 	7.3 	7.3 	7.1 	7.1 	7.2 	7.2 	7.1 	7.1 	: 
