unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_SAME_PERS_NSA,A,EMP_DC,AT	-7.0 	-5.8 	-6.5 	-4.4 	-1.2 	0.3 	3.2 	-4.0 	-4.0 	-2.4 	-8.1 	-0.8 
PCH_SAME_PERS_NSA,A,EMP_DC,BE	1.7 	2.2 	-0.4 	-0.7 	-0.9 	-0.5 	1.5 	2.9 	-3.2 	-4.8 	-0.2 	-0.7 
PCH_SAME_PERS_NSA,A,EMP_DC,BG	-6.8 p	-2.4 p	-1.7 p	-0.2 p	-9.6 p	-2.5 p	4.4 p	-0.4 p	14.0 p	8.3 p	-5.1 p	-5.9 p
PCH_SAME_PERS_NSA,A,EMP_DC,CH	-2.7 	-3.3 	3.1 	2.8 	-1.9 	-7.0 	-13.2 	-6.0 	-1.3 	-2.1 	-0.1 	1.5 
PCH_SAME_PERS_NSA,A,EMP_DC,CY	2.9 	3.2 	2.2 	1.9 	1.8 	2.1 	-0.6 p	-1.0 p	0.1 p	-0.3 p	0.2 p	-0.4 p
PCH_SAME_PERS_NSA,A,EMP_DC,CZ	-1.2 	-3.0 	-4.1 	-1.3 	-1.8 	1.3 	3.7 	1.7 	1.0 	-2.4 	-1.9 	-2.0 
PCH_SAME_PERS_NSA,A,EMP_DC,DE	-1.1 	-3.2 	-3.1 	-3.0 	-3.0 	-2.5 	-1.7 	-0.9 	0.2 	0.2 	-0.2 	-0.9 
PCH_SAME_PERS_NSA,A,EMP_DC,DK	1.4 	2.8 	1.5 	1.4 	0.0 	-2.7 	-1.4 	-1.4 	0.0 	1.4 	0.0 	1.4 
PCH_SAME_PERS_NSA,A,EMP_DC,EA	-0.9 	-1.3 	-1.0 	-0.5 	-0.4 	0.2 	0.4 	0.1 	-1.5 	-1.3 	-0.9 	-0.3 
PCH_SAME_PERS_NSA,A,EMP_DC,EA19	-0.9 	-1.3 	-1.0 	-0.5 	-0.4 	0.2 	0.4 	0.1 	-1.5 	-1.3 	-0.9 	-0.3 
PCH_SAME_PERS_NSA,A,EMP_DC,EE	2.4 	-1.3 	-3.9 	9.3 	-1.9 	-1.7 	1.4 	-13.0 	-13.3 	-8.2 	-10.7 	-8.5 
PCH_SAME_PERS_NSA,A,EMP_DC,EL	-3.9 p	-6.6 p	-6.3 p	-0.4 p	-1.1 p	-1.6 p	1.3 p	-2.6 p	-0.6 p	3.2 p	3.3 p	4.2 p
PCH_SAME_PERS_NSA,A,EMP_DC,ES	2.3 	3.8 	6.0 p	2.7 p	4.0 p	3.5 p	3.8 p	3.7 p	1.8 p	-0.8 p	-1.4 p	-2.1 p
PCH_SAME_PERS_NSA,A,EMP_DC,EU28	-3.0 	-4.0 	-3.3 	-3.6 	-5.1 	-4.8 	-0.5 	1.8 	0.3 	-0.2 	-1.7 	-2.9 
PCH_SAME_PERS_NSA,A,EMP_DC,FI	-4.6 	-3.5 	-5.3 	-2.3 	-1.6 	-3.7 	-1.5 	-1.3 	1.8 	3.0 	3.2 	3.3 
PCH_SAME_PERS_NSA,A,EMP_DC,FR	0.2 	-0.4 	-1.2 	-1.2 	0.3 	0.2 	0.1 	0.6 	-1.5 	-1.6 	-0.7 	-1.2 
