unit,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_Q4_NSA,P31_S14_S15,EE	5.0 	1.6 	4.0 	4.7 	4.6 	4.1 	0.8 	2.1 	4.2 	3.2 	3.9 	4.1 
PCH_Q4_NSA,P31_S14_S15,EL	-3.9 p	-0.9 p	-2.1 p	-1.8 p	3.4 p	0.5 p	1.4 p	0.9 p	-0.5 p	-1.3 p	1.3 p	0.4 p
PCH_Q4_NSA,P31_S14_S15,ES	3.7 	3.1 	3.3 p	3.1 p	2.6 p	2.5 p	2.4 p	2.7 p	2.4 p	2.7 p	3.1 p	2.3 p
PCH_Q4_NSA,P31_S14_S15,EU28	2.2 	2.2 	2.5 	2.5 	2.2 	2.2 	2.0 	2.0 	2.0 	1.7 	2.0 	1.6 
PCH_Q4_NSA,P31_S14_S15,FI	1.7 	2.2 	1.6 	2.6 	2.0 	1.7 	1.9 	0.5 	1.1 	1.8 	1.4 	2.3 
PCH_Q4_NSA,P31_S14_S15,FR	1.4 	1.1 	2.1 	2.4 	1.7 	2.1 	1.0 	0.7 	1.4 	0.8 	1.2 	0.8 
PCH_Q4_NSA,P31_S14_S15,HR	1.3 	2.5 	3.1 	3.2 	3.8 	3.7 	3.5 	3.8 	3.7 	3.4 	3.9 	3.6 
PCH_Q4_NSA,P31_S14_S15,HU	3.5 	4.4 	4.0 	4.0 	3.7 	4.1 	3.9 	4.6 	5.0 	5.6 	6.0 	5.5 
PCH_Q4_NSA,P31_S14_S15,IE	4.0 	3.2 	6.6 	3.6 	3.0 	3.2 	-0.4 	0.9 	3.0 	2.7 	2.9 	4.4 
PCH_Q4_NSA,P31_S14_S15,IS	3.9 	6.0 	7.1 	7.9 	6.1 	7.5 	7.3 	9.8 	8.1 	6.6 	5.6 	5.1 
PCH_Q4_NSA,P31_S14_S15,IT	2.3 	2.2 	2.2 	1.2 	1.0 	0.8 	1.3 	1.8 	1.5 	1.4 	0.7 	0.7 
PCH_Q4_NSA,P31_S14_S15,LT	5.0 	4.0 	4.2 	6.0 	4.6 	5.3 	5.0 	4.3 	1.9 	2.4 	3.3 	4.5 
PCH_Q4_NSA,P31_S14_S15,LU	4.2 	2.5 	1.1 	1.9 	0.4 	3.4 	2.5 	2.5 	4.6 	2.4 	5.1 	3.7 
PCH_Q4_NSA,P31_S14_S15,LV	4.0 	0.7 	2.7 	0.8 	0.2 	2.2 	3.0 	2.5 	5.6 	5.3 	4.5 	4.3 
PCH_Q4_NSA,P31_S14_S15,MK	5.0 	5.0 	1.8 p	-0.2 p	5.3 p	5.4 p	1.3 e	4.4 e	2.9 e	2.7 e	2.3 e	2.0 e
PCH_Q4_NSA,P31_S14_S15,MT	7.3 	5.4 	5.9 	2.4 	0.1 	2.2 	4.7 	4.1 	3.4 	2.7 	4.8 	7.0 
PCH_Q4_NSA,P31_S14_S15,NL	2.3 	1.5 	1.0 p	0.6 p	1.1 p	1.8 p	1.6 p	2.2 p	2.5 p	1.1 p	3.6 p	2.6 p
PCH_Q4_NSA,P31_S14_S15,NO	2.7 	2.2 	0.5 	3.2 	-2.3 	3.8 	3.6 	0.3 	2.7 	2.4 	0.6 	3.6 
PCH_Q4_NSA,P31_S14_S15,PL	2.8 	2.1 	3.3 	2.8 	4.9 	4.8 	4.6 	4.7 	4.7 	4.7 	4.2 	4.7 
PCH_Q4_NSA,P31_S14_S15,PT	2.0 	1.7 	3.0 	1.5 	1.8 	3.4 	2.7 	2.2 	2.3 	2.1 	2.7 	2.6 
PCH_Q4_NSA,P31_S14_S15,RO	6.2 	7.2 	9.6 p	10.8 p	7.2 p	4.7 p	7.3 p	7.3 p	13.5 p	11.7 p	5.8 p	5.0 p
PCH_Q4_NSA,P31_S14_S15,RS	0.5 	0.6 	1.0 	1.1 	0.7 	1.2 	2.1 p	1.6 p	1.8 p	1.8 p	3.1 p	3.1 p
PCH_Q4_NSA,P31_S14_S15,SE	3.2 	3.7 	3.6 	3.1 	2.6 	2.2 	2.5 	1.9 	2.1 	2.4 	2.1 	2.7 
PCH_Q4_NSA,P31_S14_S15,SI	4.0 	2.1 	3.0 	3.2 	3.7 	5.6 	1.9 	0.9 	1.6 	3.1 	3.4 	1.1 
PCH_Q4_NSA,P31_S14_S15,SK	2.7 	2.7 	2.5 	3.2 	2.0 	2.9 	3.3 	3.5 	3.9 	3.6 	3.5 	2.2 
PCH_Q4_NSA,P31_S14_S15,TR	3.5 	5.4 	2.5 	5.2 	0.5 	6.3 	4.5 	3.1 	10.3 	6.3 	9.3 	6.3 
PCH_Q4_NSA,P31_S14_S15,UK	2.6 	2.7 	3.2 	3.0 	3.2 	3.1 	2.1 	2.2 	1.3 	1.6 	1.6 	1.4 
