worktime,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PT,Y20-64,PC_EMP,AT	34.6 	35.3 	35.8 b	35.5 	36.4 	36.3 	36.9 	37.7 	37.0 	37.8 	38.1 	37.4 	37.4 
PT,Y20-64,PC_EMP,BE	33.4 	34.2 	33.5 	33.5 	33.3 	33.8 	34.1 	34.6 	33.8 	32.8 	32.3 	32.6 	31.1 b
PT,Y20-64,PC_EMP,BG	0.8 	1.0 	0.8 	0.7 	0.6 	0.4 b	0.5 b	0.5 	1.0 	0.5 	0.5 	0.5 	0.3 
PT,Y20-64,PC_EMP,CH	: 	: 	: 	: 	: 	49.9 b	48.5 	49.3 	48.8 	47.8 	47.0 	46.7 	46.0 
PT,Y20-64,PC_EMP,CY	10.1 	8.5 	7.3 	7.3 	7.5 b	6.6 	6.0 	6.5 	7.1 	6.3 	5.4 	4.3 	6.6 
PT,Y20-64,PC_EMP,CZ	6.5 	6.4 	6.2 	6.3 	6.5 	6.9 	6.6 b	6.4 	7.6 	7.0 	7.1 	7.6 	8.5 
PT,Y20-64,PC_EMP,DE	37.5 b	37.9 	38.1 	37.9 	37.2 	37.6 b	37.4 b	37.1 	38.3 	37.8 	38.0 	37.9 	37.5 
PT,Y20-64,PC_EMP,DK	20.8 	22.4 	22.6 	22.2 	23.0 	24.1 	23.0 	21.0 	20.4 	19.5 	18.9 	20.2 b	19.0 b
PT,Y20-64,PC_EMP,EA18	27.2 	27.3 	27.4 	27.3 	27.2 	27.2 	27.1 	27.3 	27.6 	27.3 	27.2 	26.9 	26.7 
PT,Y20-64,PC_EMP,EA19	26.9 	27.0 	27.1 	27.0 	26.9 	26.9 	26.9 	27.1 	27.5 	27.1 	27.0 	26.8 	26.5 
PT,Y20-64,PC_EMP,EE	4.5 	5.9 	6.4 	5.5 	6.4 	7.2 	8.6 	8.2 	6.9 	5.3 	7.2 	6.4 	7.1 
PT,Y20-64,PC_EMP,EL	6.9 	7.3 	7.4 	7.3 	7.3 b	6.8 	5.9 	7.1 	7.2 	6.4 	6.4 	6.7 	7.5 
PT,Y20-64,PC_EMP,ES	19.1 b	18.3 	18.1 	17.9 	17.6 	17.5 	17.0 	17.4 	17.5 	17.8 	17.3 	16.5 	17.0 
PT,Y20-64,PC_EMP,EU27	23.9 	23.9 	23.9 	23.6 	23.6 	23.7 	23.7 	23.8 	23.9 	23.7 	23.4 	23.3 	23.1 
PT,Y20-64,PC_EMP,EU28	23.7 	23.7 	23.7 	23.5 	23.5 	23.7 	23.6 	23.7 	23.7 	23.5 	23.3 	23.2 	23.0 
PT,Y20-64,PC_EMP,FI	9.2 	9.6 	9.7 	9.1 	9.4 	9.4 	9.2 	9.5 	9.8 	9.4 	8.4 	9.5 	9.9 
PT,Y20-64,PC_EMP,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.1 	22.7 	22.2 	21.9 
PT,Y20-64,PC_EMP,FX	24.8 	24.8 	25.0 	24.0 	24.1 	23.7 	23.6 	23.6 	23.8 	23.3 	22.8 	22.4 	22.0 
PT,Y20-64,PC_EMP,HR	5.0 e	3.5 e	3.7 	3.8 	3.8 	4.3 	3.6 	2.3 	1.7 	2.7 	2.6 	2.7 	2.2 
PT,Y20-64,PC_EMP,HU	3.2 	2.9 	3.0 	2.8 	3.4 	4.0 	4.3 	5.1 	4.8 	4.2 	3.6 	3.6 	3.6 
PT,Y20-64,PC_EMP,IE	24.5 	24.0 	23.9 b	23.4 	22.5 	22.5 	22.0 	20.9 	20.8 	20.0 	20.3 	19.7 	19.7 
PT,Y20-64,PC_EMP,IS	28.4 	: 	27.1 	23.9 	23.7 	23.2 	21.4 	19.4 	20.1 	23.8 	23.5 	24.3 	23.9 
