unit,age,sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y25-64,F,AT	7.4 	7.7 	7.3 	8.6 	12.3 b	13.6 	14.1 b	14.1 	14.2 	14.9 	14.9 	14.6 	15.3 	15.4 	15.4 	15.4 	16.3 	17.3 
PC,Y25-64,F,BE	5.7 	5.9 	6.0 	6.9 	8.5 b	8.5 	7.9 b	7.6 	7.5 	7.5 	7.6 	7.8 	7.3 	7.1 	7.9 	7.3 	7.5 	8.8 b
PC,Y25-64,F,BG	: 	1.4 b	1.2 	1.4 b	1.3 	1.2 	1.5 b	1.6 	1.6 	1.7 	1.7 	1.6 	1.8 	2.1 	2.3 	2.1 	2.3 	2.4 
PC,Y25-64,F,CH	29.4 	32.1 	30.7 	24.0 b	27.4 	26.5 	23.4 	27.5 	28.2 	25.0 	28.8 b	27.9 	28.0 	28.7 	30.3 	30.2 	31.1 	30.5 
PC,Y25-64,F,CY	3.2 	3.4 	3.8 	8.5 b	9.6 	6.3 	8.0 b	8.9 	9.0 	8.2 b	8.2 	7.9 	8.0 	7.4 	7.5 	7.9 	7.1 	7.1 
PC,Y25-64,F,CZ	: 	: 	5.4 	5.4 b	6.0 	5.9 	6.0 b	6.1 	8.1 	7.3 	8.0 	11.9 b	11.4 	9.9 b	9.8 	8.6 	9.0 	10.0 
PC,Y25-64,F,DE	4.8 	4.8 	5.5 	5.6 b	7.0 	7.4 b	7.2 	7.6 	8.0 b	7.9 	7.7 b	7.8 	7.8 	7.9 	7.9 	8.0 	8.3 	8.1 
PC,Y25-64,F,DK	21.8 	20.7 	20.5 	27.4 b	29.1 	31.2 	33.8 	34.4 b	35.3 	37.3 	39.2 	39.0 	37.8 	37.2 	37.7 	37.3 	32.7 b	31.4 b
PC,Y25-64,F,EA18	5.3 	5.3 	5.5 	6.6 b	7.3 	8.2 	8.4 b	8.6 	8.7 	8.6 	8.5 	8.7 	8.9 	11.4 b	11.7 	11.7 	12.0 	12.2 
PC,Y25-64,F,EA19	5.3 	5.3 	5.5 	6.6 b	7.3 	8.2 	8.4 b	8.6 	8.7 	8.6 	8.5 	8.7 	8.9 	11.4 b	11.7 	11.7 	11.9 	12.1 
PC,Y25-64,F,EE	8.3 b	7.1 	7.0 	8.3 b	7.6 	7.3 	8.5 	9.3 	12.5 	13.3 b	13.1 	14.5 	14.8 	15.3 	13.9 	14.1 	18.4 	20.6 
PC,Y25-64,F,EL	1.0 	1.1 b	1.1 	2.7 b	1.8 b	1.8 	2.0 b	2.4 	3.3 b	3.5 b	3.2 	2.6 	3.0 	3.1 	3.1 	3.3 	4.0 	4.4 
PC,Y25-64,F,ES	4.9 	4.9 	5.0 	5.3 b	5.3 	11.7 b	12.0 b	11.9 	11.8 	11.8 	12.1 	12.1 	12.1 	12.2 	10.8 b	10.7 	10.2 	10.6 
PC,Y25-64,F,EU27	7.5 	7.6 	7.8 	9.1 b	9.9 	10.4 	10.6 b	10.4 	10.5 	10.4 	10.3 	9.9 	10.0 	11.7 b	11.8 	11.8 	11.8 	11.9 
