wst_oper,unit,geo\time	2010 	2012 	2014 
RCV_R,PC,AT	60 	65 	62 
RCV_R,PC,BE	71 	63 	78 
RCV_R,PC,BG	27 	14 	17 
RCV_R,PC,CY	40 d	47 d	38 d
RCV_R,PC,CZ	50 	58 	60 
RCV_R,PC,DE	55 s	54 s	53 s
RCV_R,PC,DK	56 d	64 d	59 d
RCV_R,PC,EE	22 	25 	19 
RCV_R,PC,EL	18 	13 	10 
RCV_R,PC,ES	44 	46 	46 
RCV_R,PC,EU28	53 	53 	55 
RCV_R,PC,FI	33 	41 	41 
RCV_R,PC,FR	50 	51 	53 
RCV_R,PC,HR	26 d	37 d	50 d
RCV_R,PC,HU	36 	35 	40 
RCV_R,PC,IE	36 	37 	44 d
RCV_R,PC,IT	60 d	64 d	67 d
RCV_R,PC,LT	50 	51 	57 
RCV_R,PC,LU	87 	77 	62 
RCV_R,PC,LV	39 d	58 d	61 d
RCV_R,PC,MT	23 d	29 d	28 d
RCV_R,PC,NL	71 d	71 d	72 
RCV_R,PC,PL	58 	55 	60 
RCV_R,PC,PT	45 d	47 d	53 d
RCV_R,PC,RO	33 d	35 d	32 d
RCV_R,PC,SE	51 	53 	51 
RCV_R,PC,SI	52 	74 	75 
RCV_R,PC,SK	38 d	40 d	40 d
RCV_R,PC,UK	60 	59 	59 
