unit,s_adj,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_PRE,SCA,P311_S14,AT	0.1 	0.8 	2.3 	0.1 	-0.6 	1.7 	-1.8 	1.4 	0.6 	0.0 	0.7 	-2.0 
CLV_PCH_PRE,SCA,P311_S14,BE	0.4 	2.2 	0.3 	4.5 	-0.2 	-1.1 	0.4 	0.3 	0.3 	-1.4 	2.0 	1.6 
CLV_PCH_PRE,SCA,P311_S14,BG	4.5 	0.2 	-1.9 	1.4 	2.8 	5.9 	-34.4 	5.5 	8.4 	8.8 	13.3 p	12.4 p
CLV_PCH_PRE,SCA,P311_S14,CZ	1.5 	2.5 	2.9 	-0.8 	3.5 	0.3 	3.6 	3.3 	3.2 	-0.2 	2.3 	0.5 
CLV_PCH_PRE,SCA,P311_S14,DE	1.2 	0.6 	2.6 	-0.5 	1.6 	0.2 	1.9 	0.9 	1.1 	0.5 	1.0 	-1.4 
CLV_PCH_PRE,SCA,P311_S14,DK	4.0 	1.3 	0.4 	2.2 	-1.6 	1.4 	1.9 	3.8 	-6.2 	12.0 	3.0 	-0.8 
CLV_PCH_PRE,SCA,P311_S14,EE	4.1 	1.0 	2.1 	1.6 	1.9 	2.8 	0.2 	3.1 	1.4 	1.6 	2.8 	0.8 
CLV_PCH_PRE,SCA,P311_S14,EL	-14.7 p	12.7 p	-5.7 p	10.4 p	-5.2 p	7.5 p	1.0 p	-1.6 p	6.9 p	-0.1 p	10.1 p	0.9 p
CLV_PCH_PRE,SCA,P311_S14,ES	3.5 p	2.1 p	1.2 p	2.9 p	-0.2 p	1.7 p	0.1 p	0.5 p	2.8 p	3.7 p	: 	: 
CLV_PCH_PRE,SCA,P311_S14,FI	1.8 	3.3 	-1.2 	3.6 	1.2 	-0.5 	1.2 	-0.5 	2.4 	1.4 	2.8 	1.8 
CLV_PCH_PRE,SCA,P311_S14,FR	2.2 	1.4 	3.3 	1.5 	-3.5 	3.0 	-0.1 	2.5 	1.5 	0.7 	-0.9 	1.8 
CLV_PCH_PRE,SCA,P311_S14,IE	1.3 	0.3 	11.5 	-0.6 	0.3 	0.2 	1.2 	0.9 	1.3 	0.7 	-0.1 	1.6 
CLV_PCH_PRE,SCA,P311_S14,IT	2.2 	0.3 	1.5 	1.3 	0.1 	1.8 	2.7 	-0.8 	2.3 	0.3 	0.5 	0.1 
CLV_PCH_PRE,SCA,P311_S14,LT	3.6 	1.9 	0.4 	3.5 	4.3 	3.9 	5.0 	2.9 	1.1 	3.1 	0.2 	1.9 
CLV_PCH_PRE,SCA,P311_S14,LU	0.3 	0.3 	-11.9 	-0.4 	0.0 	1.5 	-0.5 	1.8 	0.5 	0.5 	1.0 	1.3 
CLV_PCH_PRE,SCA,P311_S14,LV	0.7 	-0.5 	-0.1 	0.2 	0.0 	1.1 	1.4 	1.4 	2.1 	1.6 	1.7 	1.6 
CLV_PCH_PRE,SCA,P311_S14,MT	3.1 	7.5 	-7.4 	1.8 	-1.7 	5.7 	-0.9 	2.1 	-3.6 	-0.9 	3.5 	1.5 
CLV_PCH_PRE,SCA,P311_S14,NL	3.1 	0.4 	-3.9 p	3.0 p	0.6 p	0.5 p	1.3 p	3.9 p	1.0 p	-5.1 p	11.1 p	1.5 p
CLV_PCH_PRE,SCA,P311_S14,NO	-1.1 	0.7 	1.6 	-3.0 	0.7 	1.5 	2.0 	0.8 	0.7 	2.4 	-3.5 	4.1 
CLV_PCH_PRE,SCA,P311_S14,PL	0.1 	5.9 	-0.8 	-1.4 	3.6 	-2.4 	-1.8 	3.9 	3.9 	9.2 	12.6 	6.2 
CLV_PCH_PRE,SCA,P311_S14,PT	0.2 	1.2 	6.6 	1.1 	-1.4 	6.5 	0.9 	-0.9 	2.2 	3.4 	-1.3 	4.5 
CLV_PCH_PRE,SCA,P311_S14,SE	4.6 	3.0 	2.2 	0.7 	0.1 	2.0 	2.6 	-1.5 	0.0 	1.2 	0.8 	8.0 
