hhtyp,incgrp,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,TOTAL,PC,TOTAL,F,AT	1.1 	1.0 	0.8 b	0.8 	0.5 	0.4 	0.5 	0.2 	0.3 	0.5 	0.3 	0.2 
TOTAL,TOTAL,PC,TOTAL,F,BE	0.9 	0.8 	0.7 	0.8 	0.3 	0.8 	0.7 	0.7 	0.7 	0.6 	0.4 	0.3 
TOTAL,TOTAL,PC,TOTAL,F,BG	21.4 	19.8 	18.3 	15.4 	15.4 	15.1 	13.7 	13.6 	12.1 	11.5 	10.9 b	10.3 
TOTAL,TOTAL,PC,TOTAL,F,CH	: 	2.4 	0.1 	0.1 	0.2 	0.1 	0.1 	0.0 n	0.2 b	0.0 n	0.0 	: 
TOTAL,TOTAL,PC,TOTAL,F,CY	1.8 	1.5 	1.3 b	0.9 	1.1 	1.2 	1.0 	1.1 	1.1 	1.0 	0.9 	0.7 
TOTAL,TOTAL,PC,TOTAL,F,CZ	0.9 	0.7 	0.6 	0.5 	0.5 	0.5 	0.6 	0.4 	0.3 	0.3 	0.3 	0.2 
TOTAL,TOTAL,PC,TOTAL,F,DE	0.4 	0.7 	0.5 	0.2 	0.5 	0.1 	0.1 	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n
TOTAL,TOTAL,PC,TOTAL,F,DK	0.7 	0.7 	0.7 	0.7 	0.8 	2.4 	2.5 	1.9 	2.1 	2.3 	2.3 	1.8 
TOTAL,TOTAL,PC,TOTAL,F,EA18	0.9 e	0.9 	0.7 	0.6 	0.6 	0.6 	0.5 e	0.5 	0.4 	0.4 	0.4 	0.4 e
TOTAL,TOTAL,PC,TOTAL,F,EA19	1.2 e	1.1 	0.9 	0.8 	0.8 	0.8 	0.6 e	0.6 	0.5 	0.5 	0.6 	0.5 e
TOTAL,TOTAL,PC,TOTAL,F,EE	17.7 	17.0 	13.6 	12.2 	11.3 	10.1 	9.2 	9.0 	7.9 b	7.1 	7.1 	6.5 
TOTAL,TOTAL,PC,TOTAL,F,EL	1.5 	1.3 	1.6 	1.2 	0.9 	1.4 	0.7 	0.9 	0.7 	0.5 	0.5 	0.6 
TOTAL,TOTAL,PC,TOTAL,F,ES	0.4 	0.3 	0.1 	0.0 n	0.0 	0.0 n	0.1 	0.0 n	0.1 	0.1 	0.3 	0.1 
TOTAL,TOTAL,PC,TOTAL,F,EU27	: 	3.6 	3.3 	3.0 	2.9 	2.7 	2.6 e	2.4 	2.3 	2.2 	2.1 	2.2 e
TOTAL,TOTAL,PC,TOTAL,F,EU28	: 	: 	: 	: 	2.8 	2.7 	2.6 e	2.4 	2.3 	2.2 	2.1 	2.2 e
TOTAL,TOTAL,PC,TOTAL,F,FI	1.2 	1.0 	1.3 	0.9 	0.7 	0.7 	0.6 	0.5 	0.6 	0.7 	0.6 	0.4 
TOTAL,TOTAL,PC,TOTAL,F,FR	0.8 	0.7 	0.7 	0.5 	0.5 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 
TOTAL,TOTAL,PC,TOTAL,F,HR	: 	: 	: 	: 	0.5 	1.5 	2.1 b	1.6 	1.6 	1.4 	1.3 	: 
TOTAL,TOTAL,PC,TOTAL,F,HU	4.4 	4.4 	4.0 	4.1 	4.4 	4.1 	4.1 	3.9 	3.8 	3.2 	3.7 	3.3 
TOTAL,TOTAL,PC,TOTAL,F,IE	0.2 	0.5 	0.4 	0.5 	0.9 	5.5 	3.1 	1.6 	0.2 	0.1 	0.2 	: 
TOTAL,TOTAL,PC,TOTAL,F,IS	0.0 n	0.1 	0.1 	0.0 	0.0 n	0.0 n	0.1 	0.1 	0.1 	0.0 	0.1 p	: 
TOTAL,TOTAL,PC,TOTAL,F,IT	0.4 	0.4 	0.2 	0.4 	0.4 	0.6 	0.5 	0.7 	0.4 	0.4 	0.3 	0.5 
TOTAL,TOTAL,PC,TOTAL,F,LT	21.8 	18.6 	19.1 	16.2 	15.5 	15.7 	14.3 	12.8 	11.6 	10.3 	11.7 	10.5 
TOTAL,TOTAL,PC,TOTAL,F,LU	0.2 	0.2 	0.3 	0.1 	0.1 	0.2 	0.1 	0.3 	0.2 	0.1 	1.1 b	0.5 
TOTAL,TOTAL,PC,TOTAL,F,LV	19.8 	22.9 	19.4 	18.0 	17.9 	17.5 	17.9 	16.6 	15.6 	14.8 	13.4 	11.3 
TOTAL,TOTAL,PC,TOTAL,F,MK	: 	: 	: 	: 	10.7 	8.7 	7.3 	6.1 	7.3 	4.4 	3.6 	: 
TOTAL,TOTAL,PC,TOTAL,F,MT	0.7 	0.4 	0.3 	0.2 	0.3 	0.3 	0.3 	0.3 	0.2 	0.2 	0.2 	0.1 
TOTAL,TOTAL,PC,TOTAL,F,NL	: 	0.3 	0.0 	0.0 n	0.0 n	0.0 n	0.1 	0.0 n	0.0 n	0.1 	0.1 b	0.2 
TOTAL,TOTAL,PC,TOTAL,F,NO	0.2 	0.1 	0.1 	0.1 	0.1 	0.5 	0.2 	0.3 	0.2 	0.4 	0.4 	0.4 
TOTAL,TOTAL,PC,TOTAL,F,PL	7.9 	7.1 	6.0 	5.6 	4.6 	4.4 	4.0 	3.7 	3.5 	3.2 	2.8 	2.7 
TOTAL,TOTAL,PC,TOTAL,F,PT	4.0 	3.7 	3.3 	2.7 	2.1 	1.4 	1.2 	1.1 	1.4 	1.5 	1.4 	1.2 
TOTAL,TOTAL,PC,TOTAL,F,RO	: 	41.5 	41.2 	40.2 	38.3 	36.4 	34.9 	33.6 	31.9 	30.5 	30.0 	27.4 
TOTAL,TOTAL,PC,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	4.2 	3.6 	3.8 	3.6 	: 
TOTAL,TOTAL,PC,TOTAL,F,SE	0.2 	0.5 	0.4 b	0.5 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 	0.1 	0.0 
TOTAL,TOTAL,PC,TOTAL,F,SI	1.2 	0.9 	0.8 	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.4 	0.4 	0.2 
TOTAL,TOTAL,PC,TOTAL,F,SK	1.5 	1.6 	0.1 b	0.3 	0.4 	0.3 	0.4 	0.3 	0.6 	0.8 	0.7 	0.9 
TOTAL,TOTAL,PC,TOTAL,F,TR	7.3 	5.8 	5.8 	5.4 	: 	3.2 	3.1 	2.7 	2.3 	2.1 	: 	: 
TOTAL,TOTAL,PC,TOTAL,F,UK	0.3 	0.2 	0.3 	0.2 	0.2 	0.3 	0.5 b	0.4 	0.6 	0.7 	0.6 	: 
TOTAL,TOTAL,PC,TOTAL,M,AT	0.8 	1.0 	0.6 b	0.7 	0.6 	0.5 	0.6 	0.2 	0.3 	0.4 	0.2 	0.4 
TOTAL,TOTAL,PC,TOTAL,M,BE	1.0 	1.2 	1.0 	0.9 	0.3 	1.0 	0.9 	0.7 	0.7 	0.8 	0.5 	0.6 
TOTAL,TOTAL,PC,TOTAL,M,BG	21.6 	20.1 	18.6 	15.8 	15.3 	15.3 	14.1 	14.0 	12.9 	11.8 	11.6 b	10.5 
