age,indic_il,sex,wstatus,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_GE18,LI_R_MD60,T,EMP,AT	6.4 	6.1 	8.5 b	8.2 	7.5 	7.6 	8.1 	7.9 	7.2 	7.9 	8.3 	7.7 
Y_GE18,LI_R_MD60,T,EMP,BE	4.1 	4.3 	4.8 	4.6 	4.5 	4.2 	4.5 	4.4 b	4.8 	4.6 	4.7 	5.0 
Y_GE18,LI_R_MD60,T,EMP,BG	5.4 	5.8 	7.5 	7.4 	7.7 	8.2 	7.4 	7.2 	9.2 	7.7 	11.4 b	9.9 
Y_GE18,LI_R_MD60,T,EMP,CH	: 	7.7 	9.5 	8.1 	7.6 	7.7 	8.5 	7.6 	6.3 b	8.2 	7.3 	: 
Y_GE18,LI_R_MD60,T,EMP,CY	7.2 	6.3 	6.3 b	6.8 	7.3 	7.3 	7.9 	8.9 	7.8 	9.1 	8.2 	7.9 
Y_GE18,LI_R_MD60,T,EMP,CZ	3.5 	3.3 	3.6 	3.2 	3.7 	4.0 	4.5 	4.0 	3.6 	4.0 	3.8 	3.5 
Y_GE18,LI_R_MD60,T,EMP,DE	5.5 	7.4 	7.1 	6.8 	7.2 	7.7 	7.8 	8.6 	9.9 	9.7 	9.5 	9.1 
Y_GE18,LI_R_MD60,T,EMP,DK	4.5 	4.1 	5.0 	5.9 	6.5 	6.3 b	5.2 	5.5 	4.9 	5.5 	5.3 	5.3 
Y_GE18,LI_R_MD60,T,EMP,EA18	7.3 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.5 e
Y_GE18,LI_R_MD60,T,EMP,EA19	7.3 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.4 e
Y_GE18,LI_R_MD60,T,EMP,EE	7.5 	7.8 	7.3 	8.1 	6.5 	7.9 	8.3 	7.6 	11.8 b	10.0 	9.6 	9.3 
Y_GE18,LI_R_MD60,T,EMP,EL	13.8 	14.2 	14.3 	13.8 	13.8 	11.9 	15.1 	13.1 	13.4 	13.4 	14.1 	12.9 
Y_GE18,LI_R_MD60,T,EMP,ES	10.1 	10.2 	11.3 b	11.7 	10.9 	10.9 	10.8 	10.5 	12.5 	13.1 	13.1 	13.1 
Y_GE18,LI_R_MD60,T,EMP,EU27	8.1 e	8.3 	8.6 	8.4 	8.3 	8.8 	9.0 	9.0 	9.5 	9.5 	9.6 	9.6 e
Y_GE18,LI_R_MD60,T,EMP,EU28	: 	: 	: 	: 	8.3 	8.8 	8.9 	9.0 	9.5 	9.5 	9.6 	9.6 e
Y_GE18,LI_R_MD60,T,EMP,FI	4.5 	5.0 	5.1 	3.7 	3.7 	3.9 	3.8 	3.7 	3.7 	3.5 	3.1 	2.7 
Y_GE18,LI_R_MD60,T,EMP,FR	6.0 	6.5 	6.5 b	6.6 	6.5 	7.6 	8.0 	7.8 	8.0 	7.5 	7.9 	7.4 
Y_GE18,LI_R_MD60,T,EMP,HR	: 	: 	: 	: 	6.3 b	6.6 	6.0 	6.2 	5.7 	5.9 	5.6 	: 
Y_GE18,LI_R_MD60,T,EMP,HU	6.8 	5.8 	5.8 	6.2 	5.3 	6.2 	5.7 	7.0 	6.7 	9.3 	9.6 	10.2 
Y_GE18,LI_R_MD60,T,EMP,IE	6.2 	5.6 	6.5 	5.3 	5.5 	5.6 	5.6 	5.0 	5.4 	4.8 	4.8 	: 
Y_GE18,LI_R_MD60,T,EMP,IS	6.6 	7.0 	6.7 	7.7 	6.6 	6.4 	5.2 	6.1 	4.6 	6.5 	6.5 p	: 
Y_GE18,LI_R_MD60,T,EMP,IT	9.0 	9.3 	9.0 	10.2 	9.5 	11.0 	11.0 	11.0 	11.0 	11.5 	11.7 	12.2 
Y_GE18,LI_R_MD60,T,EMP,LT	10.0 	8.0 	9.4 	10.3 	12.6 	9.5 	7.6 	9.1 	8.3 	9.9 	8.5 	8.5 
Y_GE18,LI_R_MD60,T,EMP,LU	10.3 	9.3 	9.4 	10.0 	10.6 	9.9 	10.2 	11.2 	11.1 	11.6 	12.0 b	13.7 
Y_GE18,LI_R_MD60,T,EMP,LV	11.1 	9.2 	10.5 	10.8 	9.4 	9.3 	8.6 	8.9 	8.1 	9.2 	8.3 	8.8 
Y_GE18,LI_R_MD60,T,EMP,MK	: 	: 	: 	: 	: 	: 	11.1 	11.1 	9.8 	8.9 	9.0 	: 
Y_GE18,LI_R_MD60,T,EMP,MT	4.1 	4.6 	5.1 	5.4 	5.9 	6.1 	5.2 	5.9 	5.7 	5.4 	5.8 	5.9 
Y_GE18,LI_R_MD60,T,EMP,NL	4.4 	4.6 	4.8 	5.0 	5.1 	5.4 	4.6 	4.5 	5.3 	5.0 	5.6 b	6.1 
Y_GE18,LI_R_MD60,T,EMP,NO	6.1 	5.8 	5.4 	5.6 	5.2 	5.6 	5.0 	5.6 	5.0 	5.5 	5.7 	7.5 
Y_GE18,LI_R_MD60,T,EMP,PL	12.8 	11.7 	11.5 	11.0 	11.4 	11.1 	10.4 	10.7 	10.6 	11.2 	10.8 	9.9 
Y_GE18,LI_R_MD60,T,EMP,PT	11.2 	9.7 	11.8 	10.3 	9.7 	10.3 	9.9 	10.5 	10.7 	10.9 	10.9 	10.8 
Y_GE18,LI_R_MD60,T,EMP,RO	: 	17.4 	17.7 	17.4 	17.9 	19.1 	19.0 	18.4 	19.8 	18.8 	18.9 	17.4 
Y_GE18,LI_R_MD60,T,EMP,RS	: 	: 	: 	: 	: 	: 	: 	14.9 	15.0 	13.5 	12.6 	: 
Y_GE18,LI_R_MD60,T,EMP,SE	7.4 	6.4 	7.4 b	7.5 	7.7 	7.5 	7.2 	7.6 	7.7 	8.0 	6.7 	6.9 
Y_GE18,LI_R_MD60,T,EMP,SI	4.8 	4.7 	5.1 	4.8 	5.3 	6.0 	6.5 	7.1 	6.4 	6.7 	6.1 	6.6 
Y_GE18,LI_R_MD60,T,EMP,SK	6.3 	4.9 	5.8 	5.2 	5.7 	6.3 	6.2 	5.7 	5.7 	6.0 	6.5 	6.3 
