sector,s_adj,na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
S14_S15,NSA,SRG_S14_S15,PC,NL	10.56 	14.96 	10.27 p	26.24 p	10.49 p	15.86 p	9.82 p	25.27 p	8.96 p	15.44 p	7.83 p	24.60 p
S14_S15,NSA,SRG_S14_S15,PC,NO	12.34 	14.90 	13.88 	16.05 	11.60 	10.78 	12.80 	16.96 	11.44 	10.46 	13.16 	16.51 
S14_S15,NSA,SRG_S14_S15,PC,PL	1.18 	11.07 	-6.25 	5.41 	2.99 	13.04 	-10.09 p	1.47 p	1.20 p	11.85 p	-9.40 p	: 
S14_S15,NSA,SRG_S14_S15,PC,PT	2.24 	8.40 	0.75 	7.60 	3.58 	7.46 	-1.89 e	8.95 e	0.44 e	9.93 e	-2.02 e	7.92 e
S14_S15,NSA,SRG_S14_S15,PC,SE	12.72 	8.40 	13.97 	33.07 	12.43 	9.43 	13.54 	32.18 	12.07 	7.74 	15.38 	31.42 
S14_S15,NSA,SRG_S14_S15,PC,SI	11.35 	8.71 	19.20 	14.14 	11.83 	7.14 	18.07 	16.68 	12.18 	9.20 	18.35 	17.36 
S14_S15,NSA,SRG_S14_S15,PC,UK	7.82 	8.49 	7.96 	10.96 	4.40 	3.60 	3.10 	8.56 	2.93 	3.20 	3.48 	7.76 
S14_S15,SCA,SRG_S14_S15,PC,AT	13.34 	10.97 	13.65 	13.16 	12.11 	13.04 	11.94 	12.74 	11.94 	12.07 	12.58 	11.48 
S14_S15,SCA,SRG_S14_S15,PC,BE	11.49 	11.93 	11.71 	10.47 	11.06 	11.49 	10.90 	11.56 	11.08 	11.56 	10.65 	: 
S14_S15,SCA,SRG_S14_S15,PC,CZ	12.34 	11.57 	11.96 	12.26 	11.42 	10.89 	9.86 	9.35 	9.34 	9.46 	9.42 	9.95 
S14_S15,SCA,SRG_S14_S15,PC,DE	17.00 	17.04 	16.96 	17.14 	17.10 	17.21 	17.13 	17.14 	17.32 	17.55 	17.41 	: 
S14_S15,SCA,SRG_S14_S15,PC,EA19	12.56 	12.74 	12.55 	12.60 	12.53 	12.00 	11.99 	11.76 	11.79 	11.98 	11.95 	12.08 
S14_S15,SCA,SRG_S14_S15,PC,ES	8.32 	8.97 	8.61 	8.16 	7.61 	6.54 	6.15 	6.13 	5.75 	4.94 	5.00 	: 
S14_S15,SCA,SRG_S14_S15,PC,EU28	10.77 	10.76 	11.23 	10.96 	10.91 	10.12 	9.58 	9.83 	9.75 	10.23 	10.01 	: 
S14_S15,SCA,SRG_S14_S15,PC,FI	6.99 	6.76 	7.64 	6.01 	5.06 	5.82 	5.70 	5.68 	6.08 	5.40 	7.12 	6.66 
S14_S15,SCA,SRG_S14_S15,PC,FR	13.68 	14.07 	13.57 	13.19 	14.08 	13.45 	13.62 	13.91 	13.98 	13.99 	13.18 	: 
S14_S15,SCA,SRG_S14_S15,PC,IT	10.79 	10.49 	10.68 	10.86 	10.39 	9.90 	9.70 	9.45 	9.76 	10.20 	9.55 	: 
S14_S15,SCA,SRG_S14_S15,PC,NL	16.52 	15.48 	16.14 	16.36 	16.51 	15.91 	15.88 	15.36 	14.90 	15.22 	14.23 	14.85 
S14_S15,SCA,SRG_S14_S15,PC,PT	4.98 	5.44 	5.46 	4.59 	5.09 	4.79 	3.89 	6.95 	2.35 	5.53 	6.51 	7.54 
S14_S15,SCA,SRG_S14_S15,PC,SE	17.56 	17.38 	17.55 	21.14 	17.97 	18.01 	18.13 	18.16 	17.98 	17.88 	17.97 	18.00 
S14_S15,SCA,SRG_S14_S15,PC,UK	10.20 	9.38 	7.77 	7.28 	7.15 	4.74 	3.20 	4.96 	4.56 	4.66 	4.35 	: 
