unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,F3,LIAB,S11,AT	4.4 	3.8 	6.4 	6.4 	7.5 	8.2 	7.2 	6.6 	8.0 	8.9 	7.5 	7.6 	8.0 	7.7 	10.0 	10.3 	11.2 	12.2 	12.8 	12.8 	12.4 	12.7 	11.2 
PC_GDP,NCO,F3,LIAB,S11,BE	3.5 	4.3 	4.3 	3.2 	3.3 	3.9 	3.9 	3.6 	4.0 	4.6 	3.5 	3.7 	4.3 	4.4 	12.8 	12.4 	12.9 	15.0 	14.3 	12.3 	13.4 	15.8 	14.8 
PC_GDP,NCO,F3,LIAB,S11,BG	0.3 	1.3 	0.0 	0.0 	0.1 	1.3 	0.9 	1.5 	1.1 	1.1 	1.2 	3.9 	2.4 	3.7 	3.0 	3.5 	2.0 	2.0 	3.8 	3.5 	3.3 	4.3 	4.3 
PC_GDP,NCO,F3,LIAB,S11,CY	0.4 	0.4 	0.4 	0.4 	0.6 	1.0 	0.9 	0.5 	0.6 	0.1 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.7 	0.2 	0.7 	0.7 	0.0 	0.5 	0.5 
PC_GDP,NCO,F3,LIAB,S11,CZ	4.1 	5.1 	4.8 	4.4 	5.2 	5.2 	4.9 	5.0 	4.9 	4.3 	3.6 	3.8 	3.8 	4.2 	5.4 	7.1 	6.4 	6.4 	7.8 	8.3 	7.0 	6.9 	7.1 
PC_GDP,NCO,F3,LIAB,S11,DE	3.0 	2.7 	2.5 	2.3 	2.1 	2.5 	2.9 	3.2 	4.5 	4.6 	4.6 	4.5 	4.7 	5.1 	5.2 	5.2 	4.1 	4.7 	4.9 	5.1 	5.1 	5.8 	6.4 
PC_GDP,NCO,F3,LIAB,S11,DK	6.2 	7.3 	8.2 	7.6 	7.3 	7.1 	7.4 	7.2 	7.0 	7.4 	7.9 	6.8 	5.7 	4.8 	6.5 	6.6 	7.2 	8.8 	9.0 	9.0 	8.7 	9.5 	9.0 
PC_GDP,NCO,F3,LIAB,S11,EE	2.3 	3.9 	6.1 	5.9 	4.8 	2.6 	2.7 	6.2 	3.5 	3.3 	4.2 	3.2 	3.1 	4.5 	4.7 	4.7 	5.4 	7.4 	6.9 	7.1 	7.3 	6.7 	5.9 
PC_GDP,NCO,F3,LIAB,S11,EL	0.9 	0.9 	1.0 	1.2 	0.8 	3.4 	3.3 	3.1 	3.2 	4.4 	5.8 	7.1 	8.8 	12.1 	11.6 	2.8 	1.4 	1.0 	0.2 	0.2 	0.2 	0.3 	0.4 
PC_GDP,NCO,F3,LIAB,S11,ES	4.7 	4.3 	3.9 	3.4 	3.5 	2.5 	2.2 	1.7 	1.5 	1.4 	1.2 	1.2 	1.2 	1.2 	1.3 	1.2 	1.3 	1.7 	2.0 	2.1 	2.4 	2.7 	3.1 
