unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,AT	13.1 	12.7 	11.4 b	10.5 	8.9 	9.7 	10.5 	11.9 	12.1 	11.9 	11.5 	11.5 
PC,T,TOTAL,A_MD60,BE	2.2 	2.6 	2.8 	2.4 	2.6 	1.1 	0.7 	0.8 	0.8 	0.7 	2.0 	2.9 
PC,T,TOTAL,A_MD60,BG	45.9 	47.5 	46.8 	46.1 	45.8 	45.4 	42.5 	41.9 	40.1 	39.4 	39.9 b	39.8 
PC,T,TOTAL,A_MD60,CH	: 	6.3 	6.4 	6.2 	4.4 	4.7 	4.6 	6.2 	5.8 b	4.9 	5.3 	: 
PC,T,TOTAL,A_MD60,CY	1.3 	1.1 	2.3 b	2.1 	2.7 	2.0 	2.0 	1.9 	1.8 	1.0 	1.7 	2.3 
PC,T,TOTAL,A_MD60,CZ	30.9 	29.4 	27.8 	24.4 	20.3 	18.9 	18.7 	19.0 	17.3 	16.3 	15.5 	14.1 
PC,T,TOTAL,A_MD60,DE	6.3 	4.9 	4.9 	4.3 	4.8 	4.2 	4.5 	4.8 	4.6 	4.9 	4.9 	5.1 
PC,T,TOTAL,A_MD60,DK	5.4 	5.4 	5.2 	5.6 	5.3 	5.5 	5.0 	5.4 	5.9 	5.4 	6.1 	6.2 
PC,T,TOTAL,A_MD60,EA18	10.9 	10.6 	10.3 	9.7 	9.8 	9.1 	9.2 	9.5 	9.3 	9.5 	9.7 	9.7 e
PC,T,TOTAL,A_MD60,EA19	11.3 	11.0 	10.6 	10.0 	10.1 	9.2 	9.3 	9.6 	9.4 	9.6 	9.8 	9.8 e
PC,T,TOTAL,A_MD60,EE	44.4 	42.4 	41.0 	39.1 	37.1 	11.7 	12.2 	20.2 	13.3 b	12.9 	12.5 	12.9 
PC,T,TOTAL,A_MD60,EL	27.3 	27.3 	24.6 	23.2 	23.2 	23.2 	22.7 	22.9 	22.9 	24.3 	25.0 	25.4 
PC,T,TOTAL,A_MD60,ES	5.2 	4.3 	4.2 	4.0 	3.9 	5.3 b	4.0 	3.7 	3.7 	3.8 	3.3 	3.4 
PC,T,TOTAL,A_MD60,EU27	16.8 e	16.4 	16.1 	15.3 	15.1 	14.3 	14.2 	14.2 	13.7 	13.8 	13.7 	15.0 e
PC,T,TOTAL,A_MD60,EU28	: 	: 	: 	: 	15.3 	14.5 	14.4 	14.4 	13.9 	14.0 	13.9 	15.0 e
PC,T,TOTAL,A_MD60,FI	4.5 	4.2 	4.0 	4.1 	4.3 	4.7 	3.8 	4.8 	5.0 	4.7 	4.8 	4.6 
PC,T,TOTAL,A_MD60,FR	6.5 	7.8 	7.3 	7.0 	6.7 	5.4 	5.6 	5.2 	4.9 	5.3 	5.3 	5.1 
PC,T,TOTAL,A_MD60,HR	: 	: 	: 	: 	43.0 	43.9 	43.3 	41.8 	40.9 	40.9 	39.9 	: 
PC,T,TOTAL,A_MD60,HU	47.5 	45.0 	45.8 	43.7 	44.0 	41.6 	41.4 	40.0 	38.1 	37.5 	38.0 	40.2 
PC,T,TOTAL,A_MD60,IE	5.3 	4.2 	4.3 	2.8 	2.6 	1.8 	2.6 	2.5 	2.8 	2.9 	2.6 	: 
PC,T,TOTAL,A_MD60,IS	8.1 	9.9 	5.2 	5.9 	6.1 	6.6 	7.0 	7.7 	7.1 	7.1 	6.3 p	: 
PC,T,TOTAL,A_MD60,IT	21.7 	21.3 	21.8 	20.6 	21.1 	21.2 	22.8 	23.6 	23.4 	23.9 	24.8 	24.6 
PC,T,TOTAL,A_MD60,LT	51.7 	51.4 	47.5 	46.4 	43.9 	17.3 b	17.8 	26.0 b	26.5 	24.0 	21.6 	21.9 
PC,T,TOTAL,A_MD60,LU	4.5 	4.7 	4.3 	3.6 	4.9 	4.1 	4.4 	3.4 	3.8 	4.4 	4.6 b	5.7 
PC,T,TOTAL,A_MD60,LV	59.2 	60.9 	58.6 	55.7 	52.8 	40.4 	33.7 	35.3 	37.5 	39.1 	42.4 	40.5 
PC,T,TOTAL,A_MD60,MK	: 	: 	: 	: 	: 	50.6 	47.2 	46.4 	42.4 b	46.4 	46.3 	: 
PC,T,TOTAL,A_MD60,MT	3.5 	4.0 	3.8 	3.6 	3.6 	3.5 	3.5 	3.1 	3.1 	2.7 	1.9 	2.1 
PC,T,TOTAL,A_MD60,NL	1.5 	1.5 	1.2 	1.3 	1.7 	1.3 	1.8 	1.3 	1.9 	2.0 	2.5 b	2.5 
PC,T,TOTAL,A_MD60,NO	3.5 	3.5 	3.1 	2.8 	2.8 	2.7 	3.7 	3.6 	2.6 	3.0 	2.7 	2.5 
PC,T,TOTAL,A_MD60,PL	50.1 	48.6 	47.5 	45.9 	43.7 	43.9 	43.3 	41.2 	40.4 	39.9 	36.8 	38.8 
PC,T,TOTAL,A_MD60,PT	14.3 	14.9 	13.6 	12.1 	12.9 	8.9 	8.5 	9.5 	7.7 	7.7 	8.0 	7.4 
PC,T,TOTAL,A_MD60,RO	: 	54.1 	52.7 	51.0 	49.2 	48.1 	48.1 	46.5 	44.4 	45.6 	44.3 	43.5 
PC,T,TOTAL,A_MD60,RS	: 	: 	: 	: 	: 	: 	: 	51.6 	48.2 	50.0 	52.3 	: 
PC,T,TOTAL,A_MD60,SE	7.7 	7.5 	7.9 b	9.5 	9.5 	10.3 	8.9 	8.2 	7.5 	8.9 	9.3 	9.1 
PC,T,TOTAL,A_MD60,SI	39.4 	38.7 	38.4 	37.2 	33.3 	15.6 b	15.0 	14.0 	13.1 	12.1 	11.3 	11.8 
PC,T,TOTAL,A_MD60,SK	44.1 	41.4 	41.3 	37.5 	37.6 	37.1 	36.2 	37.4 	35.7 	35.0 	35.6 	33.7 
PC,T,TOTAL,A_MD60,TR	42.8 	44.0 	41.9 	39.6 	38.0 	38.5 	37.3 	37.8 	39.1 	38.6 	: 	: 
PC,T,TOTAL,A_MD60,UK	4.9 	4.8 	5.3 	5.5 	6.0 	6.3 	5.7 b	6.7 	5.9 	6.0 	6.8 	: 
PC,T,TOTAL,B_MD60,AT	32.7 	33.3 	33.6 b	30.1 	29.8 	27.2 	34.3 	31.3 	34.2 	34.1 	37.5 	36.0 
PC,T,TOTAL,B_MD60,BE	11.8 	10.5 	11.6 	12.6 	13.7 	8.4 	6.2 	8.4 	8.9 	6.5 	13.0 	16.5 
PC,T,TOTAL,B_MD60,BG	58.5 	63.6 	52.8 	50.2 	53.4 	54.7 	51.9 	53.0 	54.7 	48.5 	51.1 b	48.6 
PC,T,TOTAL,B_MD60,CH	: 	16.2 	17.0 	15.2 	15.4 	14.3 	12.9 	9.5 	13.3 b	14.7 	16.9 	: 
PC,T,TOTAL,B_MD60,CY	5.0 	4.8 	8.5 b	5.2 	7.5 	7.8 	7.5 	4.9 	4.6 	3.5 	5.7 	6.0 
PC,T,TOTAL,B_MD60,CZ	60.1 	63.2 	50.4 	50.8 	44.1 	41.0 	43.5 	42.7 	44.7 	40.4 	39.5 	34.8 
PC,T,TOTAL,B_MD60,DE	16.6 	15.6 	18.8 	21.8 	19.3 	19.9 	17.6 	16.8 	16.3 	17.3 	18.9 	18.6 
PC,T,TOTAL,B_MD60,DK	20.0 	22.6 	22.5 	22.4 	20.0 	21.2 	23.8 	26.9 	24.8 	27.2 	23.5 	25.6 
PC,T,TOTAL,B_MD60,EA18	22.7 	23.1 	23.5 	23.9 	23.6 	23.5 	23.5 	23.7 	23.8 	24.0 	24.3 	23.9 e
PC,T,TOTAL,B_MD60,EA19	23.2 	23.5 	23.9 	24.2 	24.0 	23.5 	23.5 	23.8 	23.9 	24.2 	24.3 	24.0 e
PC,T,TOTAL,B_MD60,EE	52.6 	47.9 	44.8 	49.9 	53.8 	27.1 	22.5 	24.9 	17.7 b	15.0 	16.7 	15.6 
PC,T,TOTAL,B_MD60,EL	37.3 	36.3 	35.2 	32.3 	34.7 	35.8 	39.4 	42.0 	43.1 	42.0 	42.2 	43.8 
PC,T,TOTAL,B_MD60,ES	11.7 	11.5 	11.2 	10.0 	9.2 	11.3 b	11.6 	11.0 	10.8 	11.4 	12.7 	11.3 
PC,T,TOTAL,B_MD60,EU27	30.7 e	30.3 	29.5 	30.1 	29.8 	29.0 	29.2 	29.8 	29.8 	29.4 	29.4 	29.5 e
PC,T,TOTAL,B_MD60,EU28	: 	: 	: 	: 	30.0 	29.2 	29.4 	30.0 	29.9 	29.6 	29.5 	29.5 e
PC,T,TOTAL,B_MD60,FI	18.2 	19.0 	16.8 	16.9 	17.5 	17.7 	20.6 	22.8 	20.8 	21.0 	20.5 	17.8 
PC,T,TOTAL,B_MD60,FR	18.5 	25.7 	26.4 	27.2 	25.6 	23.5 	23.3 	20.9 	21.1 	20.9 	23.1 	24.5 
PC,T,TOTAL,B_MD60,HR	: 	: 	: 	: 	46.4 	47.3 	48.6 	46.8 	47.1 	45.0 	45.9 	: 
PC,T,TOTAL,B_MD60,HU	70.7 	65.1 	65.7 	68.8 	69.7 	68.9 	68.3 	66.8 	63.8 	62.0 	54.7 	42.6 
PC,T,TOTAL,B_MD60,IE	10.1 	8.8 	6.8 	8.4 	7.7 	6.7 	6.0 	4.4 	7.6 	6.0 	6.0 	: 
PC,T,TOTAL,B_MD60,IS	14.6 	17.7 	16.8 	19.0 	17.2 	17.7 	18.5 	23.1 	18.1 	19.9 	18.3 p	: 
PC,T,TOTAL,B_MD60,IT	36.7 	36.6 	35.0 	35.2 	38.1 	38.1 	39.8 	41.7 	43.0 	43.8 	39.2 	36.9 
PC,T,TOTAL,B_MD60,LT	60.7 	57.3 	52.0 	54.7 	51.8 	28.7 b	24.7 	35.4 b	35.9 	34.5 	31.0 	29.6 
PC,T,TOTAL,B_MD60,LU	27.0 	27.0 	32.1 	22.8 	24.9 	23.8 	21.4 	20.6 	21.6 	19.8 	26.0 b	19.7 
PC,T,TOTAL,B_MD60,LV	61.9 	56.6 	53.7 	57.8 	66.4 	57.4 	48.7 	47.9 	48.2 	49.4 	45.9 	47.0 
PC,T,TOTAL,B_MD60,MK	: 	: 	: 	: 	: 	67.5 	67.2 	63.1 	59.6 b	68.1 	63.6 	: 
PC,T,TOTAL,B_MD60,MT	3.4 	5.4 	4.2 	5.1 	6.6 	9.2 	6.6 	6.3 	8.7 	7.7 	7.5 	5.1 
PC,T,TOTAL,B_MD60,NL	4.5 	5.8 	6.3 	5.5 	4.5 	4.7 	9.2 	13.8 	15.9 	13.2 	14.6 b	14.6 
PC,T,TOTAL,B_MD60,NO	18.2 	18.8 	21.4 	21.9 	25.7 	25.1 	23.1 	25.1 	21.1 	21.6 	22.1 	22.1 
PC,T,TOTAL,B_MD60,PL	71.1 	69.6 	67.2 	64.9 	65.6 	62.5 	60.8 	61.9 	62.4 	59.7 	59.2 	49.8 
PC,T,TOTAL,B_MD60,PT	22.2 	21.4 	25.1 	23.4 	22.3 	20.6 	17.2 	19.7 	21.1 	21.0 	19.9 	17.7 
PC,T,TOTAL,B_MD60,RO	: 	61.5 	61.7 	62.0 	61.9 	62.6 	63.6 	64.4 	64.5 	61.7 	60.6 	58.3 
PC,T,TOTAL,B_MD60,RS	: 	: 	: 	: 	: 	: 	: 	62.3 	56.8 	63.6 	65.0 	: 
PC,T,TOTAL,B_MD60,SE	32.2 	31.0 	31.3 b	27.2 	34.2 	31.1 	35.6 	38.7 	42.1 	40.0 	41.3 	37.1 
PC,T,TOTAL,B_MD60,SI	47.1 	48.9 	47.2 	44.4 	46.3 	26.4 b	27.1 	25.2 	24.9 	23.1 	20.4 	19.6 
PC,T,TOTAL,B_MD60,SK	60.4 	59.6 	55.5 	58.3 	58.4 	55.5 	52.4 	55.7 	58.2 	57.6 	54.2 	55.6 
PC,T,TOTAL,B_MD60,TR	75.4 	74.7 	77.1 	76.0 	76.7 	75.2 	73.9 	72.9 	73.1 	71.8 	: 	: 
PC,T,TOTAL,B_MD60,UK	12.5 	12.3 	11.5 	15.7 	14.0 	11.0 	13.7 b	14.9 	14.0 	14.0 	14.4 	: 
PC,T,TOTAL,TOTAL,AT	15.6 	15.2 	14.8 b	13.3 	12.0 	12.3 	13.9 	14.7 	15.3 	15.0 	15.2 	15.1 
PC,T,TOTAL,TOTAL,BE	3.6 	3.8 	4.1 	3.9 	4.2 	2.2 	1.6 	2.0 	2.0 	1.6 	3.7 	5.1 
PC,T,TOTAL,TOTAL,BG	48.2 	51.1 	48.1 	47.0 	47.4 	47.4 	44.5 	44.2 	43.3 	41.4 	42.5 b	41.9 
PC,T,TOTAL,TOTAL,CH	: 	7.7 	8.1 	7.6 	6.1 	6.1 	5.9 	6.7 	6.8 b	6.4 	7.0 	: 
PC,T,TOTAL,TOTAL,CY	1.9 	1.6 	3.3 b	2.6 	3.5 	2.9 	2.8 	2.4 	2.2 	1.4 	2.4 	2.8 
PC,T,TOTAL,TOTAL,CZ	33.8 	32.7 	29.8 	26.6 	22.5 	21.1 	21.1 	21.0 	19.9 	18.7 	17.9 	16.0 
PC,T,TOTAL,TOTAL,DE	7.6 	6.5 	7.0 	7.0 	7.1 	6.7 	6.6 	6.7 	6.6 	7.0 	7.2 	7.2 
PC,T,TOTAL,TOTAL,DK	7.1 	7.4 	7.3 	7.8 	7.3 	7.4 	7.2 	7.9 	8.2 	8.1 	8.2 	8.6 
PC,T,TOTAL,TOTAL,EA18	12.7 	12.6 	12.4 	12.0 	12.0 	11.5 	11.6 	11.8 	11.8 	12.0 	12.2 	12.1 e
PC,T,TOTAL,TOTAL,EA19	13.1 	13.0 	12.8 	12.3 	12.4 	11.6 	11.7 	12.0 	11.9 	12.1 	12.3 	12.2 e
PC,T,TOTAL,TOTAL,EE	45.9 	43.5 	41.7 	41.2 	39.7 	14.4 	14.0 	21.1 	14.2 b	13.4 	13.4 	13.5 
PC,T,TOTAL,TOTAL,EL	29.3 	29.2 	26.7 	25.0 	25.5 	25.9 	26.5 	27.3 	27.4 	28.1 	28.7 	29.1 
PC,T,TOTAL,TOTAL,ES	6.5 	5.8 	5.6 	5.2 	5.0 	6.6 b	5.6 	5.2 	5.3 	5.5 	5.4 	5.1 
PC,T,TOTAL,TOTAL,EU27	19.1 e	18.7 	18.3 	17.7 	17.5 	16.8 	16.7 	16.8 	16.5 	16.5 	16.4 	17.5 e
PC,T,TOTAL,TOTAL,EU28	: 	: 	: 	: 	17.7 	17.0 	16.9 	17.0 	16.7 	16.7 	16.6 	17.5 e
PC,T,TOTAL,TOTAL,FI	6.3 	6.1 	5.8 	5.9 	6.1 	6.5 	6.0 	6.9 	7.0 	6.7 	6.6 	6.1 
PC,T,TOTAL,TOTAL,FR	8.1 	10.1 	9.7 	9.6 	9.2 	8.0 	8.1 	7.4 	7.1 	7.4 	7.7 	7.7 
PC,T,TOTAL,TOTAL,HR	: 	: 	: 	: 	43.7 	44.6 	44.4 	42.8 	42.1 	41.7 	41.1 	: 
PC,T,TOTAL,TOTAL,HU	51.2 	47.4 	48.3 	46.8 	47.2 	45.5 	45.3 	44.0 	41.9 	41.1 	40.4 	40.5 
PC,T,TOTAL,TOTAL,IE	6.2 	4.9 	4.7 	3.7 	3.4 	2.6 	3.2 	2.8 	3.6 	3.4 	3.2 	: 
PC,T,TOTAL,TOTAL,IS	8.7 	10.7 	6.3 	7.3 	7.2 	7.6 	7.9 	9.1 	8.0 	8.3 	7.4 p	: 
PC,T,TOTAL,TOTAL,IT	24.6 	24.3 	24.3 	23.3 	24.3 	24.5 	26.1 	27.1 	27.2 	27.8 	27.8 	27.1 
PC,T,TOTAL,TOTAL,LT	53.5 	52.5 	48.4 	48.1 	45.5 	19.5 b	19.0 	28.0 b	28.3 	26.4 	23.7 	23.7 
PC,T,TOTAL,TOTAL,LU	7.7 	7.7 	8.0 	6.4 	7.8 	6.8 	7.0 	6.2 	6.7 	6.8 	8.1 b	8.3 
PC,T,TOTAL,TOTAL,LV	59.9 	60.0 	57.4 	56.3 	55.7 	43.7 	36.6 	37.7 	39.8 	41.4 	43.2 	41.9 
PC,T,TOTAL,TOTAL,MK	: 	: 	: 	: 	: 	55.2 	52.4 	50.5 	46.2 b	51.1 	50.1 	: 
PC,T,TOTAL,TOTAL,MT	3.5 	4.2 	3.9 	3.8 	4.0 	4.4 	4.0 	3.6 	4.0 	3.5 	2.9 	2.6 
PC,T,TOTAL,TOTAL,NL	1.8 	1.9 	1.7 	1.7 	2.0 	1.7 	2.5 	2.6 	3.5 	3.3 	4.0 b	4.1 
PC,T,TOTAL,TOTAL,NO	5.3 	5.3 	5.2 	5.0 	5.3 	5.1 	5.6 	6.0 	4.6 	5.2 	5.1 	4.9 
PC,T,TOTAL,TOTAL,PL	54.1 	52.3 	50.8 	49.1 	47.5 	47.2 	46.3 	44.8 	44.2 	43.4 	40.7 	40.5 
PC,T,TOTAL,TOTAL,PT	15.8 	16.1 	15.7 	14.1 	14.6 	11.0 	10.1 	11.4 	10.3 	10.3 	10.3 	9.3 
PC,T,TOTAL,TOTAL,RO	: 	55.9 	54.8 	53.4 	52.0 	51.4 	51.6 	50.6 	49.4 	49.7 	48.4 	47.0 
PC,T,TOTAL,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	54.3 	50.4 	53.4 	55.5 	: 
PC,T,TOTAL,TOTAL,SE	10.7 	10.0 	11.0 b	12.1 	13.1 	13.5 	12.9 	13.0 	12.7 	13.9 	14.4 	13.5 
PC,T,TOTAL,TOTAL,SI	40.3 	39.9 	39.5 	38.0 	34.9 	17.1 b	16.6 	15.6 	14.8 	13.7 	12.6 	12.8 
PC,T,TOTAL,TOTAL,SK	45.9 	43.3 	42.9 	39.7 	40.1 	39.5 	38.4 	39.8 	38.6 	37.8 	37.9 	36.4 
PC,T,TOTAL,TOTAL,TR	51.5 	51.6 	50.6 	48.8 	47.4 	47.1 	46.0 	45.9 	46.9 	46.0 	: 	: 
PC,T,TOTAL,TOTAL,UK	6.3 	6.2 	6.5 	7.2 	7.3 	7.1 	7.0 b	8.0 	7.3 	7.3 	8.0 	: 
