geo\time	2010 	2012 	2014 	2016 
AT	92 	92 	94 	: 
BE	17 	18 	32 	95 
BG	62 	12 	96 	90 
CY	0 	60 	38 	57 
CZ	91 	91 	90 	: 
DE	95 	94 	: c	: 
DK	84 	91 	92 	90 
EE	96 	96 	98 	97 
EL	0 	0 	0 	: 
ES	65 	84 	70 	79 
EU28	78 	86 	88 	90 s
FI	5 	12 	83 	87 
FR	66 	66 	71 	72 e
HR	2 	51 	69 	76 
HU	61 	75 	86 	99 
IE	97 	100 	100 	96 
IS	75 	100 	86 b	: 
IT	97 	97 	97 	98 
LT	73 	88 	92 	97 
LU	98 	99 	: c	: 
LV	91 	96 	92 	98 
MK	0 	0 	0 	: 
MT	16 	100 	100 	100 
NL	100 	100 	99 	100 
NO	44 	75 	78 	: 
PL	93 	92 	96 	91 
PT	58 	74 	96 	97 
RO	47 	67 	65 	85 
RS	5 	0 	3 	: 
SE	78 	81 	55 	61 
SI	94 	92 	98 	98 
SK	47 	38 	54 	54 
TR	: 	20 	: 	: 
UK	95 	95 	95 	96 
