unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EUR_KG_CLV10,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	0.4445 	0.4469 	: c	: c	: c	: 	: 
EUR_KG_CLV10,AT	1.3662 	1.4249 	1.349 	1.4316 	1.4044 	1.397 	1.3992 	1.4371 	1.635 	1.656 	1.7402 	1.6965 	1.7374 	1.7548 	1.757 	1.7956 	1.7809 s	1.789 ps
EUR_KG_CLV10,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.3907 	: 	: 
EUR_KG_CLV10,BE	2.0317 s	2.0039 s	2.0773 s	2.1484 s	2.1692 s	2.186 	1.9755 s	2.0086 s	2.015 	2.1844 	2.2225 	2.1303 	2.3841 	2.4645 	2.5673 	2.6307 	2.7514 s	2.6341 ps
EUR_KG_CLV10,BG	0.2419 	0.235 s	0.2439 s	0.2536 s	0.2403 s	0.254 s	0.2499 s	0.2597 s	0.2554 s	0.3082 s	0.3166 s	0.2914 s	0.3033 s	0.3169 s	0.2937 s	0.2696 p	0.3106 ps	0.302 ps
EUR_KG_CLV10,CH	4.0891 	4.1405 	4.2362 	4.3738 	4.228 	4.2928 	4.3635 	4.6154 	4.6388 	4.5293 	4.5337 	4.5328 	4.7327 	4.7007 	4.7612 	5.0897 	5.0625 	5.235 p
EUR_KG_CLV10,CY	0.8483 s	0.8787 s	0.8372 s	0.975 s	0.9124 s	0.9265 s	0.9788 s	0.8911 s	0.6147 	0.7686 	0.836 	0.8546 	1.1289 	1.4695 	1.4594 	1.4793 	1.3162 s	1.1416 ps
EUR_KG_CLV10,CZ	0.6376 	0.6491 	0.6915 	0.6966 	0.6884 	0.7393 	0.7659 	0.7971 	0.8315 	0.8672 	0.9338 	0.9004 	1.0043 	1.0152 	1.0084 	1.0188 	1.0583 	1.1312 ps
EUR_KG_CLV10,DE	1.6222 	1.7454 	1.7874 	1.7958 	1.7912 	1.8631 	1.8824 	1.9428 	1.9778 	1.96 	2.0397 	1.9578 	2.0346 	2.059 	2.0255 	2.1443 	2.1909 ep	2.2715 ps
EUR_KG_CLV10,DK	1.6478 	1.6935 	1.7776 	1.7379 	1.6962 	1.5994 	1.5627 	1.6277 	1.6911 	1.917 	2.0873 	1.8959 	1.8943 	2.0246 	2.0469 	2.0221 	1.9998 e	1.9826 ps
EUR_KG_CLV10,EE	0.4669 	0.5207 	0.4811 	0.4088 	0.4659 	0.5207 	0.5167 	0.4587 	0.4783 	0.4358 	0.4416 	0.4455 	0.4639 	0.4435 	0.466 	0.4883 	0.5231 s	0.4941 ps
EUR_KG_CLV10,EL	1.2386 s	1.2147 s	1.2293 s	1.1826 s	1.2652 s	1.2706 s	1.3722 s	1.0232 s	1.074 	1.2102 s	1.2783 s	1.2916 	1.309 	1.366 	1.3373 	1.423 	1.43 s	1.4507 ps
