intrt,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
MAT_ON,BG	-0.46 	-0.48 	-0.48 	-0.49 	-0.50 	-0.50 	-0.49 	-0.49 	-0.50 	-0.50 	-0.50 	-0.49 
MAT_ON,CZ	0.28 	0.47 	0.50 	0.50 	0.74 	0.75 	0.75 	0.75 	0.76 	1.00 	1.23 	1.26 
MAT_ON,EA	-0.36 	-0.35 	-0.34 	-0.36 	-0.36 	-0.36 	-0.37 	-0.36 	-0.36 	-0.36 	-0.36 	-0.36 
MAT_ON,HR	0.38 	0.35 	0.33 	0.30 	0.31 	0.30 	0.27 	0.28 	0.30 	0.33 	0.33 	0.34 
MAT_ON,HU	-0.04 	-0.04 	-0.01 	-0.07 	-0.06 	-0.07 	-0.06 	-0.02 	-0.01 	-0.01 	-0.02 	0.00 
MAT_ON,PL	1.53 	1.52 	1.51 	1.42 	1.55 	1.64 	1.61 	1.51 	1.58 	1.54 	1.46 	1.62 
MAT_ON,RO	1.35 	1.56 	1.13 	0.96 	1.14 	1.23 	1.63 	2.38 	2.78 	2.90 	2.50 	2.21 
MAT_ON,TR	12.24 	12.21 	12.50 	12.75 	12.75 	12.74 	12.83 	14.33 	17.68 	17.79 	18.70 	: 
MAT_ON,UK	0.22 	0.46 	0.47 	0.47 	0.47 	0.48 	0.47 	0.47 	0.47 	0.46 	0.68 	0.70 
