cpatc,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
Y02W_X_1030_3030_9010,NR,AT	9.47 	7.82 	15.32 	11.27 	8.47 	9.4 	5.93 	7.07 	8.03 	4.83 	7.06 	8.78 	8.75 	10 
Y02W_X_1030_3030_9010,NR,AU	20.45 	8.56 	15.43 	20.08 	16.73 	14.66 	6 	6.33 	6.39 	9.75 	6.57 	13.43 	10.33 	13.84 
Y02W_X_1030_3030_9010,NR,BE	7.69 	8.1 	7.9 	3.46 	7.35 	3.13 	4.86 	4.22 	6.4 	10.44 	11.12 	7.79 	6.87 	15.42 
Y02W_X_1030_3030_9010,NR,BG	1 	0 	0 	0.33 	1 	0 	1 	1 	1 	1 	2 	1 	0.5 	0 
Y02W_X_1030_3030_9010,NR,CA	27.84 	22.58 	12.24 	18.45 	13.31 	13.47 	17.28 	11.66 	8.8 	5.47 	8.09 	9.88 	23.82 	24.5 
Y02W_X_1030_3030_9010,NR,CN	105.6 	78.19 	183.77 	208.27 	267.32 	387.8 	530 	710.6 	1082.96 	1226.21 	1406 	1487.11 	1939 	2512.39 
Y02W_X_1030_3030_9010,NR,CY	0 	0.66 	0.67 	0 	0 	0 	0.5 	0.17 	0 	0.1 	0 	1.5 	0 	0 
Y02W_X_1030_3030_9010,NR,CZ	3 	5 	1 	2.68 	3.84 	7.8 	2.39 	6 	2.02 	7.24 	8.27 	5.92 	9.95 	7.33 
Y02W_X_1030_3030_9010,NR,DE	120.48 	95.58 	96.86 	91.15 	86.76 	90.82 	81.66 	78.03 	92.04 	92.88 	71.41 	86.81 	82.65 	92.65 
Y02W_X_1030_3030_9010,NR,DK	2.75 	3.99 	2.92 	4.4 	7.67 	5.51 	4.16 	4.24 	2.56 	1.25 	0.95 	1 	3.39 	8.17 
Y02W_X_1030_3030_9010,NR,EE	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0.17 	0 	0.38 	0 
Y02W_X_1030_3030_9010,NR,EL	0.33 	0 	0 	1 	0 	0.25 	0.5 	0.7 	0 	0 	1 	0 	0 	1 
Y02W_X_1030_3030_9010,NR,ES	10 	15.1 	13.42 	13.13 	7.16 	18.52 	6.76 	14.29 	19.26 	19.38 	11.34 	15.45 	17.84 	28.65 
Y02W_X_1030_3030_9010,NR,EU28	270.26 	250.11 	259.68 	245.9 	236.03 	254.52 	229.33 	211.04 	265.82 	281.57 	284.93 	305.19 	346.84 	363.78 
Y02W_X_1030_3030_9010,NR,FI	5.27 	8.08 	8.66 	5.44 	5.51 	6.99 	8.97 	9.6 	5.3 	5.07 	10.47 	6.87 	10.11 	14.42 
Y02W_X_1030_3030_9010,NR,FR	37.56 	41.03 	29.37 	36.04 	33.75 	31.37 	36.71 	28.66 	38.91 	33.06 	47.02 	38.54 	55.94 	53.73 
Y02W_X_1030_3030_9010,NR,HR	0 	0 	1 	0 	0 	0.5 	0 	0.33 	0 	0 	1 	0.5 	0.25 	0 
Y02W_X_1030_3030_9010,NR,HU	0.53 	0.5 	0 	3 	2.7 	1 	5.51 	1.3 	4.84 	1.1 	6.74 	4.63 	2.5 	2 
Y02W_X_1030_3030_9010,NR,IE	3.65 	2.44 	4.34 	6.7 	4.17 	0.2 	1.5 	0.58 	3.85 	2.83 	1.58 	3.03 	1.34 	2 
Y02W_X_1030_3030_9010,NR,IT	13.32 	13.32 	10.17 	13.63 	13.61 	18.79 	15.34 	13.88 	23.66 	34.98 	27.43 	30.91 	29.63 	34.92 
Y02W_X_1030_3030_9010,NR,JP	2211.06 	1977.73 	1714.98 	1564.62 	1413.87 	1256.66 	1126.69 	923.36 	852.71 	661.33 	699.16 	660.08 	611.82 	551.25 
Y02W_X_1030_3030_9010,NR,KR	220.45 	237.08 	242.57 	180.68 	204.69 	248.21 	393.98 	381.81 	543.29 	675.42 	594.53 	588.7 	688.31 	559.61 
Y02W_X_1030_3030_9010,NR,LT	1.75 	0.7 	3 	2 	0 	2 	1.95 	0 	1 	0 	2 	2 	2 	1 
Y02W_X_1030_3030_9010,NR,LU	2.12 	2 	0 	0 	1.83 	1.73 	0.83 	0.24 	0.83 	5.35 	1.64 	1.42 	2.67 	3.26 
Y02W_X_1030_3030_9010,NR,LV	0 	1 	1 	0 	1 	0 	0 	0 	0 	2 	2 	0 	1.33 	3 
Y02W_X_1030_3030_9010,NR,MT	0 	0 	0 	0.5 	0 	0 	0.32 	0 	0 	0 	0 	0 	0 	0 
