unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,CO,F3,LIAB,S11,AT	7263.0 	6464.5 	11682.7 	12270.7 	15100.7 	17327.7 	15645.6 	14855.4 	18153.8 	21344.0 	18930.5 	19185.9 	21354.4 	21559.6 	27448.4 	28954.1 	33030.1 	36990.8 	40100.6 	41118.4 	41546.3 	43828.6 	40291.5 
MIO_NAC,CO,F3,LIAB,S11,BE	6442.8 	7874.1 	8364.0 	7072.2 	7575.6 	9515.0 	9553.6 	9014.5 	10547.1 	12781.7 	9811.8 	11334.1 	13716.4 	14062.5 	42904.6 	42914.4 	46588.1 	54782.7 	54060.6 	47072.7 	53007.0 	66055.1 	64304.2 
MIO_NAC,CO,F3,LIAB,S11,BG	4.0 	29.0 	0.0 	11.0 	26.0 	239.0 	149.0 	102.0 	244.0 	336.0 	526.0 	1747.0 	1288.0 	1494.0 	1063.0 	1080.0 	1181.0 	1049.0 	2815.0 	2645.0 	2563.0 	3749.0 	4099.0 
MIO_NAC,CO,F3,LIAB,S11,CY	29.2 	25.8 	26.9 	25.0 	41.6 	74.9 	67.7 	33.9 	47.9 	5.6 	11.9 	11.8 	5.7 	5.2 	10.1 	8.6 	72.4 	31.4 	88.6 	78.0 	1.6 	85.5 	100.3 
MIO_NAC,CO,F3,LIAB,S11,CZ	43132.0 	73739.0 	76018.0 	81806.0 	103975.0 	110278.0 	108849.0 	116982.0 	111596.0 	94122.0 	72646.0 	91632.0 	105628.0 	134585.0 	187020.0 	254356.0 	244920.0 	245409.0 	310183.0 	347264.0 	315101.0 	300746.0 	327204.0 
MIO_NAC,CO,F3,LIAB,S11,DE	56765.0 	52207.0 	48322.0 	46233.0 	43811.0 	52634.0 	62759.0 	70521.0 	98959.0 	103408.0 	106640.0 	108892.0 	118635.0 	131215.0 	128991.0 	134846.0 	110722.0 	130876.0 	138893.0 	150886.0 	156789.0 	183815.0 	210567.0 
MIO_NAC,CO,F3,LIAB,S11,DK	63238.0 	77854.0 	91020.0 	88132.0 	88139.0 	91941.0 	99117.0 	99868.0 	99258.0 	110225.0 	124317.0 	112903.0 	97358.0 	86306.0 	110650.0 	119293.0 	132960.0 	166675.0 	172004.0 	177424.0 	175922.0 	193670.0 	192167.0 
MIO_NAC,CO,F3,LIAB,S11,EE	64.5 	142.9 	275.6 	298.2 	257.4 	157.6 	188.4 	481.2 	302.1 	309.8 	472.0 	431.4 	488.3 	731.4 	654.8 	625.3 	732.5 	1136.3 	1222.3 	1380.0 	1364.0 	1347.3 	1358.8 
MIO_NAC,CO,F3,LIAB,S11,EL	627.3 	730.1 	930.9 	1209.7 	824.6 	4553.3 	4715.0 	4631.4 	5239.0 	7883.3 	10977.2 	14862.7 	19632.1 	28408.9 	26930.3 	6237.5 	2847.4 	1882.5 	418.7 	419.2 	402.9 	526.5 	671.7 
MIO_NAC,CO,F3,LIAB,S11,ES	19260.0 	18420.0 	17080.0 	16301.0 	17853.0 	14499.0 	14362.0 	11874.0 	10427.0 	11105.0 	9902.0 	11339.0 	12051.0 	13021.0 	13944.0 	12947.0 	13494.0 	16304.0 	19550.0 	17950.0 	21509.0 	25284.0 	29314.0 
MIO_NAC,CO,F3,LIAB,S11,FI	5140.0 	5315.0 	6373.0 	6262.0 	7076.0 	10699.0 	13170.0 	13910.0 	15818.0 	16559.0 	18650.0 	20661.0 	22285.0 	14312.0 	20634.0 	27242.0 	27846.0 	32346.0 	36227.0 	36808.0 	32556.0 	32091.0 	30601.0 
MIO_NAC,CO,F3,LIAB,S11,FR	139649.0 	151680.0 	159494.0 	175493.0 	200771.0 	233742.0 	288039.0 	282832.0 	305303.0 	301879.0 	301128.0 	295051.0 	258859.0 	281579.0 	349262.0 	380734.0 	406325.0 	483543.0 	490697.0 	578576.0 	596074.0 	639393.0 	648208.0 
MIO_NAC,CO,F3,LIAB,S11,HR	: 	: 	: 	: 	: 	: 	1727.3 	3919.9 	3915.4 	4160.2 	4124.9 	5798.6 	9630.8 	9716.1 	11030.2 	9923.8 	10382.5 	18862.8 	17833.7 	14307.8 	15903.8 	16506.9 	12707.5 
MIO_NAC,CO,F3,LIAB,S11,HU	88937.0 	102816.0 	113218.0 	113087.0 	109011.0 	97873.0 	103514.0 	116008.0 	107365.0 	74802.0 	271898.0 	326100.0 	336574.0 	355141.0 	319157.0 	536661.0 	584652.0 	636044.0 	648142.0 	684357.0 	433325.0 	713468.0 	562754.0 
MIO_NAC,CO,F3,LIAB,S11,IE	: 	: 	: 	: 	: 	: 	1994.0 	2496.0 	4110.0 	6857.0 	7828.0 	7683.0 	6951.0 	4590.0 	6677.0 	9114.0 	8241.0 	9548.0 	9318.0 	10115.0 	10918.0 	21334.0 	17336.0 
MIO_NAC,CO,F3,LIAB,S11,IT	16009.0 	19459.0 	20234.0 	23447.0 	18541.0 	18067.0 	32161.0 	41625.0 	44084.0 	56823.0 	57392.0 	66154.0 	67819.0 	63578.0 	82260.0 	95282.0 	89276.0 	122168.0 	138267.0 	152331.0 	145750.0 	140917.0 	160584.0 
MIO_NAC,CO,F3,LIAB,S11,LT	0.0 	0.0 	173.5 	61.7 	26.4 	33.7 	175.0 	147.5 	69.3 	12.9 	12.9 	30.7 	49.7 	55.4 	70.5 	77.5 	74.5 	34.8 	76.5 	96.7 	107.2 	136.1 	561.0 
MIO_NAC,CO,F3,LIAB,S11,LU	: 	: 	: 	: 	923.3 	830.2 	836.7 	2555.6 	4031.7 	4479.4 	3291.0 	3592.8 	3241.2 	3481.9 	14299.6 	17809.3 	18055.1 	22408.3 	22245.4 	37595.8 	45462.5 	32374.1 	31077.2 
MIO_NAC,CO,F3,LIAB,S11,LV	2.0 	2.0 	4.0 	4.0 	2.0 	5.0 	6.0 	5.0 	58.0 	19.5 	45.9 	54.8 	69.7 	25.6 	36.7 	24.9 	56.6 	383.7 	408.4 	798.4 	196.0 	235.0 	176.0 
MIO_NAC,CO,F3,LIAB,S11,MT	282.2 e	301.0 e	346.7 e	443.3 e	446.4 e	461.8 e	464.7 e	436.2 e	444.0 e	446.4 	475.0 	441.3 	451.8 	429.9 	449.8 	428.4 	427.5 	407.0 	371.0 	434.5 	478.4 	683.8 	682.4 
MIO_NAC,CO,F3,LIAB,S11,NL	42206.0 	43450.0 	44277.0 	47669.0 	54046.0 	77175.0 	84318.0 	84656.0 	81367.0 	75897.0 	79418.0 	80386.0 	77260.0 	80256.0 	69187.0 	69340.0 	68707.0 	78566.0 	76558.0 	108472.0 	119877.0 	147723.0 	144247.0 p
MIO_NAC,CO,F3,LIAB,S11,PL	839.0 	1791.0 	2572.6 	6859.4 	15255.9 	20511.3 	23245.2 	23532.8 	26180.0 	27568.0 	25043.0 	20937.0 	32564.0 	24424.0 	24056.0 	33941.0 	45112.0 	55813.0 	68858.0 	86074.0 	87706.0 	91331.0 	89498.0 
MIO_NAC,CO,F3,LIAB,S11,PT	4449.4 	5119.1 	5942.7 	6931.9 	9965.3 	10365.1 	12209.4 	15777.2 	13896.8 	15195.8 	19892.1 	21542.2 	26172.4 	30716.2 	32345.2 	33944.8 	33055.2 	35086.2 	38194.0 	33599.3 	33117.1 	32073.5 	34270.8 
MIO_NAC,CO,F3,LIAB,S11,RO	307.9 e	309.0 e	323.8 e	344.2 	533.5 	361.1 	1081.7 	2665.5 	2333.2 	1511.7 	1278.2 	662.5 	417.0 	454.1 	458.3 	382.4 	2294.1 	416.1 	342.2 	387.5 	523.1 	449.7 	266.0 
MIO_NAC,CO,F3,LIAB,S11,SE	69305.0 	81515.0 	126136.0 	141192.0 	176216.0 	221127.0 	230630.0 	271034.0 	297029.0 	271510.0 	308594.0 	301467.0 	366565.0 	432703.0 	486395.0 	445259.0 	478412.0 	544110.0 	684010.0 	748060.0 	756566.0 	806834.0 	966685.0 
MIO_NAC,CO,F3,LIAB,S11,SI	47.0 	47.0 	50.0 	59.0 	69.0 	93.0 	136.0 	120.0 	117.0 	210.0 	410.0 	401.0 	421.0 	394.0 	733.0 	730.0 	691.0 	761.0 	741.0 	992.0 	1110.0 	890.0 	948.0 
MIO_NAC,CO,F3,LIAB,S11,SK	928.3 	1005.1 	1273.1 	1343.3 	1453.7 	1806.7 	1461.7 	1318.5 	1085.9 	1469.2 	1090.4 	1050.9 	924.0 	1032.1 	824.6 	736.2 	537.1 	555.0 	3040.4 	5833.4 	5710.2 	6302.5 	7189.0 
