wst_oper,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RCY,PC,AT	50.5 	62.1 	63.5 	64.4 	63.5 	63.4 	64.3 e	62.5 e	64.2 e	57.4 	58.3 e	59.2 	60.2 	63.2 	61.9 	59.4 	56.7 	57.7 	57.7 	56.3 	56.9 	57.6 
RCY,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
RCY,PC,BE	19.0 	25.0 	33.8 	41.0 	45.0 	48.4 	48.6 	49.4 	51.0 	51.7 	53.8 	54.6 	56.8 	52.8 	54.0 	54.9 	54.3 	53.4 	52.6 	53.6 	53.4 	53.5 
RCY,PC,BG	0.0 	0.0 	0.0 	15.9 e	15.7 e	15.5 e	16.1 e	16.3 e	16.5 e	17.2 e	18.3 e	19.1 e	20.6 e	19.4 e	19.9 e	24.5 	26.2 	25.0 	28.5 	23.1 	29.4 	31.8 
RCY,PC,CH	38.7 	41.2 	42.5 	43.7 	42.9 	45.3 	46.6 	46.7 	47.5 	48.7 	50.6 	50.1 	51.0 	49.9 	51.3 	50.5 	50.1 	50.0 e	51.0 	53.5 e	52.7 	52.5 
RCY,PC,CY	0.0 	2.8 	3.2 	2.9 	3.1 	3.0 	3.1 	3.2 	3.1 	3.2 	3.7 	4.2 	5.2 	7.3 	8.3 	10.7 	12.6 	13.6 	14.6 	16.8 	17.9 e	17.2 e
RCY,PC,CZ	0.0 	0.0 	0.0 	0.6 	0.9 	0.9 	0.9 	0.9 	0.9 	5.5 e	6.2 e	7.4 e	10.1 e	10.4 e	12.4 e	15.8 e	17.0 e	23.2 e	24.2 e	25.4 e	29.7 e	33.6 e
RCY,PC,DE	39.4 s	42.2 s	44.1 s	45.6 s	51.1 s	52.5 s	52.3 s	56.1 	57.8 	56.4 	60.9 	62.1 	63.2 	63.8 	63.1 	62.5 	63.0 	65.2 	63.8 	65.6 	66.7 	66.1 e
RCY,PC,DK	25.2 e	37.0 	35.4 	36.0 	38.9 	37.1 	36.1 	37.6 	40.9 	41.0 	41.0 	41.8 	44.2 	47.9 	48.8 e	: 	41.5 	42.1 	43.2 	45.1 	46.3 	47.7 
RCY,PC,EE	0.6 	0.2 	0.2 	0.2 	0.0 	2.4 	5.1 	2.7 	15.0 	24.8 	22.5 	17.4 	23.1 	20.2 	21.0 	18.2 	23.3 	19.1 	17.9 	31.3 	28.3 	28.1 
RCY,PC,EL	: 	: 	9.2 	8.9 	8.9 	8.8 	8.8 	8.8 	8.1 	10.1 	11.8 	12.8 	20.1 	17.7 	18.9 	17.1 	17.8 	17.0 	15.8 	15.4 	15.8 	17.2 
RCY,PC,ES	7.0 	7.8 	8.4 	9.2 	14.2 	18.4 	21.4 	29.3 	28.7 	30.9 	31.4 	31.2 	30.6 	39.7 	33.2 	29.2 	26.7 	29.8 	32.5 	30.8 	30.0 	29.7 
RCY,PC,EU27	: 	: 	: 	: 	: 	25.3 s	26.5 s	28.3 s	29.4 s	30.6 s	31.9 s	32.9 s	35.2 s	36.7 s	37.5 s	38.4 	39.4 s	41.3 s	41.9 s	43.6 s	44.8 s	45.5 s
RCY,PC,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.0 s	36.5 s	37.3 s	38.2 s	39.2 s	41.1 s	41.7 s	43.4 s	44.6 s	45.3 s
RCY,PC,FI	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	35.6 	34.3 	35.9 	32.8 	34.8 	33.3 	32.5 	32.5 	40.6 	42.0 
RCY,PC,FR	17.7 	18.7 	20.0 	21.8 	22.9 	24.5 	26.1 	27.3 	28.0 	29.0 	29.7 	30.6 	31.9 	33.3 	34.1 	36.0 e	36.8 	37.7 e	38.7 	39.7 e	40.7 	41.7 e
RCY,PC,HR	: 	: 	0.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	2.8 	2.3 	4.0 	8.3 	14.7 	14.9 	16.5 	18.0 	21.0 
RCY,PC,HU	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	2.5 	3.5 	11.8 	9.6 	10.4 	12.1 	15.2 	15.4 	19.6 	22.0 	25.5 	26.4 	30.5 	32.2 	34.7 
RCY,PC,IE	: 	: 	: 	8.1 	: 	11.9 	11.3 	18.3 	23.6 	29.5 	31.1 	33.1 	34.1 	33.6 	33.5 	35.7 	36.1 	36.6 	36.6 	39.8 	: 	: 
RCY,PC,IS	7.9 	9.4 	8.3 	10.6 	12.7 	15.4 	15.8 	16.1 	16.4 	: 	: 	: 	: 	19.2 	20.5 	20.8 	25.3 	28.0 	29.9 	29.7 	28.2 	33.2 
RCY,PC,IT	4.8 	6.4 	9.3 	11.0 	12.1 	14.2 	17.8 	14.8 	16.3 	17.6 	18.5 	19.2 	25.0 	23.8 	29.7 	31.0 	35.5 	38.4 	39.4 	41.6 	43.5 	45.1 
RCY,PC,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.9 s	1.9 s	1.9 s	7.5 	8.5 	8.5 	4.9 	19.9 	23.5 	27.8 	30.5 	33.1 	48.0 
RCY,PC,LU	20.0 	20.2 	26.9 	30.8 	30.6 	36.1 	37.2 	38.1 	42.5 	41.5 	43.5 	43.7 	45.0 	46.0 	46.2 	46.5 	46.4 	47.4 	46.6 	47.7 	47.4 	48.3 e
RCY,PC,LV	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.4 e	0.4 	2.3 	4.6 	3.8 	4.5 	5.0 	6.4 	7.7 	9.4 	9.7 	14.7 	25.9 	27.0 	28.7 	25.2 
RCY,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	2.6 	3.2 	5.0 	4.5 	: 
RCY,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 e	: 	: 	0.0 	: 	: 	: 	: 	: 
RCY,PC,MT	13.7 e	12.2 e	10.8 e	9.6 e	7.2 	10.1 	9.0 	5.1 	6.5 	6.4 	8.7 	13.4 	4.1 	3.6 	3.7 	5.2 	9.0 	9.7 	8.1 	7.4 	6.7 	7.1 
RCY,PC,NL	39.7 	41.5 	43.6 	43.9 	43.8 	44.1 	43.7 	45.3 	45.6 	46.9 	46.7 	46.8 	48.3 	48.4 	49.1 	49.2 	49.1 	49.4 	49.8 	50.9 	51.8 	53.1 
RCY,PC,NO	13.7 	19.9 	24.7 	22.4 	29.5 	30.6 	44.3 	45.4 	45.8 	36.5 	39.3 	40.3 	42.6 	43.6 	43.0 	42.1 	39.9 	39.8 	39.2 	42.2 	42.8 	38.2 
