stk_flow,sitc06,partner,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19	6.7 	8.0 	8.5 	-1.7 	8.2 	0.3 	-4.5 	12.1 	-4.3 	5.7 	6.9 	1.6 
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28	8.2 	8.9 	7.4 	-4.1 	6.4 	0.7 	-5.6 	8.5 	-8.1 	7.3 	8.6 	3.3 
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19	1.5 	-4.5 	4.4 	2.9 	-3.4 	-2.7 	2.2 	1.2 	-1.8 	2.6 	-3.2 	3.1 
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28	2.9 	-4.0 	2.9 	2.2 	-2.4 	-2.3 	2.2 	-1.4 	-2.8 	7.2 	-2.2 	1.7 
EXP,SITC7,WRL_REST,TVAL_SA,EA19	79466.4 	75884.5 	79198.1 	81457.5 	78648.9 	76513.5 	78175.5 	79075.0 	77631.6 	79682.4 	77105.5 	79509.8 
EXP,SITC7,WRL_REST,TVAL_SA,EU28	68298.4 	65552.7 	67480.6 	68950.0 	67296.5 	65739.9 	67188.8 	66216.1 	64330.3 	68961.2 	67412.0 	68588.8 
