indic_bt,nace_r2,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOVT,G47_NFOOD_X_G473,I2015_SCA,AT	103.1 p	106.1 p	103.3 p	105.7 p	103.8 p	105.4 p	107.5 p	105.2 p	105.5 p	105.2 p	105.6 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,BE	99.9 p	105.6 p	105.2 p	102.1 p	103.7 p	102.8 p	101.4 p	105.8 p	107.2 p	100.0 p	103.1 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,BG	113.0 	113.6 	113.9 	114.6 	114.3 	115.0 	116.4 	116.9 	117.1 	117.4 	118.0 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,CH	94.8 p	96.7 p	95.9 p	95.2 p	94.7 p	94.5 p	95.8 p	94.3 p	94.8 p	93.9 p	94.0 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,CY	115.3 	116.1 	114.9 	116.9 	117.7 	118.5 	116.5 	116.8 	118.4 	116.6 	: c	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,CZ	116.9 p	120.5 p	120.2 p	121.7 p	121.5 p	120.9 p	123.2 p	122.5 p	122.8 p	123.7 p	123.7 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,DE	108.6 p	111.9 p	109.8 p	110.3 p	109.0 p	107.8 p	114.4 p	110.6 p	110.9 p	111.3 p	111.1 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,DK	101.9 	104.3 	102.7 	102.5 	102.8 	102.6 	103.9 	104.9 	103.9 	103.0 	105.0 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,EA19	105.3 	108.8 	106.9 	107.1 	106.7 	106.5 	108.7 	107.9 	108.2 	107.9 	108.2 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,EE	119.0 s	119.3 s	121.9 s	120.5 s	119.7 s	119.1 s	119.9 s	122.7 s	121.7 s	123.2 s	125.3 s	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,EL	101.9 p	103.1 p	103.0 p	102.2 p	101.9 p	103.1 p	101.9 p	102.8 p	103.4 p	104.3 p	: c	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,ES	105.8 p	109.8 p	107.9 p	108.1 p	108.6 p	108.9 p	107.9 p	108.5 p	109.6 p	108.9 p	109.3 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,EU28	107.5 	110.5 	108.9 	109.2 	108.7 	108.7 	110.7 	110.6 	110.5 	110.7 	111.3 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,FI	104.0 	106.1 	104.2 	105.5 	104.7 	104.7 	104.0 	106.6 	103.9 	104.1 	104.7 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,FR	106.3 	111.6 	108.3 	108.2 	108.6 	109.5 	109.4 	109.6 	109.9 	110.2 	109.7 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,HR	116.4 	120.3 	119.6 	121.6 	115.4 	116.5 	121.6 	125.9 	120.0 	119.7 	: c	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,HU	121.9 ps	123.2 ps	124.3 ps	125.6 ps	125.9 ps	126.6 ps	128.5 ps	129.4 ps	130.8 ps	131.5 ps	133.0 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,IE	104.2 	107.9 	103.6 	105.0 	103.6 	98.2 	104.4 	106.1 	106.4 	105.8 	107.0 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,IT	100.8 	101.5 	101.2 	100.9 	101.0 	100.9 	100.9 	101.0 	101.1 	101.1 	101.4 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,LT	115.6 	119.0 	119.9 	122.4 	118.6 	120.4 	121.3 	122.6 	122.5 	123.8 	124.8 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,LU	16.5 s	16.8 s	16.5 s	16.7 s	16.6 s	16.8 ps	16.8 ps	16.6 ps	16.9 ps	16.9 ps	16.9 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,LV	113.5 	114.4 	112.7 	115.8 	109.6 	113.9 	113.9 	116.4 	115.4 	115.1 	114.4 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,ME	116.0 	113.1 	122.3 	106.6 	112.2 	113.5 	116.2 	118.2 	115.3 	112.4 	111.5 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,MK	103.6 ps	115.6 ps	107.8 ps	114.9 ps	109.3 ps	112.6 ps	115.4 ps	112.2 ps	116.3 ps	110.8 ps	114.9 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,MT	109.0 p	108.9 p	109.3 p	109.6 p	108.2 p	106.6 p	106.5 p	106.8 p	105.8 p	102.9 p	103.5 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,NL	107.4 ps	111.8 ps	109.0 ps	111.4 ps	109.1 ps	109.3 ps	112.2 ps	110.8 ps	111.2 ps	112.1 ps	112.4 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,NO	105.6 s	108.5 s	106.4 s	106.5 s	106.6 s	106.9 s	108.3 s	110.1 s	106.5 s	106.7 s	108.8 s	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,PL	113.9 	116.6 	116.0 	117.1 	117.2 	116.7 	118.3 	119.3 	120.2 	121.5 p	121.1 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,PT	104.2 	109.5 	109.5 	110.5 	108.7 	109.3 	110.1 	114.7 	113.3 	110.5 	108.7 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,RO	138.7 	138.9 	143.7 	140.3 	132.7 	134.7 	140.3 	141.9 	143.8 	143.7 	144.4 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,RS	118.7 	121.1 	122.2 	121.8 	120.8 	122.6 	123.6 	124.9 	125.6 	126.6 p	126.9 p	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,SE	106.8 s	108.7 s	107.6 s	107.7 s	107.1 s	108.2 s	109.6 s	109.2 s	107.3 s	107.1 ps	109.3 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,SI	113.4 	116.5 	115.3 	116.4 	115.0 	115.0 	118.3 	118.2 	118.0 	119.2 	120.5 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,SK	110.8 s	111.8 s	112.9 s	111.9 s	112.7 s	113.4 s	113.5 s	113.8 s	113.6 s	114.7 ps	114.6 ps	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,TR	134.6 	137.6 	140.4 	143.7 	143.4 	145.8 	149.2 	150.2 	153.4 	155.2 	161.0 	: 
TOVT,G47_NFOOD_X_G473,I2015_SCA,UK	112.2 p	113.6 p	112.2 p	112.7 p	112.5 p	112.7 p	113.9 p	116.1 p	114.9 p	116.2 p	118.2 p	118.1 p
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,AT	0.0 p	4.5 p	1.2 p	3.7 p	1.4 p	0.6 p	4.3 p	1.1 p	0.8 p	0.9 p	2.1 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,BE	-2.5 p	3.0 p	-0.1 p	0.5 p	2.8 p	-0.3 p	0.3 p	0.7 p	2.8 p	-2.1 p	1.1 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,BG	3.6 	4.3 	4.1 	4.2 	5.1 	2.3 	5.8 	5.6 	5.9 	4.4 	5.1 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,CH	-2.9 p	0.6 p	1.7 p	0.2 p	-1.5 p	-3.9 p	3.4 p	-1.0 p	-0.6 p	-1.9 p	-0.7 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,CY	5.8 	8.3 	3.6 	10.8 	9.3 	11.4 	3.9 	4.4 	6.0 	2.1 	: c	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,CZ	4.7 p	10.0 p	10.2 p	11.0 p	9.0 p	4.8 p	9.6 p	5.6 p	5.9 p	6.1 p	5.3 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,DE	1.4 p	6.5 p	3.6 p	3.7 p	1.3 p	-1.4 p	7.1 p	1.1 p	0.7 p	1.9 p	1.7 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,DK	-1.1 	3.6 	1.3 	-0.1 	0.6 	-0.6 	2.3 	3.9 	1.8 	-1.4 	3.5 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,EA19	0.6 	6.0 	3.1 	2.8 	1.7 	0.4 	3.7 	1.7 	1.8 	1.5 	3.4 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,EE	7.9 	6.0 	10.6 	7.8 	6.2 	2.6 	4.7 	6.2 	3.3 	3.4 	6.8 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,EL	1.7 	2.7 	3.9 	2.5 	-0.4 	2.3 	0.0 	2.1 	0.3 	2.4 p	: c	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,ES	-1.1 p	6.2 p	2.1 p	3.2 p	3.5 p	3.3 p	0.4 p	1.2 p	3.0 p	1.9 p	2.3 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,EU28	1.7 	5.9 	4.2 	3.8 	2.2 	1.8 	4.0 	3.3 	2.4 	2.4 	4.0 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,FI	1.7 	3.8 	5.2 	4.4 	2.4 	3.7 	0.8 	5.5 	-0.3 	-0.4 	0.4 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,FR	1.4 	8.0 	4.5 	3.3 	2.8 	2.9 	4.5 	3.9 	3.6 	2.4 	6.7 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,HR	6.4 	11.6 	8.4 	11.2 	2.1 	1.6 	11.0 	10.4 	1.5 	1.7 	: c	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,HU	10.9 p	11.6 p	12.1 p	12.7 p	9.4 p	7.9 p	11.0 p	10.3 p	11.2 p	10.0 p	11.3 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,IE	4.1 	6.5 	-3.1 	-7.3 	-10.2 	-12.9 	-8.7 	-6.2 	-0.6 	-2.2 	3.3 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,IT	-1.8 	2.6 	0.6 	-1.3 	-0.7 	-1.6 	-1.3 	-0.7 	-0.3 	-0.2 	2.1 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,LT	5.4 	10.2 	9.6 	10.1 	4.2 	5.8 	6.3 	7.4 	7.4 	8.6 	9.6 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,LU	1.2 	7.6 	0.5 	1.2 	-0.7 	2.4 p	1.9 p	-2.5 p	3.8 p	3.6 p	3.7 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,LV	6.6 	6.1 	5.1 	8.0 	0.7 	5.8 	4.0 	6.8 	3.9 	4.0 	1.3 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,ME	3.2 	-0.1 	7.9 	-6.2 	1.9 	1.9 	6.1 	5.8 	: 	: 	: 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,MK	-11.3 ps	-5.8 ps	-6.5 ps	12.3 ps	7.8 ps	8.2 ps	14.5 ps	7.7 ps	: 	: 	: 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,MT	1.0 p	0.7 p	0.9 p	7.5 p	3.9 p	-2.8 p	-2.1 p	-0.1 p	-2.6 p	-11.4 p	-7.4 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,NL	0.2 p	6.7 p	3.7 p	5.2 p	3.1 p	1.6 p	6.4 p	3.0 p	3.0 p	3.1 p	3.6 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,NO	-0.6 	4.3 	2.1 	2.0 	0.8 	1.3 	3.2 	4.9 	-1.5 	-1.4 	2.4 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,PL	7.1 	10.5 	11.6 	9.7 	8.3 	6.8 	7.7 	7.7 	7.9 	8.5 p	8.0 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,PT	0.3 	6.3 	6.0 	7.5 	3.6 	3.0 	2.8 	6.9 	5.8 	2.9 	1.4 	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,RO	19.1 	14.9 	20.9 	20.0 	6.6 	5.5 	11.4 	10.2 	12.3 	8.7 	6.5 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,RS	5.6 	9.9 	7.8 	6.1 	3.8 	4.2 	7.3 	6.9 	4.4 	7.2 p	9.1 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,SE	1.1 	3.6 	3.2 	2.0 	0.4 	3.4 	5.3 	3.9 	-0.4 	-1.3 p	3.2 p	: 
TOVT,G47_NFOOD_X_G473,PCH_M12_CA,SI	3.3 	9.2 	6.2 	8.5 	1.6 	-0.3 	7.6 	5.5 	4.2 	6.8 	8.2 	: 
