indic_il,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
R_PN_WK,T,AT	0.65 	0.62 	0.61 b	0.56 	0.57 	0.59 	0.58 	0.59 	0.60 	0.62 	0.62 	0.64 
R_PN_WK,T,BE	0.42 	0.44 	0.45 	0.45 	0.46 	0.44 	0.46 	0.47 	0.47 	0.47 	0.48 	0.50 
R_PN_WK,T,BG	0.37 	0.37 	0.34 	0.34 	0.43 	0.41 	0.42 	0.39 	0.44 	0.41 	0.45 b	0.37 
R_PN_WK,T,CH	: 	0.39 	0.36 	0.40 	0.41 	0.39 	0.41 	0.41 	0.44 b	0.43 	0.45 	: 
R_PN_WK,T,CY	0.28 	0.29 	0.33 b	0.37 	0.37 	0.39 	0.39 	0.40 	0.39 	0.43 	0.44 	0.43 
R_PN_WK,T,CZ	0.52 	0.51 	0.51 	0.51 	0.54 	0.53 	0.55 	0.56 	0.55 	0.51 	0.50 	0.51 
R_PN_WK,T,DE	0.46 	0.46 	0.44 	0.47 	0.49 	0.51 	0.47 	0.47 	0.45 	0.46 	0.46 	0.46 
R_PN_WK,T,DK	0.37 	0.39 	0.41 	0.42 	0.44 	0.43 b	0.42 	0.44 	0.45 	0.45 	0.47 	0.48 
R_PN_WK,T,EA18	0.51 	0.49 	0.49 	0.51 	0.52 	0.54 	0.54 	0.56 	0.57 	0.58 	0.58 	0.60 
R_PN_WK,T,EA19	0.51 	0.49 	0.49 	0.51 	0.52 	0.54 	0.54 	0.56 	0.57 	0.58 	0.58 	0.60 
R_PN_WK,T,EE	0.49 	0.47 	0.45 	0.52 	0.55 	0.54 	0.50 	0.50 	0.47 b	0.43 	0.45 	0.45 
R_PN_WK,T,EL	0.49 	0.40 	0.41 	0.41 	0.42 	0.45 	0.52 	0.60 	0.60 	0.62 	0.64 	0.62 
R_PN_WK,T,ES	0.48 	0.48 	0.42 b	0.45 	0.47 	0.51 	0.55 	0.60 	0.60 	0.66 	0.66 	0.69 
R_PN_WK,T,EU27	0.50 s	0.49 	0.49 	0.51 	0.53 	0.54 	0.54 	0.56 	0.56 	0.57 	0.58 	0.59 
R_PN_WK,T,EU28	: 	: 	: 	: 	0.52 	0.53 	0.54 	0.56 	0.56 	0.57 	0.58 	0.59 
R_PN_WK,T,FI	0.47 	0.47 	0.49 	0.48 	0.50 	0.50 	0.49 	0.49 	0.51 	0.52 	0.53 	0.53 
R_PN_WK,T,FR	0.58 	0.60 	0.65 b	0.66 	0.65 	0.64 	0.65 	0.66 	0.69 	0.69 	0.68 	0.68 
R_PN_WK,T,HR	: 	: 	: 	: 	0.32 b	0.36 	0.36 	0.37 	0.40 	0.40 	0.39 	: 
R_PN_WK,T,HU	0.54 	0.58 	0.61 	0.62 	0.60 	0.60 	0.58 	0.62 	0.62 	0.65 	0.67 	0.64 
R_PN_WK,T,IE	0.38 	0.49 	0.49 	0.48 	0.47 	0.43 	0.42 	0.37 	0.38 	0.38 	0.35 	: 
R_PN_WK,T,IS	0.46 	0.44 	0.46 	0.46 	0.48 	0.52 	0.50 	0.49 	0.49 	0.53 	0.51 p	: 
R_PN_WK,T,IT	0.58 	0.49 	0.51 	0.51 	0.53 	0.55 	0.59 	0.62 	0.64 	0.66 	0.69 	0.71 
R_PN_WK,T,LT	0.44 	0.40 	0.43 	0.48 	0.58 	0.52 	0.45 	0.48 	0.45 	0.46 	0.45 	0.43 
R_PN_WK,T,LU	0.66 	0.61 	0.58 	0.62 	0.68 	0.74 	0.79 	0.78 	0.85 	0.80 	0.88 b	0.86 
R_PN_WK,T,LV	0.49 	0.38 	0.30 	0.34 	0.47 	0.53 	0.49 	0.47 	0.44 	0.42 	0.42 	0.43 
R_PN_WK,T,MK	: 	: 	: 	: 	: 	: 	0.55 	0.60 	0.65 	0.70 	0.72 	: 
R_PN_WK,T,MT	0.45 	0.47 	0.41 	0.45 	0.44 	0.48 	0.46 	0.56 	0.56 	0.54 	0.54 	0.56 
R_PN_WK,T,NL	0.43 	0.43 	0.43 	0.44 	0.47 	0.46 	0.47 	0.47 	0.50 	0.52 	0.50 b	0.52 
R_PN_WK,T,NO	0.46 	0.49 	0.52 	0.52 	0.50 	0.52 	0.53 	0.56 	0.59 	0.61 	0.59 	0.59 
R_PN_WK,T,PL	0.59 	0.58 	0.56 	0.56 	0.57 	0.55 	0.58 	0.60 	0.63 	0.62 	0.62 	0.62 
R_PN_WK,T,PT	0.59 	0.47 	0.51 	0.50 	0.53 	0.56 	0.58 	0.59 	0.63 	0.62 	0.64 	0.67 
R_PN_WK,T,RO	: 	0.44 	0.50 	0.56 	0.64 	0.67 	0.67 	0.68 	0.65 	0.63 	0.66 	0.61 
R_PN_WK,T,RS	: 	: 	: 	: 	: 	: 	: 	0.49 	0.47 	0.47 	0.47 	: 
R_PN_WK,T,SE	0.62 	0.63 	0.61 b	0.60 	0.59 	0.57 	0.55 	0.56 	0.59 	0.57 	0.57 	0.57 
R_PN_WK,T,SI	0.41 	0.44 	0.44 	0.45 	0.45 	0.47 	0.47 	0.46 	0.45 	0.46 	0.47 	0.46 
R_PN_WK,T,SK	0.57 	0.54 	0.54 	0.55 	0.61 	0.62 	0.56 	0.61 	0.62 	0.62 	0.62 	0.62 
R_PN_WK,T,TR	0.97 	1.06 	1.10 	1.21 	1.22 	1.00 	1.01 	1.07 	1.00 	1.05 	: 	: 
R_PN_WK,T,UK	0.45 	0.44 	0.43 	0.44 	0.48 	0.48 	0.50 b	0.53 	0.51 	0.50 	0.53 	: 
