fishreg,indic_env\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
27,FSTK_ASS_NR	54 	54 	54 	54 	54 	54 	54 	54 	54 	54 	54 	54 	54 	54 
27,FSTK_BMA_I03	100 	92 	87 	84 	84 	90 	92 	100 	123 	114 	110 	116 	126 	139 
