unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,M,BE	3.0 	3.3 	3.9 	3.8 	4.0 	2.2 	1.4 	1.9 	1.9 	1.7 	4.0 	5.1 
PC,TOTAL,TOTAL,M,BG	49.3 	52.5 	48.9 	48.4 	48.5 	48.5 	45.9 	46.1 	45.4 	43.9 	46.0 b	45.6 
PC,TOTAL,TOTAL,M,CH	: 	8.1 	8.0 	7.7 	6.0 	5.6 	5.7 	6.4 	6.7 b	5.8 	6.7 	: 
PC,TOTAL,TOTAL,M,CY	2.0 	1.7 	3.3 b	2.4 	3.5 	2.9 	2.6 	2.6 	2.7 	1.6 	2.4 	3.0 
PC,TOTAL,TOTAL,M,CZ	33.8 	32.6 	29.7 	26.8 	22.8 	21.3 	21.8 	21.2 	19.8 	18.4 	17.6 	16.1 
PC,TOTAL,TOTAL,M,DE	6.4 	4.8 	5.3 	5.7 	5.8 	5.3 	4.9 	5.1 	5.2 	5.5 	5.7 	5.8 
PC,TOTAL,TOTAL,M,DK	6.1 	6.6 	6.6 	6.5 	6.6 	6.4 b	6.2 	6.8 	7.5 	7.0 	7.2 	8.8 
PC,TOTAL,TOTAL,M,EA18	12.9 	12.7 	12.7 	12.2 	12.3 	11.7 	11.8 	12.2 	12.1 	12.5 	12.6 	12.5 e
PC,TOTAL,TOTAL,M,EA19	13.3 	13.1 	13.0 	12.6 	12.7 	11.8 	11.9 	12.3 	12.2 	12.6 	12.7 	12.6 e
PC,TOTAL,TOTAL,M,EE	46.7 	44.0 	42.5 	42.1 	40.3 	15.3 	14.5 	22.9 	15.0 b	14.6 	14.9 	14.5 
PC,TOTAL,TOTAL,M,EL	30.0 	29.9 	27.5 	26.1 	26.8 	27.1 	27.5 	29.0 	29.2 	30.1 	31.0 	31.9 
PC,TOTAL,TOTAL,M,ES	7.1 	6.1 	6.1 	5.8 	5.4 	7.1 b	6.0 	5.6 	5.6 	5.9 	5.6 	5.2 
PC,TOTAL,TOTAL,M,EU27	19.9 e	19.4 	19.1 	18.7 	18.5 	17.6 	17.4 	17.7 	17.3 	17.4 	17.3 	18.4 e
PC,TOTAL,TOTAL,M,EU28	: 	: 	: 	: 	18.8 	17.9 	17.7 	17.9 	17.5 	17.6 	17.5 	18.4 e
PC,TOTAL,TOTAL,M,FI	3.6 	3.1 	3.0 	3.1 	3.4 	3.7 	3.6 	4.2 	4.4 	3.9 	3.7 	3.8 
PC,TOTAL,TOTAL,M,FR	7.3 	9.4 	9.2 	9.2 	8.7 	7.1 	7.2 	6.9 	6.4 	7.1 	7.4 	7.1 
PC,TOTAL,TOTAL,M,HR	: 	: 	: 	: 	45.9 	46.9 	46.0 	44.1 	43.9 	43.5 	43.2 	: 
PC,TOTAL,TOTAL,M,HU	53.4 	49.8 	50.9 	48.8 	49.5 	48.5 	48.3 	48.0 	45.8 	45.0 	44.5 	44.3 
PC,TOTAL,TOTAL,M,IE	6.2 	5.1 	5.0 	3.9 	3.4 	2.1 	3.3 	3.0 	3.6 	3.4 	3.0 	: 
PC,TOTAL,TOTAL,M,IS	8.2 	10.3 	5.6 	6.8 	6.1 	6.5 	7.4 	8.5 	8.1 	8.1 	7.3 p	: 
PC,TOTAL,TOTAL,M,IT	26.7 	26.5 	26.7 	25.6 	26.8 	26.7 	28.8 	29.9 	30.0 	30.9 	31.1 	30.1 
PC,TOTAL,TOTAL,M,LT	55.8 	54.5 	49.8 	50.3 	48.6 	21.4 b	21.0 	29.8 b	30.4 	29.2 	26.0 	26.4 
PC,TOTAL,TOTAL,M,LU	6.6 	6.7 	7.3 	5.9 	7.1 	5.8 	6.1 	5.6 	6.5 	5.7 	7.1 b	6.9 
PC,TOTAL,TOTAL,M,LV	60.3 	60.5 	58.0 	57.4 	57.1 	45.7 	39.0 	39.9 	42.8 	42.9 	44.3 	43.6 
PC,TOTAL,TOTAL,M,MK	: 	: 	: 	: 	: 	: 	53.0 	51.2 	46.5 	51.3 	50.7 	: 
PC,TOTAL,TOTAL,M,MT	3.5 	4.2 	4.2 	3.9 	4.1 	4.6 	4.2 	3.8 	4.3 	3.9 	3.2 	2.7 
PC,TOTAL,TOTAL,M,NL	1.4 	1.7 	1.3 	1.0 	1.7 	1.3 	2.1 	1.9 	2.6 	2.6 	3.2 b	3.6 
PC,TOTAL,TOTAL,M,NO	3.8 	4.0 	3.5 	3.4 	3.8 	3.4 	4.5 	4.3 	3.5 	3.7 	3.7 	3.0 
PC,TOTAL,TOTAL,M,PL	56.4 	54.5 	52.9 	51.0 	49.2 	48.8 	47.8 	46.4 	45.8 	45.0 	41.9 	42.0 
PC,TOTAL,TOTAL,M,PT	16.9 	17.4 	16.7 	14.6 	15.1 	12.0 	10.6 	12.2 	11.1 	11.1 	10.8 	9.6 
PC,TOTAL,TOTAL,M,RO	: 	59.0 	58.5 	56.9 	55.6 	55.0 	55.5 	54.7 	53.7 	53.6 	53.0 	51.2 
PC,TOTAL,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	55.5 	51.9 	54.4 	56.9 	: 
PC,TOTAL,TOTAL,M,SE	8.4 	7.4 	8.7 b	10.4 	12.0 	12.4 	11.2 	9.9 	10.1 	11.0 	11.7 	11.3 
PC,TOTAL,TOTAL,M,SI	40.8 	40.0 	39.8 	38.4 	35.7 	17.5 b	16.8 	16.0 	15.2 	13.8 	13.1 	13.4 
PC,TOTAL,TOTAL,M,SK	46.4 	44.8 	44.5 	41.1 	41.1 	41.1 	39.6 	41.2 	39.8 	39.3 	39.5 	37.8 
PC,TOTAL,TOTAL,M,TR	52.2 	52.2 	51.2 	49.6 	47.9 	47.3 	46.5 	46.4 	48.2 	47.5 	: 	: 
PC,TOTAL,TOTAL,M,UK	6.7 	6.5 	6.9 	8.2 	8.5 	8.0 	6.8 b	8.2 	7.3 	7.2 	8.3 	: 
PC,TOTAL,TOTAL,T,AT	16.0 	15.7 	15.5 b	13.4 	12.0 	12.1 	14.1 	15.1 	15.4 	15.3 	15.6 	15.2 
PC,TOTAL,TOTAL,T,BE	3.4 	3.5 	4.0 	3.8 	4.0 	2.1 	1.4 	1.8 	1.9 	1.5 	3.9 	5.3 
PC,TOTAL,TOTAL,T,BG	50.3 	53.8 	50.0 	48.9 	49.6 	49.9 	47.0 	47.2 	46.2 	45.1 	46.8 b	46.2 
PC,TOTAL,TOTAL,T,CH	: 	7.6 	7.9 	7.7 	5.6 	5.9 	5.8 	6.5 	6.6 b	6.0 	6.7 	: 
PC,TOTAL,TOTAL,T,CY	1.9 	1.6 	3.4 b	2.7 	3.6 	2.9 	2.8 	2.5 	2.3 	1.4 	2.5 	3.0 
PC,TOTAL,TOTAL,T,CZ	34.7 	33.7 	30.7 	27.6 	23.3 	21.8 	22.2 	22.1 	20.9 	19.4 	18.5 	16.5 
PC,TOTAL,TOTAL,T,DE	6.7 	5.4 	5.8 	6.0 	6.0 	5.7 	5.5 	5.6 	5.6 	5.9 	6.1 	6.2 
PC,TOTAL,TOTAL,T,DK	6.3 	6.7 	6.8 	6.8 	6.5 	6.7 b	6.8 	7.1 	7.7 	7.1 	7.5 	8.4 
PC,TOTAL,TOTAL,T,EA18	13.1 	12.9 	12.8 	12.4 	12.5 	11.9 	12.1 	12.3 	12.2 	12.6 	12.8 	12.8 e
PC,TOTAL,TOTAL,T,EA19	13.5 	13.4 	13.2 	12.8 	12.8 	12.0 	12.2 	12.5 	12.4 	12.8 	13.0 	12.9 e
PC,TOTAL,TOTAL,T,EE	48.3 	45.6 	44.1 	43.6 	41.8 	16.0 	15.5 	24.2 	15.7 b	14.9 	15.0 	14.9 
PC,TOTAL,TOTAL,T,EL	30.4 	30.3 	27.8 	26.0 	26.4 	27.1 	27.7 	29.2 	29.3 	30.2 	31.1 	31.8 
PC,TOTAL,TOTAL,T,ES	6.9 	6.2 	6.0 	5.5 	5.2 	7.1 b	6.0 	5.5 	5.7 	5.9 	5.9 	5.6 
PC,TOTAL,TOTAL,T,EU27	20.2 e	19.8 	19.4 	18.9 	18.7 	17.9 	17.7 	17.9 	17.5 	17.6 	17.5 	18.8 e
PC,TOTAL,TOTAL,T,EU28	: 	: 	: 	: 	18.9 	18.1 	18.0 	18.1 	17.7 	17.9 	17.7 	18.8 e
PC,TOTAL,TOTAL,T,FI	3.5 	3.3 	3.0 	3.2 	3.4 	3.8 	3.6 	4.5 	4.5 	4.2 	3.9 	3.9 
PC,TOTAL,TOTAL,T,FR	7.4 	9.4 	9.2 	9.3 	8.8 	7.3 	7.5 	7.1 	6.6 	7.3 	7.7 	7.5 
PC,TOTAL,TOTAL,T,HR	: 	: 	: 	: 	46.5 	47.4 	47.0 	45.2 	44.6 	44.0 	43.5 	: 
PC,TOTAL,TOTAL,T,HU	54.0 	50.3 	51.4 	49.8 	50.3 	49.4 	49.3 	48.4 	46.2 	45.6 	45.2 	45.4 
PC,TOTAL,TOTAL,T,IE	6.5 	5.2 	5.0 	3.8 	3.6 	2.8 	3.4 	3.0 	3.7 	3.6 	3.4 	: 
PC,TOTAL,TOTAL,T,IS	8.9 	10.8 	6.1 	6.9 	6.7 	7.0 	7.6 	8.9 	8.2 	8.5 	7.4 p	: 
PC,TOTAL,TOTAL,T,IT	26.8 	26.5 	26.7 	25.8 	27.0 	26.8 	28.9 	29.9 	30.1 	30.9 	30.8 	30.1 
PC,TOTAL,TOTAL,T,LT	56.4 	55.6 	51.6 	51.3 	49.3 	22.2 b	21.7 	31.2 b	31.4 	29.5 	26.4 	26.9 
PC,TOTAL,TOTAL,T,LU	7.2 	7.2 	7.4 	6.0 	7.1 	6.1 	6.4 	5.7 	6.4 	6.0 	7.7 b	7.8 
PC,TOTAL,TOTAL,T,LV	62.5 	62.1 	59.7 	58.9 	58.3 	46.9 	39.6 	40.4 	42.7 	43.9 	45.9 	44.9 
