indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,A1,AT	22.1 	20.1 	23.0 b	23.1 	24.7 	25.7 	24.2 	22.0 	23.6 	21.6 	22.2 	23.7 
LI_R_MD60,A1,BE	23.6 	25.6 	22.5 	21.9 	18.8 	21.4 	20.2 	24.5 	22.4 	21.2 	21.8 	21.9 
LI_R_MD60,A1,BG	36.7 	45.1 	55.4 	58.4 	50.9 	51.2 	45.3 	41.4 	31.0 	41.1 	38.0 b	43.3 
LI_R_MD60,A1,CH	: 	20.2 	20.7 	23.7 	23.3 	22.5 	25.2 	23.8 	21.6 b	21.9 	21.5 	: 
LI_R_MD60,A1,CY	43.1 	45.8 	36.1 b	33.7 	34.0 	32.9 	32.1 	26.8 	26.5 	25.6 	24.1 	23.8 
LI_R_MD60,A1,CZ	17.1 	15.9 	18.5 	19.5 	18.0 	18.2 	14.9 	14.7 	15.4 	19.0 	20.2 	24.3 
LI_R_MD60,A1,DE	21.5 	27.3 	29.2 	29.3 	30.0 	32.3 	32.4 	31.9 	32.9 	33.1 	32.9 	32.1 
LI_R_MD60,A1,DK	25.3 	24.9 	25.1 	27.0 	27.1 	25.0 b	25.4 	27.0 	27.2 	26.9 	26.5 	26.4 
LI_R_MD60,A1,EA18	23.5 	25.1 	26.0 	25.7 	24.9 	26.1 	25.5 	24.9 	25.0 	25.2 	25.1 	25.5 e
LI_R_MD60,A1,EA19	23.7 	25.3 	26.2 	25.9 	25.0 	26.1 	25.5 	25.0 	25.1 	25.4 	25.3 	25.7 e
LI_R_MD60,A1,EE	42.5 	49.4 	52.1 	48.9 	28.4 	26.5 	31.9 	38.6 	49.4 b	52.4 	55.6 	53.3 
LI_R_MD60,A1,EL	24.6 	27.3 	25.3 	26.5 	27.2 	25.2 	22.2 	22.4 	22.6 	24.0 	21.5 	20.3 
LI_R_MD60,A1,ES	32.7 	29.4 	30.6 b	30.1 	28.9 	27.9 	20.6 	19.2 	20.7 	20.3 	19.6 	21.8 
LI_R_MD60,A1,EU27	23.9 e	25.1 	26.4 	25.9 	25.2 	25.8 	25.1 	24.9 	24.9 	25.3 	25.6 	26.1 e
LI_R_MD60,A1,EU28	: 	: 	: 	: 	25.3 	25.9 	25.2 	24.9 	25.0 	25.3 	25.6 	26.1 e
LI_R_MD60,A1,FI	33.1 	31.9 	33.0 	33.6 	31.5 	32.5 	33.3 	31.3 	32.0 	30.1 	28.6 	28.1 
LI_R_MD60,A1,FR	18.7 	17.9 	18.3 b	17.7 	16.5 	19.1 	19.3 	18.8 	17.0 	17.2 	14.9 	16.4 
LI_R_MD60,A1,HR	: 	: 	: 	: 	42.2 b	41.6 	35.8 	32.4 	31.2 	38.6 	39.9 	: 
LI_R_MD60,A1,HU	17.6 	15.7 	14.9 	13.9 	13.2 	15.9 	16.2 	14.5 	12.9 	15.4 	17.4 	17.3 
LI_R_MD60,A1,IE	46.3 	44.9 	37.1 	30.5 	22.9 	24.7 	28.0 	28.6 	25.5 	35.0 	36.6 	: 
