currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,IT	-343563.0 	-322858.0 	-318380.0 	-240147.0 	-207617.0 	-167150.0 	-142694.0 	-135441.0 	-124194.0 	-91673.0 	-124321.0 	-59077.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,LT	-17036.5 	-16254.2 	-17488.3 	-17733.5 	-17485.4 	-16606.0 	-16697.3 	-16468.2 	-16239.8 	-15127.3 	-15366.8 	-14988.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,LU	35577.0 	16039.0 	16631.0 	9806.0 	34957.0 	24997.0 	15400.0 	32816.0 	24399.0 	26015.0 	12800.0 	15468.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,LV	-15619.0 	-15453.0 	-15140.0 	-14925.0 	-14821.0 	-14634.0 	-14534.0 	-14635.0 	-14992.0 	-15210.0 	-14943.0 	-14278.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,MK	-4821.0 	-5082.7 	-5182.1 	-5394.8 	-5472.8 	-5576.0 	-5673.9 	-5888.4 	-5826.2 	-5822.5 	-6119.9 	-6070.7 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,MT	4323.4 	4836.7 	4972.5 	5439.1 	4961.8 	4606.4 	5984.8 	6665.9 	6696.6 	6969.7 	6811.6 	6770.4 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,NL	344012.0 	345744.0 	413534.0 	454391.0 	493232.0 	444316.0 	443329.0 	433312.0 	414851.0 	439816.0 	443911.0 	445538.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,NO	606680.5 	639289.8 	609846.2 	640901.0 	658326.6 	697110.5 	736326.9 	719693.6 	712035.9 	739229.4 	711754.3 	749214.5 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,PL	-268820.7 	-262159.5 	-268339.4 	-256069.4 	-266328.7 	-259839.2 	-277133.3 	-285166.9 	-281537.6 	-290426.6 	-283825.6 	-267180.6 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,PT	-206183.0 	-203520.0 	-203234.0 	-198915.0 	-195137.0 	-196761.0 	-197928.0 	-201880.0 	-204045.0 	-204069.0 	-207588.0 	-209520.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,RO	-83412.5 	-86023.2 	-83641.0 	-82647.8 	-84150.3 	-82621.3 	-85042.7 	-86674.2 	-86130.9 	-87892.7 	-87236.6 	-89103.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,RS	-34250.0 	-34642.0 	-34512.0 	-34878.0 	-34956.0 	-35577.0 	-35579.0 	-35512.0 	-35621.0 	-35691.0 	-36212.0 	-36499.0 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,SE	8195.8 	-5340.7 	-3294.9 	7458.9 	20103.4 	23118.8 	9586.3 	9076.0 	6154.5 	8441.8 	55709.7 	82374.3 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,SI	-15400.4 	-15399.2 	-15182.4 	-15034.7 	-15181.0 	-14858.0 	-14412.7 	-14044.9 	-13715.8 	-13869.3 	-13570.0 	-13075.3 
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,SK	-48729.6 	-50984.0 	-50293.2 	-48820.4 	-49239.0 	-54112.4 	-53333.5 	-53405.1 	-54715.7 	-55630.9 	-56168.1 	-56816.9 
