unit,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
KG_TEUR_CLV10,AL	: 	: 	: 	: 	: 	128 	: 
KG_TEUR_CLV10,AT	86 	79 	76 	54 	48 	51 	52 
KG_TEUR_CLV10,BA	: 	: 	: 	: 	313 	: 	: 
KG_TEUR_CLV10,BE	103 	97 	71 	108 	95 	93 	98 
KG_TEUR_CLV10,BG	559 	418 	440 	387 	460 	448 	420 
KG_TEUR_CLV10,CY	117 	50 	43 	45 	44 	39 	38 p
KG_TEUR_CLV10,CZ	136 	88 	77 	79 	79 	73 	74 
KG_TEUR_CLV10,DE	50 	48 	49 	54 	54 	56 	54 
KG_TEUR_CLV10,DK	35 	36 	37 	44 	40 	40 	36 
KG_TEUR_CLV10,EE	1071 	698 	653 	779 	688 	722 	646 
KG_TEUR_CLV10,EL	122 	122 	93 	99 	119 p	113 p	: 
KG_TEUR_CLV10,ES	83 	71 	63 	57 	62 	64 	62 p
KG_TEUR_CLV10,EU28	78 	74 	69 	67 	66 	66 	66 s
KG_TEUR_CLV10,FI	134 	138 	117 	129 	112 	73 	75 
KG_TEUR_CLV10,FR	49 	47 	47 	49 	48 	46 	46 p
KG_TEUR_CLV10,HR	116 	103 	65 	64 	60 	70 	75 
KG_TEUR_CLV10,HU	197 	154 	114 	117 	114 	114 	98 
KG_TEUR_CLV10,IE	35 	31 	16 	74 	46 	40 	: 
KG_TEUR_CLV10,IS	53 	: 	60 	47 	48 	36 b	39 
KG_TEUR_CLV10,IT	51 	54 	56 	62 	65 	70 	69 
KG_TEUR_CLV10,LT	261 	198 	172 	109 	96 	99 	102 
KG_TEUR_CLV10,LU	36 	37 	28 	38 	31 	20 	33 
KG_TEUR_CLV10,LV	73 	85 	63 	74 	92 	97 	97 
KG_TEUR_CLV10,ME	: 	: 	: 	: 	122 	234 	207 
KG_TEUR_CLV10,MK	: 	: 	183 	206 	1057 	268 	84 p
KG_TEUR_CLV10,MT	58 	60 	61 	51 	58 	53 	66 
KG_TEUR_CLV10,NL	70 	67 	65 	68 	67 	67 	64 
KG_TEUR_CLV10,NO	21 	28 	27 	25 	29 	28 	25 
KG_TEUR_CLV10,PL	211 	201 	176 	184 	183 	186 	183 
KG_TEUR_CLV10,PT	111 	145 	79 	81 	73 	73 	68 
KG_TEUR_CLV10,RO	383 	413 	343 	188 	178 	149 	140 
KG_TEUR_CLV10,RS	: 	: 	: 	236 	224 	245 	312 
KG_TEUR_CLV10,SE	73 	68 	64 	50 	48 	47 	50 
KG_TEUR_CLV10,SI	134 	113 	87 	105 	99 	92 	80 
KG_TEUR_CLV10,SK	138 	167 	130 	98 	96 	86 	100 
KG_TEUR_CLV10,TR	117 	87 	105 	96 	85 	84 	89 
KG_TEUR_CLV10,UK	91 	82 	75 	57 	52 	50 	57 
KG_TEUR_CLV10,XK	: 	: 	: 	: 	202 	166 	464 
