stk_flow,sitc06,partner,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19	5.7 	10.8 	9.3 	2.9 	6.2 	1.9 	-1.9 	8.1 	0.7 	8.7 	13.4 	8.5 
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28	3.8 	11.3 	7.4 	1.6 	7.6 	0.1 	-4.0 	6.6 	-1.2 	8.7 	15.5 	10.4 
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19	-1.0 	1.4 	3.1 	0.4 	1.0 	-2.9 	0.8 	1.3 	1.1 	1.9 	1.2 	0.0 
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28	0.8 	0.2 	1.9 	1.2 	3.2 	-5.4 	0.8 	1.7 	0.2 	3.0 	2.4 	0.2 
IMP,TOTAL,WRL_REST,TVAL_SA,EA19	161257.8 	163439.0 	168493.7 	169209.6 	170918.7 	166036.5 	167293.8 	169439.0 	171266.2 	174556.2 	176578.2 	176522.9 
IMP,TOTAL,WRL_REST,TVAL_SA,EU28	154313.9 	154636.1 	157549.8 	159415.5 	164579.8 	155644.9 	156962.4 	159645.9 	159962.1 	164839.3 	168780.7 	169145.3 
