unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
AVG,TOTAL,T,AT	3.5 	3.5 	3.7 b	3.6 	3.6 	3.6 	3.6 	3.7 	3.6 	3.6 	3.6 	3.7 
AVG,TOTAL,T,BE	3.8 	3.7 	3.7 	3.7 	3.7 	3.7 	3.8 	3.7 	3.8 	3.8 	3.7 	3.7 
AVG,TOTAL,T,BG	4.9 	4.9 	4.6 b	4.6 	4.6 	4.5 	4.4 	4.5 	4.6 b	4.5 	4.5 b	4.5 
AVG,TOTAL,T,CH	: 	3.4 	3.5 	3.4 	3.4 	3.5 	3.3 	3.2 	3.4 b	3.4 	3.4 	: 
AVG,TOTAL,T,CY	3.5 	3.6 	3.5 b	3.5 	3.5 	3.5 	3.6 	3.6 	3.5 	3.5 	3.5 	3.5 
AVG,TOTAL,T,CZ	3.8 	3.7 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.5 
AVG,TOTAL,T,DE	3.5 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.5 	3.5 
AVG,TOTAL,T,DK	3.6 	3.7 	3.5 	3.5 	3.6 	3.5 	3.5 	3.6 	3.6 	3.7 	3.6 	3.7 
AVG,TOTAL,T,EA18	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.7 	3.7 	3.7 	3.6 	3.7 	3.6 e
AVG,TOTAL,T,EA19	3.6 	3.6 	3.6 	3.6 	3.6 	3.6 	3.7 	3.7 	3.7 	3.6 	3.7 	3.6 e
AVG,TOTAL,T,EE	3.6 	3.6 	3.6 b	3.6 	3.6 	3.6 	3.7 	3.6 	3.6 b	3.5 	3.6 	3.5 
AVG,TOTAL,T,EL	3.8 	3.9 	3.8 	3.7 	3.7 	3.8 	3.9 	3.9 	3.9 	3.8 	4.0 	3.9 
AVG,TOTAL,T,ES	3.4 	3.4 	3.4 	3.5 	3.4 	3.5 	3.5 	3.5 	3.6 	3.5 	3.6 	3.6 
AVG,TOTAL,T,EU27	3.9 e	3.9 	3.8 	3.8 e	3.8 	3.8 	3.8 	3.8 	3.8 	3.8 	3.8 	3.7 e
AVG,TOTAL,T,EU28	: 	: 	: 	: 	3.8 	3.8 	3.8 	3.8 	3.8 	3.8 	3.8 	3.7 e
AVG,TOTAL,T,FI	3.5 	3.5 	3.5 	3.5 	3.5 	3.5 	3.5 	3.4 	3.4 	3.4 	3.3 	3.3 
