exch_rt,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
REER_IC42_CPI,I10,AT	112.86 	109.14 	104.24 	104.72 	103.83 	99.76 	99.56 	99.95 	103.24 	103.98 	102.49 	101.53 	102.09 	102.40 	103.56 	100.00 	100.52 	98.71 	100.75 	102.45 	100.13 	101.79 	102.73 
REER_IC42_CPI,I10,BE	105.14 	101.91 	96.62 	97.08 	96.20 	92.76 	93.50 	94.17 	98.28 	99.27 	98.83 	98.79 	99.46 	102.21 	102.70 	100.00 	100.64 	98.33 	99.84 	100.06 	96.78 	99.56 	101.01 
REER_IC42_CPI,I10,BG	55.69 	44.00 	56.72 	66.73 	68.87 	70.45 	74.67 	77.23 	79.77 	83.03 	83.64 	87.10 	91.20 	99.12 	103.07 	100.00 	101.04 	98.96 	99.07 	98.23 	94.80 	94.46 	95.02 
REER_IC42_CPI,I10,CY	95.66 	92.72 	88.70 	95.35 	95.99 	92.97 	92.46 	94.40 	100.58 	101.33 	100.98 	100.71 	100.03 	103.28 	104.32 	100.00 	100.19 	98.14 	99.25 	98.48 	92.12 	91.93 	92.02 
REER_IC42_CPI,I10,CZ	59.13 	62.31 	62.43 	68.30 	67.57 	68.74 	72.86 	80.64 	78.91 	79.35 	83.31 	86.94 	89.20 	102.59 	98.72 	100.00 	102.05 	99.18 	96.96 	91.88 	91.20 	93.46 	96.86 
REER_IC42_CPI,I10,DE	119.17 	113.54 	106.50 	107.08 	105.52 	98.36 	98.21 	99.03 	104.11 	105.45 	103.54 	102.60 	103.89 	104.48 	105.58 	100.00 	99.43 	96.10 	98.19 	99.01 	94.11 	95.61 	96.51 
REER_IC42_CPI,I10,DK	100.85 	99.20 	95.43 	97.26 	97.39 	92.86 	94.01 	95.85 	100.78 	101.15 	99.78 	99.15 	99.83 	102.00 	104.65 	100.00 	99.41 	96.51 	97.48 	98.25 	94.94 	95.86 	96.19 
REER_IC42_CPI,I10,EE	65.84 	70.41 	70.35 	80.60 	84.91 	81.38 	83.74 	85.52 	88.35 	89.76 	90.48 	91.48 	95.59 	101.88 	103.96 	100.00 	101.11 	100.22 	103.13 	105.98 	106.09 	107.68 	109.06 
REER_IC42_CPI,I10,EL	94.06 	96.44 	95.17 	93.68 	95.98 	88.33 	88.56 	90.75 	96.31 	97.63 	96.53 	96.56 	97.23 	98.82 	101.22 	100.00 	100.64 	96.16 	95.63 	95.03 	90.79 	91.83 	92.35 
REER_IC42_CPI,I10,ES	92.37 	93.59 	88.68 	89.47 	89.77 	87.08 	88.20 	90.70 	95.77 	97.64 	97.73 	98.71 	100.28 	102.83 	103.29 	100.00 	100.26 	97.84 	99.69 	99.23 	94.79 	95.45 	96.70 
