co_nco,sector,finpos,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,LU	: 	: 	: 	: 	25037.1 	27303.0 	34494.0 	38830.3 	57029.8 	54484.4 	54726.4 	63385.5 	117662.0 	115416.6 	122821.4 	114173.3 	122696.2 	133971.4 	145701.5 	177697.6 	195689.0 	188365.7 	178534.6 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,LV	460.0 	871.0 	1286.0 	1898.0 	2231.0 	3192.0 	3547.0 	4235.0 	5081.0 	7072.5 	11033.5 	16631.5 	23189.2 	25439.2 	23611.0 	24038.7 	23411.0 	21428.8 	21103.0 	22732.3 	21626.0 	22022.0 	22572.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,MT	3290.7 e	3765.3 e	4150.7 e	4437.1 e	4869.8 e	5390.2 e	5838.1 e	5608.8 e	5676.6 e	6253.3 	6883.4 	7681.7 	8445.5 	9398.1 	10319.0 	10716.0 	10926.9 	10981.4 	10994.9 	11491.1 	11667.6 	12569.1 	13391.8 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,NL	622971.0 	660996.0 	701332.0 	770099.0 	856856.0 	951379.0 	1014767.0 	1059548.0 	1161718.0 	1199229.0 	1273890.0 	1333346.0 	1410525.0 	1491869.0 	1533432.0 	1560825.0 	1602673.0 	1636805.0 	1683674.0 	1800218.0 	1823338.0 	1856383.0 	1858220.0 p
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,PL	68899.0 	99466.0 	125737.4 	182344.4 	218033.1 	262253.0 	292661.3 	363230.3 	391499.0 	385960.0 	416165.0 	509209.0 	645854.0 	865156.0 	920418.0 	1007577.0 	1158155.0 	1196643.0 	1249382.0 	1343117.0 	1420407.0 	1517931.0 	1518933.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,PT	72566.1 	82960.5 	96638.1 	121333.6 	148934.3 	176111.0 	203420.3 	222346.2 	236734.9 	252679.8 	271865.6 	293441.7 	324671.9 	350983.0 	358244.0 	362473.1 	359605.9 	354222.3 	344546.1 	329643.3 	322513.7 	315659.9 	315680.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,RO	5856.4 	6886.0 	9198.2 	13368.5 	15670.6 	21618.7 	31309.9 	46974.0 	65196.5 	82332.6 	113475.2 	154284.0 	241639.5 	343676.4 	367188.6 	394383.6 	411897.8 	427985.1 	424457.4 	414862.4 	421374.6 	425065.1 	436528.4 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,SE	2191073.0 	2241533.0 	2494581.0 	2701242.0 	2975398.0 	3251572.0 	3567599.0 	3792072.0 	3879485.0 	4051320.0 	4417529.0 	4780647.0 	5543728.0 	6415153.0 	6635086.0 	6665110.0 	7005184.0 	7121403.0 	7372698.0 	7674548.0 	7913295.0 	8252621.0 	8901611.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,SI	3530.0 	4103.0 	4952.0 	6297.0 	8340.0 	10048.0 	12140.0 	13910.0 	16157.0 	18564.0 	22311.0 	26030.0 	33865.0 	40073.0 	41057.0 	41743.0 	41691.0 	40512.0 	38860.0 	36614.0 	33711.0 	32513.0 	32506.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,SK	13130.8 	13373.3 	14449.9 	16714.7 	16805.3 	15035.8 	16464.6 	19230.4 	19467.8 	21594.4 	24598.0 	29127.4 	38080.4 	44418.6 	44319.3 	45579.6 	49593.2 	52204.5 	56999.6 	62759.3 	65934.6 	73493.9 	81568.5 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,UK	972529.0 	1024178.0 	1126977.0 	1208357.0 	1371617.0 	1519136.0 	1666077.0 	1820902.0 	1943544.0 	2114276.0 	2394330.0 	2615013.0 	2817685.0 	2995955.0 	2934961.0 	2923060.0 	2934711.0 	3023073.0 	3043409.0 	3062163.0 	3123700.0 	3347685.0 	3454647.0 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,AT	102.9 	104.2 	108.6 	109.1 	114.9 	121.4 	122.8 	122.2 	124.8 	122.9 	123.5 	122.3 	123.9 	126.7 	131.9 	132.3 	129.4 	128.2 	127.1 	124.8 	124.2 	124.1 	122.5 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,BE	92.4 	97.3 	101.2 	104.9 	111.3 	114.1 	112.8 	111.8 	117.0 	120.7 	120.7 	122.6 	134.5 	162.7 	172.0 	169.2 	181.5 	189.3 	169.2 	166.8 	180.9 	198.9 	187.0 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,BG	30.8 	51.8 	10.0 	10.5 	16.4 	26.8 	28.9 	32.2 	41.3 	57.3 	72.6 	91.2 	123.4 	131.4 	133.8 	132.5 	124.2 	125.0 	132.3 	123.4 	110.5 	104.8 	100.1 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,CY	317.6 	314.7 	315.2 	310.0 	303.6 	304.6 	274.0 	277.1 	258.0 	247.7 	266.5 	259.2 	265.5 	285.0 	306.0 	315.6 	321.6 	328.1 	340.1 	352.4 	353.5 	337.8 p	316.3 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,CZ	64.5 	65.1 	72.8 	62.1 	60.7 	56.8 	50.6 	51.9 	46.3 	46.9 	47.9 	52.9 	57.4 	63.8 	65.9 	67.9 	68.3 	70.7 	73.7 	71.5 	68.1 	68.9 	67.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,DE	105.6 	110.2 	113.3 	116.7 	119.7 	123.0 	123.1 	122.1 	122.9 	118.9 	117.0 	114.0 	110.9 	109.7 	113.0 	106.7 	102.5 	101.8 	102.7 	98.6 	98.2 	98.5 	100.1 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,DK	138.1 	142.8 	144.1 	146.1 	147.9 	158.1 	169.1 	167.1 	173.3 	173.0 	187.7 	200.0 	208.5 	222.3 	232.2 	220.6 	221.0 	224.0 	216.1 	214.0 	213.1 	213.3 	204.0 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,EE	28.9 	35.3 	52.0 	56.5 	54.1 	54.0 	61.6 	68.0 	74.8 	85.4 	96.6 	114.0 	123.0 	136.7 	153.2 	140.4 	120.4 	117.8 	115.9 	116.1 	113.5 	112.2 	106.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,EL	35.7 	36.3 	37.0 	40.4 	43.8 	52.9 	60.0 	63.8 	67.9 	73.6 	85.7 	92.5 	101.5 	113.0 	116.5 	128.1 	130.2 p	131.5 p	130.3 p	129.2 p	126.7 p	124.0 p	116.4 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,ES	75.1 	75.4 	78.7 	85.0 	94.1 	103.0 	109.8 	116.4 	126.3 	137.6 	154.6 	177.6 	191.5 	195.9 	201.6 	200.6 	196.4 	188.0 	177.2 	165.8 	154.8 	146.8 p	138.8 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,FI	95.3 	92.3 	84.8 	82.8 	87.8 	93.0 	92.6 	101.2 	104.9 	107.6 	115.9 	119.2 	123.6 	132.7 	142.8 	148.9 	145.4 	148.6 	147.7 	149.8 	152.9 	148.5 	146.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,FR	93.5 	93.1 	92.7 	91.3 	95.2 	99.5 	103.8 	103.8 	103.8 	105.2 	109.6 	112.9 	115.9 	122.4 	130.6 	132.0 	135.3 	138.3 	137.4 	141.5 	142.8 	146.6 p	148.2 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,HR	: 	: 	: 	: 	: 	: 	54.1 	63.3 	68.1 	72.9 	80.1 	91.8 	101.3 	110.8 	118.9 	125.2 	122.7 	120.0 	117.7 	118.0 	113.0 	105.3 	98.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,HU	40.8 	42.8 	44.6 	44.7 	49.0 	56.0 	57.4 	56.3 	67.4 	70.3 	79.0 	83.4 	93.8 	105.0 	116.5 	115.1 	114.5 	101.8 	95.2 	91.4 	84.6 	77.9 	71.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,IE	: 	: 	: 	: 	: 	: 	139.3 	137.4 	141.3 	149.5 	170.1 	190.6 	198.1 	236.4 	256.1 	257.0 	274.0 	279.6 	267.7 	278.3 	306.0 	283.3 	243.6 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,IT	68.5 	66.4 	66.0 	66.6 	71.8 	75.8 	79.7 	82.7 	86.3 	89.8 	96.0 	102.2 	109.7 	113.9 	122.5 	123.3 	122.7 	125.1 	121.6 	119.0 	115.1 	111.8 	110.5 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,LT	21.0 	20.9 	23.3 	25.4 	29.8 	30.1 	29.3 	29.7 	35.7 	40.6 	50.1 	62.2 	74.3 	76.7 	83.3 	74.5 	64.7 	61.1 	56.3 	53.9 	54.8 	56.1 	56.1 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,LU	: 	: 	: 	: 	120.0 	118.3 	145.1 	154.7 	217.8 	195.0 	182.2 	187.5 	316.5 	302.7 	332.2 	284.2 	284.3 	303.7 	313.3 	356.6 	379.4 	353.4 	322.9 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,LV	11.3 	18.6 	23.8 	31.5 	35.6 	46.6 	47.5 	50.4 	53.2 	64.0 	81.1 	97.2 	102.6 	104.5 	125.4 	134.0 	115.3 	97.9 	92.6 	96.2 	88.9 	88.0 	83.5 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,MT	108.2 e	117.8 e	122.3 e	123.3 e	128.0 e	130.3 e	137.0 e	124.3 e	119.3 e	128.9 	133.7 	142.6 	146.7 	153.3 	168.1 	162.4 	159.8 	153.2 	143.9 	135.7 	122.5 	123.5 	120.2 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,NL	189.0 	191.8 	190.0 	195.3 	204.3 	210.5 	210.6 	211.4 	226.5 	226.6 	231.2 	228.1 	227.8 	230.5 	245.4 	244.2 	246.4 	250.7 	254.9 	268.1 	264.2 	262.1 	252.1 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,PL	20.0 	23.1 	24.1 	30.1 	32.4 	35.1 	37.5 	44.8 	46.3 	41.4 	42.0 	47.6 	54.4 	67.3 	67.1 	69.7 	73.9 	73.4 	75.4 	78.1 	78.9 	81.6 	76.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,PT	81.5 	87.9 	94.4 	108.9 	124.5 	137.1 	149.8 	155.9 	162.0 	165.8 	171.4 	176.5 	185.0 	196.2 	204.2 	201.5 	204.1 	210.3 	202.4 	190.5 	179.4 	169.3 	162.2 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,RO	76.5 	60.1 	35.8 	35.9 	28.2 	26.6 	26.5 	30.8 	32.8 	33.1 	39.1 	44.5 	56.3 	63.9 	69.8 	74.7 	73.7 	72.1 	66.8 	62.1 	59.1 	55.6 	50.8 p
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,SE	116.2 	115.9 	123.4 	127.2 	132.8 	136.4 	143.7 	147.3 	144.7 	144.3 	151.8 	154.1 	167.9 	189.1 	201.6 	189.1 	191.3 	193.1 	195.4 	194.7 	188.3 	188.2 	194.4 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,SI	33.5 	33.8 	35.8 	41.1 	48.5 	53.2 	57.4 	58.9 	62.9 	67.1 	76.3 	82.5 	96.3 	105.6 	113.5 	115.1 	113.0 	112.3 	107.2 	97.4 	86.7 	80.6 	75.6 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,SK	66.7 	60.9 	59.2 	62.7 	58.9 	47.6 	48.0 	51.6 	47.0 	46.8 	48.8 	51.8 	60.4 	64.9 	69.2 	67.4 	70.2 	71.8 	76.9 	82.5 	83.3 	90.5 	96.1 
CO,S11_S14_S15,LIAB,F3_F4,PC_GDP,UK	114.9 	113.4 	118.8 	121.9 	133.0 	139.5 	147.5 	153.9 	155.3 	161.0 	172.4 	178.4 	182.8 	189.6 	190.9 	184.1 	178.5 	178.4 	172.8 	166.0 	164.8 	170.0 	169.0 
