reason,sex,age,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FAMRESP,F,Y20-64,PC_INAC,NL	33.5 	32.9 	28.4 	26.0 	24.0 	22.8 b	26.5 b	25.6 	23.7 	22.9 	19.7 b	18.3 b	17.6 	15.7 	16.1 	16.1 	15.9 	15.6 
FAMRESP,F,Y20-64,PC_INAC,NO	16.9 	16.1 	14.4 	13.1 	12.4 	12.7 b	11.4 b	11.1 	8.9 	9.2 	9.4 	9.8 	7.9 	7.2 	6.0 	5.8 	5.9 	5.1 
FAMRESP,F,Y20-64,PC_INAC,PL	30.0 b	26.1 b	24.5 	24.7 b	24.8 b	25.7 b	27.1 	28.3 	29.4 	29.6 	28.8 b	30.1 	30.3 	30.7 	31.6 	33.5 	37.0 	39.2 
FAMRESP,F,Y20-64,PC_INAC,PT	39.2 	37.0 	38.1 	36.8 	36.0 	34.8 b	35.0 	34.2 	33.6 	33.1 	32.8 	24.4 b	22.1 	20.9 	20.7 	21.3 	22.0 	22.0 
FAMRESP,F,Y20-64,PC_INAC,RO	20.3 	21.2 	24.1 b	26.7 b	29.2 	5.1 b	26.8 	26.3 	25.9 	25.5 	27.0 b	27.2 	28.7 	30.0 	30.3 	31.4 	32.1 	32.8 
FAMRESP,F,Y20-64,PC_INAC,SE	12.9 	15.4 b	14.4 	14.7 	14.2 	9.3 b	9.0 	9.2 	9.1 	8.8 	9.2 	9.6 	10.1 	9.1 	9.6 	9.8 	9.9 	10.1 
FAMRESP,F,Y20-64,PC_INAC,SI	10.4 	12.2 	10.2 	10.2 	9.3 	15.9 b	16.1 	14.0 	14.5 	14.9 	15.2 	16.6 	14.4 	15.0 	14.6 	12.6 	15.3 	17.3 
FAMRESP,F,Y20-64,PC_INAC,SK	26.9 	25.2 	26.2 	25.6 b	25.8 	27.9 b	28.3 	28.7 	29.2 	30.2 	30.2 	30.6 b	31.0 	31.7 	32.0 	33.3 	33.8 	37.5 
FAMRESP,F,Y20-64,PC_INAC,TR	: 	: 	: 	: 	: 	: 	83.3 	82.0 	82.4 	84.0 	83.9 	83.8 	83.3 	82.3 	83.1 b	83.1 	82.5 	82.8 
FAMRESP,F,Y20-64,PC_INAC,UK	42.3 	41.8 	42.1 	42.3 	41.1 b	9.5 b	: 	: 	39.3 b	39.4 	38.8 	40.2 	40.9 	40.0 	40.2 	40.5 	39.9 	38.4 
FAMRESP,M,Y20-64,PC_INAC,AT	: u	0.9 u	3.1 	: u	2.0 b	2.0 b	1.8 	2.2 b	2.0 	2.0 	2.4 	2.3 	2.3 	2.5 	2.6 	2.2 	2.8 	3.2 
FAMRESP,M,Y20-64,PC_INAC,BE	: 	: bu	: u	: u	: u	3.1 b	3.1 	3.3 	3.4 	3.4 	3.7 	2.9 b	4.1 	3.7 	4.0 	3.7 	3.8 	4.5 b
FAMRESP,M,Y20-64,PC_INAC,BG	: u	2.4 b	2.5 	2.8 b	2.8 	3.4 b	6.0 	6.8 	9.0 b	8.1 	8.9 b	7.9 b	7.8 	9.1 	10.3 	10.5 	12.0 	14.7 
FAMRESP,M,Y20-64,PC_INAC,CH	2.3 u	: c	1.6 u	1.7 u	1.7 u	1.6 bu	3.5 	4.2 	4.2 	5.1 	4.4 b	4.1 	4.6 	2.5 	2.5 	3.0 	3.6 	3.1 
FAMRESP,M,Y20-64,PC_INAC,CY	4.3 u	7.0 u	8.2 	6.6 u	6.0 u	8.2 b	9.2 	6.0 u	6.9 	6.0 b	6.1 	6.7 	6.6 	5.8 	6.6 	7.5 	9.6 	10.4 
FAMRESP,M,Y20-64,PC_INAC,CZ	1.3 	1.4 	0.5 u	1.1 	0.7 u	0.5 bu	0.7 	0.9 	0.6 	0.7 	0.5 u	0.8 bu	0.7 u	0.7 u	0.5 u	2.2 	1.3 u	1.9 
FAMRESP,M,Y20-64,PC_INAC,DE	1.5 	1.3 	1.6 	1.6 	1.6 	1.4 b	: bu	1.6 	: u	1.9 	2.0 b	2.5 b	2.5 b	2.5 	2.3 	2.3 	2.5 	2.6 
FAMRESP,M,Y20-64,PC_INAC,DK	2.6 u	: u	: u	: u	: u	3.2 b	2.3 	1.6 u	: u	1.4 u	1.5 u	1.3 u	1.3 u	1.8 	1.7 	1.5 u	1.7 b	2.4 b
FAMRESP,M,Y20-64,PC_INAC,EA18	1.0 	1.2 	1.2 	1.3 	0.9 	1.4 b	1.8 	2.0 	2.0 	2.4 	2.4 	2.5 	2.9 	3.1 	2.9 	2.8 	3.0 	3.2 
FAMRESP,M,Y20-64,PC_INAC,EA19	1.0 	1.3 	1.3 	1.3 	0.9 	1.4 b	1.8 	2.1 	2.0 	2.4 	2.4 	2.5 	2.9 	3.1 	3.0 	2.8 	3.0 	3.3 
FAMRESP,M,Y20-64,PC_INAC,EE	: bu	: u	: u	: c	: u	2.4 bu	4.4 u	4.2 u	3.6 u	4.2 u	4.1 u	3.2 u	4.3 	3.6 u	3.6 u	4.6 	4.4 u	5.6 
FAMRESP,M,Y20-64,PC_INAC,EL	1.5 	1.4 b	0.9 u	0.8 u	1.4 b	0.9 b	0.9 	0.9 	1.2 	1.2 b	1.3 	1.4 	1.2 	1.0 	1.4 	1.4 	1.6 	1.2 
FAMRESP,M,Y20-64,PC_INAC,ES	0.9 	0.7 b	0.7 	0.6 	0.7 	3.3 b	4.3 b	4.1 	4.7 	4.4 	4.5 	4.1 	4.6 	4.5 	4.7 	4.3 	5.0 	6.1 
FAMRESP,M,Y20-64,PC_INAC,EU27	1.6 	1.8 	1.8 	1.8 	1.7 	1.5 b	1.8 	2.1 	2.9 	3.1 	3.2 	3.4 	3.6 	4.0 	3.9 	4.1 	4.2 	4.5 
