currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,AT	: 	: 	: 	: 	22679.0 	29773.0 	35637.0 	44498.0 	48436.0 	56512.0 	133262.0 	161176.0 	207604.0 	218772.0 	235387.0 	238029.0 	260739.0 	277550.0 	285129.0 	301925.0 	302321.0 	276239.0 	283848.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320553.0 	365494.0 	421911.0 	660494.0 	696258.0 	776537.0 	864777.0 	861445.0 	819512.0 	931765.0 	988653.0 	1024843.0 	963496.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,BG	: 	: 	: 	: 	: 	183.6 	162.2 	226.5 	216.4 	679.7 	795.0 	1302.9 	2513.9 	3796.3 	3982.7 	5469.5 	6168.9 	6658.8 	6991.7 	7845.0 	8072.5 	9655.4 	10796.2 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124163.0 	122708.0 	148780.0 	132610.0 	161979.0 	149693.0 	141504.0 	184594.0 	194713.0 	190573.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,CZ	9190.0 	13609.0 	18989.0 	24004.0 	25115.0 	27899.0 	41176.0 	44397.0 	58582.0 	140147.0 	195228.0 	246444.0 	354163.0 	479984.0 	562744.0 	647520.0 	666546.0 	762409.0 	915136.0 	975542.0 	1049150.0 	1113476.0 	1158096.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,DE	: 	: 	: 	: 	458290.0 	590738.0 	710710.0 	691453.0 	696648.0 	721306.0 	844891.0 	938463.0 	1049715.0 	1048783.0 	1114315.0 	1223562.0 	1310913.0 	1461890.0 	1517375.0 	1643944.0 	1798571.0 	1868514.0 	1926403.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	808470.0 	825855.0 	908801.0 	1025290.0 	1107532.0 	1244176.0 	1344580.0 	1387557.0 	1411985.0 	1516186.0 	1621444.0 	1797855.0 	1809210.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,EE	: 	: 	: 	: 	: 	411.8 	691.9 	898.7 	1181.2 	1513.6 	2266.9 	3628.2 	5576.7 	6271.0 	5954.0 	6487.0 	6064.0 	7134.0 	7696.7 	8712.9 	8392.4 	8818.1 	9140.8 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,EL	: 	: 	: 	: 	: 	: 	: 	: 	10253.0 	10706.0 	12316.0 	17806.0 	22772.0 	28443.0 	33944.0 	36953.0 	39939.0 	37036.0 	29280.0 	27542.0 	26392.0 	21218.0 	20239.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,ES	: 	: 	: 	: 	108877.0 	152946.0 	173911.0 	165713.0 	191577.0 	223780.0 	271259.0 	351118.0 	421977.0 	453925.0 	477766.0 	513258.0 	524716.0 	535567.0 	515716.0 	540475.0 	589708.0 	632758.0 	630270.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,FI	: 	: 	: 	: 	41679.1 	68760.8 	71175.1 	72178.8 	73734.9 	78670.0 	90199.0 	91633.9 	103953.3 	120833.8 	123137.3 	140450.9 	134036.2 	145366.7 	136177.9 	127079.6 	133010.0 	146896.0 	153066.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,FR	: 	: 	: 	: 	350371.0 	537134.0 	607150.0 	563290.0 	593963.0 	637503.0 	772998.0 	868023.0 	939284.0 	948759.0 	1044552.0 	1165280.0 	1252232.0 	1295271.0 	1284166.0 	1393357.0 	1499170.0 	1558985.0 	1546931.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,HR	: 	: 	: 	: 	: 	6556.7 	6993.0 	11447.0 	12060.0 	11794.0 	12466.0 	13279.0 	19057.0 	27163.0 	33922.0 	27768.0 	29031.0 	27844.0 	26453.0 	38714.0 	41017.0 	39239.0 	43395.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,HU	: 	: 	: 	: 	330862.0 	484327.2 	598449.7 	1057451.1 	1828468.4 	2237256.1 	3070357.6 	23282521.5 	34887741.5 	47060766.0 	45614124.0 	44639631.0 	52261413.0 	52652748.3 	51444571.9 	55884838.2 	62077648.3 	79152365.7 	67585514.2 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,IE	: 	: 	: 	: 	: 	: 	: 	126903.6 	152114.0 	202113.1 	290251.1 	305177.0 	330164.2 	375577.0 	482470.0 	529252.0 	548780.0 	613491.0 	711919.0 	912372.0 	1325798.0 	1413802.0 	1253862.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,IT	: 	: 	: 	: 	196318.0 	215103.0 	228781.0 	203568.0 	203325.0 	216921.0 	264697.0 	306306.0 	376825.0 	389622.0 	434100.0 	445007.0 	478218.0 	491232.0 	505587.0 	520643.0 	540390.0 	555153.0 	563511.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	434.5 	857.1 	1196.5 	1695.5 	1998.3 	2365.5 	2359.7 	2431.8 	2604.4 	3186.1 	3605.4 	3816.2 	4599.4 	5400.8 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,LU	: 	: 	: 	: 	: 	: 	: 	481661.0 	588460.0 	653032.0 	763440.0 	834289.0 	1001131.0 	1165870.0 	1320952.0 	1503557.0 	2241342.0 	3036448.0 	3399885.0 	4566465.0 	5649731.0 	5757923.0 	5263395.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,LV	: 	: 	: 	: 	: 	66.0 	191.0 	144.0 	232.0 	314.0 	417.0 	565.0 	1182.0 	1385.0 	1221.0 	1319.0 	1428.0 	1539.0 	1932.0 	2050.0 	2418.0 	2544.0 	2950.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	10732.7 	23773.7 	38075.2 	52128.8 	64310.0 	62516.7 	70927.6 	77771.2 	76763.6 	75649.2 	74566.8 	73990.4 	73441.9 	73205.6 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,NL	: 	: 	: 	: 	: 	: 	: 	: 	1726335.0 	1854934.0 	2102000.0 	2511779.0 	2908292.0 	3038009.0 	3138045.0 	3387353.0 	3736927.0 	3937134.0 	4218880.0 	4407892.0 	4985442.0 	5287923.0 	5511452.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	24890.0 	37526.0 	63388.0 	76536.0 	99115.0 	115255.0 	186250.0 	224652.0 	223445.0 	215839.0 	231202.0 	242442.0 	267332.0 	252840.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,PT	: 	3805.0 	6220.0 	12524.0 	15382.0 	26115.0 	30468.0 	24149.0 	33165.0 	38358.0 	42001.0 	48211.0 	54173.0 	54427.0 	58387.0 	61983.0 	63749.0 	68644.0 	71735.0 	74151.0 	77126.0 	86097.0 	85944.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2008.0 	3737.0 	5409.0 	6935.0 	7265.0 	8183.0 	8531.0 	7451.0 	7618.0 	11576.0 	15736.0 	25763.0 	31349.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,SE	: 	: 	: 	977951.0 	1153194.0 	1463795.0 	1731786.0 	1746023.0 	1843161.0 	2005843.0 	2345233.0 	2486729.0 	3007346.0 	3533434.0 	3581602.0 	3550130.0 	3628795.0 	3527378.0 	3709079.0 	3948215.0 	4010329.0 	4259191.0 	343846.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,SI	658.2 	686.5 	804.3 	766.2 	876.5 	1130.6 	1470.0 	1924.0 	2423.0 	2643.0 	3664.0 	4010.0 	6087.0 	6978.0 	7743.0 	7885.0 	7745.0 	7198.1 	6813.4 	6970.4 	7252.3 	7766.8 	8266.6 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__D__F,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	2985.3 	3576.3 	4073.9 	5094.5 	5809.7 	6915.0 	7183.0 	9425.3 	8853.6 	9470.8 	8633.8 	10062.9 	14814.4 	17752.8 
