duration,sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M0-11,T,Y20-64,PC,TR	: 	17.0 	17.8 	19.3 	20.0 	22.1 	23.4 	23.3 	23.7 	25.4 b	25.5 	24.8 	24.9 
M0-11,T,Y20-64,PC,UK	16.2 b	15.5 	15.8 b	15.3 b	12.9 	12.8 	13.0 	13.2 	13.5 	14.6 	15.3 	15.0 	15.1 
M12-23,T,Y20-64,PC,AT	8.9 b	8.8 	9.0 b	9.1 	9.2 	8.5 	8.3 	9.5 	9.4 	9.3 	9.0 	9.5 	9.6 
M12-23,T,Y20-64,PC,BE	7.3 b	8.1 	8.4 	8.9 	9.2 	8.1 	8.3 b	9.0 	8.5 	7.9 	8.1 	8.1 	8.5 b
M12-23,T,Y20-64,PC,BG	10.2 b	9.9 	9.5 	10.0 b	9.5 	8.7 b	7.7 b	7.5 	7.8 	8.2 	7.2 	7.2 	7.3 
M12-23,T,Y20-64,PC,CH	9.3 b	9.8 	10.0 	10.7 	11.7 	9.9 b	9.4 	10.7 	10.7 	10.7 	11.1 	11.5 	11.2 
M12-23,T,Y20-64,PC,CY	9.6 b	9.2 	8.9 	10.5 	11.8 b	10.4 	9.7 	10.1 	8.5 	7.6 	9.5 	9.7 	10.2 
M12-23,T,Y20-64,PC,CZ	8.2 b	8.3 	8.9 	8.9 	8.5 	7.7 	7.7 b	7.7 	7.3 	7.0 	7.5 	8.5 	8.1 
M12-23,T,Y20-64,PC,DE	8.3 b	8.3 	8.6 	9.1 	9.2 	8.7 b	8.8 b	9.0 	9.2 	8.8 	8.9 	9.0 	9.4 
M12-23,T,Y20-64,PC,DK	10.4 b	10.6 	12.8 	15.1 	14.4 	11.7 	10.7 	10.9 	10.8 	11.6 	13.0 	12.8 b	13.5 b
M12-23,T,Y20-64,PC,EA18	8.1 b	8.2 	8.5 	9.0 	9.0 	7.9 	7.8 	8.0 	7.8 	7.6 	7.8 	8.2 	8.6 
M12-23,T,Y20-64,PC,EA19	8.1 b	8.2 	8.5 	9.0 	9.0 	7.9 	7.8 	8.0 	7.8 	7.6 	7.8 	8.2 	8.6 
M12-23,T,Y20-64,PC,EE	13.6 b	13.7 	15.1 	14.7 	13.1 	9.9 	10.1 	12.3 	11.9 	11.2 	11.9 	11.4 	11.6 
M12-23,T,Y20-64,PC,EL	7.0 b	6.7 	7.3 	7.4 	7.3 b	6.8 	6.3 	5.4 	5.1 	6.1 	6.9 	7.1 	7.2 
M12-23,T,Y20-64,PC,ES	10.0 b	10.1 	10.6 	10.8 	10.0 	8.1 	7.5 	7.2 	6.7 	6.8 	7.4 	8.3 	8.7 
M12-23,T,Y20-64,PC,EU27	8.7 b	8.8 	9.1 	9.6 	9.6 	8.3 	8.2 	8.4 	8.2 	8.2 	8.5 	8.9 	9.2 
M12-23,T,Y20-64,PC,EU28	8.7 b	8.8 	9.1 	9.6 	9.6 	8.3 	8.2 	8.4 	8.2 	8.1 	8.5 	8.9 	9.2 
M12-23,T,Y20-64,PC,FI	8.7 b	9.2 	9.6 	10.2 b	10.0 	8.5 	8.2 	9.7 	9.6 	9.1 	8.4 	8.6 	9.3 
M12-23,T,Y20-64,PC,FR	7.7 b	7.7 	8.1 	8.7 	8.9 	7.8 	7.8 	8.1 	7.7 	7.6 b	7.6 	7.6 	8.2 
M12-23,T,Y20-64,PC,HR	6.9 b	6.5 b	7.6 	8.6 	9.1 	7.7 	6.6 	7.4 	7.1 	6.0 	7.5 	8.8 	9.0 
M12-23,T,Y20-64,PC,HU	9.5 b	8.8 	9.4 	9.8 	9.7 	8.8 	8.8 	9.0 	9.1 	9.0 	9.2 	9.5 	10.3 
M12-23,T,Y20-64,PC,IE	9.7 b	8.9 	9.9 b	11.5 	10.3 	7.4 	6.9 	7.4 	8.0 	8.4 	8.6 	9.8 	10.1 b
M12-23,T,Y20-64,PC,IS	10.0 b	10.9 	14.3 	12.8 	12.5 	9.4 	10.1 	10.3 	11.1 	10.7 	11.5 	11.2 	12.3 
M12-23,T,Y20-64,PC,IT	7.1 b	7.0 	7.1 	7.6 	7.6 	6.4 	6.2 	6.5 	5.9 	5.6 	6.1 	7.0 	7.0 
M12-23,T,Y20-64,PC,LT	10.4 b	10.6 	6.8 	6.1 	9.4 	11.0 	10.5 	11.9 	11.4 	12.3 	11.7 	11.0 	12.5 
M12-23,T,Y20-64,PC,LU	7.0 b	7.8 	8.4 b	8.5 	9.6 b	8.3 	8.3 	9.2 	8.8 	8.6 	9.0 b	10.1 b	10.6 
M12-23,T,Y20-64,PC,LV	9.8 b	11.4 	11.1 	12.6 	11.4 	8.8 	10.2 	10.9 	10.8 	11.3 	10.1 	10.2 	10.0 
M12-23,T,Y20-64,PC,ME	: 	: 	: 	: 	: 	: 	5.8 	5.7 	5.2 	7.0 	7.0 	8.2 	8.7 
M12-23,T,Y20-64,PC,MK	: 	7.9 	11.4 	11.7 	13.7 	12.8 	12.6 	10.5 	8.0 	9.2 	8.5 	8.2 	8.4 
M12-23,T,Y20-64,PC,MT	8.1 b	7.2 	8.2 	9.2 	10.2 	8.7 	8.7 	8.5 	9.9 	10.7 	10.1 	11.6 	12.4 
M12-23,T,Y20-64,PC,NL	6.5 b	6.8 	7.7 	8.9 	8.8 	8.3 b	8.2 b	8.4 	8.2 	7.6 	7.7 	8.4 	9.2 
M12-23,T,Y20-64,PC,NO	1.5 b	3.7 b	8.0 	9.2 	9.2 	7.8 	7.5 	8.0 	8.1 	8.0 	8.0 	7.7 	8.0 
M12-23,T,Y20-64,PC,PL	9.5 b	9.6 	10.5 	11.7 	11.8 	9.7 b	9.6 	9.4 	9.2 	9.3 	9.6 	10.0 	10.1 
M12-23,T,Y20-64,PC,PT	7.2 b	7.7 	7.5 	8.4 	8.1 	8.0 	7.2 b	6.8 	6.2 	6.2 	6.9 	7.6 	7.8 
M12-23,T,Y20-64,PC,RO	8.8 b	8.6 	8.9 	9.2 	8.6 	6.9 b	6.4 	6.6 	5.8 	6.0 	7.4 	6.4 	6.7 
M12-23,T,Y20-64,PC,SE	7.7 b	8.3 	9.2 	10.3 	10.4 	8.4 	8.9 	10.6 	9.9 	10.0 	10.0 	10.7 	11.8 
M12-23,T,Y20-64,PC,SI	7.1 b	7.8 	6.7 	8.4 	8.9 	8.2 	7.1 	7.1 	7.0 	7.1 	7.8 	8.3 	8.0 
M12-23,T,Y20-64,PC,SK	9.0 b	9.6 	10.1 	10.5 	8.9 	7.5 	7.9 b	7.7 	7.1 	7.3 	8.2 	8.6 	9.0 
M12-23,T,Y20-64,PC,TR	: 	7.7 	8.0 	8.2 	8.2 	7.5 	8.3 	8.6 	8.8 	8.9 b	9.2 	9.5 	9.0 
M12-23,T,Y20-64,PC,UK	11.3 b	11.4 	11.3 b	11.2 b	11.2 	9.8 	9.7 	9.7 	9.9 	10.3 	11.0 	11.6 	11.5 
M24-59,T,Y20-64,PC,AT	16.1 b	15.9 	15.6 b	15.9 	16.1 	16.3 	16.0 	16.2 	16.3 	16.6 	16.9 	16.6 	16.2 
M24-59,T,Y20-64,PC,BE	15.2 b	14.5 	14.7 	15.1 	16.0 	17.0 	16.3 b	16.2 	15.9 	16.6 	15.9 	15.1 	14.9 b
M24-59,T,Y20-64,PC,BG	18.7 b	19.8 	21.3 	21.1 b	22.0 	22.4 b	21.8 b	20.2 	19.4 	19.3 	17.9 	18.2 	17.5 
M24-59,T,Y20-64,PC,CH	18.9 b	17.4 	16.5 	16.0 	17.5 	19.8 b	19.4 	19.3 	18.8 	19.1 	19.2 	19.4 	19.0 
M24-59,T,Y20-64,PC,CY	18.1 b	16.8 	17.1 	15.7 	17.2 b	20.2 	21.0 	19.1 	17.9 	15.7 	14.9 	13.7 	13.7 
