duration,sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NRP,T,Y20-64,PC,EA18	1.3 b	1.5 	1.3 	1.3 	1.4 	1.0 	0.8 	0.8 	1.1 	0.9 	1.0 	1.3 	1.1 
NRP,T,Y20-64,PC,EA19	1.3 b	1.5 	1.3 	1.3 	1.4 	1.0 	0.8 	0.8 	1.1 	0.9 	1.0 	1.2 	1.1 
NRP,T,Y20-64,PC,EE	: bu	: u	: 	: u	: c	: u	: c	: 	: c	: u	0.2 u	0.2 u	0.4 u
NRP,T,Y20-64,PC,EL	: bc	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,ES	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,EU27	1.0 b	1.1 	1.0 	1.0 	1.0 	0.8 	0.7 	0.7 	0.9 	0.8 	0.9 	1.1 	1.0 
NRP,T,Y20-64,PC,EU28	1.0 b	1.1 	0.9 	1.0 	1.0 	0.8 	0.7 	0.7 	0.9 	0.8 	0.9 	1.1 	1.0 
NRP,T,Y20-64,PC,FI	0.4 b	0.4 	0.5 	0.4 b	0.5 	0.4 	0.4 	0.3 	0.2 	0.2 	0.3 	0.2 	0.2 
NRP,T,Y20-64,PC,FR	0.3 b	0.3 	0.3 	0.3 	0.2 	0.1 	0.2 	0.1 	1.4 	0.9 b	1.0 	1.0 	1.0 
NRP,T,Y20-64,PC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 	1.2 
NRP,T,Y20-64,PC,HU	: bc	: u	: 	: 	: 	: 	: 	: 	: 	0.4 	0.2 	0.1 u	: 
NRP,T,Y20-64,PC,IE	6.9 b	17.0 	1.2 b	1.2 	1.4 	1.5 	1.8 	1.8 	2.1 	2.6 	3.1 	3.8 	5.3 b
NRP,T,Y20-64,PC,IS	1.6 b	2.4 	1.3 	0.6 	1.2 	1.1 	0.9 	1.5 	0.9 	1.0 	0.9 	0.8 	0.8 
NRP,T,Y20-64,PC,IT	: 	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,LT	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,LU	: bu	: 	: 	: c	1.1 b	1.4 	1.1 	1.0 	1.1 	1.4 	2.5 b	3.0 b	2.7 
NRP,T,Y20-64,PC,LV	: 	: c	0.9 	0.3 	: 	: 	: 	: 	: 	: c	: 	: u	: 
NRP,T,Y20-64,PC,ME	: 	: 	: 	: 	: 	: 	: u	: 	: 	: c	: c	: c	: c
NRP,T,Y20-64,PC,MK	: 	0.4 	: u	: u	0.1 u	0.3 	: 	: 	: c	: 	: c	: c	: u
NRP,T,Y20-64,PC,MT	3.7 b	3.0 	1.9 	1.5 	0.8 	1.6 	1.7 	1.3 	1.6 	1.1 	0.8 	: 	: u
NRP,T,Y20-64,PC,NL	14.1 b	14.5 	15.1 	14.7 	14.1 	8.3 b	0.8 b	0.9 	1.4 	1.4 	1.5 	1.5 	1.5 
NRP,T,Y20-64,PC,NO	75.2 b	44.3 b	8.6 	0.5 	0.4 	0.4 	0.4 	0.7 	0.8 	0.9 	1.2 	1.5 	1.3 
NRP,T,Y20-64,PC,PL	0.1 b	0.1 	0.1 	0.2 	0.2 	0.3 b	0.3 	0.3 	0.7 	0.7 	1.3 	1.6 	1.5 
NRP,T,Y20-64,PC,RO	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,SE	0.4 b	0.4 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 
NRP,T,Y20-64,PC,SI	: bu	: c	: u	: u	: u	: u	: u	: 	: 	1.5 	: 	: 	: c
NRP,T,Y20-64,PC,SK	: bc	: c	: c	: c	: c	: c	: bc	: c	: u	: c	: c	: 	: 
NRP,T,Y20-64,PC,TR	: 	0.2 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NRP,T,Y20-64,PC,UK	0.6 b	0.6 	0.6 b	0.6 b	0.7 	0.8 	0.7 	1.0 	1.1 	0.9 	0.8 	0.8 	0.8 
TOTAL,T,Y20-64,PC,AT	100.0 b	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,BE	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b
TOTAL,T,Y20-64,PC,BG	100.0 b	100.0 	100.0 	100.0 b	100.0 	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,CH	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,CY	100.0 b	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,CZ	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,DE	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,DK	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 b
TOTAL,T,Y20-64,PC,EA18	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,EA19	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,EE	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,EL	100.0 b	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,ES	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,EU27	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,EU28	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,FI	100.0 b	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,FR	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,HR	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,HU	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,IE	100.0 b	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b
TOTAL,T,Y20-64,PC,IS	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,IT	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,LT	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,LU	100.0 b	100.0 	100.0 b	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 
TOTAL,T,Y20-64,PC,LV	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,ME	: 	: 	: 	: 	: 	: 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,MK	: 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,MT	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,NL	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,NO	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,PL	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,PT	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,RO	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,SE	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,SI	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,SK	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,TR	: 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 b	100.0 	100.0 	100.0 
TOTAL,T,Y20-64,PC,UK	100.0 b	100.0 	100.0 b	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
