currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,LV	: 	: 	: 	: 	: 	-324.0 	-559.0 	-544.0 	-744.0 	-1358.0 	-1611.0 	-3572.0 	-4691.0 	-3007.0 	1463.0 	368.0 	-641.0 	-794.0 	-621.0 	-411.0 	-113.0 	403.0 	191.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-180.3 	-335.0 	-354.7 	-110.3 	-64.5 	-403.8 	-307.4 	-13.7 	122.0 	203.7 	744.1 	424.3 	711.7 	1531.8 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	40231.0 	38892.0 	53164.0 	42714.0 	32216.0 	33816.0 	44503.0 	55912.0 	66701.0 	64403.0 	56934.0 	43435.0 	57104.0 	77250.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-50945.0 	-25796.0 	-42743.0 	-75165.0 	-85785.0 	-54268.0 	-77773.0 	-81496.0 	-60483.0 	-21037.0 	-35654.0 	-10231.0 	-9686.0 	3170.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,PT	: 	-4240.0 	-6314.0 	-8408.0 	-10593.0 	-13877.0 	-14174.0 	-12105.0 	-10474.0 	-12691.0 	-15678.0 	-17743.0 	-17089.0 	-21691.0 	-18285.0 	-18260.0 	-10573.0 	-3018.0 	2689.0 	141.0 	210.0 	1102.0 	878.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,RO	: 	: 	: 	: 	-2305.0 	-3111.0 	-6592.0 	-5179.0 	-11806.0 	-20686.0 	-25032.0 	-35836.0 	-57912.0 	-61742.0 	-24739.0 	-26975.0 	-27808.0 	-28523.0 	-6857.0 	-4434.0 	-8774.0 	-15709.0 	-28782.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,SE	60104.0 	64574.0 	78848.0 	77142.0 	88036.0 	94338.0 	117462.0 	115227.0 	157730.0 	168474.0 	175957.0 	254095.0 	269467.0 	265691.0 	198426.0 	209889.0 	203695.0 	205875.0 	197279.0 	179052.0 	190345.0 	186896.0 	152055.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,SI	-74.0 	12.0 	21.0 	-132.0 	-692.0 	-610.0 	7.0 	216.0 	-215.0 	-747.0 	-524.0 	-580.0 	-1451.0 	-2018.0 	-203.0 	-43.0 	70.0 	775.3 	1593.9 	2178.8 	1760.1 	2223.7 	3077.3 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3518.6 	-4178.7 	-4312.1 	-3302.5 	-4262.1 	-2207.1 	-3183.5 	-3497.0 	683.7 	1379.0 	870.5 	-1391.1 	-1756.4 	-1689.6 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,UK	: 	: 	1279.0 	-871.0 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	-90692.0 	-90897.0 	-93165.0 	-102790.0 	-76499.0 
