unit,landcover,geo\time	2009 	2012 	2015 
KM2,LCA1,AT	1103 	1173 	1204 
KM2,LCA1,BE	1455 	1654 	1681 
KM2,LCA1,BG	: 	702 	711 
KM2,LCA1,CY	: 	133 	133 
KM2,LCA1,CZ	1054 	1105 	1186 
KM2,LCA1,DE	8105 	8541 	8811 
KM2,LCA1,DK	937 	976 	990 
KM2,LCA1,EE	269 	271 	271 
KM2,LCA1,EL	1143 	1255 	1324 
KM2,LCA1,ES	4837 	5167 	5223 
KM2,LCA1,EU27	: 	56442 	57960 
KM2,LCA1,EU28	: 	: 	58527 
KM2,LCA1,EU_V	50836 	: 	: 
KM2,LCA1,FI	957 	978 	999 
KM2,LCA1,FR	7612 	8052 	8197 
KM2,LCA1,HR	: 	: 	566 
KM2,LCA1,HU	1387 	1453 	1489 
KM2,LCA1,IE	800 	821 	821 
KM2,LCA1,IT	6336 	6623 	6723 
KM2,LCA1,LT	685 	700 	751 
KM2,LCA1,LU	64 u	67 u	67 u
KM2,LCA1,LV	358 	364 	370 
KM2,LCA1,MT	: 	50 	49 
KM2,LCA1,NL	1224 	1349 	1409 
KM2,LCA1,PL	3644 	3734 	3877 
KM2,LCA1,PT	1416 	1468 	1500 
KM2,LCA1,RO	: 	2077 	2154 
KM2,LCA1,SE	1365 	1478 	1518 
KM2,LCA1,SI	148 	153 	154 
KM2,LCA1,SK	516 	550 	552 
KM2,LCA1,UK	5420 	5548 	5798 
PC,LCA1,AT	1.3 	1.4 	1.4 
PC,LCA1,BE	4.7 	5.4 	5.5 
PC,LCA1,BG	: 	0.6 	0.6 
PC,LCA1,CY	: 	1.4 	1.4 
PC,LCA1,CZ	1.3 	1.4 	1.5 
PC,LCA1,DE	2.3 	2.4 	2.5 
PC,LCA1,DK	2.2 	2.3 	2.3 
PC,LCA1,EE	0.6 	0.6 	0.6 
PC,LCA1,EL	0.9 	1 	1 
PC,LCA1,ES	1 	1 	1 
PC,LCA1,EU27	: 	1.3 	1.3 
PC,LCA1,EU28	: 	: 	1.3 
PC,LCA1,EU_V	1.3 	: 	: 
PC,LCA1,FI	0.3 	0.3 	0.3 
PC,LCA1,FR	1.4 	1.5 	1.5 
PC,LCA1,HR	: 	: 	1 
PC,LCA1,HU	1.5 	1.6 	1.6 
PC,LCA1,IE	1.1 	1.2 	1.2 
PC,LCA1,IT	2.1 	2.2 	2.2 
PC,LCA1,LT	1.1 	1.1 	1.2 
PC,LCA1,LU	2.5 u	2.6 u	2.6 u
PC,LCA1,LV	0.6 	0.6 	0.6 
PC,LCA1,MT	: 	15.7 	15.6 
PC,LCA1,NL	3.3 	3.6 	3.8 
PC,LCA1,PL	1.2 	1.2 	1.2 
PC,LCA1,PT	1.6 	1.7 	1.7 
PC,LCA1,RO	: 	0.9 	0.9 
PC,LCA1,SE	0.3 	0.3 	0.3 
PC,LCA1,SI	0.7 	0.8 	0.8 
PC,LCA1,SK	1.1 	1.1 	1.1 
PC,LCA1,UK	2.2 	2.3 	2.4 
