na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S12,LIAB,PC_GDP,PT	163.9 	176.5 	202.3 	217.1 	227.6 	245.9 	257.4 	256.1 	273.9 	282.5 	300.2 	317.3 	332.2 	335.5 	364.9 	378.1 	355.2 	361.8 	341.0 	338.5 	319.7 	313.4 	306.3 
F,CO,S12,LIAB,PC_GDP,RO	102.9 e	82.5 e	53.7 e	46.8 	45.1 	40.6 	43.1 	48.5 	47.0 	61.3 	77.4 	88.3 	94.9 	87.0 	102.8 	107.6 	106.4 	105.3 	98.6 	95.0 	93.4 	92.5 	89.5 
F,CO,S12,LIAB,PC_GDP,SE	180.1 	192.1 	207.2 	227.8 	245.4 	264.4 	257.8 	254.4 	262.7 	279.0 	313.5 	318.2 	333.3 	345.8 	365.4 	364.8 	365.6 	376.2 	398.3 	427.4 	406.2 	420.2 	429.9 
F,CO,S12,LIAB,PC_GDP,SI	61.9 	67.5 	70.1 	73.5 	77.1 	83.7 	92.4 	100.1 	104.2 	111.4 	126.3 	136.7 	168.4 	161.5 	177.5 	172.6 	165.9 	163.9 	146.7 	150.0 	141.9 	140.8 	137.3 
F,CO,S12,LIAB,PC_GDP,SK	218.0 	208.0 	197.5 	184.9 	177.8 	169.7 	168.0 	150.9 	145.2 	140.4 	150.9 	131.8 	121.0 	122.8 	139.5 	136.8 	131.5 	126.5 	127.7 	135.7 	144.1 	151.8 	171.6 
F,CO,S12,LIAB,PC_GDP,UK	403.9 	414.3 	455.5 	494.8 	475.7 	522.1 	531.4 	529.0 	576.4 	702.4 	782.4 	807.1 	940.2 	1371.5 	1158.4 	1210.7 	1289.8 	1205.7 	1057.8 	1085.0 	954.4 	1028.3 	962.5 
F,CO,S121,LIAB,PC_GDP,AT	13.6 	14.4 	14.7 	13.9 	16.3 	15.6 	13.0 	13.0 	13.6 	14.8 	19.7 	20.6 	22.2 	28.7 	24.4 	27.6 	32.6 	34.6 	30.8 	28.4 	31.3 	34.7 	39.2 
F,CO,S121,LIAB,PC_GDP,BE	11.0 	11.4 	11.5 	10.7 	16.9 	14.0 	11.6 	13.6 	17.0 	20.0 	22.4 	25.1 	32.8 	43.5 	29.3 	20.6 	33.9 	28.5 	20.1 	19.1 	21.9 	31.2 	39.7 
F,CO,S121,LIAB,PC_GDP,BG	32.1 	71.6 	41.7 	32.0 	43.2 	42.8 	39.6 	37.2 	38.0 	40.4 	37.0 	36.8 	39.2 	36.4 	35.1 	34.4 	32.7 	37.5 	34.8 	39.0 	45.1 	50.5 	40.7 
F,CO,S121,LIAB,PC_GDP,CY	6.3 	6.3 	7.2 	15.2 	12.2 	11.8 	14.5 	15.4 	16.8 	17.1 	32.0 	37.1 	31.6 	60.7 	86.0 	69.4 	87.0 	30.5 	29.3 	39.6 	55.8 	62.2 	73.3 
F,CO,S121,LIAB,PC_GDP,CZ	26.1 	20.4 	21.2 	22.6 	23.5 	22.3 	21.1 	30.3 	28.4 	27.3 	30.3 	26.3 	24.5 	22.8 	24.3 	25.0 	23.8 	24.8 	28.8 	28.8 	34.4 	44.9 	: 
F,CO,S121,LIAB,PC_GDP,DE	9.3 	9.5 	9.4 	9.2 	10.4 	10.4 	9.2 	9.3 	10.5 	11.5 	12.8 	13.5 	16.9 	21.3 	20.6 	21.5 	26.0 	32.2 	25.0 	22.5 	29.5 	40.1 	49.0 
F,CO,S121,LIAB,PC_GDP,DK	14.6 	16.0 	18.0 	15.5 	22.8 	15.0 	19.4 	23.2 	22.4 	22.2 	24.8 	21.8 	24.5 	36.4 	31.9 	26.6 	30.5 	33.1 	29.5 	28.1 	24.3 	25.3 	24.8 
F,CO,S121,LIAB,PC_GDP,EE	16.0 	14.3 	15.3 	14.4 	16.3 	16.2 	13.6 	12.6 	12.8 	13.8 	14.8 	15.8 	13.9 	17.2 	19.7 	14.0 	19.2 	23.7 	22.4 	30.1 	32.6 	31.4 	35.1 
F,CO,S121,LIAB,PC_GDP,EL	36.1 	32.1 	22.8 	24.0 	25.8 	22.4 	20.0 	20.7 	18.3 	14.8 	15.7 	15.7 	17.9 	28.8 	35.6 	59.9 	79.1 	80.3 	59.2 	56.1 	90.5 	79.4 	68.6 
