org_inst,sex,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
GOV_NAT,F,PC_WMN,AT	26.7 d	27.8 	37.5 	33.3 	35.0 	35.0 	33.3 	38.9 	33.3 	33.3 	33.3 	31.3 	31.3 	25.0 	26.7 	37.5 p
GOV_NAT,F,PC_WMN,BE	40.0 d	26.3 	26.3 	25.0 	26.3 	31.8 	18.2 	22.7 	23.8 	31.6 	31.6 	22.2 	27.8 	22.2 	22.2 	22.2 p
GOV_NAT,F,PC_WMN,BG	26.5 d	27.7 	30.7 	29.5 	30.1 	29.5 	31.6 	33.3 	35.2 	38.0 	33.9 	30.9 	27.0 	36.1 	37.0 	37.0 p
GOV_NAT,F,PC_WMN,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: p
GOV_NAT,F,PC_WMN,CY	9.1 d	0.0 	0.0 	0.0 	16.0 	12.0 	8.3 	16.7 	25.0 	33.3 	8.3 	8.3 	8.3 	8.3 	8.3 	16.7 p
GOV_NAT,F,PC_WMN,CZ	: 	11.8 	9.5 	11.8 	16.7 	11.1 	17.6 	0.0 	6.3 	12.5 	6.7 	17.6 	17.6 	17.6 	11.8 	11.8 p
GOV_NAT,F,PC_WMN,DE	45.7 d	46.7 	26.7 	38.9 	30.4 	32.6 	32.6 	28.3 	28.3 	28.3 	27.3 	42.9 	40.8 	40.8 	42.2 	39.2 p
GOV_NAT,F,PC_WMN,DK	27.8 d	29.4 	27.8 	27.8 	36.8 	36.8 	42.1 	47.4 	39.1 	43.5 	45.5 	30.0 	29.4 	29.4 	40.9 	40.9 p
GOV_NAT,F,PC_WMN,EE	9.1 d	8.3 	16.7 	15.4 	21.4 	21.4 	7.7 	7.7 	7.7 	7.7 	7.7 	42.9 	13.3 	13.3 	26.7 	33.3 p
GOV_NAT,F,PC_WMN,EL	6.4 d	4.5 	4.5 	7.7 	4.9 	7.3 	25.0 	20.4 	9.8 	4.0 	8.0 	8.0 	15.2 	17.4 	16.3 	16.3 p
GOV_NAT,F,PC_WMN,ES	25.0 d	43.8 	50.0 	50.0 	35.1 	43.9 	38.6 	35.7 	32.6 	26.3 	26.3 	34.2 	26.3 	25.7 	31.6 	31.6 p
GOV_NAT,F,PC_WMN,EU28	23.3 d	20.4 	20.0 	22.5 	24.2 	24.8 	25.8 	23.8 	22.7 	24.3 	25.2 	27.3 	27.4 	27.2 	28.2 	29.5 p
GOV_NAT,F,PC_WMN,FI	44.4 d	47.1 	47.1 	37.0 	60.0 	60.0 	51.6 	51.6 	43.8 	46.9 	53.1 	53.6 	33.3 	35.3 	33.3 	38.1 p
GOV_NAT,F,PC_WMN,FR	27.3 d	20.5 	16.0 	20.7 	33.3 	34.2 	33.3 	34.2 	26.5 	48.7 	47.4 	47.1 	48.5 	47.4 	50.0 	50.0 p
GOV_NAT,F,PC_WMN,HR	: 	: 	: 	: 	26.7 	22.2 	20.0 	15.8 	10.5 	13.6 	19.0 	19.0 	14.3 	19.0 	28.6 	28.6 p
GOV_NAT,F,PC_WMN,HU	8.1 d	8.8 	10.7 	17.4 	11.4 	13.5 	0.0 	0.0 	0.0 	9.1 	10.0 	0.0 	0.0 	0.0 	0.0 	0.0 p
GOV_NAT,F,PC_WMN,IE	12.9 d	11.1 	16.1 	16.1 	14.3 	14.3 	13.3 	16.7 	20.0 	16.7 	13.3 	20.0 	20.0 	24.2 	20.6 	20.6 p
GOV_NAT,F,PC_WMN,IS	18.2 d	27.3 	27.3 	36.4 	33.3 	33.3 	50.0 	40.0 	40.0 	50.0 	33.3 	33.3 	40.0 	50.0 	36.4 	45.5 p
GOV_NAT,F,PC_WMN,IT	10.8 d	10.5 	5.3 	21.6 	20.4 	14.8 	14.8 	19.4 	21.9 	13.0 	24.2 	27.1 	26.3 	25.4 	28.1 	27.3 p
GOV_NAT,F,PC_WMN,LI	20.0 d	33.3 	25.0 	25.0 	40.0 	40.0 	30.0 	30.0 	30.0 	30.0 	50.0 	50.0 	50.0 	55.6 	40.0 	40.0 p
GOV_NAT,F,PC_WMN,LT	: 	15.4 	15.4 	23.1 	25.9 	18.5 	17.8 	19.6 	17.3 	13.7 	18.3 	20.4 	21.3 	24.1 	26.4 	24.0 p
GOV_NAT,F,PC_WMN,LU	33.3 d	21.4 	14.3 	21.4 	20.0 	20.0 	26.7 	26.7 	26.7 	26.7 	26.7 	27.8 	27.8 	22.2 	22.2 	28.3 p
GOV_NAT,F,PC_WMN,LV	25.0 d	25.0 	23.5 	23.5 	27.8 	27.0 	24.1 	26.3 	28.6 	30.8 	28.0 	24.0 	25.9 	21.4 	22.2 	22.2 p
GOV_NAT,F,PC_WMN,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.0 	18.2 	20.0 	20.0 p
GOV_NAT,F,PC_WMN,MK	: 	: 	: 	: 	: 	8.3 	13.5 	13.5 	13.9 	15.8 	10.3 	12.8 	10.0 	12.2 	14.6 	15.0 p
GOV_NAT,F,PC_WMN,MT	: 	15.8 	16.7 	15.8 	15.8 	13.3 	13.3 	15.4 	14.3 	15.4 	8.7 	8.7 	8.7 	13.0 	12.0 	12.0 p
GOV_NAT,F,PC_WMN,NL	38.5 d	36.0 	34.8 	31.8 	40.7 	40.7 	40.7 	35.7 	20.0 	35.0 	40.0 	40.0 	35.0 	35.0 	41.7 	41.7 p
GOV_NAT,F,PC_WMN,NO	47.1 d	36.4 	36.2 	45.0 	46.6 	42.9 	44.8 	45.3 	46.9 	44.6 	33.3 	33.3 	39.1 	38.8 	40.9 	43.3 p
GOV_NAT,F,PC_WMN,PL	: 	6.3 	14.3 	20.0 	18.3 	20.7 	21.5 	18.1 	20.2 	26.3 	27.7 	29.6 	29.1 	17.6 	18.9 	16.8 p
GOV_NAT,F,PC_WMN,PT	18.9 d	13.5 	13.0 	10.2 	9.8 	11.1 	16.4 	18.2 	16.7 	14.3 	14.3 	14.3 	33.9 	32.2 	32.8 	34.4 p
GOV_NAT,F,PC_WMN,RO	15.0 d	17.6 	15.2 	13.5 	0.0 	0.0 	18.2 	11.8 	16.7 	19.0 	21.4 	20.0 	35.0 	36.4 	21.4 	32.1 p
GOV_NAT,F,PC_WMN,RS	: 	: 	: 	: 	: 	18.5 	18.5 	18.5 	14.3 	26.3 	13.6 	21.1 	21.1 	25.0 	22.7 	22.7 p
GOV_NAT,F,PC_WMN,SE	52.4 d	43.5 	46.2 	42.9 	45.5 	45.5 	45.5 	45.8 	50.0 	54.2 	54.2 	50.0 	50.0 	50.0 	52.2 	52.2 p
GOV_NAT,F,PC_WMN,SI	18.8 d	7.1 	6.7 	6.3 	17.5 	22.5 	35.7 	35.7 	26.7 	18.4 	29.3 	40.5 	46.2 	50.0 	43.4 	43.4 p
GOV_NAT,F,PC_WMN,SK	0.0 d	10.8 	12.1 	15.4 	14.3 	14.3 	17.1 	14.8 	16.7 	8.6 	8.3 	5.6 	8.1 	17.1 	22.0 	25.0 p
GOV_NAT,F,PC_WMN,TR	: 	4.8 	4.5 	4.5 	4.0 	4.0 	7.4 	7.4 	3.8 	3.8 	3.8 	3.8 	7.7 	3.7 	7.4 	7.4 p
GOV_NAT,F,PC_WMN,UK	30.8 d	25.5 	27.5 	24.6 	32.6 	34.4 	28.8 	13.9 	16.5 	18.2 	19.8 	24.8 	25.2 	23.7 	26.5 	31.4 p
PARL_NAT,F,PC_WMN,AT	33.7 d	30.5 	31.4 	31.0 	30.6 	29.9 	26.7 	29.4 	28.6 	29.0 	32.1 	30.3 	30.5 	30.7 	32.0 	34.8 p
PARL_NAT,F,PC_WMN,BE	34.2 d	35.6 	35.9 	36.5 	35.9 	38.9 	39.8 	38.8 	39.3 	40.1 	39.7 	41.1 	41.4 	41.6 	40.7 	40.5 p
PARL_NAT,F,PC_WMN,BG	25.9 d	28.0 	21.3 	21.3 	21.8 	21.7 	21.7 	22.1 	22.1 	23.0 	24.6 	20.4 	19.6 	19.2 	25.9 	26.7 p
PARL_NAT,F,PC_WMN,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: p
PARL_NAT,F,PC_WMN,CY	10.9 d	9.1 	16.4 	16.4 	16.1 	16.1 	12.5 	12.5 	10.7 	10.7 	14.3 	14.3 	12.5 	17.9 	17.9 	17.9 p
