age,unit,indic_em,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y20-64,PC_POP,EMP_LFS,AT	18.3 	17.2 	15.5 	15.1 	13.7 b	12.9 	12.9 	13.3 b	12.5 	10.5 	10.2 	10.0 	9.7 	9.1 	8.2 	8.2 	7.8 	8.0 
Y20-64,PC_POP,EMP_LFS,BE	19.5 	19.2 b	18.2 	16.9 	16.6 	15.7 	15.2 	14.7 	13.4 	12.2 	11.9 	11.5 	11.0 	10.2 	8.7 	8.3 	9.3 	9.8 b
Y20-64,PC_POP,EMP_LFS,BG	9.5 	6.8 b	7.1 	8.2 	8.4 	9.7 	9.5 	9.9 	10.7 	9.8 	7.8 b	6.2 b	5.6 	5.7 	6.1 	6.6 	7.3 	8.0 
Y20-64,PC_POP,EMP_LFS,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.9 b	12.2 	11.4 	10.9 	9.8 	9.7 	9.0 	9.4 
Y20-64,PC_POP,EMP_LFS,CY	27.0 e	23.9 e	21.2 e	20.2 e	21.7 e	21.7 	20.3 	18.7 	17.0 	14.5 b	12.9 	11.9 	11.3 	10.4 	7.7 	8.3 	9.7 	9.5 
Y20-64,PC_POP,EMP_LFS,CZ	18.3 	18.1 	18.6 	18.7 	18.1 	18.8 	18.6 	19.1 	19.5 	18.8 	18.7 	18.2 b	17.7 	17.2 	17.5 	16.6 	16.0 	15.8 
Y20-64,PC_POP,EMP_LFS,DE	15.7 e	14.7 e	13.7 e	12.8 e	12.4 e	12.5 b	12.2 	12.4 	12.3 	10.9 	10.7 b	10.4 b	10.5 	9.6 	9.1 	8.7 	8.2 	7.9 
Y20-64,PC_POP,EMP_LFS,DK	10.0 	9.1 	9.2 	9.8 	9.1 	8.6 	9.0 	8.5 	8.4 	6.0 	5.6 	6.6 	6.4 	6.3 	7.3 	7.6 	6.7 b	6.5 b
Y20-64,PC_POP,EMP_LFS,EA18	21.6 	20.7 	19.7 	18.8 	17.9 	17.5 	17.0 	16.6 	15.7 	13.9 	13.3 	13.0 	12.1 	11.5 	11.2 	11.3 	11.3 	11.3 
Y20-64,PC_POP,EMP_LFS,EA19	21.4 	20.6 	19.5 	18.7 	17.8 	17.3 	16.9 	16.5 	15.7 	13.8 	13.2 	12.9 	12.1 	11.4 	11.1 	11.2 	11.2 	11.2 
Y20-64,PC_POP,EMP_LFS,EE	8.0 b	8.0 	7.7 	7.5 	6.2 	4.9 	7.0 	8.8 	8.6 	2.0 	1.9 	5.7 	5.7 	6.6 	7.7 	7.9 	8.2 	7.3 
Y20-64,PC_POP,EMP_LFS,EL	33.3 	33.0 b	31.6 	31.1 	30.1 b	29.6 	28.6 	28.4 	27.5 	25.6 b	24.2 	22.1 	19.8 	19.4 	18.3 	18.0 	19.0 	19.7 
Y20-64,PC_POP,EMP_LFS,ES	32.4 	31.5 b	29.5 	28.1 	26.4 	24.7 b	23.6 	22.0 	19.0 	14.2 	12.9 	11.6 	10.0 	9.6 	10.2 	11.2 	11.5 	11.9 
Y20-64,PC_POP,EMP_LFS,EU27	18.7 	18.1 	17.3 	16.8 	16.2 	15.9 	15.7 	15.6 	15.0 	13.5 	13.0 	12.7 	12.2 	11.7 	11.6 	11.6 	11.6 	11.6 
Y20-64,PC_POP,EMP_LFS,EU28	: 	18.1 	17.3 	16.7 	16.1 	15.9 	15.7 	15.6 	15.1 	13.4 	13.0 	12.8 	12.2 	11.7 	11.5 	11.6 	11.6 	11.5 
Y20-64,PC_POP,EMP_LFS,FI	6.7 b	6.2 	4.4 	4.4 	4.8 	4.3 	4.8 	4.7 	5.3 	2.3 	3.0 	3.7 	3.0 	2.8 	1.9 	2.1 	3.3 	3.5 
Y20-64,PC_POP,EMP_LFS,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.5 	7.2 	7.5 	7.9 
Y20-64,PC_POP,EMP_LFS,FX	15.5 e	15.1 e	13.6 e	12.6 b	12.3 	11.7 	11.2 	10.2 	10.1 	9.3 	9.1 	9.3 	8.8 	8.1 	7.4 	7.1 	7.4 	7.8 
Y20-64,PC_POP,EMP_LFS,HR	: 	: 	: 	15.0 e	15.3 e	14.5 e	14.1 e	16.2 	15.9 	12.5 	11.5 	12.5 	11.1 	8.8 	10.0 	9.5 	9.6 	10.6 
Y20-64,PC_POP,EMP_LFS,HU	15.0 	14.8 b	14.7 	14.1 	13.9 	13.6 	14.5 	14.6 	13.9 	12.5 	10.9 	11.7 	11.1 	12.4 	13.3 	13.7 	14.0 	15.3 
Y20-64,PC_POP,EMP_LFS,IE	25.2 	23.9 	22.1 	21.7 	21.3 	20.5 	19.9 	18.4 b	16.0 	10.2 	8.8 	8.7 	8.6 	10.5 	11.8 	12.3 	12.1 	12.1 
Y20-64,PC_POP,EMP_LFS,IS	: 	: 	: 	7.1 b	8.9 	8.4 	8.8 	10.1 	9.5 	5.4 	5.5 	5.4 	5.3 	6.5 	6.3 	6.3 	6.7 	6.0 
Y20-64,PC_POP,EMP_LFS,IT	30.6 	29.6 	29.1 	29.0 	26.4 b	26.3 	25.8 	25.8 	24.7 	24.0 	23.2 	22.6 	21.0 	19.8 	19.4 	20.0 	20.1 	19.8 
Y20-64,PC_POP,EMP_LFS,LT	3.4 e	3.3 e	6.9 b	6.9 	8.4 	8.4 	6.9 	7.5 	6.9 	-0.4 	-1.5 	0.6 	1.2 	2.6 	2.5 	2.4 	1.9 	1.0 
Y20-64,PC_POP,EMP_LFS,LU	27.4 e	26.3 e	25.3 e	24.0 b	22.7 	21.0 	19.5 	17.3 b	17.1 	17.5 b	17.2 	16.2 	14.4 	14.1 	12.9 	11.7 b	11.0 	7.9 
Y20-64,PC_POP,EMP_LFS,LV	9.1 e	8.3 e	8.9 b	9.8 	9.4 	9.8 	10.0 	10.2 	7.4 	0.3 	-0.5 	2.2 	3.6 	4.2 	4.6 	4.1 	2.9 	4.3 
Y20-64,PC_POP,EMP_LFS,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.6 	11.7 	10.6 	11.7 	10.3 	11.7 	13.8 
Y20-64,PC_POP,EMP_LFS,MK	: 	: 	: 	: 	: 	: 	19.6 	18.2 	20.0 	21.3 	20.9 	19.0 	18.8 	19.0 	20.8 	19.4 	21.2 	21.9 
Y20-64,PC_POP,EMP_LFS,MT	48.4 e	48.8 e	46.6 	45.7 	46.9 	44.9 b	43.9 	41.3 	39.1 	37.5 	36.6 	35.2 	31.4 	28.6 	26.8 	26.8 	25.5 	24.1 
Y20-64,PC_POP,EMP_LFS,NL	20.2 	19.2 	17.8 	16.5 	15.8 	14.8 	14.5 	14.1 	13.3 	12.2 	12.0 b	12.0 b	11.3 	10.5 	11.4 	11.1 	11.0 	10.5 
Y20-64,PC_POP,EMP_LFS,NO	8.4 	7.8 	7.3 	6.8 	6.7 	7.0 	7.5 b	6.8 	6.2 	5.2 	5.2 	5.0 	5.1 	5.0 	4.8 	4.6 	3.7 	4.0 
Y20-64,PC_POP,EMP_LFS,PL	13.8 b	13.0 b	12.2 	11.9 b	12.3 b	13.4 	14.2 	14.7 	15.7 	15.0 	14.0 b	14.7 	14.5 	14.5 	14.2 	13.8 	14.2 	14.6 
Y20-64,PC_POP,EMP_LFS,PT	17.2 	16.7 	16.2 	14.5 	13.4 	12.7 	12.9 	12.8 	12.3 	10.3 	9.8 	8.6 b	6.8 	6.4 	7.1 	6.7 	6.8 	7.5 
Y20-64,PC_POP,EMP_LFS,RO	12.4 	12.3 	13.3 b	13.5 b	12.3 	13.5 	12.7 	13.1 	14.3 	14.4 	16.6 b	15.3 	16.1 	16.3 	16.7 	17.5 	17.6 	17.1 
Y20-64,PC_POP,EMP_LFS,SE	4.4 e	4.5 b	3.7 	3.8 	4.1 	5.3 b	5.9 	6.0 	6.3 	5.2 	6.1 	5.6 	5.1 	5.0 	4.6 	4.2 	3.8 	4.0 
Y20-64,PC_POP,EMP_LFS,SI	9.6 	10.5 	10.3 	10.4 	10.0 	9.6 	9.8 	10.4 	8.9 	7.7 	7.5 	7.0 	7.2 	8.2 	8.0 	8.6 	6.6 	7.2 
Y20-64,PC_POP,EMP_LFS,SK	12.8 	12.2 	13.0 	13.0 b	14.2 	15.8 	17.1 	17.3 	17.1 	16.4 	14.5 	15.1 b	15.5 	14.4 	14.6 	14.7 	14.2 	12.8 
Y20-64,PC_POP,EMP_LFS,TR	: 	: 	: 	: 	: 	: 	49.2 	48.8 	47.8 	44.6 	44.7 	45.4 	44.1 	43.5 	43.4 b	42.8 	42.3 	41.6 
Y20-64,PC_POP,EMP_LFS,UK	14.6 	14.3 	14.1 	14.2 	14.1 b	13.5 	13.5 	13.8 b	13.1 b	11.5 	11.4 	11.5 	11.6 	11.1 	11.3 	11.2 	11.0 	10.3 
