indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,TOTAL,F,AT	14.3 	13.9 	14.9 b	12.1 	12.8 	12.8 	12.9 	13.4 	11.9 	11.6 	10.9 	: 
LI_R_MD60,TOTAL,F,BE	15.1 	15.2 	16.3 	12.3 	12.8 	13.5 	14.1 	11.6 	11.9 	11.5 	12.5 	: 
LI_R_MD60,TOTAL,F,CY	14.5 	11.8 	12.7 	11.8 	13.8 	12.3 	13.2 	16.4 	20.6 	24.6 	22.6 	20.2 
LI_R_MD60,TOTAL,F,CZ	9.3 	7.7 	6.2 	4.7 	5.2 	5.3 	5.8 	5.0 	5.4 	5.1 	4.4 	: 
LI_R_MD60,TOTAL,F,DE	16.0 	14.7 	14.2 	14.1 	13.9 	14.7 	15.2 	15.7 	15.7 	14.3 	13.0 	11.6 
LI_R_MD60,TOTAL,F,DK	11.6 	11.2 	11.4 	11.2 	11.3 	9.0 b	9.5 	8.9 	9.4 	8.2 	8.4 	: 
LI_R_MD60,TOTAL,F,EA18	16.9 	15.8 	14.9 e	14.1 e	14.2 e	16.0 e	17.3 e	17.9 e	18.6 e	17.8 e	16.9 e	16.5 e
LI_R_MD60,TOTAL,F,EA19	16.8 	15.7 	14.8 e	13.9 e	14.1 e	16.0 e	17.1 e	17.7 e	18.4 e	17.7 e	16.8 e	16.4 e
LI_R_MD60,TOTAL,F,EE	11.7 	8.1 	5.2 	3.0 	4.7 	7.4 	6.7 	5.9 	5.6 b	4.2 	2.8 	2.2 
LI_R_MD60,TOTAL,F,EL	21.1 	20.3 	19.0 	16.7 	16.8 	23.5 	32.8 	41.0 	42.9 	42.5 	42.8 	: 
LI_R_MD60,TOTAL,F,ES	20.2 	18.6 	13.5 b	11.8 	13.0 	15.7 	17.1 	17.2 	20.6 	19.5 	18.7 	: 
LI_R_MD60,TOTAL,F,EU28	: 	: 	: 	: 	13.4 e	14.8 e	15.2 e	15.7 e	16.0 e	15.1 e	14.3 e	: 
LI_R_MD60,TOTAL,F,FI	11.5 	11.6 	11.3 	10.0 	8.8 	8.9 	9.2 	7.6 	8.0 	6.9 	6.6 	: 
LI_R_MD60,TOTAL,F,HU	13.2 	10.2 	9.4 	8.4 	9.8 	11.6 	11.8 	13.7 	12.2 	10.5 	8.7 	: 
LI_R_MD60,TOTAL,F,IE	18.1 	12.7 	10.1 	10.0 	13.8 	16.3 	18.6 	17.4 	17.4 	13.6 	13.0 	: 
LI_R_MD60,TOTAL,F,IS	9.4 	6.3 	5.8 	7.2 	9.6 	12.0 	13.5 	12.7 	7.8 	7.8 	4.8 p	: 
LI_R_MD60,TOTAL,F,IT	21.0 	20.2 	19.9 	19.8 	19.6 	22.2 	23.5 	24.2 	23.9 	24.5 	23.7 	22.9 
