na_item,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1G,F,PCH_Q1_SCA,AT	-0.6 	-1.1 	0.7 	0.8 	0.6 	1.5 	0.9 	0.4 	0.1 	0.6 	1.1 	0.1 
B1G,F,PCH_Q1_SCA,BE	0.1 	-0.7 	1.0 	0.1 	-0.8 	-1.0 	2.7 	0.1 	-0.8 	0.1 	1.3 	0.4 
B1G,F,PCH_Q1_SCA,BG	1.9 	2.1 	-10.2 	1.1 	1.2 	1.0 	1.0 	1.2 	0.4 	0.4 	1.0 p	0.4 p
B1G,F,PCH_Q1_SCA,CH	-0.4 	0.2 	1.0 	0.9 	-0.1 	0.8 	-0.1 	0.4 	-0.2 	1.7 	0.6 	-0.8 
B1G,F,PCH_Q1_SCA,CY	3.2 	5.1 	-3.1 	10.0 	7.5 	8.0 	4.3 	6.6 	4.6 	4.1 	4.0 	2.6 
B1G,F,PCH_Q1_SCA,CZ	1.0 	-1.5 	-1.8 	-1.6 	-1.2 	-0.2 	-2.5 	1.5 	0.1 	0.2 	3.9 	0.8 
B1G,F,PCH_Q1_SCA,DE	0.1 	1.3 	0.6 	0.4 	-0.1 	-0.6 	2.5 	1.4 	-0.2 	0.7 	1.0 	-0.1 
B1G,F,PCH_Q1_SCA,DK	1.5 	1.5 	0.7 	0.8 	-1.0 	0.1 	6.4 	0.4 	0.4 	1.8 	2.1 	1.5 
B1G,F,PCH_Q1_SCA,EA	0.0 	0.8 	0.4 	0.1 	0.5 	0.5 	1.3 	1.2 	0.5 	1.2 	0.9 	0.7 
B1G,F,PCH_Q1_SCA,EA19	0.0 	0.8 	0.4 	0.1 	0.5 	0.5 	1.3 	1.2 	0.5 	1.2 	0.9 	0.7 
B1G,F,PCH_Q1_SCA,EE	-0.4 	-2.1 	9.3 	5.7 	-0.1 	3.3 	11.8 	1.3 	-0.3 	2.6 	15.2 	-0.7 
B1G,F,PCH_Q1_SCA,EL	4.5 p	19.1 p	3.9 p	-1.3 p	16.1 p	-11.0 p	-12.2 p	2.4 p	3.7 p	13.6 p	-8.9 p	2.8 p
B1G,F,PCH_Q1_SCA,ES	0.4 	1.3 	0.0 p	0.8 p	1.8 p	1.2 p	1.4 p	2.0 p	1.3 p	1.9 p	2.0 p	1.8 p
B1G,F,PCH_Q1_SCA,EU28	0.3 	0.9 	-0.1 	0.4 	0.5 	1.2 	1.5 	1.2 	0.8 	1.0 	0.8 	0.8 
