currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL	-267.3 	-291.2 	-197.7 	-287.7 	-148.6 	-177.5 	-157.1 	-255.4 	-143.2 	-309.8 	-165.0 	-172.8 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT	572.0 	1395.0 	5195.0 	1036.0 	1642.0 	951.0 	4352.0 	125.0 	388.0 	2352.0 	5320.0 	992.0 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE	-1596.0 	-186.0 	2463.0 	578.0 	-3499.0 	-2104.0 	899.0 	1135.0 	1010.0 	149.0 	1231.0 	-2389.0 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG	1047.5 	-888.1 	-138.1 	460.1 	1362.2 	-440.2 	255.5 	711.4 	2630.5 	-229.5 	-129.8 	115.7 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH	21007.5 	15370.5 	6067.9 	17623.5 	15059.3 	21080.7 	12123.8 	18815.8 	12712.7 	13516.3 	14961.5 	18858.7 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY	313.0 	-428.0 	101.0 	-454.0 	383.0 	-965.0 	-777.0 	69.0 	261.0 	-1196.0 	-128.0 	-263.0 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ	-1787.4 	542.7 	4421.1 	-370.5 	-710.8 	-595.6 	3608.0 	-305.4 	-1324.4 	-26.6 	2196.8 	332.9 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE	71124.0 	78172.0 	66589.0 	69819.0 	61051.0 	71353.0 	67578.0 	53573.0 	63145.0 	73429.0 	71111.0 	63757.0 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK	6595.8 	5379.1 	3633.0 	6254.7 	5409.1 	7041.4 	5395.9 	6700.1 	5790.5 	5405.4 	2255.6 	3797.8 
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19	95850.0 	111097.0 	60676.0 	81392.0 	98483.0 	106087.0 	56824.0 	58339.0 	120532.0 	119393.0 	81627.0 	79458.0 
