sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
F,AT	1.2 	1.4 	3.5 	4.7 	4.4 	4.5 	3.8 	3.6 	3.9 	3.7 	3.8 	3.7 	2.7 	3.1 	3.2 	3.6 
F,BE	: 	: 	: 	2.1 	2.2 	1.9 	1.5 	2.0 	2.1 	1.7 	1.8 	1.4 	1.2 	1.4 	1.1 	1.1 
F,BG	2.3 	2.5 	2.3 	1.9 	1.9 	2.0 	1.8 	1.8 	1.5 	1.2 	1.4 	1.1 	1.1 	1.0 	1.2 	1.0 
F,CH	3.1 	2.3 	2.4 	2.2 	2.2 	1.8 	1.6 	1.5 	1.6 	1.5 	1.5 	1.1 	1.4 	1.5 	1.0 	0.8 
F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	: 	: 	1.3 	: 
F,CZ	: 	: 	: 	: 	: 	0.6 	0.6 	0.9 	0.6 	0.8 	0.4 	1.4 	1.4 	: 	0.9 	0.5 
F,DE	2.0 	2.1 	2.0 	2.1 	1.8 	1.7 	1.6 	1.6 	1.4 	1.6 	1.5 	1.5 d	1.4 d	1.3 	1.3 	1.2 
F,DK	1.0 	1.4 	1.1 	1.2 	1.5 	0.7 	0.7 	0.8 	0.7 	0.8 	: 	0.6 	0.6 	0.7 	0.7 	0.6 
F,EE	: 	: 	: 	: 	3.3 	2.5 	4.5 	3.9 	: 	4.2 	: 	3.2 	3.5 	3.0 	4.2 	2.5 
F,EL	1.0 	1.3 	1.4 	1.2 	1.1 	1.4 	1.3 	1.1 	0.8 	0.8 	0.8 	1.0 	1.2 	1.0 	1.1 	0.7 
F,ES	4.3 	4.5 	4.4 	4.8 	4.3 	4.1 	3.7 	3.7 	3.6 	3.7 	3.2 	2.8 	2.9 	2.6 	2.6 	2.2 
F,EU28	: 	: 	2.7 p	2.9 	2.7 p	2.7 p	2.5 	2.3 	2.4 	2.4 	2.2 p	2.2 d	2.2 d	2.0 d	2.0 	1.9 
F,FI	3.1 	: 	2.1 	1.9 	1.8 	: 	1.4 	1.0 	: 	1.1 	0.9 	1.2 	0.8 	0.6 	0.9 	: 
F,FR	: 	3.9 	3.5 	3.3 	3.1 	3.0 	2.7 	2.4 	2.5 	1.9 	1.9 	1.9 	1.8 	1.8 	1.5 	1.5 
F,HR	: 	: 	3.2 	3.2 	: 	: 	3.1 	2.5 	2.3 	1.9 	1.8 	1.6 	1.6 d	1.3 	: 	1.5 
F,HU	2.5 	2.3 	2.0 	1.8 	1.6 	: 	0.7 	1.0 	: 	: 	: 	1.2 d	2.5 d	: 	2.3 	2.5 
F,IE	2.3 	1.3 	2.1 	1.5 	1.8 	1.3 	1.7 	1.7 	1.2 	1.3 	1.8 	1.4 	1.3 	1.1 	1.3 	0.8 
F,IT	3.5 	3.4 	4.0 	5.0 	: 	: 	4.5 	4.6 	4.7 	4.7 	4.6 	5.1 	4.9 	4.4 	4.3 	4.4 
F,LT	4.8 	4.2 	: 	: 	3.1 	: 	: 	: 	4.9 	3.5 	3.1 	3.0 	3.7 	3.1 	4.0 	3.1 
F,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 	: 	: 	: 	: 
F,LV	4.7 	4.8 	4.3 	5.9 	4.6 	5.6 	5.0 	4.3 	6.3 	5.1 	4.1 	4.6 	5.2 	8.3 	5.7 	5.4 
F,MK	: 	: 	: 	: 	: 	: 	1.9 	: 	3.1 	: 	: 	: 	: 	: 	: 	: 
F,MT	: 	: 	2.0 	2.0 	0.9 	1.7 	1.3 	0.5 	: 	: 	: 	4.2 	: 	: 	: 	: 
F,NL	1.1 	1.1 	0.8 	1.0 	0.8 	0.7 	0.7 	0.8 	0.8 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 
F,NO	1.8 	1.4 	0.7 	1.0 	1.7 	1.3 	: 	1.1 	0.9 	0.9 	: 	0.7 	0.6 	: 	0.6 	0.8 
F,PL	2.7 	2.4 	2.2 	2.0 	1.7 	1.7 	1.6 	1.7 	2.0 	1.5 	1.3 	1.6 	1.7 	1.3 	1.5 	1.4 
F,PT	5.6 	5.0 	5.1 	5.9 	5.5 	5.5 	3.9 	5.3 	4.8 	4.7 	4.1 	3.8 	3.4 	3.2 	3.6 	3.1 
F,RO	5.2 	5.4 	5.4 	4.8 	4.6 	4.1 	3.6 	3.5 	3.6 	3.1 	3.0 	3.2 	3.4 	3.1 	3.4 	3.1 
F,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	2.0 	1.5 	1.5 	1.3 
F,SE	1.0 	1.4 	1.7 	1.0 	1.0 	1.3 	1.2 	1.2 	1.3 	1.2 	0.7 	1.0 	0.5 	0.8 	0.8 	0.9 
F,SI	: 	1.8 	: 	: 	: 	1.8 	: 	1.9 	2.4 	: 	: 	0.6 	0.9 	: 	: 	: 
F,SK	: 	1.4 	: 	: 	0.8 	: 	: 	: 	0.6 	: 	: 	0.6 	0.8 	: 	: 	: 
F,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.2 d	2.6 d	2.8 d	2.5 d	2.5 d
F,UK	1.2 	1.2 	1.1 	1.2 	1.3 	1.1 	1.2 	1.1 	1.2 	1.1 	1.0 	0.9 d	0.9 d	0.9 	0.9 	0.9 
M,AL	: 	: 	: 	: 	2.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,AT	3.4 	3.1 	6.9 	7.0 	6.3 	8.3 	6.0 	5.1 	5.7 	6.3 	5.0 	5.7 	5.4 	6.0 	5.9 	5.0 
M,BE	: 	: 	: 	4.1 	3.5 	3.6 	3.3 	2.9 	3.1 	2.8 	2.2 	2.2 	2.4 	2.3 	1.7 	1.9 
M,BG	8.5 	8.1 	7.0 	6.9 	7.1 	7.3 	7.1 	7.0 	6.4 	5.4 	5.4 	4.5 	4.6 	3.9 	3.8 	3.2 
M,CH	5.3 	5.4 	4.0 	4.5 	3.5 	3.3 	3.7 	3.0 	2.8 	2.6 	2.6 	3.0 	2.7 	2.4 	2.6 	2.5 
M,CY	: 	: 	: 	: 	: 	4.2 	1.7 	2.2 	: 	: 	: 	1.8 	2.0 	: 	2.0 	2.7 
M,CZ	3.0 	2.4 	: 	: 	: 	1.9 	: 	1.4 	1.8 	1.5 	1.2 	2.9 	2.6 	1.6 	1.2 	1.6 
M,DE	4.6 	4.0 	4.1 	3.9 	3.5 	3.4 	3.5 	3.1 	2.9 	2.9 	3.1 	2.9 d	2.7 d	2.8 	2.3 	2.5 
M,DK	2.5 	2.5 	2.7 	2.6 	2.9 	2.9 	2.2 	2.1 	2.0 	2.5 	: 	1.4 	2.0 	2.0 	1.4 	1.2 
M,EE	15.9 	17.0 	: 	14.8 	19.6 	12.8 	14.6 	14.6 	11.8 	14.5 	11.8 	15.5 	11.5 	10.8 	8.6 	8.7 
M,EL	2.6 	3.0 	2.7 	3.5 	2.8 	2.8 	2.7 	2.8 	2.8 	2.8 	2.3 	1.9 	3.0 	2.8 	2.6 	2.1 
M,ES	11.8 	11.3 	11.2 	10.7 	11.0 	10.3 	9.1 	8.7 	7.5 	7.9 	7.0 	6.3 	6.0 	5.3 	5.4 	5.2 
M,EU28	: 	: 	7.1 p	7.1 	6.6 p	6.3 p	5.9 	5.8 	5.5 	5.3 	4.9 p	4.7 d	4.6 d	4.4 d	4.1 	4.0 
M,FI	5.2 	4.5 	4.2 	2.9 	2.8 	3.2 	2.1 	2.8 	2.3 	2.3 	1.6 	2.1 	1.9 	1.1 	: 	: 
M,FR	: 	8.0 	7.6 	7.2 	6.5 	6.3 	5.8 	5.2 	5.0 	4.3 	4.0 	3.7 	3.4 	3.4 	3.0 	2.9 
M,HR	: 	: 	9.7 	6.9 	8.1 	6.2 	7.6 	5.7 	5.0 	7.0 	5.6 	4.1 	4.2 d	3.7 	3.5 	4.2 
M,HU	8.2 	8.6 	7.4 	6.0 	6.5 	5.4 	4.1 	4.8 	4.2 	3.6 	3.6 	2.6 d	4.1 d	4.4 	4.0 	4.1 
M,IE	4.6 	3.1 	2.9 	3.2 	3.0 	2.3 	2.8 	4.3 	3.2 	3.1 	2.8 	2.3 	2.3 	2.4 	1.8 	1.9 
M,IT	7.2 	7.2 	7.9 	9.3 	: 	: 	8.4 	8.7 	8.2 	8.1 	8.0 	7.9 	8.2 	7.2 	6.8 	6.8 
M,LT	24.3 	23.9 	22.6 	23.5 	22.8 	23.6 	23.8 	22.5 	21.4 	17.5 	16.8 	17.1 	18.9 	17.4 	17.0 	14.2 
M,LU	: 	3.2 	: 	2.2 	: 	: 	: 	4.5 	: 	: 	: 	: 	: 	: 	4.2 	3.6 
M,LV	28.1 	26.6 	19.5 	19.4 	17.6 	17.2 	18.8 	17.9 	14.6 	17.5 	13.4 	14.8 	13.5 	20.2 	17.1 	19.8 
M,MK	: 	13.4 	: 	: 	: 	: 	8.3 	7.7 	: 	: 	: 	: 	: 	: 	: 	: 
M,MT	: 	: 	4.6 	1.8 	1.8 	1.3 	2.8 	7.4 	: 	: 	: 	3.9 	2.7 	4.0 	2.0 	2.3 
M,NL	3.1 	3.2 	2.6 	2.0 	2.5 	2.2 	2.1 	1.6 	1.6 	1.9 	1.6 	1.4 	1.4 	1.3 	0.9 	1.1 
M,NO	2.8 	2.7 	2.2 	3.5 	2.5 	2.8 	2.0 	1.5 	2.0 	2.3 	1.5 	2.0 	1.2 	1.1 	1.2 	0.9 
