aquaenv,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FRW_NR,FI	238 	237 	233 	229 	224 	224 	222 
FRW_NR,FR	1304 	1288 	1297 	1307 	1292 	1293 	1314 
FRW_NR,HR	4 	7 	8 	27 	27 	27 	27 
FRW_NR,HU	228 	232 	241 	244 	246 	253 	257 
FRW_NR,IE	9 	9 	9 	9 	9 	9 	9 
FRW_NR,IT	647 	629 	644 	643 	652 	654 	667 
FRW_NR,LT	98 	98 	96 	96 	96 	98 	98 
FRW_NR,LU	20 	11 	11 	11 	11 	11 	12 
FRW_NR,LV	14 	14 	18 	21 	22 	23 	23 
FRW_NR,NL	603 	605 	621 	624 	622 	625 	626 
FRW_NR,PL	131 	133 	122 	116 	114 	112 	108 
FRW_NR,PT	83 	89 	97 	106 	109 	115 	123 
FRW_NR,RO	0 	0 	1 	1 	1 	1 	1 
FRW_NR,SE	198 	200 	199 	199 	199 	199 	197 
FRW_NR,SI	26 	26 	26 	26 	26 	26 	26 
FRW_NR,SK	34 	33 	33 	33 	33 	33 	32 
FRW_NR,UK	12 	12 	13 	15 	16 	16 	16 
SEA_EXC_NR,AL	0 	0 	37 	26 	25 	34 	56 
SEA_EXC_NR,BE	17 	22 	20 	29 	32 	38 	40 
SEA_EXC_NR,BG	45 	55 	59 	65 	63 	57 	41 
SEA_EXC_NR,CY	111 	112 	112 	112 	112 	112 	110 
SEA_EXC_NR,DE	280 	291 	290 	286 	280 	295 	303 
SEA_EXC_NR,DK	657 	692 	694 	709 	776 	785 	786 
SEA_EXC_NR,EE	13 	11 	11 	10 	11 	14 	14 
SEA_EXC_NR,EL	2035 	2008 	2014 	1493 	1497 	1495 	1531 
SEA_EXC_NR,ES	1633 	1672 	1684 	1663 	1696 	1732 	1773 
SEA_EXC_NR,EU28	12560 	12665 	13192 	12633 	12695 	12894 	12890 
SEA_EXC_NR,FI	60 	58 	54 	51 	48 	45 	53 
SEA_EXC_NR,FR	1321 	1384 	1535 	1567 	1619 	1634 	1651 
SEA_EXC_NR,HR	886 	876 	877 	885 	877 	889 	909 
SEA_EXC_NR,IE	106 	84 	107 	95 	93 	94 	94 
SEA_EXC_NR,IT	4069 	4213 	4377 	4377 	4399 	4414 	4371 
SEA_EXC_NR,LT	13 	13 	13 	14 	14 	14 	14 
SEA_EXC_NR,LV	14 	12 	17 	21 	23 	28 	31 
SEA_EXC_NR,MT	85 	84 	86 	87 	85 	86 	86 
SEA_EXC_NR,NL	59 	71 	66 	62 	69 	75 	75 
SEA_EXC_NR,PL	72 	65 	63 	51 	46 	50 	47 
SEA_EXC_NR,PT	380 	401 	410 	395 	412 	413 	435 
SEA_EXC_NR,RO	43 	4 	17 	11 	15 	34 	25 
SEA_EXC_NR,SE	137 	153 	132 	124 	140 	169 	102 
SEA_EXC_NR,SI	20 	21 	21 	21 	21 	21 	21 
SEA_EXC_NR,UK	504 	363 	496 	479 	367 	400 	378 
SEA_EXC_PC,AL	: 	: 	50.68 	35.62 	32.10 	36.96 	54.90 
SEA_EXC_PC,BE	40.48 	52.38 	47.62 	69.05 	76.20 	90.48 	95.24 
SEA_EXC_PC,BG	50.56 	61.80 	65.56 	72.22 	70.00 	63.33 	45.05 
SEA_EXC_PC,CY	99.11 	100.00 	100.00 	100.00 	99.10 	99.12 	97.35 
SEA_EXC_PC,DE	75.27 	79.51 	79.02 	78.79 	76.30 	80.38 	82.79 
SEA_EXC_PC,DK	64.92 	71.12 	75.19 	77.32 	84.50 	85.23 	85.90 
SEA_EXC_PC,EE	48.15 	40.74 	42.31 	37.04 	40.70 	51.85 	51.85 
SEA_EXC_PC,EL	94.70 	93.44 	93.41 	97.07 	97.20 	97.08 	95.99 
SEA_EXC_PC,ES	84.74 	86.81 	87.21 	85.63 	87.10 	88.87 	90.46 
SEA_EXC_PC,EU28	81.33 	82.21 	85.46 	85.20 	85.80 	87.00 	86.31 
SEA_EXC_PC,FI	70.59 	69.88 	65.85 	62.96 	62.30 	58.44 	68.83 
SEA_EXC_PC,FR	65.11 	68.04 	75.47 	76.89 	78.50 	79.09 	79.95 
SEA_EXC_PC,HR	97.79 	96.05 	95.43 	96.41 	96.60 	96.42 	95.79 
SEA_EXC_PC,IE	84.13 	66.14 	84.92 	74.80 	72.70 	71.76 	70.68 
SEA_EXC_PC,IT	83.01 	86.33 	89.93 	89.99 	90.40 	90.75 	89.86 
SEA_EXC_PC,LT	81.25 	81.25 	81.25 	87.50 	87.50 	87.50 	87.50 
SEA_EXC_PC,LV	43.75 	37.50 	51.52 	63.64 	69.70 	84.85 	93.94 
