indic_en,unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
119800,PC,MT	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	1.0 	1.9 	2.8 	3.7 	4.7 	5.0 	6.0 
119800,PC,NL	2.0 	2.5 	2.8 	3.3 	3.6 	4.3 	3.9 	4.5 	4.7 	4.8 	5.5 	5.8 	6.0 
119800,PC,NO	58.1 	59.8 	60.2 	60.1 	61.7 	64.8 	61.1 	63.7 	64.0 	65.9 	68.6 	68.4 	69.4 
119800,PC,PL	6.9 	6.9 	6.9 	6.9 	7.7 	8.7 	9.3 	10.3 	10.9 	11.4 	11.5 	11.7 	11.3 
119800,PC,PT	19.2 	19.5 	20.8 	21.9 	23.0 	24.4 	24.2 	24.6 	24.6 	25.7 	27.0 	28.0 	28.5 
119800,PC,RO	16.3 	17.3 	17.1 	18.3 	20.5 	22.7 	23.4 	21.4 	22.8 	23.9 	24.8 	24.8 	25.0 
119800,PC,RS	12.9 	14.4 	14.6 	14.4 	16.0 	21.2 	19.9 	19.2 	20.9 	21.4 	22.7 	21.8 	20.9 
119800,PC,SE	38.7 	40.6 	42.7 	44.2 	45.3 	48.2 	47.2 	48.8 	51.1 	52.0 	52.5 	53.8 	53.8 
119800,PC,SI	16.1 	16.0 	15.6 	15.6 	15.0 	20.1 	20.4 	20.3 	20.8 	22.4 	21.5 	21.9 	21.3 
119800,PC,SK	6.4 	6.4 	6.6 	7.8 	7.7 	9.4 	9.1 	10.3 	10.4 	10.1 	11.7 	12.9 	12.0 
119800,PC,UK	1.1 	1.3 	1.5 	1.8 	2.7 	3.3 	3.7 	4.2 	4.6 	5.7 	7.0 	8.5 	9.3 
119810,PC,AL	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
119810,PC,AT	4.5 	4.8 	7.5 	8.2 	9.5 	11.1 	10.7 	9.9 	9.9 	9.5 	10.9 	11.4 	10.6 
119810,PC,BE	0.5 	0.6 	0.6 	0.6 	0.6 	2.1 	4.7 	4.7 	4.8 	5.0 	5.7 	3.8 	5.9 
119810,PC,BG	0.9 	0.8 	1.0 	0.9 	0.9 	1.0 	1.4 	0.8 	0.6 	6.0 	5.8 	6.5 	7.3 
119810,PC,CY	0.0 	0.0 	0.0 	0.0 	1.9 	2.0 	2.0 	0.0 	0.0 	1.1 	2.7 	2.5 	2.7 
119810,PC,CZ	1.6 	0.9 	1.2 	1.4 	2.7 	4.1 	5.1 	1.2 	6.1 	6.3 	6.9 	6.5 	6.4 
119810,PC,DE	2.2 	4.0 	6.8 	7.5 	6.4 	5.9 	6.4 	6.5 	7.4 	6.9 	7.2 	6.6 	6.9 
119810,PC,DK	0.4 	0.4 	0.5 	0.5 	0.5 	0.7 	1.1 	3.6 	6.4 	6.6 	6.7 	6.7 	6.8 
119810,PC,EE	0.2 	0.2 	0.2 	0.2 	0.2 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
119810,PC,EL	0.1 	0.1 	0.7 	1.3 	1.1 	1.1 	1.9 	0.6 	0.9 	1.0 	1.3 	1.1 	1.7 
119810,PC,ES	1.0 	1.3 	0.8 	1.4 	2.2 	3.7 	5.0 	0.6 	0.7 	0.8 	0.8 	1.2 	5.3 
119810,PC,EU28	1.4 	1.8 	2.5 	3.1 	3.9 	4.6 	5.2 	3.9 	5.6 	5.9 	6.5 	6.6 	7.1 
119810,PC,FI	1.0 	0.9 	1.0 	1.0 	2.9 	4.6 	4.4 	1.0 	1.1 	10.2 	22.0 	22.0 	8.4 
119810,PC,FR	1.5 	2.1 	2.3 	4.0 	6.2 	6.6 	6.5 	1.0 	7.6 	7.7 	8.4 	8.5 	8.9 
119810,PC,HR	1.0 	1.0 	1.0 	1.1 	1.1 	1.3 	1.1 	1.0 	1.1 	4.4 	4.2 	3.6 	1.3 
119810,PC,HU	0.9 	0.9 	1.1 	1.5 	5.1 	5.7 	6.0 	6.0 	5.9 	6.2 	6.9 	7.0 	7.4 
119810,PC,IE	0.0 	0.1 	0.1 	0.5 	1.3 	2.0 	2.5 	5.3 	4.8 	4.8 	5.1 	5.7 	5.0 
119810,PC,IS	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 	0.9 	1.4 	2.1 	2.7 	6.4 	7.2 
119810,PC,IT	1.2 	1.0 	1.0 	1.0 	2.6 	3.9 	4.8 	5.0 	6.0 	5.4 	5.0 	6.4 	7.2 
119810,PC,LT	0.4 	0.6 	1.9 	3.8 	4.3 	4.5 	3.8 	3.8 	4.9 	4.8 	4.3 	4.6 	3.6 
119810,PC,LU	0.1 	0.1 	0.2 	2.2 	2.2 	2.2 	2.1 	2.3 	2.8 	4.0 	5.4 	6.5 	5.9 
119810,PC,LV	2.1 	2.4 	2.2 	1.7 	1.7 	1.9 	4.0 	4.1 	4.0 	4.0 	4.1 	3.9 	2.8 
119810,PC,ME	: 	0.4 	0.5 	1.0 	0.9 	0.7 	0.8 	0.6 	0.7 	1.1 	1.1 	1.2 	1.1 
119810,PC,MK	0.2 	0.2 	0.3 	0.3 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 
119810,PC,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	3.2 	3.4 	4.6 	4.7 	5.4 
119810,PC,NL	0.5 	0.4 	0.8 	3.1 	2.9 	4.5 	3.3 	4.8 	4.9 	5.1 	6.2 	5.3 	4.6 
119810,PC,NO	3.1 	3.1 	3.3 	3.7 	5.3 	5.6 	5.3 	2.7 	3.0 	3.3 	6.6 	8.8 	17.0 
119810,PC,PL	1.4 	1.6 	1.7 	1.6 	4.0 	5.3 	6.6 	6.8 	6.5 	6.6 	6.2 	5.6 	3.9 
119810,PC,PT	0.4 	0.5 	1.6 	2.4 	2.5 	3.9 	5.5 	0.7 	0.8 	0.9 	3.7 	7.4 	7.5 
119810,PC,RO	1.6 	1.6 	1.4 	2.4 	3.5 	4.5 	3.8 	3.1 	4.9 	5.4 	4.7 	5.5 	6.2 
119810,PC,RS	0.5 	0.4 	0.4 	0.7 	0.7 	1.5 	0.7 	1.9 	2.0 	1.7 	1.2 	1.2 	1.2 
119810,PC,SE	6.3 	6.2 	7.1 	8.0 	8.3 	8.9 	9.2 	11.6 	14.8 	19.2 	21.1 	24.0 	30.3 
119810,PC,SI	0.9 	0.8 	1.1 	1.5 	1.8 	2.3 	3.1 	2.5 	3.3 	3.8 	2.9 	2.2 	1.6 
119810,PC,SK	1.5 	1.6 	3.5 	4.0 	4.3 	5.3 	5.3 	5.5 	5.4 	6.0 	7.6 	8.5 	7.5 
119810,PC,UK	0.3 	0.5 	0.7 	1.1 	2.3 	2.9 	3.3 	3.2 	4.0 	4.7 	5.3 	4.4 	4.9 
119820,PC,AL	63.0 	72.1 	74.2 	79.6 	73.3 	70.7 	74.6 	66.1 	72.4 	62.7 	71.0 	79.2 	86.0 
119820,PC,AT	61.6 	61.9 	62.0 	64.0 	65.1 	67.8 	65.7 	66.0 	66.5 	68.0 	70.1 	70.3 	72.6 
119820,PC,BE	1.7 	2.4 	3.1 	3.6 	4.6 	6.2 	7.1 	9.1 	11.3 	12.5 	13.4 	15.5 	15.8 
119820,PC,BG	9.1 	9.3 	9.3 	9.4 	10.0 	11.3 	12.7 	12.9 	16.1 	18.9 	18.9 	19.1 	19.2 
119820,PC,CY	0.0 	0.0 	0.0 	0.1 	0.3 	0.6 	1.4 	3.4 	4.9 	6.6 	7.4 	8.4 	8.6 
119820,PC,CZ	3.6 	3.7 	4.0 	4.6 	5.2 	6.4 	7.5 	10.6 	11.7 	12.8 	13.9 	14.1 	13.6 
119820,PC,DE	9.4 	10.5 	11.8 	13.6 	15.0 	17.3 	18.2 	20.9 	23.6 	25.3 	28.1 	30.8 	32.2 
119820,PC,DK	23.8 	24.6 	24.0 	25.0 	25.9 	28.3 	32.7 	35.9 	38.7 	43.1 	48.5 	51.3 	53.7 
119820,PC,EE	0.6 	1.1 	1.5 	1.5 	2.1 	6.1 	10.4 	12.3 	15.8 	13.0 	14.1 	15.1 	15.5 
119820,PC,EL	7.8 	8.2 	8.9 	9.3 	9.6 	11.0 	12.3 	13.8 	16.4 	21.2 	21.9 	22.1 	23.8 
119820,PC,ES	19.0 	19.1 	20.0 	21.7 	23.7 	27.8 	29.8 	31.6 	33.5 	36.7 	37.8 	37.0 	36.6 
119820,PC,EU28	14.3 	14.8 	15.4 	16.1 	17.0 	19.0 	19.7 	21.7 	23.5 	25.4 	27.4 	28.8 	29.6 
119820,PC,FI	26.7 	26.9 	26.4 	25.5 	27.3 	27.3 	27.7 	29.4 	29.5 	30.9 	31.4 	32.5 	32.9 
119820,PC,FR	13.8 	13.7 	14.1 	14.3 	14.4 	15.1 	14.8 	16.2 	16.4 	16.8 	18.3 	18.7 	19.2 
119820,PC,HR	35.5 	35.6 	35.0 	34.0 	33.9 	35.9 	37.6 	37.6 	38.8 	42.1 	45.3 	45.4 	46.7 
119820,PC,HU	2.2 	4.4 	3.5 	4.2 	5.3 	7.0 	7.1 	6.4 	6.1 	6.6 	7.3 	7.3 	7.2 
119820,PC,IE	6.0 	7.2 	8.7 	10.4 	11.2 	13.4 	14.6 	17.4 	19.7 	21.0 	22.9 	25.2 	27.2 
119820,PC,IS	93.1 	94.9 	93.5 	113.7 	90.8 	92.9 	92.4 	93.9 	95.4 	96.7 	97.1 	93.1 	95.3 
119820,PC,IT	16.1 	16.3 	15.9 	16.0 	16.6 	18.8 	20.1 	23.5 	27.4 	31.3 	33.4 	33.5 	34.0 
119820,PC,LT	3.6 	3.8 	4.0 	4.7 	4.9 	5.9 	7.4 	9.0 	10.9 	13.1 	13.7 	15.5 	16.8 
119820,PC,LU	2.8 	3.2 	3.2 	3.3 	3.6 	4.1 	3.8 	4.1 	4.6 	5.3 	5.9 	6.2 	6.7 
119820,PC,LV	46.0 	43.0 	40.4 	38.6 	38.7 	41.9 	42.1 	44.7 	44.9 	48.8 	51.1 	52.2 	51.3 
119820,PC,ME	: 	39.1 	37.7 	37.6 	38.3 	46.6 	45.7 	41.6 	42.8 	49.1 	51.4 	49.6 	51.0 
119820,PC,MK	14.5 	14.0 	14.0 	13.7 	13.9 	15.5 	15.8 	14.8 	16.7 	18.2 	19.3 	21.7 	24.1 
119820,PC,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	1.1 	1.6 	3.3 	4.2 	5.6 
119820,PC,NL	4.4 	6.3 	6.5 	6.0 	7.5 	9.1 	9.6 	9.8 	10.4 	10.0 	10.0 	11.1 	12.5 
119820,PC,NO	97.3 	96.8 	100.2 	98.5 	99.6 	104.7 	97.6 	105.2 	103.9 	106.3 	109.5 	106.0 	104.7 
119820,PC,PL	2.2 	2.7 	3.0 	3.5 	4.4 	5.8 	6.6 	8.2 	10.7 	10.7 	12.4 	13.4 	13.4 
119820,PC,PT	27.5 	27.7 	29.3 	32.3 	34.1 	37.6 	40.7 	45.9 	47.6 	49.1 	52.1 	52.6 	54.1 
119820,PC,RO	25.0 	26.9 	28.1 	28.1 	28.1 	30.9 	30.4 	31.1 	33.6 	37.5 	41.7 	43.2 	42.7 
119820,PC,RS	18.7 	22.4 	23.6 	24.8 	26.3 	28.7 	28.5 	27.7 	28.6 	28.5 	29.9 	28.7 	29.2 
119820,PC,SE	51.2 	50.9 	51.8 	53.2 	53.6 	58.3 	56.0 	59.9 	60.0 	61.8 	63.2 	65.8 	64.9 
119820,PC,SI	29.3 	28.7 	28.2 	27.7 	30.0 	33.8 	32.2 	31.0 	31.6 	33.1 	33.9 	32.7 	32.1 
119820,PC,SK	15.4 	15.7 	16.6 	16.5 	17.0 	17.8 	17.8 	19.3 	20.1 	20.8 	22.9 	22.7 	22.5 
119820,PC,UK	3.5 	4.1 	4.5 	4.8 	5.5 	6.7 	7.5 	8.9 	10.8 	13.8 	17.8 	22.3 	24.6 
119830,PC,AL	33.1 	37.8 	31.0 	33.1 	37.1 	34.7 	31.3 	31.4 	39.1 	37.8 	31.0 	34.6 	33.8 
119830,PC,AT	20.1 	22.0 	23.1 	25.2 	25.3 	27.7 	29.0 	30.0 	31.1 	33.0 	32.4 	32.4 	33.3 
119830,PC,BE	2.9 	3.4 	3.7 	4.5 	5.0 	6.0 	6.1 	6.6 	7.3 	7.4 	7.7 	7.8 	8.1 
119830,PC,BG	14.1 	14.3 	14.8 	13.9 	17.3 	21.7 	24.4 	24.9 	27.5 	29.2 	28.3 	28.6 	30.0 
119830,PC,CY	9.3 	10.0 	10.4 	13.1 	14.5 	16.3 	18.2 	19.2 	20.7 	21.6 	21.6 	22.5 	23.0 
119830,PC,CZ	9.9 	10.9 	11.2 	12.4 	12.9 	14.2 	14.0 	15.3 	16.1 	17.6 	19.3 	19.6 	19.9 
119830,PC,DE	6.3 	6.8 	7.0 	8.4 	7.4 	9.2 	9.8 	10.5 	10.4 	10.6 	12.2 	12.9 	13.0 
119830,PC,DK	20.6 	22.8 	23.8 	26.9 	28.1 	29.5 	31.0 	32.3 	33.6 	35.1 	38.5 	40.1 	41.7 
119830,PC,EE	33.2 	32.2 	30.7 	32.7 	35.5 	41.8 	43.3 	44.1 	43.1 	43.2 	45.2 	49.6 	51.2 
119830,PC,EL	12.8 	12.8 	12.5 	14.4 	14.3 	16.5 	17.9 	19.4 	23.4 	26.5 	26.9 	25.6 	24.2 
119830,PC,ES	9.5 	9.4 	11.4 	11.3 	11.7 	13.3 	12.6 	13.6 	14.1 	14.1 	15.7 	16.8 	16.8 
119830,PC,EU28	10.3 	10.9 	11.5 	12.9 	13.3 	14.9 	15.0 	15.6 	16.4 	17.0 	18.1 	18.7 	19.1 
119830,PC,FI	39.5 	39.1 	41.4 	41.4 	43.3 	43.1 	44.2 	45.9 	48.4 	50.8 	52.0 	52.5 	53.7 
119830,PC,FR	12.5 	12.3 	11.7 	12.9 	13.4 	15.1 	16.2 	15.9 	17.1 	18.3 	18.9 	19.7 	21.1 
119830,PC,HR	29.4 	30.0 	29.1 	29.2 	28.6 	31.2 	32.8 	33.7 	36.5 	37.2 	36.1 	38.5 	37.6 
119830,PC,HU	6.5 	9.9 	11.4 	13.5 	12.0 	17.0 	18.1 	20.0 	23.3 	23.7 	21.2 	21.2 	20.8 
119830,PC,IE	2.9 	3.5 	3.8 	3.9 	3.7 	4.3 	4.5 	4.9 	5.1 	5.5 	6.6 	6.6 	6.8 
119830,PC,IS	52.2 	53.4 	56.9 	58.6 	62.0 	62.1 	63.9 	65.2 	64.6 	59.0 	58.1 	63.4 	71.1 
119830,PC,IT	5.7 	8.2 	10.1 	13.3 	15.3 	16.4 	15.6 	13.8 	17.0 	18.1 	18.9 	19.3 	18.9 
119830,PC,LT	30.4 	29.3 	29.2 	29.1 	32.0 	33.7 	32.5 	32.8 	34.5 	36.9 	40.6 	46.1 	46.5 
119830,PC,LU	1.8 	3.6 	3.6 	4.4 	4.6 	4.7 	4.7 	4.8 	5.0 	5.5 	7.2 	7.1 	7.3 
119830,PC,LV	42.5 	42.7 	42.6 	42.4 	42.9 	47.9 	40.7 	44.7 	47.3 	49.7 	52.2 	51.8 	51.9 
119830,PC,ME	: 	52.9 	51.4 	49.1 	46.0 	62.1 	76.5 	81.3 	79.8 	68.5 	67.6 	68.5 	69.2 
119830,PC,MK	23.4 	24.7 	24.9 	22.5 	24.6 	29.2 	26.5 	27.3 	29.6 	31.8 	35.0 	34.4 	31.7 
119830,PC,MT	1.1 	1.0 	1.4 	1.5 	1.7 	2.0 	7.8 	12.2 	13.2 	15.7 	14.5 	14.1 	15.3 
119830,PC,NL	2.2 	2.4 	2.8 	3.0 	3.1 	3.4 	3.1 	3.7 	3.9 	4.1 	5.1 	5.5 	5.5 
119830,PC,NO	25.5 	28.8 	28.4 	29.3 	30.8 	31.8 	33.3 	34.5 	33.5 	32.7 	31.1 	32.2 	31.7 
119830,PC,PL	10.2 	10.2 	10.2 	10.5 	10.9 	11.5 	11.7 	13.1 	13.4 	14.1 	14.0 	14.5 	14.7 
119830,PC,PT	32.5 	32.1 	34.2 	35.0 	37.5 	38.0 	33.9 	35.2 	33.2 	34.6 	34.0 	33.4 	35.1 
119830,PC,RO	17.6 	18.0 	17.6 	19.4 	23.2 	26.4 	27.2 	24.3 	25.8 	26.2 	26.7 	25.9 	26.9 
119830,PC,RS	14.0 	15.6 	15.8 	13.2 	16.7 	26.5 	23.2 	21.1 	23.2 	25.2 	28.8 	26.5 	24.2 
119830,PC,SE	46.7 	51.9 	56.4 	58.7 	61.1 	63.6 	60.9 	62.2 	65.8 	67.1 	68.0 	68.6 	68.6 
119830,PC,SI	18.4 	18.9 	18.6 	20.4 	19.2 	27.6 	28.1 	30.3 	31.5 	33.4 	32.4 	33.9 	34.0 
119830,PC,SK	5.1 	5.0 	4.5 	6.2 	6.1 	8.2 	7.9 	9.3 	8.8 	7.9 	8.9 	10.8 	9.9 
119830,PC,UK	0.7 	0.8 	0.9 	1.0 	1.9 	2.3 	2.7 	3.0 	3.2 	4.0 	4.7 	6.3 	7.0 
