sex,unit,age,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,PPCH_3Y,TOTAL,EL	: 	: 	: 	-5.4 	-2.6 	-1.6 	-0.5 	0.1 	4.0 	8.5 	8.7 	6.3 	2.7 	2.1 	-0.4 
T,PPCH_3Y,TOTAL,ES	: 	: 	: 	: 	-1.3 	-0.5 	0.4 	1.4 	0.9 	1.3 	1.3 	2.6 	0.6 	-0.4 	-2.0 
T,PPCH_3Y,TOTAL,FI	: 	: 	: 	: 	-0.2 	-0.3 	-0.5 	-0.8 	-0.3 	0.1 	-0.3 	-0.4 	-0.7 	-0.3 	-0.7 
T,PPCH_3Y,TOTAL,FR	: 	: 	: 	: 	-1.4 	0.1 	0.6 	1.1 	-0.2 	-0.3 	-0.9 	-0.4 	-0.8 	-0.5 	-0.7 
T,PPCH_3Y,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.4 	-1.3 	-2.2 	-2.2 	-3.6 p
T,PPCH_3Y,TOTAL,HU	: 	: 	: 	: 	: 	-5.0 	-0.6 	1.7 	5.5 	6.0 	6.2 	0.6 	-6.9 	-11.6 	-9.5 
T,PPCH_3Y,TOTAL,IE	: 	: 	: 	-0.8 	-0.3 	0.4 	1.3 	1.2 	2.3 	3.7 	4.2 	0.6 	-2.3 	-3.4 	: 
T,PPCH_3Y,TOTAL,IT	: 	: 	: 	: 	0.0 	0.7 	0.9 	0.4 	3.6 	7.2 	4.9 	0.5 	-3.0 	-0.2 	-1.5 
T,PPCH_3Y,TOTAL,LT	: 	: 	: 	: 	: 	-20.1 	-9.7 	3.3 	6.5 	4.2 	-3.9 	-5.4 	-5.9 	-2.5 	-1.2 
T,PPCH_3Y,TOTAL,LU	: 	: 	: 	-0.8 	0.0 	-1.1 	0.0 	-0.3 	0.5 	0.2 	1.3 	0.2 	0.7 	-0.2 b	-0.2 
T,PPCH_3Y,TOTAL,LV	: 	: 	: 	: 	: 	-20.0 	-9.2 	3.6 	11.7 	3.5 	-3.6 	-11.8 	-9.2 	-11.2 	-7.9 
T,PPCH_3Y,TOTAL,MT	: 	: 	: 	: 	: 	-1.1 	1.1 	2.1 	2.3 	4.2 	3.0 	3.6 	-1.1 	-5.1 	-6.9 
T,PPCH_3Y,TOTAL,NL	: 	: 	: 	: 	: 	-1.0 	-0.9 	0.5 	1.0 	0.9 	0.3 	0.7 	0.3 	0.1 b	-0.6 
T,PPCH_3Y,TOTAL,PL	: 	: 	: 	: 	: 	-16.1 	-12.6 	-8.1 	-4.7 	-1.5 	-2.3 	-2.6 	-5.4 	-5.2 	-4.5 
T,PPCH_3Y,TOTAL,PT	: 	: 	: 	: 	-0.3 	0.4 	0.0 	-0.6 	-1.4 	-0.5 	1.9 	2.3 	1.0 	-2.5 	-3.7 
T,PPCH_3Y,TOTAL,RO	: 	: 	: 	: 	: 	: 	: 	-7.5 	-3.2 	-1.0 	-0.7 	-3.6 	-8.4 	-6.0 	-6.2 
T,PPCH_3Y,TOTAL,SE	: 	: 	: 	: 	-0.8 	-0.5 b	-0.1 	-0.3 	-0.1 b	-0.2 	0.0 	-0.7 	-0.7 	-1.1 	0.1 
T,PPCH_3Y,TOTAL,SI	: 	: 	: 	: 	: 	1.6 	1.0 	0.8 	-0.6 	0.5 	0.8 	0.5 	-0.8 	-1.3 	-2.0 
T,PPCH_3Y,TOTAL,SK	: 	: 	: 	: 	: 	-10.3 	-7.1 	-2.3 	-1.2 	-0.6 	-1.2 	-0.7 	-1.5 	-2.0 	-2.9 
T,PPCH_3Y,TOTAL,UK	: 	: 	: 	: 	: 	-0.8 	-1.2 u	0.6 	0.6 	4.5 u	3.5 	2.3 	-1.7 	-3.1 	-2.5 p
