unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,AT	11.1 	10.8 	11.7 	11.8 	11.2 	12.8 	14.2 	14.4 	14.2 	13.9 	14.8 
PC,BE	6.6 	6.8 	8.8 	8.4 	7.7 	8.6 	8.7 	9.6 	10.2 	10.0 	9.8 
PC,BG	3.5 	3.6 	4.6 	4.1 	3.7 	3.8 	4.0 	3.9 	4.4 	5.1 	5.4 
PC,CY	14.6 	19.1 	20.1 	19.3 	14.8 	11.7 	18.1 	5.2 	10.9 	6.9 	9.9 
PC,CZ	14.1 	14.1 	15.2 	16.1 	16.4 	16.1 	15.1 	15.3 	15.5 	15.0 	15.3 
PC,DE	13.0 	12.4 	14.0 	14.0 	13.5 	14.2 	14.3 	14.3 	14.9 	15.2 	14.8 
PC,DK	11.7 	10.7 	12.3 	9.3 	9.3 	9.3 	9.3 	9.8 	10.7 	10.6 	9.6 
PC,EE	7.8 	7.5 	6.9 	10.4 	14.8 	14.1 	14.9 	16.3 	15.5 	15.6 	12.0 
PC,EL	4.2 	4.9 	7.7 	5.6 	4.6 	3.2 	2.7 	3.7 	4.6 	5.0 	4.3 
PC,ES	4.2 	4.2 	4.8 	4.8 	4.8 	5.0 	5.4 	5.2 	5.5 	5.8 	6.0 
PC,FI	17.5 	17.3 	13.9 	10.0 	8.0 	7.3 	6.2 	6.7 	7.0 	6.8 	6.6 
PC,FR	16.7 	17.6 	19.7 	20.4 	18.7 	20.0 	20.4 	20.8 	21.7 	21.7 	20.5 
PC,HR	6.5 	6.7 	7.6 	7.0 	5.8 	7.2 	7.9 	6.6 	7.1 	9.7 	9.3 
PC,HU	21.3 	20.2 	22.2 	21.8 	20.9 	17.3 	16.3 	14.5 	15.4 	15.9 	15.7 
PC,IE	25.7 	24.3 	22.1 	19.5 	21.2 	21.7 	20.9 	20.9 	24.4 	28.7 	34.3 
PC,IT	6.0 	5.9 	6.8 	6.5 	6.4 	6.4 	6.6 	6.7 	7.0 	7.1 	7.5 
PC,LT	7.3 	6.5 	5.8 	6.0 	5.6 	5.8 	5.8 	6.6 	7.6 	7.8 	8.1 
PC,LU	32.9 	35.6 	41.9 	30.7 	25.8 	26.7 	21.9 	19.6 	19.8 	15.3 	6.8 
PC,LV	4.6 	4.6 	5.3 	4.8 	6.7 	6.4 	8.0 	9.7 	11.0 	10.2 	10.2 
PC,MT	42.8 	38.3 	35.2 	32.9 	30.1 	29.6 	28.6 	28.7 	24.1 	18.5 	25.5 
PC,NL	18.3 	16.2 	18.4 	18.6 	17.3 	18.8 	17.7 	18.6 	20.4 	20.4 	21.6 
PC,PL	3.0 	4.3 	5.7 	6.0 	5.1 	6.0 	6.7 	7.9 	8.5 	8.4 	8.5 
PC,PT	6.8 	6.3 	3.7 	3.0 	3.1 	3.3 	3.4 	3.6 	3.8 	4.4 	4.5 
PC,RO	3.5 	5.4 	8.2 	9.8 	8.8 	6.3 	5.6 	6.4 	7.3 	8.3 	7.9 
PC,SE	13.3 	13.2 	14.6 	14.5 	13.8 	12.8 	13.0 	12.9 	13.5 	13.4 	11.9 
PC,SI	4.6 	5.2 	5.5 	5.3 	5.3 	5.2 	5.5 	5.4 	5.9 	5.7 	5.5 
PC,SK	5.0 	5.2 	5.9 	6.6 	6.6 	8.2 	9.6 	9.9 	10.0 	9.7 	10.6 
PC,UK	16.8 	15.4 	19.0 	17.7 	16.4 	17.4 	15.5 	15.6 	16.7 	18.4 	18.1 
