indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S80_S20,Y_GE65,F,AT	3.7 	3.8 	4.3 b	3.8 	4.3 	4.0 	4.1 	4.0 	3.9 	3.7 	3.6 	3.8 
S80_S20,Y_GE65,F,BE	3.4 	3.3 	3.1 	3.0 	3.3 	2.9 	3.1 	2.9 	2.8 	2.8 	2.9 	2.9 
S80_S20,Y_GE65,F,BG	3.5 	4.0 	4.1 	4.1 	4.6 	4.9 	4.6 	4.8 	4.4 	4.4 	4.1 b	4.6 
S80_S20,Y_GE65,F,CH	: 	4.4 	5.0 	5.2 	4.1 	4.5 	4.5 	4.3 	4.3 b	4.5 	4.3 	: 
S80_S20,Y_GE65,F,CY	4.2 	4.3 	4.2 b	4.4 	4.4 	4.0 	4.3 	4.1 	4.4 	4.3 	4.3 	4.3 
S80_S20,Y_GE65,F,CZ	2.4 	2.3 	2.4 	2.4 	2.4 	2.4 	2.4 	2.5 	2.3 	2.4 	2.4 	2.4 
S80_S20,Y_GE65,F,DE	3.4 	4.1 	3.9 	3.6 	3.6 	3.7 	3.7 	3.7 	4.1 	3.8 	4.0 	3.6 
S80_S20,Y_GE65,F,DK	2.6 	2.5 	2.6 	2.6 	3.1 b	2.6 b	2.9 	2.9 	3.7 	3.1 	2.9 	2.7 
S80_S20,Y_GE65,F,EA18	3.9 	4.1 	4.2 	4.2 	4.0 	4.0 	4.0 	4.0 	4.1 	4.0 	4.2 	4.1 
S80_S20,Y_GE65,F,EA19	3.9 	4.1 	4.2 	4.2 	4.0 	4.0 	4.0 	4.0 	4.1 	4.0 	4.2 	4.1 
S80_S20,Y_GE65,F,EE	3.2 	3.2 	3.1 	3.1 	2.9 	3.0 	2.9 	2.9 	3.0 b	3.2 	3.4 	3.4 
S80_S20,Y_GE65,F,EL	4.6 	4.8 	4.3 	4.0 	4.0 	4.2 	4.2 	3.8 	4.0 	3.9 	3.9 	4.1 
S80_S20,Y_GE65,F,ES	4.3 	4.2 	5.0 b	4.7 	4.7 	4.5 	4.3 	4.3 	4.3 	4.2 	4.2 	4.6 
S80_S20,Y_GE65,F,EU27	3.9 	4.0 	4.1 	4.0 	3.9 	4.0 	3.9 	3.9 	4.0 	3.9 	4.1 	4.0 
S80_S20,Y_GE65,F,EU28	: 	: 	: 	: 	3.9 	4.0 	3.9 	3.9 	4.0 	4.0 	4.1 	4.0 
S80_S20,Y_GE65,F,FI	2.9 	2.7 	3.0 	3.1 	2.9 	2.9 	3.1 	3.1 	3.0 	3.0 	2.9 	2.9 
S80_S20,Y_GE65,F,FR	4.0 	3.8 	4.3 b	4.7 	4.3 	4.4 	4.4 	4.2 	4.4 	4.5 	4.6 	4.5 
S80_S20,Y_GE65,F,HR	: 	: 	: 	: 	5.1 b	5.1 	4.8 	4.8 	4.8 	5.0 	4.5 	: 
S80_S20,Y_GE65,F,HU	3.1 	2.6 	2.5 	2.6 	2.5 	2.7 	2.6 	2.7 	2.7 	2.8 	3.0 	3.4 
S80_S20,Y_GE65,F,IE	3.2 	3.3 	3.5 	3.7 	3.9 	3.8 	4.2 	4.4 	4.5 	3.9 	3.7 	: 
S80_S20,Y_GE65,F,IS	2.9 	3.6 u	3.7 	4.5 	3.7 	3.0 	3.1 	2.7 	2.7 	3.6 	3.6 p	: 
S80_S20,Y_GE65,F,IT	4.5 	4.5 	4.3 	4.5 	4.1 	4.2 	4.2 	4.2 	4.2 	4.3 	4.6 	4.7 
S80_S20,Y_GE65,F,LT	3.5 	3.7 	4.0 	4.0 	3.4 	3.1 	3.3 	3.8 	3.9 	4.1 	4.2 	4.6 
S80_S20,Y_GE65,F,LU	2.8 	3.2 	2.8 	3.2 	3.0 	3.1 	3.5 	3.7 	3.8 	3.4 	4.7 b	4.6 
S80_S20,Y_GE65,F,LV	4.4 	4.7 	5.6 	5.2 	3.8 	3.5 	3.6 	3.9 	4.0 	4.1 	4.5 	4.6 
S80_S20,Y_GE65,F,MK	: 	: 	: 	: 	: 	: 	5.4 	4.7 	4.8 	4.6 	4.9 	: 
S80_S20,Y_GE65,F,MT	4.1 	3.3 	3.6 	3.2 	3.5 	3.1 	3.4 	3.1 	3.0 	3.2 	3.2 	3.2 
S80_S20,Y_GE65,F,NL	2.9 	3.0 	3.1 	3.2 	3.1 	3.2 	2.9 	3.2 	3.4 	3.1 	2.9 b	2.8 
S80_S20,Y_GE65,F,NO	3.9 u	2.8 	2.9 	2.8 	2.9 	2.6 	2.7 	2.8 	2.8 	2.9 	2.8 	3.2 
S80_S20,Y_GE65,F,PL	3.4 	3.2 	3.3 	3.3 	3.5 	3.5 	3.5 	3.4 	3.4 	3.5 	3.5 	3.5 
S80_S20,Y_GE65,F,PT	5.6 	6.0 	5.2 	5.0 	4.8 	4.7 	5.1 	4.8 	4.8 	4.9 	5.3 	5.2 
S80_S20,Y_GE65,F,RO	: 	6.1 	5.2 	4.8 	4.3 	4.4 	4.4 	4.7 	4.8 	4.7 	4.6 	4.6 
S80_S20,Y_GE65,F,RS	: 	: 	: 	: 	: 	: 	: 	6.5 	6.2 	5.7 	6.4 	: 
S80_S20,Y_GE65,F,SE	2.9 	2.7 	3.0 b	3.1 	2.9 	3.1 	3.2 	3.3 	3.4 	3.1 	3.6 	3.3 
S80_S20,Y_GE65,F,SI	3.5 	3.6 	3.7 	3.5 	3.6 	3.6 	3.6 	3.6 	3.5 	3.5 	3.6 	3.5 
S80_S20,Y_GE65,F,SK	2.9 	2.5 	2.4 	2.6 	2.3 	2.4 	2.4 	2.3 	2.3 	2.3 	2.3 	2.4 
S80_S20,Y_GE65,F,TR	10.3 	9.1 	7.7 	8.8 	8.0 	7.8 	7.6 	7.4 	7.2 	7.1 	: 	: 
S80_S20,Y_GE65,F,UK	4.4 	4.2 	4.7 	3.9 	4.2 	4.4 	4.1 b	3.8 	4.2 	4.1 	4.4 	: 
S80_S20,Y_GE65,M,AT	3.4 	3.5 	4.0 b	3.7 	4.0 	4.1 	4.0 	4.0 	3.9 	3.8 	3.7 	3.6 
S80_S20,Y_GE65,M,BE	3.5 	3.5 	3.2 	4.0 	4.2 	3.2 	3.4 	3.3 	3.2 	3.7 	3.6 	3.0 
S80_S20,Y_GE65,M,BG	3.3 	3.8 	3.7 	3.7 	4.2 	4.2 	3.8 	4.2 	4.0 	4.3 	4.3 b	5.3 
