unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B8N,S11,AT	1256 	894 	1485 	2759 	2836 	3806 	1945 	7785 	7501 	7178 	6204 	10317 	8085 	7557 	6571 	12067 	12768 	7649 	8356 	7880 	8602 	17060 	16093 
CP_MNAC,PAID,B8N,S11,BE	9153 	8348 	9534 	6790 	6441 	9451 	5694 	4321 	8147 	7133 	7463 	2848 	8428 	6742 	10609 	7516 	1391 	5038 	4896 	5953 	7112 	12382 	: 
CP_MNAC,PAID,B8N,S11,BG	-507 b	-202 b	1349 b	2201 b	242 b	448 	2156 	3106 	2736 	2931 	3398 	2402 	578 	2527 	5668 	5988 	7257 	9914 	9439 	9297 	8427 	4749 	: 
CP_MNAC,PAID,B8N,S11,CY	287 	-4 	-390 	520 	-346 	-772 	-754 	202 	362 	42 	-599 	-824 	-1484 	-1018 	-1201 	-1394 	-1062 	-1326 	-886 	-1523 	-1489 	-1718 p	: 
CP_MNAC,PAID,B8N,S11,CZ	44144 	71205 	-1779 	29693 	26254 	61148 	65226 	58469 	42090 	43403 	93285 	79256 	120711 	127150 	34922 	9580 	22355 	59631 	8705 	43536 	93710 	63807 	97275 
CP_MNAC,PAID,B8N,S11,DE	6969 	12253 	8624 	15968 	-15167 	-15302 	16837 	21040 	11169 	49083 	29458 	42892 	68464 	29547 	13110 	69813 	81432 	61844 	80092 	92146 	128197 	131268 	108707 
CP_MNAC,PAID,B8N,S11,DK	61665 	69661 	88737 	73065 	93414 	117603 	72972 	119447 	112501 	97512 	87947 	92284 	50705 	46959 	16717 	44397 	75967 	89606 	96435 	134168 	133094 	130976 	111513 
CP_MNAC,PAID,B8N,S11,EE	-118 	51 	112 	311 	440 	448 	552 	629 	715 	856 	1336 	1299 	1337 	982 	392 	902 	1625 	872 	1577 	1225 	1052 	735 	1507 
CP_MNAC,PAID,B8N,S11,EL	-318 p	2056 p	2530 p	1545 p	4193 p	3968 p	5892 p	5626 p	6755 p	9151 p	7892 p	8982 p	11159 p	9380 p	7806 p	4054 p	3439 p	3175 p	5115 p	5869 p	3685 p	1304 p	: 
CP_MNAC,PAID,B8N,S11,ES	: 	: 	: 	: 	25754 	18744 	15826 	17743 	17376 	13891 	8353 	2485 	1091 	24761 	43792 	58290 	36845 	34488 	50506 	46401 	59766 	74791 	84955 
CP_MNAC,PAID,B8N,S11,FI	5086 	4613 	7067 	7270 	9078 	7307 	11150 	10337 	9413 	11347 	10867 	11863 	12690 	8690 	5865 	9099 	6396 	4565 	3298 	6341 	8185 	10431 	13368 
CP_MNAC,PAID,B8N,S11,FR	16099 	17554 	25944 	40855 	45762 	34204 	34984 	25446 	36764 	33348 	26502 	17750 	26363 	-661 	-2852 	11200 	7897 	-9255 	8709 	9633 	27869 	22401 p	33486 p
CP_MNAC,PAID,B8N,S11,HR	: 	: 	: 	: 	: 	: 	: 	-2716 	-3495 	2074 	5602 	7433 	7534 	1709 	-9144 	-6079 	1710 	1923 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B8N,S11,HU	-183115 	-274920 	-169943 	-90175 	-116303 	-168699 	-23139 	556442 	470929 	483880 	465209 	896246 	425843 	708315 	772435 	987705 	1134704 	566231 	1575742 	1445251 	1768647 	1658981 	1745904 
CP_MNAC,PAID,B8N,S11,IE	3290 	3431 	5512 	5108 	3418 	5594 	5791 	6493 	7220 	7363 	7246 	8303 	3839 	-2363 	-858 	4139 	6445 	13070 	19400 	23874 	24948 	33304 	: 
CP_MNAC,PAID,B8N,S11,IT	1858 	862 	-11074 	10992 	-5048 	6544 	-2956 	-8860 	1426 	413 	-4191 	-21059 	-32438 	-48514 	-35993 	-28822 	-28065 	-40238 	-34893 	-22144 	-27540 	1794 	4022 
CP_MNAC,PAID,B8N,S11,LT	-218 	101 	112 	-146 	-195 	-239 	291 	356 	752 	-17 	809 	468 	2266 	1786 	1005 	1994 	3019 	3420 	3852 	4806 	2751 	2161 	3483 
CP_MNAC,PAID,B8N,S11,LU	393 	343 	520 	740 	736 	505 	528 	346 	435 	2727 	3171 	293 	3285 	1143 	-2495 	121 	-700 	-544 	-1298 	-1474 	512 	1864 	: 
CP_MNAC,PAID,B8N,S11,LV	-322 	-493 	-585 	-477 	-355 	9 	92 	269 	329 	292 	604 	-152 	241 	-143 	1860 	633 	1694 	1741 	1605 	1503 	1196 	1098 	1552 
CP_MNAC,PAID,B8N,S11,NL	19664 	19775 	19363 	23381 	26644 	27553 	27902 	34206 	39535 	45247 	37634 	49041 	56174 	51551 	50464 	50660 	57094 	62698 	42618 	25771 	48029 	33276 	51157 p
CP_MNAC,PAID,B8N,S11,PL	-6840 	-4953 	-3565 	-8965 	-1177 	2117 	-12835 	-8528 	12437 	31159 	46773 	58241 	50599 	85259 	111500 	108446 	143485 	140824 	152788 	155579 	174568 	155256 	: 
CP_MNAC,PAID,B8N,S11,PT	2448 	2202 	2092 	2074 	1070 	206 	35 	-900 	-174 	-1466 	-3051 	-3959 	-4366 	-7958 	-3582 	-2118 	-2514 	328 	3050 	4230 	3434 	4831 	4561 p
CP_MNAC,PAID,B8N,S11,RO	-533 	-1482 	-2760 	855 	1211 	3502 	4973 	10353 	14632 	16192 	25409 	33254 	43944 	30750 b	38372 	31456 	44340 	58902 	54692 b	58458 	77729 	71737 p	: 
CP_MNAC,PAID,B8N,S11,SE	174236 	153482 	161667 	173003 	177907 	135584 	67346 	149433 	173228 	167918 	201502 	232236 	216424 	170440 	52757 	231275 	145846 	55060 	86064 	83311 	125444 	39304 	81212 
CP_MNAC,PAID,B8N,S11,SI	-143 	-273 	9 	3 	288 	-70 	-10 	90 	431 	320 	71 	394 	895 	785 	-35 	-111 	222 	-282 	277 	1324 	829 	1241 	1856 
CP_MNAC,PAID,B8N,S11,SK	-194 	253 	-21 	156 	253 	652 	1216 	998 	-157 	1137 	556 	2099 	3649 	3729 	1284 	2702 	1440 	3230 	3525 	3008 	626 	2283 	2080 
CP_MNAC,PAID,B8N,S11,UK	33341 	40667 	34653 	34610 	27441 	27851 	14263 	38198 	49316 	40182 	49060 	43539 	43204 	48022 	23231 	63796 	66724 	35782 	18567 	41341 	17439 	33959 	53739 
CP_MNAC,PAID,B8N,S12,AT	2800 	2989 	2368 	1974 	-667 	2353 	1045 	64 	382 	1413 	1904 	1012 	3836 	5692 	3225 	3947 	4114 	4104 	4361 	5258 	3350 	1119 	3353 
CP_MNAC,PAID,B8N,S12,BE	1886 	2231 	1645 	2377 	2830 	610 	-784 	3329 	2295 	7035 	7077 	10766 	7855 	4810 	-7432 	13329 	13145 	11724 	6671 	6458 	7172 	9601 	: 
CP_MNAC,PAID,B8N,S12,BG	283 b	131 b	970 b	1133 b	585 b	1099 	1223 	683 	519 	621 	960 	654 	1314 	677 	2259 	3307 	3044 	2373 	792 	1059 	744 	2156 	: 
CP_MNAC,PAID,B8N,S12,CY	444 	665 	744 	811 	658 	837 	1042 	656 	546 	-474 	-399 	-829 	-2083 	989 	1860 	1735 	2238 	2132 	1872 	2057 	2784 	2476 p	: 
CP_MNAC,PAID,B8N,S12,CZ	38668 	37672 	40923 	69652 	54022 	35918 	35175 	14217 	33694 	30842 	18067 	17888 	20047 	16460 	25442 	27089 	21592 	13949 	31000 	45818 	42949 	40817 	47278 
CP_MNAC,PAID,B8N,S12,DE	15759 	14903 	19980 	11747 	20077 	16386 	-106 	10257 	-1451 	17354 	23745 	32718 	21503 	17241 	20547 	22079 	21485 	-1028 	-11298 	-10447 	-19010 	-17178 	-11466 
CP_MNAC,PAID,B8N,S12,DK	27299 	20272 	22277 	16397 	17334 	-5398 	27943 	-21761 	-19534 	4914 	21976 	23694 	53823 	78961 	96552 	105054 	91381 	84827 	73768 	68314 	56955 	40355 	64539 
CP_MNAC,PAID,B8N,S12,EE	-11 	8 	12 	16 	66 	52 	90 	145 	133 	165 	165 	219 	-28 	-92 	-151 	-287 	-350 	391 	-112 	-34 	25 	384 	211 
CP_MNAC,PAID,B8N,S12,EL	7433 p	6328 p	6965 p	7240 p	4146 p	3689 p	3284 p	2563 p	2979 p	4423 p	3572 p	3489 p	-1197 p	925 p	1669 p	7601 p	6694 p	5266 p	2393 p	3947 p	6754 p	5564 p	: 
CP_MNAC,PAID,B8N,S12,ES	4588 	4668 	4765 	5761 	2842 	5707 	7438 	9914 	10642 	9677 	9339 	12677 	19052 	28493 	24594 	15455 	22708 	33682 	18515 	23057 	21098 	23419 	25139 
CP_MNAC,PAID,B8N,S12,FI	578 	1125 	988 	1215 	-1 	-645 	-395 	-11 	-679 	-269 	161 	101 	162 	1803 	721 	-296 	92 	756 	-57 	-65 	-535 	-317 	138 
CP_MNAC,PAID,B8N,S12,FR	21880 	17056 	20049 	14521 	11867 	16073 	9220 	17333 	20602 	22775 	30130 	24699 	21585 	44719 	36656 	29027 	29892 	23861 	9226 	10509 	19615 	17736 p	-261 p
CP_MNAC,PAID,B8N,S12,HR	: 	: 	: 	: 	: 	: 	: 	3674 	3773 	3184 	4904 	6155 	8020 	13430 	12945 	9891 	8326 	6892 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B8N,S12,HU	112597 	117569 	181381 	142011 	101333 	66960 	70500 	76080 	232924 	124503 	115837 	66184 	5760 	119688 	157229 	252156 	158903 	209549 	202289 	210741 	-1553 	218901 	422604 
CP_MNAC,PAID,B8N,S12,IE	2100 	1151 	966 	3851 	3826 	3927 	2859 	4155 	5882 	5154 	5734 	6288 	10565 	10532 	5938 	7326 	5769 	-1991 	-222 	-14 	2004 	1726 	: 
CP_MNAC,PAID,B8N,S12,IT	10881 	9975 	13940 	7971 	10031 	13827 	21439 	22083 	21495 	18719 	19391 	20876 	23916 	26717 	26899 	30456 	33234 	39681 	32303 	32712 	31219 	39277 	41100 
CP_MNAC,PAID,B8N,S12,LT	61 	93 	62 	112 	94 	128 	92 	139 	9 	84 	158 	223 	358 	297 	1059 	117 	-167 	2 	67 	142 	225 	138 	165 
CP_MNAC,PAID,B8N,S12,LU	893 	965 	729 	676 	638 	458 	537 	274 	-128 	-831 	-511 	-527 	-1039 	488 	94 	528 	897 	-250 	162 	366 	-458 	-1928 	: 
CP_MNAC,PAID,B8N,S12,LV	67 	77 	107 	156 	105 	50 	98 	83 	109 	55 	182 	353 	553 	731 	175 	176 	238 	7 	184 	20 	115 	-109 	30 
CP_MNAC,PAID,B8N,S12,NL	12009 	11655 	13960 	11427 	13557 	14736 	10250 	5574 	9355 	4855 	7326 	15381 	15234 	-1382 	3799 	19029 	19886 	7854 	19015 	22689 	13088 	12764 	13791 p
CP_MNAC,PAID,B8N,S12,PL	6274 	6587 	7721 	11155 	2632 	1872 	2686 	4791 	3487 	-4885 	-3977 	-9090 	-2594 	-3116 	-3517 	11672 	10794 	12430 	12786 	15453 	15927 	18386 	: 
CP_MNAC,PAID,B8N,S12,PT	2059 	1547 	1899 	1994 	2172 	1811 	2938 	2664 	2693 	4185 	4640 	3584 	4593 	4960 	3898 	3350 	7695 	4877 	3386 	3687 	2921 	3372 	3485 p
CP_MNAC,PAID,B8N,S12,RO	163 	-29 	111 	262 	100 	-829 	-1553 	-2126 	2887 	3433 	-632 	920 	2612 	13664 	9651 	13472 	13651 	14772 	11755 b	14461 	10399 	10326 p	: 
CP_MNAC,PAID,B8N,S12,SE	39775 	14171 	20890 	18489 	4505 	5083 	59803 	33674 	66282 	68235 	24876 	56278 	63282 	83854 	69297 	-42240 	26424 	73858 	30106 	23128 	11149 	24857 	10052 
CP_MNAC,PAID,B8N,S12,SI	303 	392 	309 	356 	428 	428 	437 	356 	358 	361 	345 	421 	165 	216 	609 	637 	624 	604 	345 	356 	99 	-185 	-356 
CP_MNAC,PAID,B8N,S12,SK	701 	219 	428 	305 	229 	212 	321 	524 	146 	-38 	273 	154 	-121 	-115 	488 	1052 	1148 	979 	532 	855 	1074 	249 	384 
CP_MNAC,PAID,B8N,S12,UK	-22359 	-23016 	-23067 	-24934 	-36171 	-52268 	-36297 	-33836 	-15760 	-15577 	-9474 	-12759 	-23326 	-21694 	-8177 	-25460 	-1830 	7758 	-8623 	-14029 	-24239 	-28174 	-9507 
CP_MNAC,PAID,B8N,S13,AT	-6131 	-3421 	-953 	-751 	-1485 	-1376 	2474 	660 	-890 	434 	-2627 	-2712 	920 	798 	-8477 	-8169 	-3852 	-2224 	-1572 	-474 	1609 	-1960 	1473 
CP_MNAC,PAID,B8N,S13,BE	-7838 	-7113 	-2899 	-129 	995 	2547 	1880 	1111 	-2376 	-16 	76 	1092 	1711 	-2036 	-15415 	-11502 	-10089 	-9491 	-8479 	-8777 	-8323 	-9843 	: 
