unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B8N,S14_S15,BE	19424 	16791 	16019 	15595 	16394 	15838 	18967 	17678 	17210 	14776 	14689 	16637 	17997 	20169 	23161 	16734 	13718 	12130 	11079 	10721 	9582 	8314 	: 
CP_MNAC,PAID,B8N,S14_S15,BG	427 b	102 b	-438 b	-947 b	-619 b	-1148 	-2840 	-1968 	-2343 	-3314 	-4401 	-4075 	-7607 	-4083 	-1277 	-2440 	-2189 	-5224 	-1559 	-3129 	-1418 	2065 	: 
CP_MNAC,PAID,B8N,S14_S15,CY	-76 	-8 	83 	-85 	208 	151 	115 	-128 	47 	333 	655 	709 	100 	-71 	440 	59 	77 	-295 	-1012 	-1528 	-1399 	-1079 p	: 
CP_MNAC,PAID,B8N,S14_S15,CZ	55652 	63272 	75020 	62730 	59485 	77213 	85303 	89850 	84750 	76384 	101748 	140088 	133121 	128265 	178299 	164150 	126888 	127227 	120522 	146255 	158104 	155919 	108441 
CP_MNAC,PAID,B8N,S14_S15,DE	132308 	128943 	126215 	126243 	123064 	119647 	133139 	133829 	144193 	146491 	149240 	152754 	158064 	165884 	156169 	160083 	158159 	157586 	153687 	167199 	174802 	181910 	189820 
CP_MNAC,PAID,B8N,S14_S15,DK	-3701 	-11821 	-27727 	-20213 	-39668 	-33643 	2274 	9482 	15160 	-13446 	-31058 	-11984 	-24314 	-33619 	5520 	16136 	7133 	1114 	22051 	-26315 	46634 	51692 	64572 
CP_MNAC,PAID,B8N,S14_S15,EE	311 	193 	24 	-15 	-12 	58 	-70 	-376 	-411 	-478 	-488 	-726 	-560 	169 	585 	335 	427 	487 	447 	700 	770 	776 	1013 
CP_MNAC,PAID,B8N,S14_S15,EL	6450 p	4903 p	2535 p	2359 p	1302 p	-1329 p	-1780 p	-2132 p	1088 p	1449 p	-3668 p	-75 p	-1831 p	-6031 p	-1801 p	-10122 p	-11779 p	-13156 p	-18007 p	-15219 p	-16603 p	-17644 p	: 
CP_MNAC,PAID,B8N,S14_S15,ES	: 	: 	: 	: 	19487 	23621 	23956 	24222 	33339 	26275 	17907 	8102 	-5885 	10116 	47633 	23714 	30169 	14696 	23885 	22002 	18481 	11980 	-5505 
CP_MNAC,PAID,B8N,S14_S15,FI	2458 	599 	1591 	866 	2220 	2030 	1900 	1997 	1748 	2442 	823 	-385 	-332 	-233 	3332 	3242 	1420 	784 	1723 	-160 	-568 	-1750 	-2509 
CP_MNAC,PAID,B8N,S14_S15,FR	66633 	63665 	73083 	71717 	71530 	75631 	86069 	99375 	93919 	98361 	89252 	99694 	109413 	110623 	127068 	128932 	124958 	126957 	107755 	113446 	109000 	108013 p	114718 p
CP_MNAC,PAID,B8N,S14_S15,HR	: 	: 	: 	: 	: 	: 	: 	4688 	5777 	6674 	4470 	4302 	-1293 	2885 	13884 	15515 	14964 	15879 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B8N,S14_S15,HU	549746 	617746 	681334 	755978 	585349 	501348 	654153 	438124 	357217 	833237 	1072310 	1212517 	637937 	553863 	832245 	931272 	1123705 	857217 	1210288 	1434908 	1126945 	1546506 	1504923 
CP_MNAC,PAID,B8N,S14_S15,IE	1008 	844 	683 	740 	-34 	-2008 	551 	-484 	-48 	516 	1041 	-774 	-1298 	3706 	7312 	5319 	3031 	5637 	4136 	2293 	1928 	1789 	: 
CP_MNAC,PAID,B8N,S14_S15,IT	110675 	120507 	102174 	75106 	68101 	60176 	75906 	84979 	83206 	90902 	88545 	85874 	83937 	82564 	72375 	42869 	38780 	20024 	36700 	40372 	33798 	33993 	24683 
CP_MNAC,PAID,B8N,S14_S15,LT	-311 	-502 	-237 	143 	-106 	98 	-48 	-40 	-292 	458 	-26 	171 	-1490 	-962 	212 	773 	170 	-400 	-265 	-801 	-778 	-863 	-1322 
CP_MNAC,PAID,B8N,S14_S15,LU	867 	758 	802 	868 	726 	911 	1110 	1299 	1256 	1376 	1305 	1219 	1518 	1636 	1802 	2331 	2031 	2381 	2497 	2590 	2667 	2811 	: 
CP_MNAC,PAID,B8N,S14_S15,LV	-531 	-471 	-335 	-451 	-537 	-381 	-410 	-434 	-389 	-498 	-513 	-1134 	-1313 	477 	769 	-142 	-1716 	-1736 	-1860 	-1627 	-1101 	-577 	-886 
CP_MNAC,PAID,B8N,S14_S15,NL	18585 	16706 	17503 	14565 	10345 	9500 	12655 	13560 	12504 	11680 	6862 	5038 	5122 	11125 	23127 	17695 	21094 	26884 	28097 	33293 	32811 	34779 	32293 p
CP_MNAC,PAID,B8N,S14_S15,PL	36423 	39089 	45663 	57767 	50663 	58441 	70289 	52272 	46533 	16801 	13780 	13731 	14974 	2359 	24526 	21714 	-10372 	-10980 	-698 	-3734 	-4652 	18514 	: 
CP_MNAC,PAID,B8N,S14_S15,PT	3333 	2773 	2520 	3743 	3593 	2922 	3591 	3588 	2559 	2700 	1858 	387 	-879 	-1326 	3182 	1611 	-1063 	-514 	-266 	-3676 	-3619 	-4389 	-4973 p
CP_MNAC,PAID,B8N,S14_S15,RO	-621 	227 	634 	-4937 	-6007 	-5437 	-6984 	-12825 	-27957 	-31836 	-38088 	-44733 	-44795 	-25228 b	527 	-8499 	-25926 	-47156 	-26209 b	-33566 	-49760 	-40201 p	: 
CP_MNAC,PAID,B8N,S14_S15,SE	76481 	56015 	25936 	21463 	24917 	51001 	105677 	105661 	97093 	81680 	76583 	106915 	152774 	201395 	192586 	218731 	242871 	288074 	309712 	356554 	334364 	374284 	362534 
CP_MNAC,PAID,B8N,S14_S15,SI	235 	292 	545 	482 	237 	731 	1040 	1167 	875 	1101 	1567 	1967 	1813 	2041 	1599 	1253 	1120 	447 	1011 	953 	934 	1158 	1481 
CP_MNAC,PAID,B8N,S14_S15,SK	532 	1092 	1291 	1170 	1019 	1091 	746 	736 	252 	89 	316 	42 	676 	304 	921 	946 	309 	308 	90 	623 	1351 	1352 	1152 
CP_MNAC,PAID,B8N,S14_S15,UK	63729 	60925 	55099 	46208 	27288 	43719 	45934 	41881 	31737 	31162 	26015 	23454 	36386 	31169 	68704 	71403 	50074 	52622 	44856 	44981 	58911 	21233 	-12075 
